@RELATION SmoothSubspace

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE att4 NUMERIC
@ATTRIBUTE att5 NUMERIC
@ATTRIBUTE att6 NUMERIC
@ATTRIBUTE att7 NUMERIC
@ATTRIBUTE att8 NUMERIC
@ATTRIBUTE att9 NUMERIC
@ATTRIBUTE att10 NUMERIC
@ATTRIBUTE att11 NUMERIC
@ATTRIBUTE att12 NUMERIC
@ATTRIBUTE att13 NUMERIC
@ATTRIBUTE att14 NUMERIC
@ATTRIBUTE att15 NUMERIC
@ATTRIBUTE target {1.0, 2.0, 3.0}

@DATA
0.499,0.577,0.666,0.481,0.693,0.808,0.853,0.333,0.34,0.444,0.092,0.047,0.406,0.54,-0.063,1.0
0.458,0.542,0.767,0.577,0.639,0.327,0.411,0.1,0.895,0.976,0.966,0.277,0.844,0.59,0.564,1.0
0.42,0.613,0.777,0.544,0.562,0.355,0.159,0.187,0.561,-0.063,0.642,0.354,-0.429,0.678,0.015,1.0
0.601,0.709,0.821,0.401,0.554,0.481,0.844,0.172,0.223,0.282,0.7,0.566,0.779,0.627,0.225,1.0
0.507,0.598,0.77,0.377,0.571,0.748,0.785,0.594,0.211,0.633,0.399,0.062,0.651,0.091,0.68,1.0
0.572,0.578,0.653,0.452,0.619,0.414,0.153,0.539,0.583,-0.413,0.45,0.511,0.792,0.849,0.792,1.0
0.468,0.701,0.595,0.529,0.59,0.749,0.049,0.091,0.412,0.42,0.986,1.027,1.018,0.712,0.764,1.0
0.454,0.632,0.736,0.446,0.589,0.541,0.733,0.405,0.088,0.146,0.651,0.704,0.744,0.527,0.5,1.0
0.532,0.867,0.686,0.493,0.63,0.355,0.735,0.164,0.833,0.629,0.374,0.137,0.493,0.456,0.374,1.0
0.524,0.621,0.58,0.482,0.611,0.424,0.21,0.237,0.334,0.535,0.661,0.651,0.171,0.819,0.919,1.0
0.491,0.609,0.705,0.314,0.703,0.812,0.757,0.543,0.44,0.925,0.65,0.723,0.269,0.161,0.68,1.0
0.413,0.562,0.842,0.54,0.651,0.745,0.285,0.86,0.019,0.339,0.194,0.509,0.479,0.323,0.887,1.0
0.584,0.647,0.637,0.539,0.731,0.908,0.883,0.175,0.478,0.821,0.713,0.214,0.091,0.756,0.721,1.0
0.595,0.584,0.772,0.534,0.626,0.644,0.813,0.37,0.45,0.606,0.322,0.569,0.803,0.959,0.684,1.0
0.504,0.641,0.794,0.439,0.424,0.484,-0.085,0.358,0.88,0.375,0.086,0.085,0.311,0.88,0.691,1.0
0.421,0.46,0.716,0.6,0.6,0.109,0.584,0.671,0.613,0.521,0.15,0.777,0.563,0.11,0.878,1.0
0.402,0.67,0.735,0.645,0.526,0.755,0.128,0.655,0.739,0.609,0.946,1.064,0.747,0.439,0.112,1.0
0.411,0.572,0.778,0.375,0.523,0.491,0.127,0.576,0.729,-0.214,0.37,0.669,0.958,0.11,0.663,1.0
0.553,0.637,0.904,0.22,0.488,0.371,0.043,0.038,0.604,0.386,1.189,1.035,0.248,0.091,0.684,1.0
0.502,0.595,0.649,0.476,0.566,0.234,0.907,0.57,0.226,0.738,0.528,0.551,0.031,0.425,0.525,1.0
0.46,0.916,0.696,0.81,0.682,0.209,0.968,0.011,0.193,0.671,0.83,0.629,0.558,0.324,0.777,1.0
0.389,0.641,0.84,0.46,0.616,0.111,0.746,0.852,0.371,1.193,0.344,0.288,0.441,0.601,0.121,1.0
0.568,0.614,0.822,0.52,0.65,0.413,1.194,0.318,0.411,0.278,0.575,0.63,0.439,0.512,0.557,1.0
0.77,0.794,0.702,0.431,0.959,0.129,0.589,0.037,0.775,0.741,0.245,0.364,0.058,0.333,0.531,1.0
0.47,0.556,0.74,0.544,0.541,0.518,0.816,0.327,0.902,1.003,0.821,0.653,0.765,0.874,0.091,1.0
0.507,0.713,0.7,0.508,0.775,0.41,0.824,0.525,0.57,0.749,0.433,0.648,0.539,0.479,0.833,1.0
0.449,0.682,0.625,0.502,1.014,0.083,0.948,0.977,0.633,0.916,0.597,0.871,0.052,0.638,0.36,1.0
0.512,0.609,1.053,0.566,0.624,0.798,0.166,0.385,0.102,0.465,1.213,0.819,0.202,0.255,-0.094,1.0
0.653,0.726,0.716,0.439,0.522,0.713,0.684,0.885,0.471,0.126,0.595,0.438,0.639,0.226,0.296,1.0
0.613,0.551,0.792,0.466,0.648,0.122,0.281,0.369,0.239,0.692,1.477,0.796,0.871,0.382,0.416,1.0
0.565,0.609,0.563,0.615,0.658,0.427,0.479,0.086,0.245,0.526,1.176,0.839,0.533,0.565,0.901,1.0
0.691,0.501,0.762,0.62,0.703,0.79,0.175,-0.148,0.8,0.274,0.821,0.47,0.456,0.117,0.239,1.0
0.554,0.559,0.634,0.512,0.685,0.364,0.451,0.092,0.373,0.466,0.012,0.591,0.229,0.416,0.415,1.0
0.557,0.511,0.877,0.528,0.849,0.916,0.762,0.63,0.23,0.757,0.166,0.273,0.985,0.961,1.012,1.0
0.565,0.581,0.946,0.431,0.654,0.928,0.745,0.296,0.131,0.378,0.315,0.619,0.883,0.47,0.5,1.0
0.429,0.608,0.784,0.467,0.835,0.749,-0.015,1.049,0.187,0.762,0.921,0.36,0.999,0.419,0.83,1.0
0.72,0.53,0.709,0.522,0.674,0.018,0.894,0.164,0.499,0.875,0.989,0.93,0.039,0.891,0.745,1.0
0.625,0.582,0.797,0.488,0.644,0.203,0.006,0.761,0.607,0.581,0.297,-0.026,0.936,0.623,0.959,1.0
0.356,0.659,0.872,0.511,0.152,0.352,0.033,0.367,0.171,0.828,0.467,0.907,0.086,0.414,0.302,1.0
0.537,0.693,0.705,0.346,0.709,0.141,0.445,0.909,0.888,0.204,0.092,0.226,0.664,-0.023,0.585,1.0
0.368,0.572,0.699,0.484,0.542,0.476,0.178,0.476,0.105,0.746,0.482,0.059,-0.004,0.647,0.154,1.0
0.494,0.51,0.727,0.196,0.586,0.441,0.295,0.314,0.785,0.696,0.668,0.049,0.897,0.347,0.539,1.0
0.734,0.419,0.856,0.564,0.848,0.197,0.535,0.433,0.519,0.529,0.145,0.185,0.138,0.374,0.689,1.0
0.43,0.856,0.784,0.533,0.54,0.653,0.62,0.744,0.751,0.209,0.34,0.278,0.587,0.256,0.694,1.0
0.489,0.711,0.786,0.457,0.737,0.861,-0.003,0.506,0.499,0.669,0.749,0.68,0.728,0.912,0.088,1.0
0.466,0.655,0.721,0.482,0.603,0.691,0.701,0.322,0.22,0.347,0.117,0.828,0.16,0.251,0.487,1.0
0.434,0.637,0.924,0.489,0.637,0.23,0.865,0.567,0.62,0.425,0.383,0.792,0.132,0.387,0.58,1.0
0.581,0.625,0.765,0.519,0.691,-0.05,0.557,0.09,0.484,0.228,0.804,0.753,0.458,0.426,0.854,1.0
0.588,0.596,0.736,0.542,0.541,0.026,0.212,0.45,0.97,0.665,0.829,0.397,0.814,0.848,0.101,1.0
0.451,0.784,0.681,0.342,0.446,0.206,0.305,0.883,0.12,0.77,-0.055,0.656,0.207,0.745,0.3,1.0
0.173,0.933,0.343,0.009,0.359,0.268,0.145,0.363,0.263,0.393,0.748,0.416,0.852,0.311,-0.148,2.0
0.025,0.344,0.643,0.797,0.323,0.129,0.24,0.395,0.278,0.363,0.498,-0.031,0.619,0.961,0.925,2.0
0.353,0.911,0.469,0.389,0.809,0.148,0.374,0.408,0.36,0.243,0.431,0.895,0.538,0.302,0.789,2.0
0.165,0.25,0.534,0.749,0.531,0.382,0.396,0.46,0.34,0.331,0.623,0.006,0.086,0.97,0.968,2.0
0.677,0.199,0.405,0.827,0.357,-0.002,0.225,0.424,0.213,0.402,0.657,0.711,0.903,0.584,0.398,2.0
0.701,0.787,0.682,0.659,0.97,0.166,0.369,0.405,0.31,0.481,0.311,0.65,0.154,0.512,1.282,2.0
0.566,0.285,0.09,0.233,0.717,0.307,0.458,0.397,0.179,0.42,0.289,0.158,1.136,0.461,0.374,2.0
0.265,0.03,0.546,0.178,0.109,0.282,0.254,0.359,0.361,0.447,0.792,0.821,0.307,0.298,0.943,2.0
0.348,-0.068,0.504,0.989,0.329,0.165,0.295,0.428,0.179,0.43,0.874,0.271,0.76,0.426,0.064,2.0
0.669,0.769,0.214,0.167,0.766,0.23,0.249,0.364,0.308,0.538,0.289,0.608,0.396,0.707,0.135,2.0
0.18,0.297,0.183,0.532,0.797,0.301,0.203,0.436,0.27,0.456,0.731,0.283,0.685,0.571,0.654,2.0
0.644,0.266,0.424,0.157,0.595,0.222,0.431,0.403,0.434,0.397,0.493,0.362,1.162,0.304,0.5,2.0
0.145,0.557,0.485,0.606,0.858,0.249,0.177,0.384,0.702,0.412,0.638,0.912,0.736,0.658,0.418,2.0
0.575,1.192,0.028,0.135,0.882,0.327,0.291,0.24,0.236,0.446,0.057,0.469,0.491,0.685,0.341,2.0
0.235,0.27,0.99,0.381,0.776,0.197,0.347,0.377,0.357,0.387,0.861,0.45,0.704,0.037,0.769,2.0
0.413,0.179,0.096,-0.153,0.449,0.223,0.418,0.492,0.298,0.333,0.479,0.562,0.369,0.717,0.528,2.0
0.24,0.855,0.458,0.636,0.853,0.444,0.431,0.442,0.597,0.24,0.999,0.982,0.091,0.945,0.077,2.0
0.411,0.616,0.127,0.733,0.841,0.178,0.297,0.422,0.264,0.351,0.595,0.237,0.757,0.131,1.405,2.0
0.965,1.184,0.077,0.844,1.056,0.198,0.373,0.331,0.471,0.447,0.454,0.724,0.5,0.106,0.195,2.0
-0.123,0.578,0.466,0.142,0.22,0.195,0.118,0.322,0.357,0.159,0.771,0.793,0.411,0.415,0.11,2.0
0.933,0.12,0.926,1.05,0.572,0.245,0.213,0.334,0.119,0.479,0.093,0.406,0.682,0.465,0.615,2.0
0.248,0.533,0.333,0.146,0.185,0.285,0.436,0.447,0.136,0.49,0.153,0.815,0.461,-0.005,0.493,2.0
-0.016,0.126,0.274,0.466,0.178,0.234,0.272,0.56,0.134,0.411,0.234,0.299,0.369,0.972,0.797,2.0
0.18,0.681,0.167,0.272,0.661,0.231,0.456,0.402,0.347,0.443,0.223,-0.009,0.46,1.081,0.31,2.0
0.21,0.997,0.353,0.082,0.743,0.246,0.228,0.322,0.358,0.364,0.505,0.762,0.7,0.404,0.323,2.0
0.707,0.542,0.784,0.876,0.685,0.272,0.382,0.425,0.304,0.392,0.82,0.218,0.531,0.271,0.894,2.0
0.784,0.757,0.863,0.659,1.117,0.242,0.454,0.432,0.36,0.734,0.468,0.568,0.537,0.384,0.309,2.0
0.948,0.255,0.956,0.665,0.857,0.376,0.363,0.395,0.246,0.206,0.214,0.141,0.736,0.866,0.464,2.0
0.418,0.717,0.65,0.592,0.271,0.225,0.329,0.332,0.23,0.402,0.788,0.871,0.027,0.594,0.604,2.0
0.438,0.67,0.912,0.182,0.46,0.298,0.375,0.343,0.27,0.371,0.527,0.489,0.067,0.64,1.027,2.0
0.227,0.613,0.815,0.813,0.227,0.276,0.489,0.331,0.413,0.431,0.887,0.612,1.015,0.514,0.734,2.0
0.407,0.061,0.821,0.437,0.163,0.257,0.428,0.388,0.323,0.468,1.019,0.552,0.421,0.377,0.113,2.0
