@RELATION SmoothSubspace

@ATTRIBUTE att1_err NUMERIC
@ATTRIBUTE att2_err NUMERIC
@ATTRIBUTE att3_err NUMERIC
@ATTRIBUTE att4_err NUMERIC
@ATTRIBUTE att5_err NUMERIC
@ATTRIBUTE att6_err NUMERIC
@ATTRIBUTE att7_err NUMERIC
@ATTRIBUTE att8_err NUMERIC
@ATTRIBUTE att9_err NUMERIC
@ATTRIBUTE att10_err NUMERIC
@ATTRIBUTE att11_err NUMERIC
@ATTRIBUTE att12_err NUMERIC
@ATTRIBUTE att13_err NUMERIC
@ATTRIBUTE att14_err NUMERIC
@ATTRIBUTE att15_err NUMERIC

@DATA
0.047,0.072,0.094,0.027,0.059,0.036,0.185,0.005,0.199,0.031,0.116,0.017,0.01,0.047,0.24
0.055,0.05,0.013,0.024,0.047,0.043,0.048,0.057,0.142,0.098,0.105,0.034,0.091,0.076,0.04
0.005,0.011,0.027,0.026,0.031,0.075,0.059,0.013,0.133,0.231,0.057,0.074,0.146,0.047,0.222
0.032,0.099,0.039,0.111,0.127,0.045,0.195,0.052,0.064,0.055,0.151,0.168,0.101,0.048,0.102
0.044,0.07,0.097,0.068,0.018,0.002,0.003,0.056,0.028,0.043,0.152,0.027,0.006,0.045,0.001
0.063,0.014,0.29,0.2,0.051,0.08,0.018,0.088,0.301,0.313,0.066,0.203,0.054,0.091,0.084
0.092,0.163,0.011,0.13,0.037,0.099,0.001,0.061,0.015,0.075,0.005,0.167,0.336,0.007,0.116
0.01,0.057,0.01,0.054,0.048,0.069,0.145,0.181,0.062,0.061,0.062,0.053,0.034,0.043,0.043
0.01,0.183,0.004,0.067,0.107,0.071,0.007,0.101,0.05,0.114,0.154,0.02,0.101,0.093,0.017
0.042,0.129,0.128,0.033,0.016,0.085,0.019,0.149,0.048,0.018,0.042,0.215,0.192,0.015,0.003
0.025,0.067,0.047,0.099,0.078,0.035,0.162,0.063,0.103,0.049,0.14,0.006,0.156,0.062,0.073
0.05,0.018,0.049,0.128,0.137,0.049,0.173,0.075,0.023,0.017,0.159,0.078,0.01,0.109,0.052
0.015,0.092,0.115,0.038,0.077,0.079,0.201,0.03,0.112,0.156,0.018,0.157,0.252,0.051,0.121
0.001,0.232,0.041,0.061,0.033,0.072,0.062,0.187,0.056,0.048,0.084,0.097,0.1,0.128,0.012
0.014,0.127,0.242,0.038,0.12,0.069,0.078,0.056,0.077,0.213,0.161,0.239,0.208,0.002,0.027
0.044,0.058,0.075,0.048,0.162,0.044,0.012,0.238,0.067,0.016,0.141,0.008,0.05,0.032,0.061
0.01,0.012,0.013,0.081,0.0,0.084,0.07,0.105,0.084,0.056,0.075,0.129,0.052,0.013,0.083
0.029,0.011,0.07,0.177,0.111,0.133,0.017,0.019,0.049,0.198,0.053,0.116,0.04,0.052,0.105
0.2,0.142,0.102,0.165,0.039,0.051,0.047,0.037,0.107,0.17,0.159,0.183,0.103,0.092,0.119
0.021,0.098,0.06,0.126,0.001,0.109,0.059,0.178,0.091,0.111,0.069,0.07,0.059,0.008,0.116
0.073,0.206,0.034,0.156,0.063,0.099,0.11,0.146,0.122,0.097,0.132,0.016,0.021,0.044,0.046
0.042,0.024,0.104,0.075,0.034,0.023,0.231,0.051,0.055,0.154,0.01,0.03,0.047,0.067,0.023
0.076,0.179,0.106,0.002,0.002,0.015,0.176,0.023,0.102,0.235,0.11,0.051,0.092,0.027,0.151
0.197,0.117,0.015,0.002,0.136,0.03,0.067,0.049,0.022,0.0,0.046,0.103,0.06,0.054,0.059
0.007,0.064,0.096,0.082,0.14,0.067,0.021,0.179,0.047,0.129,0.086,0.044,0.117,0.093,0.231
0.016,0.151,0.047,0.085,0.066,0.033,0.239,0.064,0.078,0.155,0.152,0.044,0.116,0.029,0.003
0.042,0.09,0.028,0.051,0.121,0.039,0.148,0.04,0.015,0.132,0.129,0.153,0.028,0.121,0.018
0.011,0.071,0.191,0.084,0.153,0.149,0.06,0.03,0.008,0.225,0.189,0.156,0.049,0.126,0.112
0.124,0.039,0.075,0.056,0.108,0.082,0.058,0.096,0.064,0.014,0.152,0.135,0.217,0.019,0.253
0.028,0.053,0.011,0.043,0.042,0.062,0.197,0.14,0.122,0.096,0.355,0.05,0.047,0.039,0.01
0.032,0.052,0.106,0.069,0.02,0.026,0.038,0.154,0.103,0.027,0.223,0.003,0.095,0.007,0.008
0.147,0.048,0.106,0.038,0.089,0.023,0.002,0.109,0.073,0.258,0.05,0.052,0.072,0.041,0.005
0.083,0.032,0.166,0.006,0.107,0.079,0.137,0.056,0.171,0.107,0.071,0.01,0.094,0.23,0.004
0.045,0.11,0.082,0.046,0.195,0.19,0.056,0.037,0.113,0.013,0.099,0.007,0.043,0.079,0.061
