@RELATION SonyAIBORobotSurface1

@ATTRIBUTE att1_err NUMERIC
@ATTRIBUTE att2_err NUMERIC
@ATTRIBUTE att3_err NUMERIC
@ATTRIBUTE att4_err NUMERIC
@ATTRIBUTE att5_err NUMERIC
@ATTRIBUTE att6_err NUMERIC
@ATTRIBUTE att7_err NUMERIC
@ATTRIBUTE att8_err NUMERIC
@ATTRIBUTE att9_err NUMERIC
@ATTRIBUTE att10_err NUMERIC
@ATTRIBUTE att11_err NUMERIC
@ATTRIBUTE att12_err NUMERIC
@ATTRIBUTE att13_err NUMERIC
@ATTRIBUTE att14_err NUMERIC
@ATTRIBUTE att15_err NUMERIC
@ATTRIBUTE att16_err NUMERIC
@ATTRIBUTE att17_err NUMERIC
@ATTRIBUTE att18_err NUMERIC
@ATTRIBUTE att19_err NUMERIC
@ATTRIBUTE att20_err NUMERIC
@ATTRIBUTE att21_err NUMERIC
@ATTRIBUTE att22_err NUMERIC
@ATTRIBUTE att23_err NUMERIC
@ATTRIBUTE att24_err NUMERIC
@ATTRIBUTE att25_err NUMERIC
@ATTRIBUTE att26_err NUMERIC
@ATTRIBUTE att27_err NUMERIC
@ATTRIBUTE att28_err NUMERIC
@ATTRIBUTE att29_err NUMERIC
@ATTRIBUTE att30_err NUMERIC
@ATTRIBUTE att31_err NUMERIC
@ATTRIBUTE att32_err NUMERIC
@ATTRIBUTE att33_err NUMERIC
@ATTRIBUTE att34_err NUMERIC
@ATTRIBUTE att35_err NUMERIC
@ATTRIBUTE att36_err NUMERIC
@ATTRIBUTE att37_err NUMERIC
@ATTRIBUTE att38_err NUMERIC
@ATTRIBUTE att39_err NUMERIC
@ATTRIBUTE att40_err NUMERIC
@ATTRIBUTE att41_err NUMERIC
@ATTRIBUTE att42_err NUMERIC
@ATTRIBUTE att43_err NUMERIC
@ATTRIBUTE att44_err NUMERIC
@ATTRIBUTE att45_err NUMERIC
@ATTRIBUTE att46_err NUMERIC
@ATTRIBUTE att47_err NUMERIC
@ATTRIBUTE att48_err NUMERIC
@ATTRIBUTE att49_err NUMERIC
@ATTRIBUTE att50_err NUMERIC
@ATTRIBUTE att51_err NUMERIC
@ATTRIBUTE att52_err NUMERIC
@ATTRIBUTE att53_err NUMERIC
@ATTRIBUTE att54_err NUMERIC
@ATTRIBUTE att55_err NUMERIC
@ATTRIBUTE att56_err NUMERIC
@ATTRIBUTE att57_err NUMERIC
@ATTRIBUTE att58_err NUMERIC
@ATTRIBUTE att59_err NUMERIC
@ATTRIBUTE att60_err NUMERIC
@ATTRIBUTE att61_err NUMERIC
@ATTRIBUTE att62_err NUMERIC
@ATTRIBUTE att63_err NUMERIC
@ATTRIBUTE att64_err NUMERIC
@ATTRIBUTE att65_err NUMERIC
@ATTRIBUTE att66_err NUMERIC
@ATTRIBUTE att67_err NUMERIC
@ATTRIBUTE att68_err NUMERIC
@ATTRIBUTE att69_err NUMERIC
@ATTRIBUTE att70_err NUMERIC

@DATA
0.163,0.758,1.855,0.02,0.57,0.323,0.823,0.373,0.181,0.183,0.633,0.016,1.137,0.107,0.368,0.467,1.956,0.317,0.385,0.194,0.214,0.511,0.124,0.592,0.024,0.399,0.646,1.354,0.712,0.402,0.255,0.032,0.312,0.444,0.494,0.222,0.562,0.409,0.06,0.88,0.959,0.795,1.044,0.082,1.831,1.038,0.469,1.514,0.688,0.652,1.026,1.066,0.298,0.274,0.756,0.609,0.346,0.211,0.146,0.331,0.475,0.071,0.026,0.088,0.855,0.27,0.453,0.284,0.675,0.258
1.474,1.351,0.752,0.257,1.645,0.847,0.018,1.2,0.205,0.475,0.632,0.494,0.18,0.327,0.29,0.373,1.08,0.203,0.112,0.429,0.088,1.045,0.158,1.341,0.404,0.421,0.03,0.923,0.202,0.316,0.157,0.375,0.021,0.725,0.363,0.67,0.19,0.164,0.981,0.655,1.096,0.606,0.405,1.351,0.036,0.011,0.204,0.428,0.162,1.576,0.269,0.405,0.379,0.085,2.06,0.942,1.587,0.63,0.226,0.263,0.414,0.394,0.019,0.034,0.073,0.187,0.565,0.56,0.036,0.074
0.34,0.113,0.379,1.516,0.227,0.994,0.891,0.801,0.079,0.303,0.438,0.668,0.166,0.244,0.198,0.651,0.197,0.246,0.589,0.389,0.084,0.095,0.179,0.094,0.086,0.705,0.833,0.128,0.161,0.688,0.072,0.599,0.525,0.644,0.035,0.239,0.658,0.174,0.833,0.624,0.088,2.756,0.972,1.275,0.1,0.314,0.143,0.921,0.258,0.752,1.676,0.553,0.47,0.026,0.501,1.027,1.352,0.771,0.402,0.461,0.643,0.21,0.136,0.347,0.423,0.089,0.4,0.843,0.056,0.468
1.158,0.145,0.499,0.533,0.195,1.638,0.383,1.373,1.025,0.792,1.103,0.452,0.716,1.308,0.675,0.65,0.74,0.329,0.42,0.407,0.942,0.696,0.593,0.315,0.01,0.119,0.189,0.272,0.633,0.891,0.074,0.19,1.068,0.778,0.156,0.196,0.783,0.157,0.44,0.473,1.377,1.785,0.008,0.878,0.408,1.066,0.814,0.131,1.065,1.005,0.756,0.537,0.305,0.22,0.177,1.29,0.789,1.879,0.059,0.163,0.542,0.251,1.204,0.304,0.618,0.353,0.688,0.619,0.203,0.892
0.252,1.274,1.562,0.269,0.576,1.663,0.46,0.119,0.778,0.89,0.497,0.66,1.607,0.81,0.367,0.92,0.088,0.57,1.208,0.255,0.046,0.158,0.549,0.235,0.453,0.156,0.55,0.725,0.718,0.448,0.202,0.139,0.427,0.201,0.32,0.6,0.544,1.091,0.471,0.49,1.561,0.345,1.37,0.057,0.036,0.188,0.613,1.449,0.93,0.529,1.092,0.576,0.688,0.53,0.698,1.853,0.408,0.246,0.431,0.108,0.098,0.871,0.003,0.02,0.335,0.108,0.066,0.496,1.182,0.581
0.617,0.401,0.099,0.462,0.339,0.286,0.309,0.16,1.248,0.972,1.742,0.13,0.202,0.404,0.23,0.12,0.331,0.312,1.403,0.43,0.825,0.653,0.268,0.087,0.561,0.735,0.522,0.699,0.33,0.766,0.13,0.356,0.003,0.102,0.412,0.219,0.34,0.533,0.191,0.689,0.04,2.747,1.283,0.928,1.472,0.697,0.062,0.482,0.033,0.628,0.404,0.755,0.2,0.055,0.259,0.036,0.034,1.091,0.484,0.701,0.304,0.046,0.377,0.665,0.43,0.129,0.239,0.406,0.177,0.041
0.888,1.006,0.578,1.156,0.339,0.842,0.398,0.273,0.085,0.222,1.698,1.315,1.277,0.136,0.472,0.244,0.022,1.207,0.528,0.228,0.504,0.617,0.488,0.5,0.3,0.147,0.097,0.711,0.667,0.49,0.81,0.275,0.164,0.453,0.294,1.085,0.608,0.59,0.666,0.359,0.197,1.581,0.116,0.292,1.357,0.39,0.972,1.079,0.418,1.206,1.583,0.406,0.055,0.017,0.204,0.703,0.115,1.02,0.295,0.641,0.664,0.259,0.08,0.178,0.241,0.239,0.42,0.514,0.575,0.628
0.313,0.591,0.106,0.346,2.355,0.125,0.216,0.376,0.546,0.603,0.353,1.968,0.058,0.229,0.101,0.125,0.402,0.466,0.989,0.661,0.093,0.255,0.02,1.305,0.203,0.613,0.745,0.035,0.068,0.111,0.003,0.848,0.341,0.026,0.452,1.041,0.109,1.042,0.649,0.112,0.441,1.091,1.723,0.174,1.989,0.071,1.194,0.553,0.923,0.068,0.913,0.714,0.831,0.679,0.172,1.162,2.306,1.048,1.157,0.186,0.051,0.289,0.274,0.361,0.158,0.075,0.762,0.154,0.044,0.922
0.958,0.042,0.622,0.149,0.829,0.543,0.71,1.068,0.12,0.311,0.441,0.013,1.633,0.746,0.346,0.623,0.064,0.024,0.888,0.427,0.122,0.179,0.828,0.068,0.312,0.217,0.299,0.131,0.06,0.403,0.425,1.012,0.228,0.094,0.524,0.302,0.193,0.526,0.945,0.623,0.566,0.028,0.555,1.183,0.252,0.333,0.726,0.544,0.124,0.95,0.01,0.647,1.661,0.712,0.778,0.16,0.783,1.564,0.034,0.334,0.478,0.919,0.332,0.027,0.218,0.21,0.357,0.043,0.772,0.455
0.322,2.09,0.801,0.627,0.129,0.989,0.477,0.14,0.403,1.665,0.118,0.481,1.107,1.756,0.503,0.107,1.049,0.414,0.433,0.077,0.46,0.472,0.931,0.784,0.429,0.334,0.696,0.323,0.179,0.51,0.396,0.097,0.228,0.429,1.06,0.084,0.738,1.642,1.349,0.611,0.933,2.29,1.219,0.36,2.153,1.87,1.379,0.193,0.056,1.037,1.174,0.288,0.098,0.337,0.251,0.893,0.873,0.179,0.102,0.49,0.849,0.515,0.107,0.364,0.354,0.357,0.15,0.539,0.226,1.306
