@RELATION SonyAIBORobotSurface2

@ATTRIBUTE att1_err NUMERIC
@ATTRIBUTE att2_err NUMERIC
@ATTRIBUTE att3_err NUMERIC
@ATTRIBUTE att4_err NUMERIC
@ATTRIBUTE att5_err NUMERIC
@ATTRIBUTE att6_err NUMERIC
@ATTRIBUTE att7_err NUMERIC
@ATTRIBUTE att8_err NUMERIC
@ATTRIBUTE att9_err NUMERIC
@ATTRIBUTE att10_err NUMERIC
@ATTRIBUTE att11_err NUMERIC
@ATTRIBUTE att12_err NUMERIC
@ATTRIBUTE att13_err NUMERIC
@ATTRIBUTE att14_err NUMERIC
@ATTRIBUTE att15_err NUMERIC
@ATTRIBUTE att16_err NUMERIC
@ATTRIBUTE att17_err NUMERIC
@ATTRIBUTE att18_err NUMERIC
@ATTRIBUTE att19_err NUMERIC
@ATTRIBUTE att20_err NUMERIC
@ATTRIBUTE att21_err NUMERIC
@ATTRIBUTE att22_err NUMERIC
@ATTRIBUTE att23_err NUMERIC
@ATTRIBUTE att24_err NUMERIC
@ATTRIBUTE att25_err NUMERIC
@ATTRIBUTE att26_err NUMERIC
@ATTRIBUTE att27_err NUMERIC
@ATTRIBUTE att28_err NUMERIC
@ATTRIBUTE att29_err NUMERIC
@ATTRIBUTE att30_err NUMERIC
@ATTRIBUTE att31_err NUMERIC
@ATTRIBUTE att32_err NUMERIC
@ATTRIBUTE att33_err NUMERIC
@ATTRIBUTE att34_err NUMERIC
@ATTRIBUTE att35_err NUMERIC
@ATTRIBUTE att36_err NUMERIC
@ATTRIBUTE att37_err NUMERIC
@ATTRIBUTE att38_err NUMERIC
@ATTRIBUTE att39_err NUMERIC
@ATTRIBUTE att40_err NUMERIC
@ATTRIBUTE att41_err NUMERIC
@ATTRIBUTE att42_err NUMERIC
@ATTRIBUTE att43_err NUMERIC
@ATTRIBUTE att44_err NUMERIC
@ATTRIBUTE att45_err NUMERIC
@ATTRIBUTE att46_err NUMERIC
@ATTRIBUTE att47_err NUMERIC
@ATTRIBUTE att48_err NUMERIC
@ATTRIBUTE att49_err NUMERIC
@ATTRIBUTE att50_err NUMERIC
@ATTRIBUTE att51_err NUMERIC
@ATTRIBUTE att52_err NUMERIC
@ATTRIBUTE att53_err NUMERIC
@ATTRIBUTE att54_err NUMERIC
@ATTRIBUTE att55_err NUMERIC
@ATTRIBUTE att56_err NUMERIC
@ATTRIBUTE att57_err NUMERIC
@ATTRIBUTE att58_err NUMERIC
@ATTRIBUTE att59_err NUMERIC
@ATTRIBUTE att60_err NUMERIC
@ATTRIBUTE att61_err NUMERIC
@ATTRIBUTE att62_err NUMERIC
@ATTRIBUTE att63_err NUMERIC
@ATTRIBUTE att64_err NUMERIC
@ATTRIBUTE att65_err NUMERIC

@DATA
0.344,0.59,0.133,1.572,0.182,2.55,0.115,2.428,0.446,0.731,3.633,3.434,0.365,1.372,0.165,0.964,0.213,1.692,0.794,0.82,0.162,1.056,0.915,2.057,0.326,1.758,0.945,0.351,0.254,0.133,0.2,0.015,0.092,0.105,0.114,0.097,0.508,0.287,0.056,0.06,0.748,1.436,0.224,0.239,1.793,1.126,0.104,0.073,1.157,0.317,0.61,1.854,1.745,0.425,1.016,0.953,0.787,0.88,1.053,2.189,0.807,0.631,1.795,0.09,0.429
0.004,0.711,0.527,2.3,1.876,0.285,0.003,0.569,0.864,0.44,1.037,2.258,0.135,1.045,0.564,0.755,0.358,0.676,0.729,0.269,0.089,0.25,0.033,0.596,0.113,1.047,0.546,0.084,0.904,0.564,0.257,0.288,0.095,0.236,0.442,0.504,0.0,0.148,0.146,0.286,0.388,0.357,0.734,0.138,0.839,0.017,0.291,0.554,1.109,0.848,1.491,0.106,1.715,0.485,0.309,0.654,0.176,1.952,1.342,2.28,1.626,1.125,0.737,0.081,0.702
0.052,0.834,0.479,0.192,0.14,1.729,0.741,0.855,1.509,0.488,2.692,0.057,1.137,0.291,0.982,1.267,1.097,0.089,0.312,3.915,0.379,1.136,1.173,1.233,1.265,0.316,0.628,0.691,0.3,0.169,0.118,0.846,0.255,0.218,0.349,0.09,0.431,0.13,0.97,0.062,0.446,0.014,0.219,1.002,1.669,1.11,0.043,0.103,0.821,0.679,0.064,1.16,0.116,1.246,0.562,0.431,0.826,1.284,0.318,2.505,1.986,1.335,2.828,0.327,0.339
0.458,0.346,0.445,0.018,1.945,0.599,0.922,0.322,0.784,0.982,0.263,1.446,0.408,1.161,0.397,0.2,1.374,0.928,2.226,1.795,3.025,0.247,0.321,1.458,0.664,1.111,0.753,0.137,0.172,0.062,0.373,0.513,0.192,0.074,0.379,0.35,0.435,0.501,0.225,0.154,0.433,0.474,0.46,0.341,0.775,1.108,0.097,0.014,0.739,1.957,0.621,1.47,0.023,2.232,1.051,4.18,0.469,0.949,3.058,0.664,2.001,1.588,0.954,1.976,0.258
0.234,0.193,0.379,1.247,0.227,0.263,0.21,1.793,0.558,0.998,0.636,1.169,1.228,0.147,1.172,0.802,0.056,0.316,0.199,0.022,1.837,0.645,0.598,0.205,0.13,0.761,2.301,0.628,0.004,0.361,0.009,0.127,0.135,0.401,0.158,0.152,0.244,0.215,0.199,0.402,0.589,0.068,0.083,0.8,0.311,0.01,1.749,0.288,0.929,1.377,2.502,0.729,0.198,1.447,1.333,0.487,0.601,0.637,1.961,2.693,1.375,0.108,0.895,0.837,0.194
0.077,0.268,0.158,0.133,0.535,0.335,0.154,1.871,0.235,0.948,1.047,2.038,0.067,2.547,1.361,0.095,0.726,1.406,0.736,0.101,0.793,0.388,1.539,0.664,0.018,0.602,0.426,1.14,0.601,0.867,0.58,0.36,0.034,0.239,0.279,0.335,0.442,0.186,0.0,0.372,0.36,0.953,0.048,0.556,1.522,0.278,0.786,0.527,0.166,1.927,0.78,0.543,1.627,0.788,0.053,1.594,0.323,0.026,0.311,0.241,0.315,1.83,1.564,0.375,0.912
0.207,0.477,0.209,0.219,0.663,0.132,0.354,2.108,1.609,0.204,2.824,1.735,1.557,0.174,0.573,1.151,1.104,0.644,0.297,0.143,3.782,0.924,0.547,0.656,0.011,0.034,0.497,0.719,0.34,0.343,0.991,0.567,0.021,0.16,0.27,0.179,0.154,0.247,0.143,0.594,0.74,0.645,0.354,1.196,0.194,0.889,0.068,0.982,0.623,0.925,3.436,0.486,0.893,1.046,0.746,0.516,0.441,0.491,0.581,0.867,0.816,0.247,0.462,0.419,0.268
0.396,0.241,0.171,1.67,1.801,1.126,1.07,0.662,0.054,0.49,1.623,0.347,0.138,3.484,2.685,1.299,0.122,1.223,0.331,0.424,2.025,0.517,0.659,2.502,0.746,0.906,0.807,1.048,0.745,0.457,0.252,0.166,0.559,0.275,0.273,0.001,0.22,0.296,0.397,0.574,0.675,0.322,0.854,0.373,0.315,0.671,0.313,0.423,0.054,3.972,1.38,0.37,0.222,0.098,0.199,0.366,2.153,0.311,0.707,0.724,0.957,0.39,2.053,0.546,0.042
0.545,0.041,0.361,1.395,1.051,1.955,0.086,0.682,0.371,0.576,0.735,1.674,0.041,1.69,0.976,0.657,0.831,0.453,2.063,1.518,0.83,1.788,0.279,0.061,0.626,0.409,0.501,0.715,0.378,0.256,0.274,0.189,0.299,0.186,0.577,0.042,0.101,0.166,0.269,0.052,0.163,0.348,0.456,0.552,0.631,0.442,0.656,0.081,0.552,0.764,2.585,0.694,2.162,0.124,0.806,0.283,0.265,0.5,0.51,0.487,2.048,1.166,0.723,0.793,0.384
0.304,0.285,0.645,0.339,0.049,0.864,0.316,0.48,0.818,0.247,0.185,0.081,0.866,0.146,1.983,1.09,1.848,0.088,0.218,1.433,1.261,1.384,0.659,0.209,0.617,0.648,0.462,0.977,0.899,0.789,0.003,0.396,0.027,0.045,0.402,0.045,0.607,0.155,0.19,0.831,0.071,0.381,0.101,0.099,0.016,0.734,0.077,1.017,0.711,3.053,0.752,2.093,1.752,0.337,0.445,0.292,0.867,1.047,0.479,2.094,1.815,0.95,1.842,0.842,0.26
0.073,0.094,0.045,0.588,3.156,0.112,0.357,1.465,1.467,0.469,0.189,1.292,0.982,1.041,0.032,0.588,0.547,0.793,0.695,1.48,0.688,0.174,1.267,0.978,0.644,0.07,1.027,0.076,0.023,0.394,0.21,0.173,0.225,0.714,0.304,0.132,0.662,0.011,0.149,0.183,0.338,0.321,0.395,0.188,0.248,0.776,0.194,0.782,0.24,0.056,1.692,0.033,1.107,0.828,0.506,1.013,0.962,0.223,3.697,0.778,3.214,0.872,1.169,0.471,0.163
0.442,0.5,0.229,1.444,0.272,0.684,0.333,0.412,0.908,0.401,0.18,0.802,0.226,0.158,1.283,0.468,0.725,0.784,0.287,0.941,0.371,0.682,0.23,2.188,0.519,0.566,0.288,0.407,0.024,0.491,0.446,0.934,0.372,0.038,0.157,0.3,0.331,0.004,0.541,0.353,0.037,0.79,0.637,0.153,0.742,0.519,0.317,1.09,1.067,1.098,0.703,0.822,0.953,0.407,0.648,2.969,0.245,0.86,0.439,1.104,1.469,0.018,0.934,1.58,0.42
0.027,0.29,0.259,1.734,1.028,1.507,1.19,0.916,0.256,0.411,3.171,1.728,0.983,1.252,1.281,0.422,1.72,0.242,1.091,1.736,0.503,1.705,0.015,0.956,1.523,0.442,0.871,0.277,0.824,0.739,0.492,0.171,0.195,0.434,0.568,0.301,0.02,0.149,0.102,0.408,0.646,0.008,0.713,0.084,1.21,0.677,2.088,0.821,1.046,0.05,1.418,0.928,0.305,2.687,0.393,1.441,1.135,0.199,3.316,0.665,0.216,1.331,1.278,1.538,0.236
0.031,0.931,0.074,0.774,0.405,0.383,0.372,2.18,1.386,1.751,0.086,0.954,0.754,0.113,0.372,0.415,0.692,0.293,0.714,2.159,3.604,0.812,0.535,0.364,0.855,0.147,0.338,0.6,0.977,0.917,0.229,0.182,0.136,0.279,0.309,0.005,0.533,0.138,0.174,0.09,0.606,0.232,0.364,0.399,0.222,0.104,1.378,0.481,0.35,1.34,0.617,0.015,0.066,0.137,0.218,2.05,0.046,0.175,2.223,0.079,1.319,0.39,1.708,1.413,0.441
0.279,0.589,0.09,0.807,2.087,1.015,0.286,0.843,0.595,1.436,0.103,0.192,0.067,0.648,1.568,1.242,0.76,0.494,0.037,0.763,0.951,1.138,1.164,0.228,0.551,0.265,0.015,0.503,0.233,0.486,0.426,0.646,0.328,0.085,0.275,0.207,0.054,0.169,0.313,0.235,0.209,0.51,0.348,0.167,0.672,0.056,0.01,0.182,0.474,0.849,0.659,1.261,1.345,1.486,0.815,1.068,0.68,0.951,0.364,0.068,1.835,0.824,0.535,0.143,1.232
