@RELATION SmoothSubspace

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE att4 NUMERIC
@ATTRIBUTE att5 NUMERIC
@ATTRIBUTE att6 NUMERIC
@ATTRIBUTE att7 NUMERIC
@ATTRIBUTE att8 NUMERIC
@ATTRIBUTE att9 NUMERIC
@ATTRIBUTE att10 NUMERIC
@ATTRIBUTE att11 NUMERIC
@ATTRIBUTE att12 NUMERIC
@ATTRIBUTE att13 NUMERIC
@ATTRIBUTE att14 NUMERIC
@ATTRIBUTE att15 NUMERIC
@ATTRIBUTE target {1.0, 2.0, 3.0}

@DATA
0.792,0.441,0.906,0.667,0.355,1.113,0.674,0.208,0.508,0.499,-0.291,-1.1,0.261,1.21,0.425,1.0
0.527,0.657,0.376,0.541,0.589,0.341,0.396,0.005,0.763,0.739,2.012,0.24,1.036,0.038,0.555,1.0
0.368,0.93,0.818,0.211,1.021,0.442,0.279,0.266,0.815,0.112,0.553,1.752,0.142,0.734,0.136,1.0
0.817,0.382,0.776,0.608,0.958,0.558,0.694,-0.133,0.16,0.458,0.675,0.486,0.745,0.766,-0.353,1.0
0.748,0.497,0.729,0.46,0.539,0.835,0.325,0.557,0.2,0.487,0.573,0.141,0.612,-0.459,1.12,1.0
0.519,0.496,0.716,0.465,0.624,0.723,0.133,0.494,0.161,0.226,0.197,0.208,1.099,0.806,0.866,1.0
0.331,0.572,0.566,0.764,1.281,0.674,0.224,0.125,0.447,0.457,1.126,0.824,0.45,0.779,1.639,1.0
0.08,0.506,0.132,0.598,0.241,-0.666,1.205,0.254,-0.058,-0.419,0.456,0.735,0.722,0.332,0.275,1.0
1.038,0.735,-0.049,0.496,0.656,0.064,0.521,0.71,0.899,0.558,-0.094,0.093,0.391,0.138,0.198,1.0
0.527,0.595,0.259,0.622,0.713,0.349,-0.307,0.504,0.315,0.822,0.939,0.469,0.446,0.938,0.793,1.0
0.442,0.749,0.667,0.324,0.631,1.135,0.601,0.462,0.533,0.958,0.855,0.666,0.294,0.526,-0.359,1.0
0.46,0.377,0.479,0.578,0.826,0.838,2.082,0.697,0.123,0.323,-0.293,0.684,0.468,0.43,1.122,1.0
0.693,0.5,1.285,0.553,0.56,0.72,0.773,0.411,0.984,1.366,0.879,0.479,0.527,0.034,0.802,1.0
0.608,0.548,0.712,0.357,0.639,1.048,0.7,0.149,0.573,0.715,0.234,0.722,1.124,1.082,0.419,1.0
0.697,0.628,0.921,0.59,0.698,0.575,0.02,0.336,0.971,1.156,0.305,0.206,0.029,0.872,0.823,1.0
0.432,0.827,0.742,0.65,1.1,0.3,1.049,-0.152,0.579,0.643,1.904,0.613,3.119,0.215,0.443,1.0
0.908,0.291,0.77,0.375,0.062,0.501,0.213,0.591,0.832,0.807,0.411,0.66,0.53,0.497,0.35,1.0
0.388,1.252,-0.061,0.397,0.425,0.408,-1.545,0.434,0.468,0.387,0.347,0.434,1.001,0.503,0.594,1.0
-0.141,0.763,0.881,0.775,0.427,0.761,0.146,0.061,0.401,0.669,0.986,0.964,0.325,-0.035,1.053,1.0
0.463,0.829,0.357,0.489,0.538,0.275,1.064,0.731,0.914,1.305,0.535,0.62,-0.157,0.614,0.077,1.0
0.691,0.847,0.606,0.419,0.461,-0.187,1.618,0.15,-0.594,0.774,0.586,1.139,0.377,0.538,0.169,1.0
0.405,0.586,0.891,0.455,0.284,-0.416,0.938,0.768,0.322,0.816,0.486,0.412,0.332,0.753,0.053,1.0
0.492,0.756,0.753,0.623,0.605,0.496,1.001,0.164,0.424,0.781,0.645,0.822,0.264,-0.317,0.601,1.0
0.593,0.704,0.408,0.504,0.271,-0.348,0.424,-0.588,0.887,0.821,0.296,0.368,-0.106,0.408,0.697,1.0
-0.228,0.315,0.668,0.763,0.527,0.701,1.011,0.428,0.726,0.974,0.757,0.634,0.776,-1.019,0.295,1.0
0.748,0.704,0.563,0.138,0.637,-0.144,0.469,0.265,0.352,1.019,0.206,-1.024,0.503,0.793,0.918,1.0
0.389,0.733,0.855,0.205,0.589,0.272,1.304,0.583,0.723,0.653,0.82,0.696,-0.067,-0.838,0.407,1.0
0.338,0.67,0.872,0.649,0.555,0.916,0.134,0.004,0.457,0.209,0.902,1.044,-0.853,0.078,-0.19,1.0
0.539,0.696,-0.405,0.31,0.43,1.088,0.822,0.939,0.792,0.145,2.313,0.111,0.812,0.842,0.086,1.0
0.672,0.595,0.914,0.297,-0.028,0.38,-0.27,0.485,0.171,0.817,0.983,0.869,0.219,0.401,0.275,1.0
0.641,1.331,1.458,0.54,0.308,0.111,0.618,-0.03,0.792,0.558,0.712,0.898,0.78,0.322,0.92,1.0
0.663,0.608,0.77,0.64,0.876,0.767,0.276,0.256,0.924,0.593,0.802,0.518,0.217,0.11,2.105,1.0
0.473,0.891,0.628,0.172,0.547,0.242,0.935,0.179,-0.053,1.157,0.411,0.772,0.158,0.365,-0.584,1.0
0.48,0.493,0.473,0.156,1.169,0.445,0.366,0.559,0.085,1.392,0.09,-0.112,1.219,0.784,1.011,1.0
1.08,0.505,1.982,0.449,0.225,1.144,0.806,0.28,1.338,0.163,0.463,0.692,1.006,0.218,0.445,1.0
-0.01,0.463,0.786,0.569,0.542,0.732,0.046,1.159,0.467,0.795,0.935,0.356,-0.142,0.267,0.911,1.0
0.911,0.61,0.411,1.401,0.634,-0.024,0.06,0.118,0.76,0.87,0.914,0.599,0.042,0.872,0.124,1.0
0.585,0.625,0.721,-0.523,1.532,0.403,-0.236,0.747,0.572,0.421,0.465,0.029,0.265,0.382,0.873,1.0
0.328,0.276,0.672,0.707,0.448,1.176,0.227,0.126,-0.207,0.706,0.549,0.994,0.204,0.235,0.082,1.0
0.594,0.602,0.782,0.259,0.254,-0.095,0.579,1.503,0.62,0.204,-0.117,0.601,0.681,-0.04,0.603,1.0
0.315,0.912,0.204,0.34,0.427,0.416,0.936,0.234,0.036,0.694,0.777,0.263,0.613,0.94,-0.16,1.0
0.763,0.124,1.025,0.506,0.919,0.058,0.647,0.276,0.856,0.709,0.076,-0.125,1.174,0.317,0.225,1.0
1.062,0.721,0.765,-0.073,0.756,0.499,0.87,0.919,0.586,0.663,0.168,0.493,0.304,1.171,0.532,1.0
0.937,0.548,0.69,0.461,0.585,0.586,0.532,1.622,0.922,-0.024,0.058,0.457,0.529,2.25,0.583,1.0
0.388,-0.22,0.451,-0.314,1.172,0.884,0.388,0.117,-0.283,0.662,0.874,0.582,0.511,0.7,-0.061,1.0
0.482,0.051,0.705,0.556,0.752,0.81,0.174,0.649,0.203,0.379,-0.678,1.03,0.115,0.765,0.417,1.0
