@RELATION SmoothSubspace

@ATTRIBUTE att1_err NUMERIC
@ATTRIBUTE att2_err NUMERIC
@ATTRIBUTE att3_err NUMERIC
@ATTRIBUTE att4_err NUMERIC
@ATTRIBUTE att5_err NUMERIC
@ATTRIBUTE att6_err NUMERIC
@ATTRIBUTE att7_err NUMERIC
@ATTRIBUTE att8_err NUMERIC
@ATTRIBUTE att9_err NUMERIC
@ATTRIBUTE att10_err NUMERIC
@ATTRIBUTE att11_err NUMERIC
@ATTRIBUTE att12_err NUMERIC
@ATTRIBUTE att13_err NUMERIC
@ATTRIBUTE att14_err NUMERIC
@ATTRIBUTE att15_err NUMERIC

@DATA
0.429,0.567,0.131,0.129,0.585,0.367,0.474,0.33,0.097,0.076,0.57,0.565,0.199,0.276,0.039
0.109,0.012,0.275,0.045,0.162,0.162,0.107,0.248,0.64,0.074,0.727,0.01,0.207,0.685,0.037
0.548,0.348,0.428,0.243,0.462,0.0,0.07,0.155,0.469,0.045,0.077,0.753,0.585,0.297,0.475
0.19,0.181,0.202,0.191,0.272,0.021,0.193,0.119,0.02,0.099,0.019,0.058,0.153,0.252,0.584
0.481,0.091,0.002,0.064,0.077,0.161,0.746,0.12,0.263,0.423,0.096,0.102,0.071,0.393,0.335
0.103,0.04,0.186,0.58,0.097,0.143,0.003,0.378,0.735,0.167,0.356,0.474,0.585,0.129,0.486
0.14,0.3,0.04,0.238,0.358,0.256,0.203,0.476,0.023,0.071,0.27,0.058,0.34,0.346,0.436
0.864,0.517,0.439,0.07,0.517,0.999,0.441,0.085,0.268,0.659,0.134,0.06,0.01,0.2,0.212
0.307,0.04,0.474,0.009,0.41,0.193,0.206,0.633,0.151,0.177,0.517,0.045,0.348,0.619,0.132
0.6,0.175,0.502,0.191,0.196,0.322,0.247,0.189,0.665,0.435,0.473,0.195,0.264,0.536,0.323
0.081,0.161,0.01,0.463,0.28,0.885,0.031,0.063,0.335,0.06,0.325,0.364,0.304,0.457,0.455
0.049,0.136,0.354,0.159,0.134,0.319,0.847,0.301,0.11,0.154,0.368,0.347,0.022,0.06,0.253
0.152,0.231,0.444,0.066,0.171,0.346,0.079,0.28,0.547,0.806,0.695,0.172,0.22,0.746,0.113
0.01,0.054,0.266,0.093,0.021,0.424,0.599,0.016,0.266,0.055,0.285,0.091,0.295,0.145,0.23
0.237,0.062,0.924,0.256,0.146,0.095,0.296,0.006,0.113,1.01,0.203,0.026,0.299,0.049,0.124
0.006,0.364,0.081,0.15,0.471,0.145,0.89,0.869,0.509,0.339,0.663,0.179,0.933,0.165,0.31
0.256,0.875,0.079,0.234,0.382,0.32,0.042,0.438,0.107,0.595,0.281,0.173,0.274,0.079,0.285
0.034,0.256,0.325,0.168,0.283,0.035,0.913,0.576,0.368,0.207,0.031,0.413,0.277,0.235,0.027
0.399,0.273,0.389,0.271,0.096,0.343,0.09,0.069,0.107,0.033,0.087,0.359,0.49,0.06,0.372
0.028,0.122,0.481,0.02,0.034,0.164,0.048,0.073,0.359,0.365,0.024,0.024,1.041,0.215,0.542
0.157,0.123,0.255,0.2,0.639,0.302,0.803,0.05,0.488,0.178,0.078,0.265,0.118,0.407,0.607
0.366,0.096,0.351,0.005,0.375,0.31,0.036,0.873,0.123,0.134,0.247,0.222,0.213,0.42,0.322
0.549,0.423,0.045,0.128,0.066,0.312,0.188,0.322,0.183,0.743,0.323,0.525,0.445,0.27,0.062
0.286,0.214,0.187,0.085,0.478,0.452,0.168,0.31,0.055,0.687,0.258,0.042,0.13,0.755,0.373
0.803,0.241,0.375,0.531,0.281,0.573,0.242,0.144,0.209,0.208,0.051,0.123,0.026,0.775,0.659
0.132,0.27,0.087,0.389,0.307,0.488,0.153,0.414,0.314,0.078,1.123,0.678,0.299,0.143,0.914
