@RELATION SonyAIBORobotSurface2

@ATTRIBUTE att1_err NUMERIC
@ATTRIBUTE att2_err NUMERIC
@ATTRIBUTE att3_err NUMERIC
@ATTRIBUTE att4_err NUMERIC
@ATTRIBUTE att5_err NUMERIC
@ATTRIBUTE att6_err NUMERIC
@ATTRIBUTE att7_err NUMERIC
@ATTRIBUTE att8_err NUMERIC
@ATTRIBUTE att9_err NUMERIC
@ATTRIBUTE att10_err NUMERIC
@ATTRIBUTE att11_err NUMERIC
@ATTRIBUTE att12_err NUMERIC
@ATTRIBUTE att13_err NUMERIC
@ATTRIBUTE att14_err NUMERIC
@ATTRIBUTE att15_err NUMERIC
@ATTRIBUTE att16_err NUMERIC
@ATTRIBUTE att17_err NUMERIC
@ATTRIBUTE att18_err NUMERIC
@ATTRIBUTE att19_err NUMERIC
@ATTRIBUTE att20_err NUMERIC
@ATTRIBUTE att21_err NUMERIC
@ATTRIBUTE att22_err NUMERIC
@ATTRIBUTE att23_err NUMERIC
@ATTRIBUTE att24_err NUMERIC
@ATTRIBUTE att25_err NUMERIC
@ATTRIBUTE att26_err NUMERIC
@ATTRIBUTE att27_err NUMERIC
@ATTRIBUTE att28_err NUMERIC
@ATTRIBUTE att29_err NUMERIC
@ATTRIBUTE att30_err NUMERIC
@ATTRIBUTE att31_err NUMERIC
@ATTRIBUTE att32_err NUMERIC
@ATTRIBUTE att33_err NUMERIC
@ATTRIBUTE att34_err NUMERIC
@ATTRIBUTE att35_err NUMERIC
@ATTRIBUTE att36_err NUMERIC
@ATTRIBUTE att37_err NUMERIC
@ATTRIBUTE att38_err NUMERIC
@ATTRIBUTE att39_err NUMERIC
@ATTRIBUTE att40_err NUMERIC
@ATTRIBUTE att41_err NUMERIC
@ATTRIBUTE att42_err NUMERIC
@ATTRIBUTE att43_err NUMERIC
@ATTRIBUTE att44_err NUMERIC
@ATTRIBUTE att45_err NUMERIC
@ATTRIBUTE att46_err NUMERIC
@ATTRIBUTE att47_err NUMERIC
@ATTRIBUTE att48_err NUMERIC
@ATTRIBUTE att49_err NUMERIC
@ATTRIBUTE att50_err NUMERIC
@ATTRIBUTE att51_err NUMERIC
@ATTRIBUTE att52_err NUMERIC
@ATTRIBUTE att53_err NUMERIC
@ATTRIBUTE att54_err NUMERIC
@ATTRIBUTE att55_err NUMERIC
@ATTRIBUTE att56_err NUMERIC
@ATTRIBUTE att57_err NUMERIC
@ATTRIBUTE att58_err NUMERIC
@ATTRIBUTE att59_err NUMERIC
@ATTRIBUTE att60_err NUMERIC
@ATTRIBUTE att61_err NUMERIC
@ATTRIBUTE att62_err NUMERIC
@ATTRIBUTE att63_err NUMERIC
@ATTRIBUTE att64_err NUMERIC
@ATTRIBUTE att65_err NUMERIC

@DATA
0.458,0.786,0.177,2.096,0.243,3.4,0.154,3.237,0.594,0.975,4.844,4.579,0.487,1.83,0.22,1.286,0.284,2.257,1.059,1.093,0.216,1.408,1.22,2.743,0.435,2.345,1.259,0.468,0.339,0.178,0.267,0.02,0.123,0.14,0.153,0.129,0.677,0.382,0.075,0.079,0.998,1.914,0.299,0.319,2.391,1.501,0.139,0.097,1.542,0.423,0.813,2.472,2.327,0.567,1.354,1.27,1.049,1.174,1.404,2.919,1.077,0.842,2.393,0.12,0.572
0.005,0.948,0.703,3.066,2.501,0.38,0.004,0.759,1.152,0.587,1.383,3.01,0.18,1.394,0.753,1.007,0.478,0.901,0.972,0.358,0.118,0.333,0.044,0.795,0.15,1.396,0.727,0.112,1.205,0.752,0.343,0.384,0.127,0.315,0.589,0.671,0.0,0.197,0.195,0.381,0.517,0.477,0.979,0.184,1.119,0.023,0.388,0.739,1.479,1.13,1.989,0.142,2.287,0.647,0.411,0.872,0.235,2.603,1.79,3.039,2.167,1.5,0.982,0.108,0.935
0.069,1.112,0.639,0.257,0.187,2.305,0.988,1.141,2.011,0.65,3.589,0.076,1.516,0.388,1.309,1.689,1.463,0.118,0.416,5.22,0.506,1.515,1.565,1.645,1.687,0.421,0.837,0.921,0.401,0.226,0.158,1.128,0.341,0.29,0.466,0.121,0.574,0.174,1.293,0.083,0.594,0.019,0.291,1.336,2.225,1.48,0.057,0.137,1.095,0.905,0.085,1.546,0.154,1.662,0.749,0.575,1.101,1.711,0.425,3.34,2.647,1.78,3.771,0.437,0.452
0.61,0.461,0.594,0.024,2.594,0.799,1.23,0.43,1.046,1.31,0.35,1.929,0.544,1.549,0.53,0.266,1.832,1.237,2.968,2.393,4.034,0.33,0.429,1.944,0.885,1.481,1.004,0.183,0.229,0.083,0.497,0.684,0.256,0.098,0.506,0.466,0.58,0.668,0.3,0.205,0.577,0.632,0.613,0.454,1.034,1.477,0.13,0.018,0.986,2.609,0.828,1.96,0.031,2.976,1.401,5.574,0.625,1.265,4.077,0.885,2.668,2.117,1.272,2.635,0.344
0.312,0.257,0.505,1.663,0.302,0.351,0.28,2.39,0.744,1.33,0.849,1.558,1.637,0.195,1.563,1.069,0.075,0.421,0.265,0.029,2.449,0.86,0.798,0.274,0.173,1.015,3.069,0.838,0.005,0.481,0.012,0.17,0.18,0.535,0.21,0.203,0.326,0.286,0.266,0.536,0.786,0.09,0.11,1.066,0.415,0.013,2.332,0.384,1.238,1.836,3.336,0.972,0.264,1.93,1.777,0.649,0.801,0.85,2.614,3.59,1.833,0.144,1.194,1.115,0.259
0.103,0.357,0.211,0.177,0.714,0.446,0.206,2.494,0.313,1.264,1.396,2.717,0.09,3.397,1.815,0.127,0.969,1.875,0.981,0.135,1.058,0.517,2.051,0.885,0.025,0.803,0.568,1.52,0.801,1.156,0.774,0.481,0.045,0.318,0.372,0.447,0.59,0.248,0.0,0.497,0.479,1.271,0.064,0.741,2.029,0.371,1.048,0.703,0.222,2.569,1.04,0.723,2.17,1.051,0.071,2.126,0.431,0.035,0.414,0.321,0.42,2.44,2.085,0.5,1.217
0.276,0.636,0.279,0.292,0.885,0.177,0.472,2.811,2.146,0.272,3.766,2.314,2.076,0.232,0.764,1.534,1.472,0.859,0.397,0.191,5.043,1.231,0.729,0.875,0.015,0.046,0.663,0.958,0.453,0.457,1.321,0.757,0.028,0.213,0.361,0.238,0.206,0.329,0.19,0.791,0.986,0.86,0.471,1.594,0.259,1.185,0.09,1.31,0.831,1.233,4.581,0.648,1.19,1.394,0.995,0.688,0.588,0.654,0.774,1.156,1.088,0.329,0.616,0.558,0.357
0.529,0.322,0.229,2.227,2.401,1.501,1.427,0.882,0.072,0.654,2.164,0.462,0.184,4.645,3.581,1.732,0.162,1.631,0.441,0.566,2.7,0.689,0.878,3.336,0.994,1.208,1.076,1.397,0.994,0.61,0.335,0.221,0.746,0.367,0.365,0.001,0.293,0.395,0.529,0.765,0.9,0.43,1.139,0.497,0.419,0.894,0.418,0.564,0.072,5.296,1.84,0.494,0.296,0.131,0.265,0.487,2.871,0.415,0.943,0.965,1.276,0.52,2.738,0.728,0.056
0.727,0.054,0.482,1.861,1.401,2.606,0.115,0.91,0.495,0.768,0.98,2.232,0.055,2.254,1.301,0.876,1.108,0.603,2.751,2.025,1.107,2.385,0.372,0.081,0.835,0.545,0.669,0.953,0.505,0.342,0.365,0.252,0.398,0.248,0.769,0.056,0.134,0.221,0.358,0.07,0.217,0.465,0.608,0.736,0.842,0.589,0.875,0.108,0.736,1.019,3.447,0.925,2.883,0.166,1.075,0.377,0.353,0.667,0.679,0.649,2.73,1.554,0.964,1.057,0.512
0.405,0.38,0.86,0.453,0.065,1.152,0.421,0.64,1.091,0.329,0.247,0.108,1.155,0.194,2.644,1.453,2.464,0.118,0.291,1.91,1.681,1.845,0.878,0.278,0.822,0.864,0.616,1.303,1.198,1.051,0.004,0.528,0.035,0.06,0.537,0.06,0.809,0.207,0.254,1.108,0.094,0.509,0.134,0.133,0.021,0.979,0.102,1.356,0.948,4.071,1.002,2.79,2.336,0.45,0.593,0.39,1.156,1.396,0.638,2.792,2.42,1.266,2.456,1.123,0.347
