@RELATION ItalyPowerDemand

@ATTRIBUTE att1_err NUMERIC
@ATTRIBUTE att2_err NUMERIC
@ATTRIBUTE att3_err NUMERIC
@ATTRIBUTE att4_err NUMERIC
@ATTRIBUTE att5_err NUMERIC
@ATTRIBUTE att6_err NUMERIC
@ATTRIBUTE att7_err NUMERIC
@ATTRIBUTE att8_err NUMERIC
@ATTRIBUTE att9_err NUMERIC
@ATTRIBUTE att10_err NUMERIC
@ATTRIBUTE att11_err NUMERIC
@ATTRIBUTE att12_err NUMERIC
@ATTRIBUTE att13_err NUMERIC
@ATTRIBUTE att14_err NUMERIC
@ATTRIBUTE att15_err NUMERIC
@ATTRIBUTE att16_err NUMERIC
@ATTRIBUTE att17_err NUMERIC
@ATTRIBUTE att18_err NUMERIC
@ATTRIBUTE att19_err NUMERIC
@ATTRIBUTE att20_err NUMERIC
@ATTRIBUTE att21_err NUMERIC
@ATTRIBUTE att22_err NUMERIC
@ATTRIBUTE att23_err NUMERIC
@ATTRIBUTE att24_err NUMERIC

@DATA
0.636,0.453,0.495,0.268,0.17,0.002,0.366,0.087,0.096,0.193,0.295,0.034,0.255,0.417,0.421,0.569,0.176,0.267,0.339,0.288,0.568,1.189,0.464,0.851
0.05,0.529,0.107,0.087,0.12,0.341,0.239,0.487,0.32,0.185,0.672,0.682,0.281,0.089,0.094,0.099,1.063,0.664,0.56,0.532,0.34,1.231,1.394,0.426
0.597,0.147,0.623,0.926,0.284,0.077,0.515,1.019,1.082,0.507,1.059,0.007,0.239,0.197,0.187,1.322,0.533,0.177,1.691,0.059,1.024,0.268,0.51,0.229
0.123,0.802,0.761,0.1,0.369,0.016,0.112,0.835,1.787,0.015,0.085,0.24,0.6,0.164,0.041,0.158,0.438,0.797,0.229,1.45,1.204,1.023,0.669,0.795
0.298,0.173,0.061,0.232,0.105,0.274,0.052,0.909,0.519,0.069,0.645,0.584,0.002,0.482,0.602,0.743,0.356,0.676,0.184,0.001,0.093,0.174,0.276,0.594
0.601,0.127,0.487,0.204,0.002,0.358,0.16,0.306,0.802,0.136,0.847,0.595,0.184,0.086,0.363,0.907,0.339,1.391,0.044,1.301,1.726,0.939,1.118,1.052
0.502,0.773,0.251,0.285,0.413,0.37,0.16,0.939,0.119,0.838,0.044,0.26,0.424,0.122,0.31,0.588,1.051,0.409,0.832,0.496,1.776,0.705,0.645,0.569
0.391,0.004,0.31,0.277,0.711,0.076,0.055,0.663,0.073,0.512,0.219,1.029,0.414,0.227,0.533,0.8,0.249,0.66,0.275,0.167,0.402,0.041,0.393,0.603
0.687,0.363,0.212,0.176,0.026,0.24,0.472,1.059,0.974,0.021,0.138,0.287,0.055,0.187,0.47,0.243,0.466,0.126,0.194,1.188,0.509,0.29,1.123,0.441
1.048,1.619,0.009,0.585,0.64,0.03,0.362,0.079,0.153,0.851,1.184,0.103,0.145,0.324,0.069,0.32,0.05,0.685,0.702,0.421,0.147,1.741,0.377,1.842
0.312,1.095,0.008,0.544,0.26,0.221,0.252,0.511,1.087,0.578,0.632,0.381,0.229,0.198,0.642,0.885,0.908,0.275,0.001,0.217,0.665,0.726,0.099,0.638
0.12,1.143,0.14,0.032,0.802,0.554,0.324,0.023,0.43,0.093,0.999,0.002,0.298,0.039,0.29,0.33,0.118,0.342,1.074,1.135,0.074,1.133,0.474,0.174
1.592,0.1,0.486,0.07,0.552,0.44,0.017,0.211,0.982,2.091,0.915,0.084,0.335,0.901,0.323,0.533,0.168,0.488,0.006,0.664,1.356,0.465,0.811,0.222
0.705,0.926,0.002,0.095,0.214,0.158,0.014,0.883,0.473,0.28,0.073,0.329,0.239,0.527,0.597,0.161,0.363,0.232,0.216,1.578,0.937,0.405,0.492,0.821
0.184,0.46,0.434,0.247,0.08,0.19,0.069,0.351,0.037,1.207,0.212,0.36,0.129,0.504,0.692,0.657,0.604,0.665,0.71,0.696,0.39,0.677,0.387,1.099
1.871,0.055,0.157,0.418,0.118,0.068,0.419,1.292,0.36,0.956,0.09,0.153,0.471,0.633,0.13,0.016,0.047,0.299,0.215,0.316,1.075,0.51,0.964,0.728
1.042,0.132,0.008,0.147,0.108,0.119,0.024,0.942,0.802,0.073,0.288,0.264,0.615,0.31,0.457,0.28,0.71,0.72,0.226,0.592,0.198,0.23,0.697,0.332
1.203,0.305,0.41,0.424,0.137,0.559,0.159,0.683,0.662,1.004,0.457,0.577,0.222,0.038,0.721,0.093,0.365,0.652,0.598,0.183,1.288,0.585,0.844,0.249
0.315,0.058,0.314,0.135,0.07,0.126,0.079,0.366,1.283,0.357,0.451,0.356,0.357,0.149,0.439,0.831,0.519,1.189,1.012,0.363,0.803,1.531,0.916,0.114
0.938,0.08,0.361,0.772,0.66,0.367,0.769,0.319,1.042,0.033,0.189,0.611,0.246,0.447,0.695,0.159,0.688,1.09,0.21,0.134,0.326,0.685,0.667,0.875
0.484,0.922,0.324,0.667,0.493,0.527,0.618,0.456,0.405,0.961,0.081,0.877,0.085,0.172,1.032,0.586,0.431,0.634,1.853,0.016,0.031,0.44,1.022,0.778
0.16,0.591,0.2,0.149,0.125,0.003,0.115,0.028,0.324,0.43,0.129,0.344,0.223,0.24,0.401,0.246,0.736,0.674,0.683,0.042,0.077,0.635,0.479,1.371
0.557,0.602,0.176,0.285,0.293,0.072,0.219,1.113,0.122,0.392,0.206,0.189,0.343,0.376,0.378,0.33,0.121,0.057,1.133,0.246,0.667,0.069,0.481,0.897
0.212,0.034,0.168,0.574,0.051,0.018,0.284,0.461,0.202,0.325,1.224,0.001,0.39,0.088,0.184,0.325,0.439,0.627,0.17,0.141,0.413,0.892,0.409,0.616
0.402,0.457,0.019,0.004,0.19,0.085,0.171,0.254,0.758,0.158,0.316,1.025,0.433,0.033,0.605,0.438,1.189,0.274,0.035,0.213,0.81,0.26,1.502,0.281
0.932,0.687,0.52,0.602,0.118,0.25,0.319,0.444,0.516,0.009,0.334,0.124,0.171,0.268,0.296,0.605,0.66,1.482,0.089,0.319,0.143,0.384,0.252,1.262
0.156,0.668,0.287,0.252,0.373,0.052,0.451,0.195,1.084,0.807,1.375,0.229,0.037,0.394,0.538,0.388,0.316,1.256,0.03,1.04,1.33,0.614,1.187,0.467
0.875,0.135,0.959,0.59,0.589,0.121,0.234,0.232,0.145,0.092,0.145,0.225,0.593,0.245,0.065,0.057,0.064,1.105,1.213,0.104,0.786,0.392,0.824,0.255
0.005,0.562,0.842,0.421,0.068,0.333,0.666,0.437,0.128,0.191,0.173,0.864,0.363,0.642,1.144,0.14,0.055,0.239,0.374,0.067,1.297,1.278,0.492,0.578
1.28,0.16,0.558,0.366,0.295,0.112,0.175,0.439,0.528,0.672,0.022,0.572,0.194,0.307,0.493,0.368,0.143,0.496,0.975,0.191,0.602,0.346,0.513,0.045
0.511,0.203,0.486,0.179,0.005,0.374,0.079,0.668,1.762,0.472,0.202,0.008,0.282,0.036,0.367,0.743,0.76,0.58,0.236,1.224,0.961,1.195,0.792,1.359
0.003,0.806,0.287,0.329,0.146,0.076,0.283,0.527,0.935,1.282,0.032,0.63,0.409,0.542,0.38,0.56,0.257,0.106,0.712,0.238,0.059,1.093,1.124,0.704
0.172,0.062,0.034,0.31,0.274,0.161,0.427,0.278,0.756,0.763,0.759,1.142,0.519,0.024,0.789,1.005,0.061,0.128,0.623,0.052,0.017,0.134,0.374,0.882
0.378,0.559,0.573,0.386,0.288,0.174,0.815,0.559,0.065,1.072,0.126,0.363,0.125,0.597,0.141,0.396,0.572,0.53,0.938,0.173,0.841,0.039,0.516,1.168
0.014,0.955,0.018,0.278,0.043,0.671,0.295,0.499,0.204,1.908,0.169,0.112,0.374,0.135,0.509,0.093,0.194,0.015,0.435,0.149,1.773,0.275,1.858,2.317
0.127,0.075,0.007,0.313,0.072,0.321,0.814,0.107,0.366,1.169,0.335,0.206,0.024,0.246,0.677,0.967,0.643,1.185,1.045,1.617,0.95,0.954,1.627,0.07
0.985,0.739,0.127,0.448,0.397,0.148,0.494,0.384,1.564,0.297,0.562,0.319,0.439,0.234,0.143,0.258,0.158,0.19,0.107,0.615,0.155,0.738,0.844,0.943
0.179,0.568,0.166,0.572,0.205,0.73,0.31,0.395,0.495,0.554,0.058,0.449,0.057,0.027,0.951,0.38,0.169,0.348,1.648,0.512,1.412,0.206,0.163,0.192
1.082,0.519,0.681,0.059,0.202,0.343,0.414,0.368,0.903,0.832,0.076,0.547,0.334,0.439,0.86,0.519,0.241,0.194,0.827,0.643,1.222,0.675,0.649,0.736
1.792,0.321,0.248,0.215,0.461,0.202,0.424,1.107,0.384,0.065,0.447,0.386,0.263,0.025,0.246,0.479,0.55,0.777,0.882,1.677,0.49,0.301,0.738,0.449
0.64,0.777,0.011,0.194,0.055,0.4,0.61,0.527,0.073,1.121,0.624,0.028,0.127,0.338,0.54,0.08,0.567,0.24,0.69,0.748,0.067,1.535,0.288,0.166
0.562,0.493,0.146,0.116,0.154,0.114,0.657,0.616,0.961,1.454,0.206,0.273,0.313,0.205,0.01,0.544,0.386,0.894,0.935,1.029,0.068,0.12,0.204,0.405
0.147,0.525,0.147,0.158,0.182,0.059,0.194,0.125,0.406,1.084,0.998,0.268,0.538,0.438,0.593,0.3,0.507,0.244,1.313,0.025,0.687,0.658,0.114,1.16
0.929,0.425,0.739,0.771,0.223,0.005,0.435,0.061,0.521,0.156,0.054,0.091,0.372,0.203,0.749,0.217,0.641,0.292,0.887,0.209,0.538,0.668,0.426,0.867
0.158,0.248,0.259,0.043,0.341,0.43,0.04,0.937,0.697,0.194,0.586,0.763,0.568,0.177,1.021,0.238,0.46,0.743,0.623,1.351,0.47,0.829,1.029,1.242
