@RELATION UMD

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE att4 NUMERIC
@ATTRIBUTE att5 NUMERIC
@ATTRIBUTE att6 NUMERIC
@ATTRIBUTE att7 NUMERIC
@ATTRIBUTE att8 NUMERIC
@ATTRIBUTE att9 NUMERIC
@ATTRIBUTE att10 NUMERIC
@ATTRIBUTE att11 NUMERIC
@ATTRIBUTE att12 NUMERIC
@ATTRIBUTE att13 NUMERIC
@ATTRIBUTE att14 NUMERIC
@ATTRIBUTE att15 NUMERIC
@ATTRIBUTE att16 NUMERIC
@ATTRIBUTE att17 NUMERIC
@ATTRIBUTE att18 NUMERIC
@ATTRIBUTE att19 NUMERIC
@ATTRIBUTE att20 NUMERIC
@ATTRIBUTE att21 NUMERIC
@ATTRIBUTE att22 NUMERIC
@ATTRIBUTE att23 NUMERIC
@ATTRIBUTE att24 NUMERIC
@ATTRIBUTE att25 NUMERIC
@ATTRIBUTE att26 NUMERIC
@ATTRIBUTE att27 NUMERIC
@ATTRIBUTE att28 NUMERIC
@ATTRIBUTE att29 NUMERIC
@ATTRIBUTE att30 NUMERIC
@ATTRIBUTE att31 NUMERIC
@ATTRIBUTE att32 NUMERIC
@ATTRIBUTE att33 NUMERIC
@ATTRIBUTE att34 NUMERIC
@ATTRIBUTE att35 NUMERIC
@ATTRIBUTE att36 NUMERIC
@ATTRIBUTE att37 NUMERIC
@ATTRIBUTE att38 NUMERIC
@ATTRIBUTE att39 NUMERIC
@ATTRIBUTE att40 NUMERIC
@ATTRIBUTE att41 NUMERIC
@ATTRIBUTE att42 NUMERIC
@ATTRIBUTE att43 NUMERIC
@ATTRIBUTE att44 NUMERIC
@ATTRIBUTE att45 NUMERIC
@ATTRIBUTE att46 NUMERIC
@ATTRIBUTE att47 NUMERIC
@ATTRIBUTE att48 NUMERIC
@ATTRIBUTE att49 NUMERIC
@ATTRIBUTE att50 NUMERIC
@ATTRIBUTE att51 NUMERIC
@ATTRIBUTE att52 NUMERIC
@ATTRIBUTE att53 NUMERIC
@ATTRIBUTE att54 NUMERIC
@ATTRIBUTE att55 NUMERIC
@ATTRIBUTE att56 NUMERIC
@ATTRIBUTE att57 NUMERIC
@ATTRIBUTE att58 NUMERIC
@ATTRIBUTE att59 NUMERIC
@ATTRIBUTE att60 NUMERIC
@ATTRIBUTE att61 NUMERIC
@ATTRIBUTE att62 NUMERIC
@ATTRIBUTE att63 NUMERIC
@ATTRIBUTE att64 NUMERIC
@ATTRIBUTE att65 NUMERIC
@ATTRIBUTE att66 NUMERIC
@ATTRIBUTE att67 NUMERIC
@ATTRIBUTE att68 NUMERIC
@ATTRIBUTE att69 NUMERIC
@ATTRIBUTE att70 NUMERIC
@ATTRIBUTE att71 NUMERIC
@ATTRIBUTE att72 NUMERIC
@ATTRIBUTE att73 NUMERIC
@ATTRIBUTE att74 NUMERIC
@ATTRIBUTE att75 NUMERIC
@ATTRIBUTE att76 NUMERIC
@ATTRIBUTE att77 NUMERIC
@ATTRIBUTE att78 NUMERIC
@ATTRIBUTE att79 NUMERIC
@ATTRIBUTE att80 NUMERIC
@ATTRIBUTE att81 NUMERIC
@ATTRIBUTE att82 NUMERIC
@ATTRIBUTE att83 NUMERIC
@ATTRIBUTE att84 NUMERIC
@ATTRIBUTE att85 NUMERIC
@ATTRIBUTE att86 NUMERIC
@ATTRIBUTE att87 NUMERIC
@ATTRIBUTE att88 NUMERIC
@ATTRIBUTE att89 NUMERIC
@ATTRIBUTE att90 NUMERIC
@ATTRIBUTE att91 NUMERIC
@ATTRIBUTE att92 NUMERIC
@ATTRIBUTE att93 NUMERIC
@ATTRIBUTE att94 NUMERIC
@ATTRIBUTE att95 NUMERIC
@ATTRIBUTE att96 NUMERIC
@ATTRIBUTE att97 NUMERIC
@ATTRIBUTE att98 NUMERIC
@ATTRIBUTE att99 NUMERIC
@ATTRIBUTE att100 NUMERIC
@ATTRIBUTE att101 NUMERIC
@ATTRIBUTE att102 NUMERIC
@ATTRIBUTE att103 NUMERIC
@ATTRIBUTE att104 NUMERIC
@ATTRIBUTE att105 NUMERIC
@ATTRIBUTE att106 NUMERIC
@ATTRIBUTE att107 NUMERIC
@ATTRIBUTE att108 NUMERIC
@ATTRIBUTE att109 NUMERIC
@ATTRIBUTE att110 NUMERIC
@ATTRIBUTE att111 NUMERIC
@ATTRIBUTE att112 NUMERIC
@ATTRIBUTE att113 NUMERIC
@ATTRIBUTE att114 NUMERIC
@ATTRIBUTE att115 NUMERIC
@ATTRIBUTE att116 NUMERIC
@ATTRIBUTE att117 NUMERIC
@ATTRIBUTE att118 NUMERIC
@ATTRIBUTE att119 NUMERIC
@ATTRIBUTE att120 NUMERIC
@ATTRIBUTE att121 NUMERIC
@ATTRIBUTE att122 NUMERIC
@ATTRIBUTE att123 NUMERIC
@ATTRIBUTE att124 NUMERIC
@ATTRIBUTE att125 NUMERIC
@ATTRIBUTE att126 NUMERIC
@ATTRIBUTE att127 NUMERIC
@ATTRIBUTE att128 NUMERIC
@ATTRIBUTE att129 NUMERIC
@ATTRIBUTE att130 NUMERIC
@ATTRIBUTE att131 NUMERIC
@ATTRIBUTE att132 NUMERIC
@ATTRIBUTE att133 NUMERIC
@ATTRIBUTE att134 NUMERIC
@ATTRIBUTE att135 NUMERIC
@ATTRIBUTE att136 NUMERIC
@ATTRIBUTE att137 NUMERIC
@ATTRIBUTE att138 NUMERIC
@ATTRIBUTE att139 NUMERIC
@ATTRIBUTE att140 NUMERIC
@ATTRIBUTE att141 NUMERIC
@ATTRIBUTE att142 NUMERIC
@ATTRIBUTE att143 NUMERIC
@ATTRIBUTE att144 NUMERIC
@ATTRIBUTE att145 NUMERIC
@ATTRIBUTE att146 NUMERIC
@ATTRIBUTE att147 NUMERIC
@ATTRIBUTE att148 NUMERIC
@ATTRIBUTE att149 NUMERIC
@ATTRIBUTE att150 NUMERIC
@ATTRIBUTE target {1.0, 2.0, 3.0}

@DATA
0.059,0.034,0.039,-0.01,0.022,0.047,0.024,0.005,0.009,0.031,0.022,0.03,0.019,0.068,0.009,0.043,-0.065,-0.386,0.666,0.634,-0.394,0.794,1.215,1.227,1.777,1.684,0.833,0.151,0.094,0.067,0.087,0.244,0.085,0.014,0.047,0.038,0.015,-0.007,0.036,0.002,0.031,-0.043,-0.019,0.22,0.057,0.248,-0.15,-0.319,-0.637,-0.942,-0.771,0.807,-2.012,0.646,-0.316,-1.607,-2.161,-1.307,-2.115,-1.138,-2.12,-2.541,-2.037,-0.387,0.574,-1.195,-0.413,-1.395,-1.738,3.502,1.953,-2.304,4.844,-0.851,-0.347,-0.965,-2.332,2.499,-0.865,-0.802,-0.946,2.114,1.75,-0.834,-3.308,-1.076,-3.396,-0.378,-0.033,-0.738,-1.271,3.619,-4.466,-0.317,0.664,-0.229,-0.496,-1.239,-3.724,-0.132,-1.772,-0.973,-1.926,4.749,-0.202,-2.07,-0.299,0.138,-0.327,1.07,0.004,-0.274,0.151,0.1,0.037,-0.64,0.154,0.055,0.61,-0.099,0.054,-3.237,-0.069,-0.694,-0.221,0.043,-1.318,-0.48,-1.228,-0.266,0.081,0.05,0.042,-0.009,0.036,0.06,0.035,0.009,0.092,0.031,0.019,0.047,0.066,0.073,0.09,0.048,0.025,0.042,0.022,0.042,1.0
0.061,0.038,0.053,0.058,0.007,0.055,0.068,0.048,0.051,0.068,0.033,-0.08,0.005,0.02,0.065,0.035,0.025,0.04,-1.008,0.375,0.43,2.924,3.608,0.877,0.838,1.081,1.649,0.847,0.681,0.121,0.561,0.029,0.129,0.071,0.031,0.011,0.002,0.05,0.002,0.059,-0.006,0.088,0.038,0.233,-0.036,-0.237,-0.017,-0.228,0.143,-1.883,0.045,-1.037,-1.501,-1.965,-0.832,-1.616,0.312,-1.787,4.651,-1.386,-1.788,-1.87,-6.699,-1.521,-0.359,-0.725,1.433,-1.58,-2.665,0.239,0.171,4.352,-0.77,0.424,-2.124,-1.513,-1.408,-1.543,-1.558,-1.569,-1.293,-0.416,-0.854,-1.513,-2.255,0.513,-0.998,0.062,-0.489,-0.06,-1.123,-2.547,-1.073,-1.369,-1.632,-1.666,-4.783,-1.512,-1.533,-1.456,-0.915,-1.31,-1.348,-1.204,-1.183,-1.246,0.266,-1.326,-2.026,-1.097,-1.712,-1.153,-0.314,-0.102,0.061,-0.469,-0.257,-0.006,0.3,0.067,0.016,0.11,-0.238,-0.659,0.455,-0.382,0.131,-0.556,-0.05,-0.499,0.028,0.019,0.055,0.034,0.032,0.011,0.01,0.065,0.02,0.036,0.04,0.028,0.018,0.001,0.017,0.013,0.0,0.052,0.028,0.004,1.0
0.036,0.101,0.06,0.052,0.022,0.039,0.023,0.046,0.054,0.054,0.027,0.015,0.031,0.007,-0.006,-0.092,0.038,0.149,0.863,0.996,0.836,1.037,1.485,2.299,0.759,1.016,0.955,-0.127,-0.119,0.246,0.047,0.11,0.004,0.025,-0.019,0.049,0.02,0.021,0.036,-0.021,0.008,0.002,0.021,0.151,0.007,0.169,0.092,0.218,0.4,-0.038,-0.643,-0.1,-0.094,-0.145,-1.895,-0.521,-0.994,-1.219,0.403,-2.696,0.785,-0.646,-2.777,-1.053,-0.76,-0.894,-0.125,-0.716,-0.764,-1.201,-0.878,-6.247,-0.336,-1.443,-1.019,-2.029,-0.715,-1.635,1.258,-1.948,-0.742,2.519,-1.009,-0.382,-1.614,-1.016,-0.721,-2.107,2.699,-1.854,-2.677,-1.071,-0.863,-0.324,-1.482,-0.329,-1.089,-0.315,-1.97,-1.749,-2.715,1.094,-0.051,-0.324,0.127,-0.676,-0.019,0.052,-0.033,1.28,0.003,-0.132,0.832,-0.029,0.088,0.332,0.212,-0.179,0.032,0.466,0.21,0.868,-0.046,0.172,-0.202,-0.025,-0.477,0.047,0.522,-0.4,0.011,-0.608,0.416,-0.023,-0.06,0.018,0.022,0.036,0.036,0.036,0.008,0.057,-0.003,0.033,0.009,0.025,0.021,-0.097,0.057,0.061,1.0
0.023,0.026,0.033,0.035,0.057,0.008,0.052,-0.035,0.047,0.04,0.034,0.028,0.024,0.014,0.023,0.044,0.19,-0.197,-0.726,-0.11,0.03,0.547,0.413,-0.474,-0.151,0.358,-0.017,0.051,0.041,0.025,0.033,0.015,0.119,-0.005,0.05,0.034,-0.004,0.027,0.01,0.018,0.024,0.043,0.039,0.145,0.03,-0.013,0.32,0.302,0.182,-0.224,0.019,-0.419,1.381,-1.054,0.323,0.763,0.13,2.885,-0.311,-0.443,-0.931,-0.566,-2.816,-0.496,0.248,1.045,-3.326,0.215,-0.726,-1.246,-0.178,0.754,-0.724,-0.844,-0.802,-1.996,-4.04,-1.759,-0.046,-0.703,-0.73,0.84,1.073,-1.2,-1.087,-0.85,-0.934,-1.807,-0.767,-0.617,-1.533,0.109,-0.714,-1.426,-1.161,1.258,-0.804,-0.293,-0.062,-0.784,-0.339,-1.858,0.019,-0.65,-0.045,1.145,-0.019,-1.38,-0.518,0.017,-2.407,0.053,1.559,0.468,0.23,0.042,-0.01,0.037,0.953,0.056,-0.054,-0.377,1.296,0.891,0.879,0.639,0.696,0.786,0.522,-0.75,0.055,0.028,0.045,-0.019,0.117,0.042,0.076,0.093,0.039,0.017,0.026,0.013,0.044,-0.007,0.056,0.021,0.108,0.011,0.031,-0.023,1.0
0.023,0.005,0.034,0.036,-0.034,0.033,0.021,0.047,0.039,0.046,0.041,0.017,0.021,0.028,0.036,0.007,0.006,-0.374,-0.378,0.026,-0.709,0.366,0.091,-0.186,-0.014,0.091,-0.42,0.211,-0.034,-0.013,-0.138,0.042,0.019,0.019,0.042,0.045,0.044,0.006,0.036,0.036,0.02,0.057,-0.017,0.27,0.071,-0.276,-0.029,0.029,0.013,0.113,0.157,-0.154,0.09,-0.407,-0.713,0.351,-1.809,-1.244,-0.318,-0.792,-3.172,-4.231,-1.956,-3.068,-0.914,0.798,-0.661,-0.86,-0.095,-1.135,-1.534,-2.035,-1.732,-2.724,-0.456,-1.206,-2.221,-0.064,-1.894,-1.342,-1.145,-1.052,0.962,-1.516,-0.891,-0.806,-1.036,-4.648,-1.722,-0.064,-1.195,-1.255,-2.053,-1.66,-1.279,-2.616,-1.137,-1.173,-0.703,-1.226,-1.418,-1.843,-1.332,-1.019,-1.43,-1.811,-1.347,-1.646,-0.642,-0.786,-1.29,-0.332,-0.105,0.645,-0.724,0.041,0.06,0.02,0.081,-0.169,0.435,0.344,0.958,-0.163,0.762,1.536,-1.533,0.475,1.152,-0.005,-0.021,0.027,0.025,-0.033,0.07,0.033,0.018,-0.025,0.007,0.014,0.125,0.045,0.019,0.014,-0.022,0.046,0.061,0.034,0.018,0.06,1.0
0.015,0.013,0.035,-0.028,0.042,0.046,0.03,-0.006,-0.0,-0.025,0.082,0.05,0.029,0.028,0.021,0.049,0.116,-0.405,-0.35,-0.014,0.578,-0.368,-0.622,0.012,-0.032,0.819,-0.031,0.073,-0.099,-0.115,-0.006,0.141,0.1,0.024,0.023,0.033,0.053,0.042,0.012,-0.02,0.04,0.027,-0.038,-0.018,-0.279,-0.092,-0.006,0.07,-0.745,-0.349,0.305,-0.33,-0.316,-1.579,-5.97,-0.817,1.846,-3.007,-1.114,-1.091,-0.752,0.099,-2.264,-0.933,-2.313,-0.994,-1.162,-2.324,-1.191,-3.34,-5.376,-1.651,-1.788,-1.96,0.95,-1.542,-0.218,-3.445,-0.133,0.202,0.078,-0.855,-0.964,-3.037,-1.211,-1.517,-2.508,-0.689,-2.202,0.633,-2.914,-4.862,-3.678,-0.991,-1.263,-3.099,-0.051,0.501,-0.072,-0.76,-1.39,-2.193,-1.249,-1.905,-1.878,-1.561,-1.329,-2.931,-1.252,-1.21,-0.76,-2.43,-1.669,-0.431,-1.502,-0.355,-0.163,-0.124,-0.078,0.746,0.104,0.487,0.23,-0.813,1.002,1.438,1.201,0.655,-0.205,-0.266,-0.202,0.041,0.239,0.046,0.021,0.0,0.009,0.005,0.011,0.001,0.017,0.012,0.036,0.056,0.039,0.033,0.015,0.07,-0.008,0.052,1.0
0.05,0.053,0.015,0.051,0.008,0.026,0.028,0.012,0.022,0.046,0.081,0.052,0.029,0.036,0.136,0.029,0.106,0.436,0.9,0.719,2.554,1.932,0.691,1.935,0.848,0.874,0.816,0.775,-0.33,0.078,0.027,0.087,0.027,0.025,0.009,0.01,0.058,-0.004,0.023,0.06,0.016,0.024,0.113,-0.146,0.056,0.021,0.109,0.574,0.725,1.434,1.683,-5.655,0.162,0.905,1.412,0.381,-1.551,3.041,5.849,3.022,-0.177,-1.547,-0.348,1.478,2.675,1.638,1.292,0.739,-3.092,0.898,4.073,-1.083,0.566,2.336,2.214,0.808,-6.05,3.081,1.362,-2.239,0.975,-0.632,1.082,0.207,0.976,1.056,1.566,1.0,0.875,1.503,1.543,-0.16,1.821,1.083,0.84,0.611,1.518,1.166,-0.034,0.814,1.381,0.094,-0.368,1.155,0.888,1.734,0.81,0.457,1.776,-1.001,-0.257,-0.049,0.574,0.532,-0.263,-0.363,-0.077,0.017,0.215,0.113,0.038,0.199,-0.364,0.826,-1.044,0.573,-0.337,-0.284,0.164,0.919,-0.075,-0.297,0.011,-0.045,0.066,-0.084,0.002,0.01,0.051,0.045,0.057,0.031,0.017,-0.037,0.065,0.008,-0.009,0.011,-0.012,-0.009,1.0
0.075,-0.013,0.026,0.027,0.036,0.016,0.026,0.02,0.054,0.054,-0.028,0.024,0.03,0.03,0.044,-0.0,-0.038,0.291,-0.244,0.068,-0.328,-1.547,0.36,-0.645,-0.195,0.707,0.292,0.207,1.072,1.026,0.425,0.381,0.102,0.051,0.045,0.062,0.012,0.02,0.015,0.025,0.043,0.135,0.019,0.042,-0.081,-0.015,0.406,-0.83,2.14,-0.47,0.639,-0.54,1.02,0.821,4.717,1.253,1.107,1.063,0.775,2.296,1.799,0.996,4.964,-1.009,5.47,2.19,1.409,3.235,1.407,0.676,0.477,0.746,1.513,1.264,2.0,0.539,0.925,1.031,3.656,0.657,1.021,0.98,1.528,2.479,0.337,0.774,0.349,1.26,0.818,-0.917,1.174,0.324,-0.759,3.835,1.942,1.574,0.606,0.301,0.542,-0.626,0.736,-0.156,0.86,1.195,0.823,3.154,1.0,2.241,1.313,2.18,0.4,1.793,0.101,0.629,0.346,0.127,0.149,-0.241,0.288,0.027,0.018,-0.557,-0.278,0.14,0.009,0.411,0.045,0.063,-0.018,-0.972,0.124,0.055,0.07,0.129,0.068,0.13,0.005,0.015,-0.003,0.025,0.045,0.042,-0.005,0.032,0.002,0.052,0.042,0.053,-0.015,0.061,1.0
0.005,0.061,0.0,-0.007,0.028,0.004,-0.029,0.023,0.039,0.067,0.006,-0.012,0.019,-0.002,-0.002,0.021,-0.005,0.134,0.588,0.253,1.138,1.084,0.826,0.552,0.638,0.296,-0.65,-0.015,-0.407,0.03,0.019,0.004,-0.035,0.058,0.06,0.04,0.074,0.059,0.003,0.012,0.023,-0.025,-0.058,0.015,0.223,-0.164,-0.606,-0.195,-0.006,0.45,-1.052,1.39,-0.152,0.774,-0.529,-0.97,-0.805,0.968,1.054,0.547,2.62,0.646,1.039,-0.869,1.511,0.969,3.642,0.732,0.38,1.208,1.504,3.279,2.282,1.099,1.454,-0.48,3.154,1.05,-0.164,-1.985,1.679,-0.912,3.452,-0.363,1.214,1.566,0.438,0.125,0.825,1.208,0.799,1.061,-1.963,1.064,1.107,0.385,1.835,1.042,0.682,1.817,0.217,1.084,1.028,0.735,1.094,0.818,1.105,0.893,0.033,0.159,-0.13,0.149,0.053,0.821,0.017,-0.015,0.438,0.039,0.004,0.567,-0.002,-1.143,-0.093,0.414,-0.518,0.129,1.088,-0.937,0.11,-0.121,-0.108,0.037,0.086,0.126,0.05,0.037,0.055,0.013,0.032,-0.017,0.046,0.028,0.046,0.034,0.015,-0.006,0.065,-0.001,0.087,0.002,1.0
0.002,0.052,0.0,0.033,0.048,0.042,0.006,0.03,0.01,0.077,0.004,0.069,0.037,0.013,0.066,0.065,-0.217,-0.051,0.012,-0.453,-0.287,-0.275,-0.048,0.184,2.13,1.085,-0.46,0.054,-0.043,-0.005,0.056,0.005,-0.019,0.002,0.11,0.022,0.065,0.014,0.042,0.055,0.07,0.026,0.04,0.241,0.041,-0.689,-0.024,0.228,0.079,0.032,0.381,0.855,-0.307,0.404,0.145,0.805,3.497,1.477,-1.123,2.406,0.689,4.467,2.644,5.926,0.459,1.173,-0.889,1.591,1.883,0.496,0.678,0.359,-2.23,1.096,0.186,1.526,0.981,2.365,1.756,4.797,1.12,1.693,0.921,-0.952,7.427,-1.102,3.505,0.281,1.183,-0.915,2.812,1.373,0.599,2.805,1.111,1.183,1.047,0.385,-3.52,2.602,-4.171,1.047,-0.533,0.784,1.162,1.772,3.604,-0.041,0.146,-0.765,-1.707,-0.231,-1.123,0.247,0.059,0.548,0.405,0.487,0.845,1.184,1.261,1.243,0.628,1.341,1.07,0.797,0.528,0.993,0.825,0.322,0.667,0.162,0.061,0.055,0.0,0.009,0.033,0.003,-0.011,0.01,0.01,0.019,0.02,0.022,0.014,-0.0,0.039,0.059,0.015,0.034,1.0
