@RELATION SmoothSubspace

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE att4 NUMERIC
@ATTRIBUTE att5 NUMERIC
@ATTRIBUTE att6 NUMERIC
@ATTRIBUTE att7 NUMERIC
@ATTRIBUTE att8 NUMERIC
@ATTRIBUTE att9 NUMERIC
@ATTRIBUTE att10 NUMERIC
@ATTRIBUTE att11 NUMERIC
@ATTRIBUTE att12 NUMERIC
@ATTRIBUTE att13 NUMERIC
@ATTRIBUTE att14 NUMERIC
@ATTRIBUTE att15 NUMERIC
@ATTRIBUTE target {1.0, 2.0, 3.0}

@DATA
0.486,0.605,0.63,0.493,0.668,0.861,0.71,0.33,0.387,0.401,0.055,0.044,0.414,0.456,0.303,1.0
0.503,0.621,0.76,0.558,0.609,0.321,0.402,0.121,0.751,0.856,0.989,0.25,0.914,0.475,0.575,1.0
0.418,0.611,0.787,0.53,0.589,0.421,0.184,0.194,0.709,0.058,0.562,0.381,-0.054,0.676,0.046,1.0
0.624,0.647,0.784,0.439,0.603,0.541,0.851,0.142,0.184,0.337,0.695,0.509,0.695,0.616,0.251,1.0
0.497,0.6,0.739,0.403,0.579,0.749,0.785,0.604,0.216,0.64,0.484,0.051,0.647,0.076,0.68,1.0
0.528,0.581,0.722,0.478,0.61,0.504,0.139,0.547,0.562,0.135,0.378,0.664,0.82,0.832,0.848,1.0
0.466,0.686,0.581,0.552,0.623,0.753,0.049,0.033,0.427,0.452,0.986,0.928,0.913,0.719,0.694,1.0
0.462,0.641,0.74,0.501,0.629,0.576,0.829,0.399,0.148,0.085,0.726,0.709,0.732,0.518,0.464,1.0
0.538,0.736,0.685,0.495,0.593,0.392,0.738,0.175,0.8,0.605,0.261,0.115,0.426,0.452,0.363,1.0
0.522,0.675,0.606,0.519,0.623,0.404,0.209,0.46,0.32,0.544,0.628,0.411,0.315,0.829,0.917,1.0
0.472,0.588,0.677,0.416,0.651,0.828,0.655,0.53,0.508,0.922,0.659,0.735,0.282,0.15,0.558,1.0
0.452,0.582,0.832,0.516,0.6,0.763,0.274,0.894,0.049,0.329,0.129,0.539,0.476,0.381,0.858,1.0
0.576,0.623,0.763,0.536,0.632,0.927,0.717,0.2,0.411,0.624,0.721,0.128,0.284,0.694,0.701,1.0
0.595,0.581,0.7,0.475,0.636,0.64,0.852,0.181,0.55,0.617,0.396,0.689,0.701,0.888,0.693,1.0
0.499,0.683,0.737,0.439,0.556,0.592,0.041,0.341,0.799,0.411,0.157,0.166,0.327,0.882,0.724,1.0
0.432,0.504,0.705,0.561,0.655,0.11,0.577,0.781,0.667,0.528,0.236,0.769,0.629,0.139,0.847,1.0
0.405,0.654,0.752,0.561,0.526,0.8,0.165,0.644,0.698,0.606,0.815,0.989,0.754,0.45,0.251,1.0
0.424,0.565,0.758,0.462,0.569,0.452,0.157,0.597,0.724,0.069,0.345,0.796,0.975,0.099,0.662,1.0
0.574,0.69,0.788,0.462,0.525,0.338,0.09,0.046,0.468,0.587,1.038,0.988,0.288,0.031,0.743,1.0
0.449,0.613,0.659,0.485,0.565,0.208,0.965,0.728,0.295,0.688,0.546,0.581,0.027,0.429,0.531,1.0
0.44,0.715,0.685,0.546,0.646,0.168,0.943,0.049,0.195,0.743,0.645,0.626,0.572,0.329,0.824,1.0
0.444,0.65,0.791,0.453,0.654,0.112,0.891,0.881,0.252,0.89,0.346,0.283,0.39,0.61,0.115,1.0
0.537,0.629,0.786,0.52,0.651,0.409,0.943,0.333,0.34,0.606,0.581,0.653,0.445,0.497,0.555,1.0
0.539,0.686,0.694,0.431,0.723,0.145,0.62,0.063,0.782,0.741,0.248,0.415,0.049,0.328,0.508,1.0
0.479,0.626,0.741,0.53,0.638,0.521,0.805,0.298,0.876,0.904,0.756,0.631,0.8,0.881,0.14,1.0
0.515,0.673,0.711,0.424,0.722,0.398,0.853,0.579,0.541,0.889,0.396,0.634,0.543,0.493,0.834,1.0
0.493,0.631,0.629,0.491,0.724,0.062,0.869,0.952,0.625,0.879,0.694,0.823,0.067,0.604,0.36,1.0
0.517,0.555,0.822,0.525,0.577,0.752,0.151,0.438,0.108,0.239,1.045,0.74,0.265,0.151,-0.009,1.0
