@RELATION ECG200

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE att4 NUMERIC
@ATTRIBUTE att5 NUMERIC
@ATTRIBUTE att6 NUMERIC
@ATTRIBUTE att7 NUMERIC
@ATTRIBUTE att8 NUMERIC
@ATTRIBUTE att9 NUMERIC
@ATTRIBUTE att10 NUMERIC
@ATTRIBUTE att11 NUMERIC
@ATTRIBUTE att12 NUMERIC
@ATTRIBUTE att13 NUMERIC
@ATTRIBUTE att14 NUMERIC
@ATTRIBUTE att15 NUMERIC
@ATTRIBUTE att16 NUMERIC
@ATTRIBUTE att17 NUMERIC
@ATTRIBUTE att18 NUMERIC
@ATTRIBUTE att19 NUMERIC
@ATTRIBUTE att20 NUMERIC
@ATTRIBUTE att21 NUMERIC
@ATTRIBUTE att22 NUMERIC
@ATTRIBUTE att23 NUMERIC
@ATTRIBUTE att24 NUMERIC
@ATTRIBUTE att25 NUMERIC
@ATTRIBUTE att26 NUMERIC
@ATTRIBUTE att27 NUMERIC
@ATTRIBUTE att28 NUMERIC
@ATTRIBUTE att29 NUMERIC
@ATTRIBUTE att30 NUMERIC
@ATTRIBUTE att31 NUMERIC
@ATTRIBUTE att32 NUMERIC
@ATTRIBUTE att33 NUMERIC
@ATTRIBUTE att34 NUMERIC
@ATTRIBUTE att35 NUMERIC
@ATTRIBUTE att36 NUMERIC
@ATTRIBUTE att37 NUMERIC
@ATTRIBUTE att38 NUMERIC
@ATTRIBUTE att39 NUMERIC
@ATTRIBUTE att40 NUMERIC
@ATTRIBUTE att41 NUMERIC
@ATTRIBUTE att42 NUMERIC
@ATTRIBUTE att43 NUMERIC
@ATTRIBUTE att44 NUMERIC
@ATTRIBUTE att45 NUMERIC
@ATTRIBUTE att46 NUMERIC
@ATTRIBUTE att47 NUMERIC
@ATTRIBUTE att48 NUMERIC
@ATTRIBUTE att49 NUMERIC
@ATTRIBUTE att50 NUMERIC
@ATTRIBUTE att51 NUMERIC
@ATTRIBUTE att52 NUMERIC
@ATTRIBUTE att53 NUMERIC
@ATTRIBUTE att54 NUMERIC
@ATTRIBUTE att55 NUMERIC
@ATTRIBUTE att56 NUMERIC
@ATTRIBUTE att57 NUMERIC
@ATTRIBUTE att58 NUMERIC
@ATTRIBUTE att59 NUMERIC
@ATTRIBUTE att60 NUMERIC
@ATTRIBUTE att61 NUMERIC
@ATTRIBUTE att62 NUMERIC
@ATTRIBUTE att63 NUMERIC
@ATTRIBUTE att64 NUMERIC
@ATTRIBUTE att65 NUMERIC
@ATTRIBUTE att66 NUMERIC
@ATTRIBUTE att67 NUMERIC
@ATTRIBUTE att68 NUMERIC
@ATTRIBUTE att69 NUMERIC
@ATTRIBUTE att70 NUMERIC
@ATTRIBUTE att71 NUMERIC
@ATTRIBUTE att72 NUMERIC
@ATTRIBUTE att73 NUMERIC
@ATTRIBUTE att74 NUMERIC
@ATTRIBUTE att75 NUMERIC
@ATTRIBUTE att76 NUMERIC
@ATTRIBUTE att77 NUMERIC
@ATTRIBUTE att78 NUMERIC
@ATTRIBUTE att79 NUMERIC
@ATTRIBUTE att80 NUMERIC
@ATTRIBUTE att81 NUMERIC
@ATTRIBUTE att82 NUMERIC
@ATTRIBUTE att83 NUMERIC
@ATTRIBUTE att84 NUMERIC
@ATTRIBUTE att85 NUMERIC
@ATTRIBUTE att86 NUMERIC
@ATTRIBUTE att87 NUMERIC
@ATTRIBUTE att88 NUMERIC
@ATTRIBUTE att89 NUMERIC
@ATTRIBUTE att90 NUMERIC
@ATTRIBUTE att91 NUMERIC
@ATTRIBUTE att92 NUMERIC
@ATTRIBUTE att93 NUMERIC
@ATTRIBUTE att94 NUMERIC
@ATTRIBUTE att95 NUMERIC
@ATTRIBUTE att96 NUMERIC
@ATTRIBUTE target {-1.0, 1.0}

@DATA
-0.909,0.745,0.831,3.537,1.257,-2.554,-1.627,1.889,0.806,0.185,0.429,-1.767,-0.187,0.411,-0.815,-1.07,-0.139,-0.787,-0.34,-0.648,0.554,-1.439,-1.791,-0.922,-1.05,-0.608,-1.163,-0.114,-1.3,-1.071,-2.69,-1.561,-1.081,-1.467,-2.907,-1.705,1.752,-1.888,-5.258,-0.588,-1.435,-1.385,-3.489,3.167,-1.254,-1.561,-0.583,-3.227,-0.336,-1.363,-0.119,0.77,-1.083,0.329,0.135,0.414,0.664,0.516,0.695,0.872,0.454,0.577,1.013,0.612,0.886,0.633,1.03,0.41,2.291,0.17,0.828,0.44,0.552,-0.602,0.765,-0.741,0.686,0.858,0.662,1.286,0.571,0.82,0.97,0.909,0.848,0.94,0.503,0.976,0.648,-0.509,-1.056,1.007,0.206,1.161,0.773,0.411,-1.0
0.376,0.906,0.595,0.594,1.087,0.02,1.073,0.097,-1.479,-1.135,-0.453,0.736,-0.691,-0.742,-1.183,-2.143,-0.233,-1.831,-2.041,-1.017,-1.786,-1.596,-0.454,-1.93,-1.045,-2.427,-2.635,0.484,-2.675,-0.713,-1.277,-0.43,-0.435,0.209,0.22,0.466,-0.354,2.36,-0.474,1.017,1.686,-2.03,-0.781,1.14,1.399,0.924,0.879,2.022,2.402,0.939,0.491,0.963,0.347,0.985,0.858,-0.02,-0.271,-0.708,0.506,0.591,0.696,0.416,0.392,-0.121,0.705,0.821,0.628,0.773,0.736,0.543,-0.799,0.059,-0.478,-1.951,-0.829,-1.024,0.331,-0.074,-1.071,-0.887,1.47,-0.46,-0.206,-0.828,-0.826,-0.487,-0.511,-0.202,0.21,0.186,2.423,2.931,1.569,-0.12,-2.514,-0.022,1.0
-0.527,-0.963,0.128,-1.865,1.106,3.075,2.294,1.819,1.572,-0.28,-0.105,3.71,-1.42,-0.769,1.755,0.345,-0.414,-0.449,-0.145,0.137,-1.861,-0.6,-0.859,-1.758,-0.739,-1.19,-1.918,-1.638,-0.191,-2.252,-2.563,-1.563,-1.493,-1.689,-1.415,-1.99,-2.584,-2.006,-1.081,-2.394,-2.135,-1.932,-1.085,-2.611,-0.343,-1.873,1.322,0.732,-0.435,0.231,0.143,-1.992,0.107,0.581,-0.167,0.377,1.07,0.308,0.532,0.811,0.521,1.628,0.838,0.717,0.46,1.269,0.643,1.089,0.849,0.219,0.393,0.948,0.775,0.42,0.547,0.828,0.8,0.808,0.343,-0.084,0.497,0.586,0.216,0.376,-0.025,-0.775,0.712,-0.347,0.216,1.173,0.746,-0.656,0.817,0.767,0.798,0.593,-1.0
1.829,2.278,1.704,1.402,1.353,2.145,0.496,0.261,0.005,-1.05,-0.044,0.241,1.19,-0.334,0.953,-1.287,0.053,-1.031,-0.232,-0.689,-0.232,-0.719,-1.207,-0.443,0.506,-0.19,-0.792,0.094,-0.608,-1.224,-2.819,-1.935,-1.289,-1.789,-2.26,-0.083,-0.13,0.675,-2.141,0.633,-1.74,-3.088,-2.249,2.453,1.176,-1.705,2.771,0.028,2.041,1.093,-2.048,-3.297,-0.484,0.241,0.311,0.269,0.427,0.462,0.425,0.385,0.598,0.238,0.561,0.586,0.322,0.365,-0.167,0.202,0.375,0.275,0.408,-0.082,0.43,-0.423,1.085,0.414,0.352,0.673,0.854,1.385,-0.311,0.428,0.154,0.507,0.801,0.026,0.864,0.67,-0.636,1.795,4.935,1.548,-0.164,1.192,1.894,0.639,-1.0
1.108,0.62,2.738,4.02,1.047,0.836,5.233,0.632,0.408,0.449,0.318,0.458,0.538,-1.608,-0.731,-3.565,-1.008,-1.046,-1.305,-1.769,-1.362,-1.275,-0.137,-1.76,-1.458,-1.053,-1.891,-2.097,-2.695,-1.914,0.992,-3.385,-1.978,-1.49,-1.958,0.618,-0.848,1.341,0.066,1.152,5.715,0.539,1.843,1.863,1.032,1.88,0.318,2.415,0.002,0.697,1.054,0.512,0.665,-0.442,0.049,0.163,0.361,1.034,-0.134,0.59,0.386,0.277,-0.057,0.061,0.226,1.308,0.319,-0.585,-0.054,0.087,-0.012,0.504,0.86,0.454,0.263,0.399,0.622,0.999,-0.258,-0.093,-0.019,-0.093,-0.193,1.368,0.562,0.618,-0.359,-0.139,-0.594,0.151,-0.428,-0.226,1.146,-0.574,0.851,0.882,1.0
-0.05,0.316,1.818,1.019,7.439,1.102,-2.989,-1.522,1.504,-0.041,-0.586,1.463,0.058,-1.141,-1.983,-1.638,-1.025,-1.301,-1.51,-1.314,-3.022,-1.794,-0.727,-1.443,-1.78,-1.557,-0.873,-2.014,-2.723,-2.822,1.379,-1.729,-1.69,-1.069,-2.004,-1.346,-0.686,-0.572,-0.171,1.407,0.935,0.715,0.859,3.569,3.284,-0.729,0.963,1.363,0.262,-0.654,0.952,1.838,0.747,0.151,0.355,0.464,1.225,-0.026,1.007,0.859,0.172,1.126,0.654,1.366,-0.621,1.157,0.397,0.7,1.511,-0.292,0.56,-0.244,1.577,0.799,0.977,1.765,1.337,0.653,-0.23,1.035,0.561,0.606,0.707,0.974,0.183,2.534,0.378,0.35,-1.032,0.286,0.709,1.266,0.707,0.309,0.467,0.463,1.0
0.607,2.317,2.306,-1.714,2.648,3.741,3.849,0.613,0.591,0.011,1.487,0.099,-0.635,1.707,-0.117,0.303,0.022,1.478,-0.718,-2.024,0.094,-0.659,-1.397,-0.393,-1.432,-0.201,0.192,-1.056,-0.381,-0.563,-0.199,-1.231,-2.953,-2.876,-2.447,-3.294,0.101,-2.356,-0.749,1.273,-3.838,-2.563,0.227,-1.639,-0.819,-2.128,-1.973,-0.954,-0.368,-0.965,-0.335,-0.122,-0.102,-0.407,0.241,0.559,0.274,0.317,0.326,0.42,0.483,0.78,0.963,0.453,0.718,0.855,0.408,1.122,0.395,-0.092,1.33,0.837,0.896,0.697,1.393,-0.523,0.985,0.62,0.785,0.2,0.49,0.813,0.825,2.717,0.917,-1.34,0.327,0.158,-0.81,-0.149,-0.016,0.844,3.125,0.027,-0.324,0.221,-1.0
1.019,0.418,4.524,1.635,2.875,2.399,1.462,1.144,0.863,-0.939,0.065,1.066,0.43,-0.156,-0.082,0.047,-0.566,-0.728,-0.347,-0.631,-0.833,-0.745,-0.655,-1.203,-1.069,-0.366,-1.845,-2.874,-1.8,0.027,-1.999,-4.434,-2.961,-2.192,-1.867,-1.499,-1.696,1.778,0.684,-4.233,-0.937,-0.912,-0.62,3.038,1.232,-0.506,0.131,0.501,0.742,0.851,0.027,0.401,1.385,0.491,0.464,0.565,0.691,-0.449,0.068,0.671,-0.687,0.613,0.46,0.614,0.567,0.486,2.817,0.285,0.651,1.934,1.491,1.166,0.635,0.008,0.589,0.545,1.005,0.787,1.094,0.454,0.437,0.539,0.303,-0.352,0.983,0.212,0.424,0.453,-1.452,1.016,-2.53,2.23,-0.819,-3.263,0.614,0.072,-1.0
-1.648,1.699,2.49,1.244,0.322,-0.228,-3.137,-0.422,0.345,-0.352,0.246,0.725,-0.537,-0.78,-1.042,-0.053,-2.32,0.748,-1.318,-1.2,-1.367,-2.361,-0.082,-2.087,-1.821,-1.486,-1.705,-2.334,-1.687,-0.812,-1.986,-1.56,-3.455,-0.406,-3.034,-1.127,-0.451,0.107,1.615,-0.595,0.646,-1.188,2.818,1.479,0.946,-0.55,4.832,1.11,-1.066,1.102,0.704,0.819,0.527,-0.577,0.735,0.569,0.443,0.806,0.417,0.509,0.634,0.871,0.499,1.042,0.767,0.414,0.649,-0.301,0.463,0.493,0.722,0.826,-0.262,1.01,0.901,1.308,0.692,0.222,-0.066,0.427,0.092,0.501,0.893,-0.297,0.34,0.895,-0.06,0.079,-0.754,0.0,-1.33,0.311,0.201,-0.292,1.872,-0.048,1.0
1.239,3.086,2.884,2.405,-0.898,0.861,-3.185,6.975,2.584,3.669,0.175,1.416,-0.421,-0.988,-0.653,-1.142,-0.539,-0.371,-1.106,-1.265,-1.632,-1.827,-1.504,-0.769,-1.616,-0.784,-2.085,-1.923,-2.822,-1.609,-3.301,-0.449,-3.199,1.578,-0.846,2.117,-0.917,-0.937,0.917,-0.152,0.671,3.793,0.449,1.627,0.914,1.996,-2.363,1.234,0.59,0.585,-0.339,0.23,0.63,0.731,0.807,0.715,0.723,0.225,1.177,0.072,0.863,0.443,0.332,0.2,0.059,0.324,0.514,0.032,0.169,0.084,0.402,-0.242,-0.407,0.399,0.72,0.302,-0.178,0.838,-0.368,1.734,0.188,-0.281,-0.392,-0.349,-0.307,0.739,-0.154,-0.349,0.04,1.193,-0.442,-0.936,-1.241,-0.481,-0.082,0.464,1.0
