@RELATION ItalyPowerDemand

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE att4 NUMERIC
@ATTRIBUTE att5 NUMERIC
@ATTRIBUTE att6 NUMERIC
@ATTRIBUTE att7 NUMERIC
@ATTRIBUTE att8 NUMERIC
@ATTRIBUTE att9 NUMERIC
@ATTRIBUTE att10 NUMERIC
@ATTRIBUTE att11 NUMERIC
@ATTRIBUTE att12 NUMERIC
@ATTRIBUTE att13 NUMERIC
@ATTRIBUTE att14 NUMERIC
@ATTRIBUTE att15 NUMERIC
@ATTRIBUTE att16 NUMERIC
@ATTRIBUTE att17 NUMERIC
@ATTRIBUTE att18 NUMERIC
@ATTRIBUTE att19 NUMERIC
@ATTRIBUTE att20 NUMERIC
@ATTRIBUTE att21 NUMERIC
@ATTRIBUTE att22 NUMERIC
@ATTRIBUTE att23 NUMERIC
@ATTRIBUTE att24 NUMERIC
@ATTRIBUTE target {1.0, 2.0}

@DATA
-1.571,-0.958,-0.92,-1.74,-1.553,-1.371,-1.191,0.042,1.001,1.199,0.85,0.964,0.605,0.272,-0.574,-0.203,-0.29,0.666,1.138,1.269,1.482,1.028,-0.089,-0.603,1.0
-0.992,-0.952,-1.69,-1.634,-1.613,-1.181,-1.07,-0.322,0.677,1.133,1.259,0.901,0.901,0.446,0.413,0.608,-0.247,-0.419,0.177,1.604,1.16,0.747,0.362,-0.148,1.0
0.346,0.607,-0.109,0.226,-0.39,-0.271,0.037,-1.324,-2.918,-0.904,0.754,-0.086,-0.216,-0.444,-0.507,0.584,-0.473,-0.648,-0.03,-0.429,0.239,2.398,2.403,1.554,2.0
-0.751,-2.021,-2.023,-1.443,-1.685,-1.423,-1.538,-0.071,-1.864,1.071,1.413,1.126,0.954,0.584,0.736,0.942,0.009,0.487,0.756,1.704,0.445,1.08,0.234,-0.944,2.0
-1.047,-1.331,-1.555,-1.828,-1.575,-1.918,-1.039,-0.296,0.569,1.033,1.003,0.229,0.657,0.04,0.446,1.298,0.554,1.218,1.315,1.073,0.487,0.479,-0.216,-0.786,1.0
-0.062,-0.261,-0.943,-1.108,-1.14,-1.159,-1.399,-0.597,-0.145,-0.277,0.458,0.239,0.554,0.178,-0.161,-0.893,-0.345,0.216,-0.515,0.819,1.816,1.979,1.002,1.582,1.0
-0.105,-1.174,-0.759,-1.197,-0.887,-1.029,-1.784,-0.233,0.233,1.763,1.787,1.981,1.289,0.755,0.233,-0.033,-0.289,0.528,-0.145,-0.051,1.33,-0.159,0.314,0.168,2.0
-0.949,-1.373,-1.844,-1.766,-1.854,-1.496,-1.135,-0.444,0.583,1.283,1.163,0.614,0.588,0.332,0.357,1.432,0.759,0.8,1.4,1.022,0.084,0.315,0.01,-0.008,1.0
-1.31,-1.279,-1.545,-1.699,-1.557,-1.534,-0.895,-0.455,-0.375,1.054,1.1,1.429,0.714,0.838,0.46,0.809,1.213,0.677,0.953,0.733,0.649,0.453,0.589,-0.14,1.0
-0.67,0.876,-1.303,-1.601,-1.229,-1.319,-1.926,-0.839,0.297,0.847,1.478,1.35,0.871,0.574,0.821,0.775,0.987,1.295,-0.043,0.716,-0.15,0.971,-0.018,-0.521,2.0
