@RELATION SonyAIBORobotSurface2

@ATTRIBUTE att1_err NUMERIC
@ATTRIBUTE att2_err NUMERIC
@ATTRIBUTE att3_err NUMERIC
@ATTRIBUTE att4_err NUMERIC
@ATTRIBUTE att5_err NUMERIC
@ATTRIBUTE att6_err NUMERIC
@ATTRIBUTE att7_err NUMERIC
@ATTRIBUTE att8_err NUMERIC
@ATTRIBUTE att9_err NUMERIC
@ATTRIBUTE att10_err NUMERIC
@ATTRIBUTE att11_err NUMERIC
@ATTRIBUTE att12_err NUMERIC
@ATTRIBUTE att13_err NUMERIC
@ATTRIBUTE att14_err NUMERIC
@ATTRIBUTE att15_err NUMERIC
@ATTRIBUTE att16_err NUMERIC
@ATTRIBUTE att17_err NUMERIC
@ATTRIBUTE att18_err NUMERIC
@ATTRIBUTE att19_err NUMERIC
@ATTRIBUTE att20_err NUMERIC
@ATTRIBUTE att21_err NUMERIC
@ATTRIBUTE att22_err NUMERIC
@ATTRIBUTE att23_err NUMERIC
@ATTRIBUTE att24_err NUMERIC
@ATTRIBUTE att25_err NUMERIC
@ATTRIBUTE att26_err NUMERIC
@ATTRIBUTE att27_err NUMERIC
@ATTRIBUTE att28_err NUMERIC
@ATTRIBUTE att29_err NUMERIC
@ATTRIBUTE att30_err NUMERIC
@ATTRIBUTE att31_err NUMERIC
@ATTRIBUTE att32_err NUMERIC
@ATTRIBUTE att33_err NUMERIC
@ATTRIBUTE att34_err NUMERIC
@ATTRIBUTE att35_err NUMERIC
@ATTRIBUTE att36_err NUMERIC
@ATTRIBUTE att37_err NUMERIC
@ATTRIBUTE att38_err NUMERIC
@ATTRIBUTE att39_err NUMERIC
@ATTRIBUTE att40_err NUMERIC
@ATTRIBUTE att41_err NUMERIC
@ATTRIBUTE att42_err NUMERIC
@ATTRIBUTE att43_err NUMERIC
@ATTRIBUTE att44_err NUMERIC
@ATTRIBUTE att45_err NUMERIC
@ATTRIBUTE att46_err NUMERIC
@ATTRIBUTE att47_err NUMERIC
@ATTRIBUTE att48_err NUMERIC
@ATTRIBUTE att49_err NUMERIC
@ATTRIBUTE att50_err NUMERIC
@ATTRIBUTE att51_err NUMERIC
@ATTRIBUTE att52_err NUMERIC
@ATTRIBUTE att53_err NUMERIC
@ATTRIBUTE att54_err NUMERIC
@ATTRIBUTE att55_err NUMERIC
@ATTRIBUTE att56_err NUMERIC
@ATTRIBUTE att57_err NUMERIC
@ATTRIBUTE att58_err NUMERIC
@ATTRIBUTE att59_err NUMERIC
@ATTRIBUTE att60_err NUMERIC
@ATTRIBUTE att61_err NUMERIC
@ATTRIBUTE att62_err NUMERIC
@ATTRIBUTE att63_err NUMERIC
@ATTRIBUTE att64_err NUMERIC
@ATTRIBUTE att65_err NUMERIC

@DATA
0.286,0.491,0.111,1.31,0.152,2.125,0.096,2.023,0.371,0.609,3.028,2.862,0.304,1.144,0.138,0.804,0.177,1.41,0.662,0.683,0.135,0.88,0.762,1.714,0.272,1.465,0.787,0.292,0.212,0.111,0.167,0.012,0.077,0.087,0.095,0.081,0.423,0.239,0.047,0.05,0.624,1.196,0.187,0.199,1.494,0.938,0.087,0.061,0.964,0.264,0.508,1.545,1.454,0.354,0.846,0.794,0.656,0.734,0.878,1.824,0.673,0.526,1.496,0.075,0.358
0.003,0.593,0.439,1.916,1.563,0.238,0.003,0.475,0.72,0.367,0.865,1.882,0.112,0.871,0.47,0.629,0.299,0.563,0.607,0.224,0.074,0.208,0.028,0.497,0.094,0.872,0.455,0.07,0.753,0.47,0.214,0.24,0.079,0.197,0.368,0.42,0.0,0.123,0.122,0.238,0.323,0.298,0.612,0.115,0.699,0.014,0.242,0.462,0.924,0.707,1.243,0.088,1.429,0.404,0.257,0.545,0.147,1.627,1.119,1.9,1.355,0.937,0.614,0.067,0.585
0.043,0.695,0.4,0.16,0.117,1.441,0.618,0.713,1.257,0.406,2.243,0.048,0.947,0.242,0.818,1.056,0.915,0.074,0.26,3.262,0.316,0.947,0.978,1.028,1.055,0.263,0.523,0.576,0.25,0.141,0.099,0.705,0.213,0.181,0.291,0.075,0.359,0.109,0.808,0.052,0.371,0.012,0.182,0.835,1.391,0.925,0.036,0.086,0.684,0.566,0.053,0.966,0.097,1.039,0.468,0.359,0.688,1.07,0.265,2.088,1.655,1.112,2.357,0.273,0.282
0.381,0.288,0.371,0.015,1.621,0.5,0.769,0.269,0.654,0.819,0.219,1.205,0.34,0.968,0.331,0.166,1.145,0.773,1.855,1.496,2.521,0.206,0.268,1.215,0.553,0.926,0.627,0.114,0.143,0.052,0.311,0.427,0.16,0.062,0.316,0.291,0.362,0.417,0.188,0.128,0.361,0.395,0.383,0.284,0.646,0.923,0.081,0.011,0.616,1.631,0.518,1.225,0.019,1.86,0.876,3.484,0.391,0.79,2.548,0.553,1.668,1.323,0.795,1.647,0.215
0.195,0.161,0.316,1.039,0.189,0.22,0.175,1.494,0.465,0.831,0.53,0.974,1.023,0.122,0.977,0.668,0.047,0.263,0.166,0.018,1.53,0.538,0.499,0.171,0.108,0.634,1.918,0.524,0.003,0.301,0.008,0.106,0.112,0.334,0.131,0.127,0.204,0.179,0.166,0.335,0.491,0.056,0.069,0.666,0.259,0.008,1.457,0.24,0.774,1.147,2.085,0.607,0.165,1.206,1.111,0.405,0.5,0.531,1.634,2.244,1.146,0.09,0.746,0.697,0.162
0.065,0.223,0.132,0.111,0.446,0.279,0.129,1.559,0.196,0.79,0.873,1.698,0.056,2.123,1.134,0.079,0.605,1.172,0.613,0.084,0.661,0.323,1.282,0.553,0.015,0.502,0.355,0.95,0.501,0.722,0.484,0.3,0.028,0.199,0.232,0.279,0.369,0.155,0.0,0.31,0.3,0.795,0.04,0.463,1.268,0.232,0.655,0.44,0.139,1.606,0.65,0.452,1.356,0.657,0.045,1.329,0.269,0.022,0.259,0.201,0.263,1.525,1.303,0.312,0.76
0.172,0.398,0.175,0.182,0.553,0.11,0.295,1.757,1.341,0.17,2.354,1.446,1.297,0.145,0.478,0.959,0.92,0.537,0.248,0.119,3.152,0.77,0.456,0.547,0.009,0.029,0.414,0.599,0.283,0.286,0.826,0.473,0.018,0.133,0.225,0.149,0.129,0.206,0.119,0.495,0.616,0.538,0.295,0.996,0.162,0.741,0.056,0.819,0.519,0.771,2.863,0.405,0.744,0.871,0.622,0.43,0.367,0.409,0.484,0.722,0.68,0.206,0.385,0.349,0.223
0.33,0.201,0.143,1.392,1.501,0.938,0.892,0.551,0.045,0.409,1.353,0.289,0.115,2.903,2.238,1.082,0.101,1.019,0.275,0.354,1.688,0.431,0.549,2.085,0.621,0.755,0.672,0.873,0.621,0.381,0.21,0.138,0.466,0.23,0.228,0.001,0.183,0.247,0.331,0.478,0.563,0.269,0.712,0.311,0.262,0.559,0.261,0.353,0.045,3.31,1.15,0.309,0.185,0.082,0.166,0.305,1.794,0.259,0.589,0.603,0.798,0.325,1.711,0.455,0.035
0.454,0.034,0.301,1.163,0.876,1.629,0.072,0.569,0.309,0.48,0.612,1.395,0.034,1.409,0.813,0.548,0.693,0.377,1.719,1.265,0.692,1.49,0.233,0.05,0.522,0.341,0.418,0.596,0.315,0.214,0.228,0.158,0.249,0.155,0.481,0.035,0.084,0.138,0.224,0.043,0.136,0.29,0.38,0.46,0.526,0.368,0.547,0.067,0.46,0.637,2.155,0.578,1.802,0.104,0.672,0.236,0.221,0.417,0.425,0.406,1.707,0.972,0.603,0.66,0.32
0.253,0.237,0.538,0.283,0.041,0.72,0.263,0.4,0.682,0.206,0.154,0.068,0.722,0.122,1.653,0.908,1.54,0.074,0.182,1.194,1.05,1.153,0.549,0.174,0.514,0.54,0.385,0.814,0.749,0.657,0.002,0.33,0.022,0.037,0.335,0.038,0.505,0.129,0.159,0.692,0.059,0.318,0.084,0.083,0.013,0.612,0.064,0.848,0.593,2.544,0.626,1.744,1.46,0.281,0.371,0.244,0.722,0.873,0.399,1.745,1.512,0.791,1.535,0.702,0.217
