@RELATION SyntheticControl

@ATTRIBUTE att1_err NUMERIC
@ATTRIBUTE att2_err NUMERIC
@ATTRIBUTE att3_err NUMERIC
@ATTRIBUTE att4_err NUMERIC
@ATTRIBUTE att5_err NUMERIC
@ATTRIBUTE att6_err NUMERIC
@ATTRIBUTE att7_err NUMERIC
@ATTRIBUTE att8_err NUMERIC
@ATTRIBUTE att9_err NUMERIC
@ATTRIBUTE att10_err NUMERIC
@ATTRIBUTE att11_err NUMERIC
@ATTRIBUTE att12_err NUMERIC
@ATTRIBUTE att13_err NUMERIC
@ATTRIBUTE att14_err NUMERIC
@ATTRIBUTE att15_err NUMERIC
@ATTRIBUTE att16_err NUMERIC
@ATTRIBUTE att17_err NUMERIC
@ATTRIBUTE att18_err NUMERIC
@ATTRIBUTE att19_err NUMERIC
@ATTRIBUTE att20_err NUMERIC
@ATTRIBUTE att21_err NUMERIC
@ATTRIBUTE att22_err NUMERIC
@ATTRIBUTE att23_err NUMERIC
@ATTRIBUTE att24_err NUMERIC
@ATTRIBUTE att25_err NUMERIC
@ATTRIBUTE att26_err NUMERIC
@ATTRIBUTE att27_err NUMERIC
@ATTRIBUTE att28_err NUMERIC
@ATTRIBUTE att29_err NUMERIC
@ATTRIBUTE att30_err NUMERIC
@ATTRIBUTE att31_err NUMERIC
@ATTRIBUTE att32_err NUMERIC
@ATTRIBUTE att33_err NUMERIC
@ATTRIBUTE att34_err NUMERIC
@ATTRIBUTE att35_err NUMERIC
@ATTRIBUTE att36_err NUMERIC
@ATTRIBUTE att37_err NUMERIC
@ATTRIBUTE att38_err NUMERIC
@ATTRIBUTE att39_err NUMERIC
@ATTRIBUTE att40_err NUMERIC
@ATTRIBUTE att41_err NUMERIC
@ATTRIBUTE att42_err NUMERIC
@ATTRIBUTE att43_err NUMERIC
@ATTRIBUTE att44_err NUMERIC
@ATTRIBUTE att45_err NUMERIC
@ATTRIBUTE att46_err NUMERIC
@ATTRIBUTE att47_err NUMERIC
@ATTRIBUTE att48_err NUMERIC
@ATTRIBUTE att49_err NUMERIC
@ATTRIBUTE att50_err NUMERIC
@ATTRIBUTE att51_err NUMERIC
@ATTRIBUTE att52_err NUMERIC
@ATTRIBUTE att53_err NUMERIC
@ATTRIBUTE att54_err NUMERIC
@ATTRIBUTE att55_err NUMERIC
@ATTRIBUTE att56_err NUMERIC
@ATTRIBUTE att57_err NUMERIC
@ATTRIBUTE att58_err NUMERIC
@ATTRIBUTE att59_err NUMERIC
@ATTRIBUTE att60_err NUMERIC

@DATA
2.402,0.781,0.171,5.162,0.354,0.269,0.932,2.624,1.598,2.489,0.469,0.505,1.205,0.943,0.997,1.138,0.705,2.113,0.366,0.662,1.465,1.411,0.761,1.211,0.038,2.443,0.133,0.942,0.299,1.69,2.599,1.222,3.005,1.171,1.402,1.425,0.16,0.536,1.631,1.617,0.91,1.184,1.865,0.357,0.546,0.176,5.189,2.926,2.115,1.594,2.811,0.632,2.585,2.067,2.691,0.792,2.501,2.994,0.76,1.451
2.688,3.383,1.206,1.724,0.347,2.63,0.23,0.519,1.675,1.982,0.415,2.379,0.966,0.018,0.304,1.289,2.273,1.135,1.946,1.125,2.523,2.268,2.136,2.484,0.411,1.017,0.258,1.823,0.944,0.887,1.46,2.008,2.928,0.317,0.81,0.559,0.361,2.222,1.053,0.421,1.853,1.419,0.007,0.639,0.831,1.944,0.65,1.051,0.584,2.309,0.774,0.105,0.496,1.524,2.995,0.996,1.455,1.271,2.877,2.158
0.066,2.105,4.51,2.171,0.141,0.465,4.702,0.241,0.118,2.972,2.118,1.582,1.28,2.432,1.058,0.014,3.182,2.718,0.934,1.246,1.275,2.607,0.055,0.164,2.987,0.835,1.69,0.492,1.785,1.061,1.913,2.229,2.087,1.663,0.407,0.49,1.526,0.375,0.582,0.989,0.268,2.046,0.509,1.281,3.038,0.733,0.305,1.174,0.095,2.306,1.892,1.282,0.198,0.581,4.641,2.877,1.958,1.954,1.464,2.339
0.059,0.594,2.811,0.54,2.446,1.188,3.185,0.279,0.33,0.122,0.958,0.265,1.35,0.846,0.169,1.72,1.711,1.734,1.811,2.065,1.535,0.25,0.939,1.303,0.042,0.232,0.804,0.8,1.187,0.722,1.866,1.166,2.554,0.198,0.951,0.025,1.078,1.545,1.186,0.972,0.39,1.261,1.713,3.765,0.396,1.307,0.38,0.384,0.508,1.935,0.176,1.261,1.038,2.067,3.922,0.433,0.563,1.396,0.419,2.09
2.142,2.268,1.812,1.16,3.031,4.731,1.077,2.871,1.902,2.651,1.606,1.402,1.596,1.141,0.01,0.077,0.506,0.46,2.941,1.449,1.871,1.637,0.852,1.464,1.855,0.138,1.186,1.202,0.002,0.019,0.998,0.498,0.326,0.382,0.044,1.455,0.196,1.474,0.742,0.083,1.258,1.631,1.758,1.574,2.63,0.591,0.715,0.952,2.484,3.023,2.361,0.442,2.234,1.67,2.484,3.474,6.378,1.264,0.026,0.527
1.632,0.268,0.158,1.628,0.889,0.93,1.798,3.218,1.12,2.765,3.408,1.552,1.122,1.764,3.858,0.833,0.342,0.386,3.361,2.358,1.67,2.35,2.233,1.117,0.459,0.907,0.861,1.389,1.289,1.756,0.862,0.387,1.088,0.49,1.862,0.462,0.354,0.163,0.076,0.811,0.379,0.344,2.097,2.403,0.273,0.095,2.077,2.369,2.327,1.764,2.547,0.646,0.729,3.38,1.175,2.112,2.941,0.163,0.359,0.644
1.926,0.944,1.111,0.528,0.681,0.464,1.103,0.528,0.29,2.048,0.822,2.024,0.175,0.425,1.131,0.208,2.913,1.758,0.812,0.532,1.739,2.025,0.422,2.484,0.1,0.057,0.432,0.732,2.29,1.444,1.913,1.513,0.516,0.744,3.341,2.455,0.077,0.574,0.224,0.539,1.962,0.395,3.111,0.088,5.691,1.341,0.769,0.007,3.677,1.293,1.899,0.1,0.984,2.727,0.081,2.704,3.641,0.321,0.483,1.655
4.486,4.306,2.996,1.198,0.584,1.31,0.338,0.821,0.713,0.902,2.825,3.028,2.76,0.2,0.4,2.61,2.786,1.164,2.955,1.9,1.973,1.418,1.991,0.607,1.075,0.517,0.006,0.026,0.583,1.756,1.691,0.03,0.281,1.345,1.866,0.135,1.36,0.048,0.789,0.845,0.278,3.923,3.283,1.298,2.699,0.904,2.341,4.485,0.253,0.025,0.545,0.351,2.261,1.744,2.324,4.483,4.393,0.206,1.4,0.255
2.906,4.028,4.209,2.431,0.851,1.275,1.915,3.361,2.602,2.541,3.237,1.122,0.605,0.629,2.939,3.172,2.458,1.288,1.092,1.574,1.001,1.189,0.799,0.771,1.359,0.098,0.553,0.288,0.348,3.419,0.622,2.665,2.691,2.406,1.973,1.54,0.217,2.204,2.597,0.573,1.226,0.042,0.429,0.91,0.099,0.137,0.474,3.377,0.524,1.356,0.777,0.787,0.629,2.257,0.451,0.382,0.741,1.737,0.045,0.317
1.628,2.503,1.663,0.5,2.96,0.908,0.178,1.217,2.502,1.234,1.239,1.619,0.963,0.304,2.128,0.601,0.143,0.452,1.529,0.937,1.625,0.005,2.208,0.851,0.207,0.54,1.686,0.708,0.326,0.004,2.571,0.339,0.657,1.595,0.608,3.549,0.441,0.779,1.508,0.5,0.823,4.277,1.063,0.541,2.093,0.002,5.719,0.551,0.257,0.841,0.19,0.661,4.76,2.792,0.006,0.493,0.435,2.686,1.054,1.222
0.023,0.943,0.898,0.023,3.791,0.068,1.112,2.48,0.393,1.33,0.104,0.94,1.43,1.218,0.693,0.312,0.206,2.328,1.256,0.901,0.155,0.287,3.492,1.846,0.658,0.135,0.892,0.305,0.945,1.099,3.33,0.606,0.796,1.002,1.307,0.545,0.195,0.749,1.182,0.339,1.253,0.754,2.413,0.707,0.471,1.538,3.122,1.357,0.448,2.206,1.284,1.002,1.307,2.258,2.605,2.58,2.239,0.496,0.855,2.237
0.982,3.05,0.302,0.527,0.633,0.178,2.094,2.374,0.18,3.938,1.306,1.592,0.438,0.163,1.073,0.254,0.944,1.527,1.14,0.322,1.748,0.09,3.647,0.703,2.688,1.409,2.596,0.848,1.271,1.249,1.627,1.202,1.284,1.554,1.113,1.445,5.098,2.531,1.513,0.345,2.74,3.14,1.247,0.032,0.329,0.243,1.645,0.5,2.877,0.511,3.045,0.789,0.55,5.241,0.194,1.189,0.803,0.502,0.088,2.227
1.243,0.767,0.545,2.379,0.31,2.164,1.378,1.475,1.292,0.5,1.532,3.031,0.144,2.064,0.949,0.377,2.376,1.787,0.143,3.604,1.398,0.159,1.629,0.176,0.994,2.184,1.857,0.106,0.239,0.747,0.953,2.908,1.067,0.878,0.386,0.233,0.332,3.442,0.76,0.352,2.565,1.151,0.488,0.3,0.638,1.677,2.396,0.211,1.037,0.43,3.284,1.824,1.035,0.314,1.798,3.112,0.712,2.279,0.476,2.268
0.861,1.413,1.378,1.438,0.546,1.649,1.614,1.782,0.629,1.012,2.527,4.315,2.32,0.289,1.769,0.4,0.709,1.114,1.056,1.838,0.122,3.22,1.57,0.299,1.372,0.789,1.038,0.33,1.269,0.596,1.264,0.885,1.869,0.101,1.778,0.599,0.498,1.387,0.463,1.724,3.463,3.476,1.766,1.75,2.582,0.125,1.621,2.287,0.733,0.711,0.162,2.168,1.495,0.739,1.775,0.015,4.704,0.791,0.788,0.521
2.625,2.154,3.093,0.579,0.485,3.327,1.252,0.652,0.853,0.245,0.163,1.048,1.403,1.713,2.392,0.758,0.044,1.004,0.028,0.859,0.996,0.412,1.964,0.377,1.508,1.066,0.698,1.271,0.135,0.065,0.801,0.159,0.231,0.116,1.988,1.698,1.016,1.094,2.861,0.959,2.002,0.304,0.237,1.973,0.552,1.187,0.577,1.59,3.648,0.928,1.162,1.102,0.251,1.319,1.125,1.741,0.266,2.793,2.346,0.671
0.046,1.031,1.859,1.03,0.87,0.093,1.029,0.115,0.394,2.324,1.353,2.823,0.593,0.313,0.475,1.496,1.111,1.373,0.948,0.585,3.127,2.34,0.309,1.83,0.177,0.818,0.304,0.321,1.588,0.514,0.456,1.568,2.723,1.659,2.957,1.193,0.422,2.761,0.869,1.085,0.685,2.749,0.39,2.923,2.906,1.203,0.879,2.129,1.591,0.081,1.521,0.278,0.424,1.408,0.674,1.437,1.517,0.386,0.67,1.698
1.01,1.175,3.319,4.492,0.229,0.013,2.504,1.105,0.673,1.355,4.637,1.329,0.452,2.307,2.443,0.317,1.198,0.736,0.326,0.659,1.845,0.96,1.687,0.173,0.377,0.251,0.834,1.383,1.829,1.742,1.466,0.729,1.18,0.276,0.58,0.273,1.389,2.08,2.849,0.33,1.945,0.055,0.593,2.622,1.312,0.599,0.831,1.37,1.227,1.335,1.516,0.612,1.684,1.639,1.374,0.662,0.754,1.975,1.572,1.517
3.229,1.633,1.694,0.043,2.814,0.394,0.527,3.5,2.625,1.87,1.638,2.039,1.779,0.925,2.321,1.035,2.169,1.635,0.911,3.093,1.299,0.257,2.754,2.148,1.436,0.059,1.335,1.887,2.407,1.055,1.568,1.378,0.375,0.122,1.972,0.574,1.465,1.986,1.77,1.233,1.417,2.488,0.313,1.201,5.217,1.082,0.78,0.951,0.923,0.586,1.88,0.695,3.336,0.363,1.458,1.765,1.446,3.081,1.12,0.949
1.343,4.054,0.321,2.888,2.754,1.114,1.021,1.204,0.155,2.603,1.741,3.082,0.378,2.548,1.248,1.301,1.587,2.512,0.159,1.822,1.914,0.288,0.013,2.489,0.316,1.683,1.42,2.935,0.659,0.608,1.578,1.764,1.589,0.179,2.497,0.083,1.401,1.254,0.807,1.028,1.701,0.747,0.66,2.337,0.229,0.196,5.363,1.243,0.747,1.756,0.831,1.513,1.708,0.491,1.762,0.945,1.323,4.175,0.26,3.381
2.927,1.859,2.308,1.375,2.079,0.366,0.48,0.857,0.041,3.087,0.547,0.948,0.406,1.596,3.014,0.608,1.413,1.381,0.741,0.858,0.821,1.693,0.319,0.119,0.312,1.065,0.478,0.406,1.921,0.008,0.029,1.275,2.012,1.415,0.939,0.83,0.436,1.326,0.704,2.64,0.015,1.221,0.682,0.022,1.17,1.097,2.065,1.097,0.476,0.008,0.963,4.046,1.721,2.121,3.223,2.42,2.924,1.445,2.064,0.725
1.086,0.795,4.26,1.003,2.024,0.036,0.253,1.161,1.417,0.075,4.155,2.699,0.739,0.056,2.273,0.705,4.884,1.273,0.557,0.86,1.764,0.99,0.658,4.531,0.183,0.208,1.599,1.04,0.708,2.669,0.115,0.042,0.58,1.062,2.794,0.67,1.651,1.443,1.324,0.763,3.518,0.593,0.651,0.393,1.949,2.583,2.284,0.84,2.52,3.233,2.284,2.275,1.813,0.396,1.97,0.509,2.355,1.021,2.724,2.477
2.702,2.132,2.414,2.25,0.855,1.01,1.524,1.295,1.064,4.227,4.16,0.982,5.463,1.429,2.279,1.677,0.088,1.511,0.583,1.448,3.042,2.039,0.245,1.275,0.018,0.961,0.951,2.497,0.882,2.985,1.757,0.656,0.445,1.45,1.9,0.565,2.243,2.208,0.685,1.26,1.317,1.359,3.817,0.047,2.319,0.066,1.997,1.935,1.464,0.411,0.257,0.817,0.346,0.587,1.561,2.053,1.586,0.833,2.393,4.228
0.263,2.305,0.984,1.536,1.091,0.253,1.459,0.342,1.176,0.11,1.477,3.682,1.384,0.41,2.183,1.773,2.626,0.158,2.32,5.727,0.934,1.602,2.139,1.731,2.53,1.692,1.265,1.235,2.341,1.073,0.385,2.336,0.332,1.532,0.56,0.287,0.156,3.279,0.471,1.055,1.629,1.324,1.182,1.293,2.135,0.238,0.873,0.298,0.487,0.813,0.197,0.352,2.025,1.31,1.206,1.734,0.7,0.33,1.113,1.539
1.105,1.583,2.512,0.052,0.358,0.84,1.916,0.943,0.983,1.534,1.692,0.965,0.661,0.263,0.487,2.004,2.501,0.285,0.879,3.725,0.953,0.739,0.357,0.97,0.864,2.188,0.764,0.184,0.695,0.745,0.629,1.704,0.427,0.993,0.388,0.413,0.242,0.719,1.043,0.387,1.402,1.193,3.689,0.219,0.213,0.175,1.39,1.514,0.255,1.385,2.4,0.811,0.543,2.273,3.268,2.6,0.915,0.059,3.376,0.216
2.985,5.041,2.38,0.265,2.139,1.561,0.605,0.693,0.907,3.443,2.972,0.919,0.984,0.474,2.085,1.623,0.169,2.539,0.252,2.645,3.377,1.042,0.698,0.494,2.679,0.742,0.621,2.586,0.609,2.052,0.413,2.243,0.532,0.18,0.729,1.089,1.797,0.822,0.026,2.494,2.594,1.877,3.58,1.399,0.813,2.737,3.06,0.137,1.459,2.361,0.751,0.405,1.834,1.227,0.685,0.025,3.95,1.413,4.029,4.583
2.44,3.12,1.556,2.025,2.845,0.175,0.947,0.22,2.728,2.815,3.232,0.197,1.23,0.036,1.716,1.685,2.009,1.286,1.576,1.269,1.975,1.985,0.342,1.706,1.581,0.041,1.258,0.22,0.72,3.827,0.282,2.029,1.335,1.866,1.648,1.116,2.234,0.726,0.402,1.469,0.577,2.024,1.068,0.703,0.061,0.177,2.521,1.109,0.269,0.795,1.198,1.662,1.581,1.398,0.912,3.428,0.39,0.196,2.745,1.614
2.493,0.906,2.081,1.18,2.005,0.11,1.307,0.371,2.917,0.173,1.753,0.461,0.181,4.095,1.336,2.934,3.702,1.193,1.377,0.134,0.066,1.03,0.702,3.806,1.835,0.645,1.034,0.397,0.731,0.691,1.146,0.211,0.688,2.298,0.793,0.544,0.78,0.417,0.826,0.515,1.302,0.65,1.479,2.704,1.597,3.778,0.972,0.186,2.266,0.148,3.314,3.108,0.933,3.087,1.797,0.508,3.567,1.833,1.223,0.14
0.633,1.893,3.659,5.199,2.522,0.457,2.621,2.154,2.141,1.566,2.148,0.231,0.265,0.91,0.784,0.217,1.38,1.973,3.253,1.329,2.406,0.147,0.867,0.528,0.559,3.269,0.233,1.678,1.573,0.179,2.066,0.534,0.345,0.565,0.946,0.23,0.248,1.798,0.349,1.919,0.186,0.013,0.259,2.437,1.204,0.347,1.87,0.932,2.744,0.948,1.16,2.512,2.432,0.576,0.05,1.288,3.245,0.317,3.506,1.997
0.422,3.547,2.804,2.349,0.946,0.002,2.018,1.693,0.412,4.316,0.525,2.732,2.369,2.519,0.451,0.085,2.179,0.772,0.86,1.287,0.752,2.365,0.678,3.385,1.902,0.449,2.059,0.118,0.407,1.447,1.154,1.01,0.1,1.495,1.309,1.85,0.292,3.655,0.956,1.524,0.508,3.085,0.877,0.18,2.038,0.594,0.275,2.349,1.126,1.123,2.08,1.345,1.758,1.315,3.798,0.681,1.026,1.283,3.238,2.196
