@RELATION BME

@ATTRIBUTE att1_err NUMERIC
@ATTRIBUTE att2_err NUMERIC
@ATTRIBUTE att3_err NUMERIC
@ATTRIBUTE att4_err NUMERIC
@ATTRIBUTE att5_err NUMERIC
@ATTRIBUTE att6_err NUMERIC
@ATTRIBUTE att7_err NUMERIC
@ATTRIBUTE att8_err NUMERIC
@ATTRIBUTE att9_err NUMERIC
@ATTRIBUTE att10_err NUMERIC
@ATTRIBUTE att11_err NUMERIC
@ATTRIBUTE att12_err NUMERIC
@ATTRIBUTE att13_err NUMERIC
@ATTRIBUTE att14_err NUMERIC
@ATTRIBUTE att15_err NUMERIC
@ATTRIBUTE att16_err NUMERIC
@ATTRIBUTE att17_err NUMERIC
@ATTRIBUTE att18_err NUMERIC
@ATTRIBUTE att19_err NUMERIC
@ATTRIBUTE att20_err NUMERIC
@ATTRIBUTE att21_err NUMERIC
@ATTRIBUTE att22_err NUMERIC
@ATTRIBUTE att23_err NUMERIC
@ATTRIBUTE att24_err NUMERIC
@ATTRIBUTE att25_err NUMERIC
@ATTRIBUTE att26_err NUMERIC
@ATTRIBUTE att27_err NUMERIC
@ATTRIBUTE att28_err NUMERIC
@ATTRIBUTE att29_err NUMERIC
@ATTRIBUTE att30_err NUMERIC
@ATTRIBUTE att31_err NUMERIC
@ATTRIBUTE att32_err NUMERIC
@ATTRIBUTE att33_err NUMERIC
@ATTRIBUTE att34_err NUMERIC
@ATTRIBUTE att35_err NUMERIC
@ATTRIBUTE att36_err NUMERIC
@ATTRIBUTE att37_err NUMERIC
@ATTRIBUTE att38_err NUMERIC
@ATTRIBUTE att39_err NUMERIC
@ATTRIBUTE att40_err NUMERIC
@ATTRIBUTE att41_err NUMERIC
@ATTRIBUTE att42_err NUMERIC
@ATTRIBUTE att43_err NUMERIC
@ATTRIBUTE att44_err NUMERIC
@ATTRIBUTE att45_err NUMERIC
@ATTRIBUTE att46_err NUMERIC
@ATTRIBUTE att47_err NUMERIC
@ATTRIBUTE att48_err NUMERIC
@ATTRIBUTE att49_err NUMERIC
@ATTRIBUTE att50_err NUMERIC
@ATTRIBUTE att51_err NUMERIC
@ATTRIBUTE att52_err NUMERIC
@ATTRIBUTE att53_err NUMERIC
@ATTRIBUTE att54_err NUMERIC
@ATTRIBUTE att55_err NUMERIC
@ATTRIBUTE att56_err NUMERIC
@ATTRIBUTE att57_err NUMERIC
@ATTRIBUTE att58_err NUMERIC
@ATTRIBUTE att59_err NUMERIC
@ATTRIBUTE att60_err NUMERIC
@ATTRIBUTE att61_err NUMERIC
@ATTRIBUTE att62_err NUMERIC
@ATTRIBUTE att63_err NUMERIC
@ATTRIBUTE att64_err NUMERIC
@ATTRIBUTE att65_err NUMERIC
@ATTRIBUTE att66_err NUMERIC
@ATTRIBUTE att67_err NUMERIC
@ATTRIBUTE att68_err NUMERIC
@ATTRIBUTE att69_err NUMERIC
@ATTRIBUTE att70_err NUMERIC
@ATTRIBUTE att71_err NUMERIC
@ATTRIBUTE att72_err NUMERIC
@ATTRIBUTE att73_err NUMERIC
@ATTRIBUTE att74_err NUMERIC
@ATTRIBUTE att75_err NUMERIC
@ATTRIBUTE att76_err NUMERIC
@ATTRIBUTE att77_err NUMERIC
@ATTRIBUTE att78_err NUMERIC
@ATTRIBUTE att79_err NUMERIC
@ATTRIBUTE att80_err NUMERIC
@ATTRIBUTE att81_err NUMERIC
@ATTRIBUTE att82_err NUMERIC
@ATTRIBUTE att83_err NUMERIC
@ATTRIBUTE att84_err NUMERIC
@ATTRIBUTE att85_err NUMERIC
@ATTRIBUTE att86_err NUMERIC
@ATTRIBUTE att87_err NUMERIC
@ATTRIBUTE att88_err NUMERIC
@ATTRIBUTE att89_err NUMERIC
@ATTRIBUTE att90_err NUMERIC
@ATTRIBUTE att91_err NUMERIC
@ATTRIBUTE att92_err NUMERIC
@ATTRIBUTE att93_err NUMERIC
@ATTRIBUTE att94_err NUMERIC
@ATTRIBUTE att95_err NUMERIC
@ATTRIBUTE att96_err NUMERIC
@ATTRIBUTE att97_err NUMERIC
@ATTRIBUTE att98_err NUMERIC
@ATTRIBUTE att99_err NUMERIC
@ATTRIBUTE att100_err NUMERIC
@ATTRIBUTE att101_err NUMERIC
@ATTRIBUTE att102_err NUMERIC
@ATTRIBUTE att103_err NUMERIC
@ATTRIBUTE att104_err NUMERIC
@ATTRIBUTE att105_err NUMERIC
@ATTRIBUTE att106_err NUMERIC
@ATTRIBUTE att107_err NUMERIC
@ATTRIBUTE att108_err NUMERIC
@ATTRIBUTE att109_err NUMERIC
@ATTRIBUTE att110_err NUMERIC
@ATTRIBUTE att111_err NUMERIC
@ATTRIBUTE att112_err NUMERIC
@ATTRIBUTE att113_err NUMERIC
@ATTRIBUTE att114_err NUMERIC
@ATTRIBUTE att115_err NUMERIC
@ATTRIBUTE att116_err NUMERIC
@ATTRIBUTE att117_err NUMERIC
@ATTRIBUTE att118_err NUMERIC
@ATTRIBUTE att119_err NUMERIC
@ATTRIBUTE att120_err NUMERIC
@ATTRIBUTE att121_err NUMERIC
@ATTRIBUTE att122_err NUMERIC
@ATTRIBUTE att123_err NUMERIC
@ATTRIBUTE att124_err NUMERIC
@ATTRIBUTE att125_err NUMERIC
@ATTRIBUTE att126_err NUMERIC
@ATTRIBUTE att127_err NUMERIC
@ATTRIBUTE att128_err NUMERIC

@DATA
0.016,0.004,0.004,0.008,0.003,0.079,0.151,0.04,0.349,0.044,0.011,0.043,0.546,0.478,0.117,0.167,0.144,0.154,0.139,0.036,0.009,0.001,0.012,0.009,0.018,0.015,0.028,0.022,0.002,0.009,0.008,0.011,0.004,0.024,0.06,0.177,0.086,0.494,0.062,0.186,0.389,1.047,0.409,0.402,0.118,0.25,0.65,0.384,1.52,0.148,0.371,0.689,1.62,0.469,0.025,1.177,0.358,0.179,0.283,0.739,0.051,0.236,0.185,0.706,0.342,0.146,1.354,1.299,0.96,0.384,0.421,0.437,0.305,0.795,1.015,0.33,1.44,0.471,0.615,0.411,1.156,0.644,0.847,0.644,0.621,0.2,0.609,0.91,0.774,0.315,0.005,0.418,0.226,0.154,0.716,0.319,0.047,0.293,0.106,0.302,0.079,0.017,0.103,0.109,0.039,0.014,0.104,0.083,0.068,0.383,0.0,0.461,0.174,0.329,0.381,0.143,0.0,0.456,0.212,0.01,0.04,0.011,0.013,0.014,0.031,0.01,0.011,0.011
0.008,0.038,0.009,0.018,0.0,0.059,0.013,0.007,0.126,0.308,0.034,0.005,0.06,0.275,0.172,0.043,0.125,0.075,0.045,0.011,0.009,0.012,0.002,0.012,0.004,0.009,0.008,0.008,0.026,0.009,0.004,0.005,0.021,0.029,0.122,0.162,0.084,0.478,0.757,0.49,1.065,0.229,0.041,0.032,0.453,0.333,1.223,0.219,1.642,0.961,1.075,0.525,0.678,0.61,0.617,0.661,0.231,1.203,0.971,0.615,0.51,0.523,0.245,0.431,0.703,0.402,0.609,0.734,0.591,0.481,0.091,0.879,0.119,1.466,1.211,0.754,2.088,0.814,0.833,0.31,0.827,0.482,0.574,0.94,0.384,0.411,0.487,0.013,0.404,0.996,0.412,0.142,0.227,0.11,0.108,0.416,0.063,0.971,0.373,0.322,0.388,0.025,0.017,0.095,0.016,0.035,0.041,0.07,0.024,0.434,0.125,0.037,0.354,0.062,0.098,0.21,0.085,0.499,0.105,0.059,0.08,0.058,0.004,0.002,0.01,0.001,0.001,0.004
0.003,0.024,0.003,0.027,0.0,0.034,0.155,0.227,0.326,0.174,0.561,0.11,0.142,0.023,0.194,0.01,0.225,0.032,0.166,0.094,0.029,0.009,0.003,0.01,0.016,0.025,0.011,0.015,0.003,0.02,0.01,0.006,0.003,0.066,0.053,0.222,0.342,0.447,0.087,0.349,0.39,0.294,0.107,0.782,0.868,1.151,0.11,0.777,0.828,0.913,0.438,0.152,0.183,1.284,1.934,0.32,0.797,0.545,0.236,0.113,0.454,1.375,0.738,0.159,1.145,0.293,0.068,0.555,0.703,1.127,0.778,2.491,0.22,0.612,1.198,1.232,0.642,0.312,1.153,0.726,1.213,1.128,0.113,0.228,0.24,0.971,0.015,1.263,0.509,0.257,0.416,0.073,0.374,0.471,0.263,0.404,0.142,0.189,0.211,0.328,0.038,0.018,0.092,0.001,0.036,0.01,0.003,0.033,0.058,0.135,0.082,0.246,0.102,0.173,0.148,0.107,0.268,0.112,0.089,0.053,0.07,0.009,0.028,0.012,0.031,0.01,0.002,0.006
0.009,0.009,0.011,0.017,0.002,0.035,0.183,0.046,0.016,0.17,0.168,0.314,0.28,0.447,0.121,0.046,0.34,0.132,0.005,0.003,0.025,0.001,0.008,0.004,0.0,0.011,0.006,0.024,0.009,0.003,0.003,0.0,0.038,0.042,0.173,0.126,0.112,0.016,0.218,0.533,0.302,0.72,0.435,0.024,0.135,1.212,1.096,1.637,0.218,0.032,0.438,0.252,0.57,0.268,0.141,1.959,0.685,0.454,1.719,1.586,1.29,0.217,0.682,0.556,0.102,1.065,0.769,0.249,0.375,1.608,0.249,1.455,0.837,0.715,1.304,0.197,0.891,0.081,0.76,0.978,0.523,0.756,0.208,0.005,0.623,0.046,0.549,0.036,0.23,0.464,0.025,0.078,0.056,0.24,0.014,0.054,0.203,0.13,0.488,0.218,0.539,0.143,0.129,0.02,0.063,0.028,0.048,0.171,0.126,0.008,0.09,0.126,0.231,0.123,0.292,0.166,0.301,0.019,0.224,0.069,0.053,0.072,0.007,0.007,0.015,0.008,0.01,0.004
0.03,0.001,0.016,0.015,0.023,0.012,0.026,0.129,0.183,0.039,0.269,0.254,0.213,0.666,0.015,0.635,0.084,0.271,0.052,0.023,0.04,0.001,0.029,0.006,0.007,0.011,0.016,0.006,0.004,0.001,0.003,0.008,0.017,0.009,0.016,0.27,0.053,0.014,0.231,0.115,0.38,0.331,0.607,0.178,1.017,0.017,0.173,0.979,2.101,0.531,1.183,1.907,0.144,0.037,0.002,1.049,0.142,1.694,0.642,0.612,0.226,0.18,1.131,0.906,0.111,0.116,1.392,0.487,1.71,0.241,1.057,0.728,1.077,0.532,0.481,0.383,1.12,0.776,1.433,0.706,2.048,0.165,0.733,0.128,0.375,0.069,0.515,0.452,0.807,0.626,0.105,0.032,0.443,0.134,0.112,0.161,0.359,0.063,0.044,0.205,0.19,0.317,0.089,0.0,0.04,0.033,0.012,0.052,0.013,0.145,0.221,0.341,0.611,0.393,0.346,0.134,0.19,0.158,0.24,0.101,0.012,0.032,0.017,0.002,0.009,0.008,0.01,0.014
0.012,0.014,0.005,0.001,0.011,0.15,0.328,0.009,0.101,0.341,0.031,0.439,0.288,0.929,0.179,0.543,0.323,0.14,0.021,0.012,0.003,0.009,0.015,0.014,0.002,0.007,0.016,0.01,0.009,0.001,0.024,0.013,0.021,0.03,0.004,0.105,0.198,0.08,0.237,0.789,0.363,0.447,0.862,1.325,0.551,0.163,0.986,0.065,1.941,0.11,0.579,0.212,0.969,0.794,0.434,0.608,0.29,0.063,0.891,0.905,1.924,0.417,1.032,1.557,0.437,0.732,0.634,0.497,0.902,0.3,0.274,0.375,0.268,1.178,0.932,0.244,0.394,1.164,0.092,0.213,1.662,1.036,0.123,1.16,0.144,0.054,0.727,0.434,0.004,0.45,0.122,0.177,0.774,0.31,0.386,0.037,0.054,0.265,0.018,0.191,0.347,0.181,0.198,0.007,0.046,0.047,0.116,0.038,0.343,0.426,0.027,0.389,0.141,0.346,0.025,0.276,0.131,0.119,0.047,0.045,0.016,0.019,0.053,0.014,0.005,0.001,0.016,0.003
0.004,0.016,0.018,0.008,0.024,0.018,0.071,0.16,0.228,0.353,0.033,0.08,0.288,0.143,0.011,0.031,0.071,0.029,0.131,0.044,0.011,0.027,0.005,0.023,0.002,0.004,0.019,0.008,0.012,0.022,0.018,0.009,0.005,0.006,0.11,0.157,0.063,0.597,0.033,0.489,1.085,0.666,0.238,0.518,0.105,0.988,0.187,1.013,1.355,0.522,1.264,0.917,1.343,1.117,0.047,0.729,0.415,0.955,1.899,0.083,0.666,0.52,1.048,0.047,0.673,0.065,0.782,0.844,0.898,0.189,0.451,1.812,0.199,0.468,0.147,1.234,0.376,0.54,1.237,1.477,0.093,1.21,0.268,0.965,0.704,0.513,0.567,0.046,0.376,0.772,0.188,0.078,0.033,0.23,0.27,0.16,0.153,0.385,0.23,0.325,0.295,0.239,0.121,0.01,0.004,0.004,0.056,0.113,0.08,0.09,0.002,0.038,0.06,0.205,0.242,0.127,0.016,0.034,0.168,0.099,0.035,0.005,0.023,0.008,0.004,0.001,0.002,0.0
0.017,0.01,0.013,0.005,0.013,0.102,0.175,0.176,0.126,0.116,0.174,0.111,0.305,0.342,0.094,0.145,0.117,0.279,0.109,0.052,0.026,0.009,0.002,0.011,0.019,0.001,0.021,0.023,0.008,0.027,0.019,0.013,0.008,0.058,0.015,0.089,0.017,0.66,0.67,0.249,0.292,0.721,0.927,0.042,0.648,0.05,0.308,0.209,0.037,1.144,0.678,0.177,0.403,0.467,0.245,0.378,0.948,0.068,1.455,0.81,0.765,0.128,1.516,0.758,0.263,0.666,0.455,1.652,0.827,0.299,0.405,0.898,0.469,0.449,0.804,0.488,0.065,0.3,0.779,0.12,0.501,0.842,0.209,0.038,0.003,0.093,1.021,0.384,0.374,0.537,0.084,0.008,0.678,0.268,0.572,0.32,0.247,0.164,0.227,0.369,0.553,0.176,0.076,0.002,0.058,0.002,0.003,0.032,0.454,0.338,0.158,0.116,0.169,0.47,0.337,0.266,0.09,0.278,0.057,0.133,0.027,0.02,0.007,0.008,0.005,0.004,0.006,0.002
0.014,0.0,0.001,0.016,0.005,0.055,0.016,0.257,0.078,0.258,0.072,0.469,0.389,0.013,0.04,0.224,0.272,0.182,0.09,0.052,0.016,0.002,0.02,0.015,0.009,0.008,0.011,0.009,0.01,0.003,0.009,0.022,0.015,0.079,0.05,0.03,0.113,0.426,0.165,0.163,1.439,0.252,1.272,2.248,0.328,0.748,0.056,0.371,0.66,0.299,0.051,0.582,0.644,0.097,0.634,1.253,0.129,0.21,0.561,1.202,2.059,0.558,0.959,0.168,0.188,1.432,0.149,1.062,0.142,0.097,0.134,0.862,0.607,0.178,1.164,0.488,1.029,0.366,0.372,0.176,1.396,0.398,1.041,0.664,1.199,0.351,0.377,0.996,0.13,0.095,0.318,0.522,0.364,0.489,0.126,0.183,0.526,0.189,0.108,0.222,0.041,0.078,0.396,0.074,0.037,0.003,0.129,0.027,0.038,0.045,0.46,0.209,0.091,0.349,0.072,0.234,0.434,0.009,0.113,0.12,0.1,0.012,0.006,0.011,0.006,0.012,0.001,0.004
0.003,0.007,0.001,0.004,0.006,0.068,0.19,0.204,0.221,0.275,0.295,0.245,0.297,0.05,0.408,0.134,0.088,0.108,0.004,0.081,0.069,0.015,0.015,0.011,0.003,0.005,0.026,0.006,0.006,0.018,0.015,0.012,0.017,0.03,0.012,0.085,0.019,0.083,0.256,0.581,0.339,0.803,0.008,0.145,0.787,1.248,0.796,0.206,0.927,0.162,0.405,0.441,0.969,1.355,1.639,1.085,0.758,0.137,0.463,0.074,1.098,0.832,0.244,0.245,0.71,0.673,0.662,1.471,1.454,2.112,1.201,0.647,2.324,0.325,1.343,0.339,0.788,1.342,0.17,0.046,1.02,1.059,1.172,1.089,0.721,0.44,0.141,0.308,0.438,0.012,0.172,0.711,0.512,0.36,0.423,0.142,0.061,0.09,0.212,0.046,0.039,0.197,0.047,0.009,0.028,0.033,0.066,0.082,0.264,0.213,0.032,0.203,0.238,0.285,0.617,0.377,0.506,0.064,0.09,0.034,0.033,0.087,0.01,0.021,0.006,0.007,0.003,0.008
