@RELATION SyntheticControl

@ATTRIBUTE att1_err NUMERIC
@ATTRIBUTE att2_err NUMERIC
@ATTRIBUTE att3_err NUMERIC
@ATTRIBUTE att4_err NUMERIC
@ATTRIBUTE att5_err NUMERIC
@ATTRIBUTE att6_err NUMERIC
@ATTRIBUTE att7_err NUMERIC
@ATTRIBUTE att8_err NUMERIC
@ATTRIBUTE att9_err NUMERIC
@ATTRIBUTE att10_err NUMERIC
@ATTRIBUTE att11_err NUMERIC
@ATTRIBUTE att12_err NUMERIC
@ATTRIBUTE att13_err NUMERIC
@ATTRIBUTE att14_err NUMERIC
@ATTRIBUTE att15_err NUMERIC
@ATTRIBUTE att16_err NUMERIC
@ATTRIBUTE att17_err NUMERIC
@ATTRIBUTE att18_err NUMERIC
@ATTRIBUTE att19_err NUMERIC
@ATTRIBUTE att20_err NUMERIC
@ATTRIBUTE att21_err NUMERIC
@ATTRIBUTE att22_err NUMERIC
@ATTRIBUTE att23_err NUMERIC
@ATTRIBUTE att24_err NUMERIC
@ATTRIBUTE att25_err NUMERIC
@ATTRIBUTE att26_err NUMERIC
@ATTRIBUTE att27_err NUMERIC
@ATTRIBUTE att28_err NUMERIC
@ATTRIBUTE att29_err NUMERIC
@ATTRIBUTE att30_err NUMERIC
@ATTRIBUTE att31_err NUMERIC
@ATTRIBUTE att32_err NUMERIC
@ATTRIBUTE att33_err NUMERIC
@ATTRIBUTE att34_err NUMERIC
@ATTRIBUTE att35_err NUMERIC
@ATTRIBUTE att36_err NUMERIC
@ATTRIBUTE att37_err NUMERIC
@ATTRIBUTE att38_err NUMERIC
@ATTRIBUTE att39_err NUMERIC
@ATTRIBUTE att40_err NUMERIC
@ATTRIBUTE att41_err NUMERIC
@ATTRIBUTE att42_err NUMERIC
@ATTRIBUTE att43_err NUMERIC
@ATTRIBUTE att44_err NUMERIC
@ATTRIBUTE att45_err NUMERIC
@ATTRIBUTE att46_err NUMERIC
@ATTRIBUTE att47_err NUMERIC
@ATTRIBUTE att48_err NUMERIC
@ATTRIBUTE att49_err NUMERIC
@ATTRIBUTE att50_err NUMERIC
@ATTRIBUTE att51_err NUMERIC
@ATTRIBUTE att52_err NUMERIC
@ATTRIBUTE att53_err NUMERIC
@ATTRIBUTE att54_err NUMERIC
@ATTRIBUTE att55_err NUMERIC
@ATTRIBUTE att56_err NUMERIC
@ATTRIBUTE att57_err NUMERIC
@ATTRIBUTE att58_err NUMERIC
@ATTRIBUTE att59_err NUMERIC
@ATTRIBUTE att60_err NUMERIC

@DATA
1.067,0.347,0.076,2.294,0.157,0.12,0.414,1.166,0.71,1.106,0.208,0.225,0.536,0.419,0.443,0.506,0.313,0.939,0.163,0.294,0.651,0.627,0.338,0.538,0.017,1.086,0.059,0.419,0.133,0.751,1.155,0.543,1.336,0.521,0.623,0.633,0.071,0.238,0.725,0.719,0.404,0.526,0.829,0.159,0.243,0.078,2.306,1.301,0.94,0.709,1.249,0.281,1.149,0.919,1.196,0.352,1.112,1.331,0.338,0.645
1.195,1.504,0.536,0.766,0.154,1.169,0.102,0.231,0.744,0.881,0.185,1.057,0.429,0.008,0.135,0.573,1.01,0.504,0.865,0.5,1.121,1.008,0.949,1.104,0.183,0.452,0.115,0.81,0.42,0.394,0.649,0.892,1.302,0.141,0.36,0.248,0.16,0.988,0.468,0.187,0.823,0.63,0.003,0.284,0.369,0.864,0.289,0.467,0.259,1.026,0.344,0.047,0.22,0.677,1.331,0.443,0.647,0.565,1.279,0.959
0.029,0.936,2.005,0.965,0.063,0.207,2.09,0.107,0.053,1.321,0.941,0.703,0.569,1.081,0.47,0.006,1.414,1.208,0.415,0.554,0.567,1.159,0.025,0.073,1.328,0.371,0.751,0.219,0.793,0.472,0.85,0.991,0.928,0.739,0.181,0.218,0.678,0.167,0.259,0.439,0.119,0.909,0.226,0.569,1.35,0.326,0.136,0.522,0.042,1.025,0.841,0.57,0.088,0.258,2.063,1.279,0.87,0.869,0.651,1.04
0.026,0.264,1.249,0.24,1.087,0.528,1.415,0.124,0.146,0.054,0.426,0.118,0.6,0.376,0.075,0.764,0.761,0.771,0.805,0.918,0.682,0.111,0.417,0.579,0.019,0.103,0.357,0.355,0.528,0.321,0.829,0.518,1.135,0.088,0.423,0.011,0.479,0.687,0.527,0.432,0.173,0.561,0.761,1.673,0.176,0.581,0.169,0.171,0.226,0.86,0.078,0.56,0.461,0.918,1.743,0.192,0.25,0.62,0.186,0.929
0.952,1.008,0.805,0.516,1.347,2.103,0.479,1.276,0.845,1.178,0.714,0.623,0.709,0.507,0.005,0.034,0.225,0.204,1.307,0.644,0.832,0.727,0.379,0.651,0.825,0.061,0.527,0.534,0.001,0.009,0.444,0.222,0.145,0.17,0.019,0.647,0.087,0.655,0.33,0.037,0.559,0.725,0.781,0.7,1.169,0.262,0.318,0.423,1.104,1.343,1.049,0.197,0.993,0.742,1.104,1.544,2.835,0.562,0.012,0.234
0.725,0.119,0.07,0.723,0.395,0.414,0.799,1.43,0.498,1.229,1.515,0.69,0.499,0.784,1.714,0.37,0.152,0.172,1.494,1.048,0.742,1.044,0.992,0.497,0.204,0.403,0.383,0.617,0.573,0.78,0.383,0.172,0.484,0.218,0.827,0.205,0.157,0.073,0.034,0.36,0.169,0.153,0.932,1.068,0.121,0.042,0.923,1.053,1.034,0.784,1.132,0.287,0.324,1.502,0.522,0.939,1.307,0.072,0.159,0.286
0.856,0.419,0.494,0.235,0.303,0.206,0.49,0.235,0.129,0.91,0.365,0.9,0.078,0.189,0.503,0.093,1.295,0.782,0.361,0.236,0.773,0.9,0.188,1.104,0.044,0.026,0.192,0.326,1.018,0.642,0.85,0.672,0.23,0.33,1.485,1.091,0.034,0.255,0.1,0.24,0.872,0.176,1.383,0.039,2.529,0.596,0.342,0.003,1.634,0.575,0.844,0.044,0.437,1.212,0.036,1.202,1.618,0.143,0.214,0.736
1.994,1.914,1.332,0.532,0.26,0.582,0.15,0.365,0.317,0.401,1.256,1.346,1.226,0.089,0.178,1.16,1.238,0.517,1.313,0.844,0.877,0.63,0.885,0.27,0.478,0.23,0.003,0.012,0.259,0.78,0.751,0.013,0.125,0.598,0.829,0.06,0.605,0.021,0.35,0.375,0.124,1.744,1.459,0.577,1.199,0.402,1.041,1.994,0.112,0.011,0.242,0.156,1.005,0.775,1.033,1.992,1.953,0.092,0.622,0.113
1.292,1.79,1.87,1.081,0.378,0.567,0.851,1.494,1.157,1.129,1.439,0.499,0.269,0.279,1.306,1.41,1.092,0.572,0.485,0.699,0.445,0.528,0.355,0.343,0.604,0.043,0.246,0.128,0.155,1.519,0.276,1.185,1.196,1.069,0.877,0.685,0.096,0.979,1.154,0.255,0.545,0.019,0.191,0.404,0.044,0.061,0.211,1.501,0.233,0.603,0.345,0.35,0.28,1.003,0.201,0.17,0.329,0.772,0.02,0.141
0.724,1.112,0.739,0.222,1.316,0.404,0.079,0.541,1.112,0.549,0.55,0.719,0.428,0.135,0.946,0.267,0.063,0.201,0.68,0.416,0.722,0.002,0.981,0.378,0.092,0.24,0.75,0.315,0.145,0.002,1.143,0.151,0.292,0.709,0.27,1.577,0.196,0.346,0.67,0.222,0.366,1.901,0.473,0.241,0.93,0.001,2.542,0.245,0.114,0.374,0.084,0.294,2.116,1.241,0.002,0.219,0.193,1.194,0.468,0.543
