@RELATION SyntheticControl

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE att4 NUMERIC
@ATTRIBUTE att5 NUMERIC
@ATTRIBUTE att6 NUMERIC
@ATTRIBUTE att7 NUMERIC
@ATTRIBUTE att8 NUMERIC
@ATTRIBUTE att9 NUMERIC
@ATTRIBUTE att10 NUMERIC
@ATTRIBUTE att11 NUMERIC
@ATTRIBUTE att12 NUMERIC
@ATTRIBUTE att13 NUMERIC
@ATTRIBUTE att14 NUMERIC
@ATTRIBUTE att15 NUMERIC
@ATTRIBUTE att16 NUMERIC
@ATTRIBUTE att17 NUMERIC
@ATTRIBUTE att18 NUMERIC
@ATTRIBUTE att19 NUMERIC
@ATTRIBUTE att20 NUMERIC
@ATTRIBUTE att21 NUMERIC
@ATTRIBUTE att22 NUMERIC
@ATTRIBUTE att23 NUMERIC
@ATTRIBUTE att24 NUMERIC
@ATTRIBUTE att25 NUMERIC
@ATTRIBUTE att26 NUMERIC
@ATTRIBUTE att27 NUMERIC
@ATTRIBUTE att28 NUMERIC
@ATTRIBUTE att29 NUMERIC
@ATTRIBUTE att30 NUMERIC
@ATTRIBUTE att31 NUMERIC
@ATTRIBUTE att32 NUMERIC
@ATTRIBUTE att33 NUMERIC
@ATTRIBUTE att34 NUMERIC
@ATTRIBUTE att35 NUMERIC
@ATTRIBUTE att36 NUMERIC
@ATTRIBUTE att37 NUMERIC
@ATTRIBUTE att38 NUMERIC
@ATTRIBUTE att39 NUMERIC
@ATTRIBUTE att40 NUMERIC
@ATTRIBUTE att41 NUMERIC
@ATTRIBUTE att42 NUMERIC
@ATTRIBUTE att43 NUMERIC
@ATTRIBUTE att44 NUMERIC
@ATTRIBUTE att45 NUMERIC
@ATTRIBUTE att46 NUMERIC
@ATTRIBUTE att47 NUMERIC
@ATTRIBUTE att48 NUMERIC
@ATTRIBUTE att49 NUMERIC
@ATTRIBUTE att50 NUMERIC
@ATTRIBUTE att51 NUMERIC
@ATTRIBUTE att52 NUMERIC
@ATTRIBUTE att53 NUMERIC
@ATTRIBUTE att54 NUMERIC
@ATTRIBUTE att55 NUMERIC
@ATTRIBUTE att56 NUMERIC
@ATTRIBUTE att57 NUMERIC
@ATTRIBUTE att58 NUMERIC
@ATTRIBUTE att59 NUMERIC
@ATTRIBUTE att60 NUMERIC
@ATTRIBUTE target {1.0, 2.0, 3.0, 4.0, 5.0, 6.0}

@DATA
-0.227,1.029,0.328,0.348,-0.326,0.998,-1.303,-0.477,1.558,-1.118,0.772,-0.477,1.549,0.328,1.244,0.758,1.236,-1.001,-0.762,-1.056,-1.178,-0.24,0.23,-0.172,0.942,-1.429,-0.298,-1.644,-1.191,1.318,-1.423,-0.984,1.671,-0.544,-0.064,-1.188,-1.086,0.969,0.164,-1.258,1.489,-1.022,-0.277,0.57,0.274,1.835,-0.674,-0.112,1.599,-0.17,0.589,-1.611,0.999,-1.448,1.26,0.935,0.698,0.873,-1.111,-1.193,1.0
0.102,-0.058,-1.032,-1.529,-0.348,-0.369,-1.195,1.014,-1.139,-0.592,0.767,-0.715,-0.609,-0.812,-1.606,1.348,0.578,0.945,0.536,1.467,-0.187,0.557,1.65,0.822,-1.549,0.255,0.698,-0.769,0.508,-0.22,-0.579,-1.183,-0.794,-1.011,0.71,-1.363,-0.536,-1.304,-0.737,1.761,1.159,0.497,-0.862,-0.354,0.468,-0.739,0.083,2.03,1.423,-0.617,1.349,-0.735,-0.916,1.086,-1.065,0.24,0.62,1.379,-0.078,0.126,1.0
-0.808,-0.454,0.934,-1.349,-2.361,-0.482,1.424,1.507,-1.695,0.872,-0.778,-1.845,1.007,1.346,-1.546,-0.327,0.919,0.489,0.108,-1.119,-0.598,0.276,1.447,0.695,-1.696,0.665,-0.708,0.716,1.482,-0.593,0.624,0.769,-0.908,-0.275,-0.36,0.132,-1.978,0.89,0.771,0.628,0.202,-0.743,1.124,1.298,1.017,-1.285,-0.425,-1.77,0.428,1.176,-0.783,-0.862,1.449,-0.838,1.266,-0.259,0.958,0.474,0.009,0.216,1.0
-0.169,-0.194,0.414,1.626,0.824,-0.253,1.727,0.916,-0.183,-1.218,1.399,1.236,-0.095,-0.86,0.642,0.562,0.974,-1.379,-0.093,-0.582,-1.155,-1.262,-0.741,-0.645,-0.041,0.407,-0.82,-0.679,1.137,-1.149,-1.418,1.348,0.782,0.709,-1.911,0.008,-1.312,-0.371,1.022,0.66,0.396,1.68,0.462,-0.971,0.942,0.812,-1.45,0.845,-0.152,-1.542,0.286,-1.503,0.277,1.24,-1.141,-0.929,1.649,-1.019,0.049,-0.726,1.0
1.487,1.761,1.317,-0.272,-1.104,0.522,0.672,1.925,-0.291,-1.35,-0.186,-0.28,-0.387,1.402,-0.674,-1.171,0.656,1.241,1.144,-1.159,0.929,-0.783,-1.37,0.315,-0.36,-0.508,0.691,-1.052,0.504,0.16,1.691,1.673,-0.923,-1.533,-1.067,-0.105,-1.604,0.41,-1.464,0.209,-0.127,0.678,-1.458,0.029,-0.676,-0.963,0.603,1.29,-1.477,0.655,0.766,1.308,-1.878,-1.474,1.73,-0.921,0.088,-0.145,0.615,0.712,1.0
1.633,1.812,0.416,0.184,-1.368,-1.132,-1.629,1.323,-1.992,-1.031,1.185,-0.27,-0.898,1.594,0.38,0.779,-1.647,1.042,1.018,1.269,0.557,-1.557,0.674,1.253,-0.811,1.341,-0.981,1.62,0.334,-0.1,0.802,0.991,0.269,-1.126,-0.374,0.754,-0.337,0.702,0.952,-1.453,-0.788,0.658,-1.815,0.326,-0.617,-1.118,-1.257,-1.646,-0.01,-1.425,0.313,-1.463,0.128,-0.429,0.546,-0.922,1.314,-0.279,0.177,-0.071,1.0
1.548,0.9,-1.739,-1.044,-1.278,1.545,0.288,-0.444,-1.097,-1.607,1.68,0.804,0.356,-0.138,-0.781,-0.856,0.745,0.889,-0.212,1.676,0.146,0.23,-0.8,-1.183,0.631,1.134,1.062,-0.372,-0.94,-0.312,-0.288,0.483,-2.024,-0.306,0.865,-1.239,1.28,1.758,0.663,-0.314,0.164,0.518,0.066,0.217,-1.32,1.103,-1.634,-1.414,0.058,-0.734,1.209,-0.028,1.474,1.01,-1.541,-0.829,0.164,-0.818,0.384,0.761,1.0
-1.666,0.964,1.649,0.057,-0.215,1.03,0.138,-1.534,-1.618,1.316,0.243,1.192,0.339,1.201,1.086,-0.101,0.113,-1.114,-0.378,-1.329,1.439,-0.754,0.493,-1.223,1.733,-0.256,0.174,-1.228,1.624,-0.901,-1.399,-0.34,-0.995,0.016,0.13,0.139,-1.613,0.502,-0.512,-0.946,-0.321,1.457,-0.418,0.908,-0.35,1.258,-1.389,0.78,-0.885,-1.1,0.308,-0.731,0.67,1.829,-0.684,1.557,-0.434,0.421,1.7,-0.943,1.0
-1.481,-0.888,-0.99,-1.669,1.195,-1.508,-0.236,0.768,-1.148,-0.092,-0.673,0.94,-0.337,0.087,0.572,-0.661,-1.087,1.328,1.497,0.156,-1.684,-1.152,-0.186,-0.3,-0.882,-0.935,1.165,1.023,0.239,1.028,-0.394,0.806,0.779,1.032,1.005,0.228,-1.231,-1.673,-0.156,0.431,1.509,1.57,-1.059,0.161,0.72,1.629,0.085,1.28,-1.541,0.122,-0.246,-0.448,-1.726,1.284,0.21,0.759,-2.011,0.683,-0.019,1.412,1.0
-0.646,0.547,0.235,-0.859,0.086,0.849,-1.134,0.232,1.297,1.519,1.208,-0.041,-0.47,-0.199,0.014,-0.274,1.894,1.234,-0.347,-0.653,-0.46,-1.419,-0.876,0.311,-0.418,0.221,-1.557,0.067,-0.815,-1.041,0.74,0.027,-0.921,1.475,1.051,0.093,0.639,1.168,-1.254,-1.528,0.031,1.568,-1.432,-0.202,0.375,2.063,1.286,-1.089,0.417,0.677,-1.005,-1.851,0.045,-1.343,0.48,0.496,-0.223,0.091,1.661,-0.62,1.0
