@RELATION SmoothSubspace

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE att4 NUMERIC
@ATTRIBUTE att5 NUMERIC
@ATTRIBUTE att6 NUMERIC
@ATTRIBUTE att7 NUMERIC
@ATTRIBUTE att8 NUMERIC
@ATTRIBUTE att9 NUMERIC
@ATTRIBUTE att10 NUMERIC
@ATTRIBUTE att11 NUMERIC
@ATTRIBUTE att12 NUMERIC
@ATTRIBUTE att13 NUMERIC
@ATTRIBUTE att14 NUMERIC
@ATTRIBUTE att15 NUMERIC
@ATTRIBUTE target {1.0, 2.0, 3.0}

@DATA
0.881,0.391,0.988,0.715,0.268,1.18,0.677,0.174,0.538,0.531,-0.386,-1.426,0.216,1.433,0.424,1.0
0.529,0.66,0.267,0.539,0.586,0.347,0.395,-0.03,0.78,0.717,2.303,0.239,1.064,-0.076,0.548,1.0
0.354,1.022,0.827,0.121,1.142,0.442,0.304,0.286,0.832,0.116,0.558,2.142,0.163,0.75,0.159,1.0
0.87,0.312,0.777,0.653,1.054,0.557,0.649,-0.209,0.157,0.487,0.67,0.486,0.767,0.81,-0.529,1.0
0.82,0.467,0.729,0.474,0.526,0.859,0.193,0.542,0.195,0.442,0.59,0.168,0.602,-0.611,1.246,1.0
0.52,0.472,0.708,0.458,0.628,0.777,0.132,0.478,0.048,0.2,0.152,0.063,1.175,0.8,0.866,1.0
0.293,0.541,0.563,0.823,1.466,0.651,0.274,0.157,0.451,0.455,1.166,0.804,0.328,0.796,1.915,1.0
-0.03,0.466,-0.042,0.62,0.126,-1.024,1.303,0.213,-0.122,-0.557,0.371,0.742,0.72,0.28,0.225,1.0
1.181,0.747,-0.258,0.496,0.678,-0.033,0.459,0.862,0.93,0.547,-0.184,0.088,0.388,0.049,0.152,1.0
0.528,0.567,0.157,0.648,0.738,0.336,-0.455,0.495,0.315,0.901,1.031,0.508,0.47,0.969,0.758,1.0
0.436,0.797,0.666,0.288,0.63,1.221,0.595,0.444,0.533,0.969,0.91,0.645,0.296,0.634,-0.609,1.0
0.459,0.316,0.379,0.598,0.895,0.858,2.6,0.638,0.142,0.322,-0.407,0.722,0.466,0.438,1.2,1.0
0.728,0.467,1.423,0.558,0.548,0.659,0.805,0.468,1.154,1.597,0.924,0.588,0.578,-0.148,0.833,1.0
0.611,0.539,0.722,0.329,0.639,1.165,0.652,0.158,0.57,0.742,0.181,0.719,1.255,1.145,0.339,1.0
0.754,0.608,0.979,0.633,0.726,0.559,0.002,0.335,1.027,1.366,0.34,0.21,-0.058,0.869,0.849,1.0
0.431,0.916,0.753,0.68,1.222,0.355,1.184,-0.43,0.548,0.675,2.372,0.569,3.824,0.234,0.33,1.0
1.052,0.189,0.774,0.33,-0.071,0.411,0.224,0.577,0.874,0.864,0.308,0.573,0.466,0.51,0.364,1.0
0.377,1.45,-0.293,0.37,0.38,0.399,-2.034,0.386,0.395,0.451,0.35,0.318,1.006,0.619,0.575,1.0
-0.347,0.778,0.919,0.842,0.396,0.884,0.158,0.065,0.395,0.673,0.985,0.962,0.332,-0.048,1.136,1.0
0.472,0.889,0.27,0.489,0.53,0.296,1.087,0.717,1.084,1.486,0.53,0.629,-0.209,0.666,-0.054,1.0
0.764,0.903,0.584,0.407,0.411,-0.285,1.813,0.175,-0.82,0.775,0.587,1.286,0.32,0.597,-0.022,1.0
0.388,0.567,0.925,0.456,0.175,-0.566,0.937,0.733,0.353,0.824,0.525,0.449,0.32,0.793,0.036,1.0
0.482,0.791,0.747,0.652,0.592,0.521,1.041,0.114,0.455,0.799,0.663,0.868,0.211,-0.549,0.614,1.0
0.63,0.719,0.327,0.525,0.164,-0.49,0.365,-0.776,0.916,0.844,0.31,0.349,-0.15,0.432,0.753,1.0
-0.431,0.219,0.647,0.83,0.486,0.752,1.071,0.469,0.685,1.003,0.763,0.637,0.767,-1.562,0.335,1.0
0.814,0.717,0.52,0.064,0.618,-0.297,0.357,0.17,0.301,1.042,0.155,-1.496,0.491,0.878,0.942,1.0
0.355,0.767,0.919,0.124,0.578,0.334,1.436,0.48,0.752,0.593,0.847,0.665,-0.107,-1.247,0.421,1.0
0.286,0.708,0.909,0.688,0.553,0.967,0.13,-0.125,0.556,0.221,0.876,1.138,-1.178,0.067,-0.25,1.0
0.539,0.696,-0.746,0.253,0.377,1.199,0.838,0.947,0.88,0.151,2.795,0.054,0.778,1.003,0.08,1.0
0.698,0.592,0.949,0.231,-0.219,0.463,-0.356,0.485,0.167,0.818,0.987,0.873,0.039,0.402,0.238,1.0
0.664,1.519,1.665,0.549,0.212,0.022,0.652,-0.052,0.905,0.562,0.662,0.917,0.843,0.253,0.924,1.0
0.688,0.622,0.769,0.644,0.948,0.76,0.304,0.3,0.932,0.651,0.825,0.537,0.173,0.123,2.638,1.0
0.481,0.967,0.622,0.072,0.522,0.169,1.017,0.205,-0.158,1.361,0.493,0.825,0.144,0.396,-0.867,1.0
0.476,0.476,0.386,0.068,1.316,0.425,0.259,0.52,0.081,1.574,-0.002,-0.225,1.298,0.723,1.031,1.0
1.234,0.504,2.325,0.431,0.102,1.188,0.828,0.278,1.682,0.135,0.444,0.701,1.041,0.117,0.446,1.0
-0.144,0.429,0.799,0.592,0.533,0.746,0.047,1.206,0.546,0.767,0.934,0.359,-0.464,0.251,0.933,1.0
0.985,0.617,0.296,1.659,0.638,-0.049,-0.164,0.123,0.806,0.88,0.912,0.503,-0.012,0.865,-0.049,1.0
0.575,0.613,0.71,-0.816,1.791,0.471,-0.318,0.758,0.555,0.376,0.513,0.028,0.085,0.245,0.854,1.0
0.32,0.172,0.663,0.765,0.432,1.345,0.283,0.093,-0.35,0.695,0.577,0.993,0.206,0.172,0.043,1.0
0.601,0.59,0.804,0.224,0.131,-0.191,0.604,1.677,0.598,0.202,-0.159,0.734,0.709,-0.057,0.604,1.0
0.277,1.005,0.072,0.311,0.377,0.386,1.144,0.24,0.016,0.674,0.847,0.322,0.773,1.035,-0.228,1.0
0.84,-0.003,1.111,0.514,1.007,-0.052,0.751,0.27,0.872,0.711,-0.098,-0.197,1.27,0.309,0.141,1.0
1.171,0.724,0.778,-0.249,0.779,0.579,0.976,1.048,0.649,0.656,0.165,0.583,0.368,1.347,0.485,1.0
1.093,0.525,0.666,0.443,0.598,0.598,0.508,1.803,0.975,-0.076,0.023,0.524,0.513,2.781,0.544,1.0
0.345,-0.477,0.374,-0.534,1.305,0.891,0.494,-0.01,-0.448,0.664,0.911,0.602,0.446,0.664,-0.093,1.0
0.455,-0.085,0.702,0.577,0.799,0.821,0.045,0.784,0.202,0.384,-0.885,1.068,0.104,0.902,0.413,1.0
