@RELATION SmoothSubspace

@ATTRIBUTE att1_err NUMERIC
@ATTRIBUTE att2_err NUMERIC
@ATTRIBUTE att3_err NUMERIC
@ATTRIBUTE att4_err NUMERIC
@ATTRIBUTE att5_err NUMERIC
@ATTRIBUTE att6_err NUMERIC
@ATTRIBUTE att7_err NUMERIC
@ATTRIBUTE att8_err NUMERIC
@ATTRIBUTE att9_err NUMERIC
@ATTRIBUTE att10_err NUMERIC
@ATTRIBUTE att11_err NUMERIC
@ATTRIBUTE att12_err NUMERIC
@ATTRIBUTE att13_err NUMERIC
@ATTRIBUTE att14_err NUMERIC
@ATTRIBUTE att15_err NUMERIC

@DATA
0.551,0.729,0.168,0.166,0.753,0.472,0.609,0.424,0.125,0.098,0.733,0.727,0.256,0.354,0.05
0.14,0.015,0.354,0.058,0.209,0.209,0.138,0.318,0.823,0.095,0.934,0.013,0.266,0.88,0.047
0.705,0.447,0.55,0.313,0.593,0.0,0.09,0.199,0.603,0.058,0.099,0.968,0.752,0.382,0.611
0.244,0.233,0.259,0.246,0.35,0.027,0.248,0.153,0.025,0.127,0.025,0.075,0.197,0.324,0.75
0.618,0.118,0.003,0.082,0.099,0.207,0.96,0.155,0.338,0.544,0.123,0.131,0.092,0.506,0.431
0.133,0.051,0.239,0.746,0.124,0.184,0.004,0.485,0.946,0.214,0.458,0.609,0.752,0.166,0.625
0.18,0.385,0.051,0.306,0.46,0.329,0.261,0.612,0.03,0.092,0.347,0.074,0.437,0.445,0.561
1.111,0.665,0.564,0.089,0.664,1.285,0.567,0.109,0.344,0.847,0.172,0.077,0.013,0.258,0.272
0.394,0.052,0.609,0.012,0.528,0.248,0.265,0.814,0.194,0.227,0.665,0.058,0.447,0.795,0.169
0.771,0.225,0.646,0.246,0.252,0.413,0.318,0.243,0.855,0.559,0.608,0.251,0.339,0.69,0.415
0.104,0.207,0.013,0.595,0.36,1.137,0.04,0.081,0.431,0.077,0.418,0.468,0.391,0.587,0.586
0.064,0.175,0.456,0.205,0.172,0.411,1.088,0.387,0.141,0.199,0.473,0.446,0.029,0.077,0.326
0.195,0.296,0.571,0.085,0.22,0.444,0.102,0.36,0.703,1.037,0.894,0.221,0.282,0.959,0.145
0.013,0.069,0.343,0.12,0.027,0.545,0.771,0.02,0.342,0.07,0.366,0.118,0.379,0.186,0.296
0.305,0.079,1.188,0.33,0.188,0.123,0.381,0.008,0.146,1.298,0.261,0.033,0.385,0.064,0.159
0.008,0.467,0.104,0.192,0.605,0.187,1.144,1.118,0.654,0.435,0.852,0.23,1.2,0.212,0.399
0.329,1.125,0.101,0.301,0.491,0.412,0.054,0.563,0.138,0.764,0.362,0.223,0.352,0.101,0.367
0.043,0.329,0.418,0.216,0.364,0.045,1.173,0.74,0.473,0.266,0.04,0.532,0.356,0.302,0.035
0.513,0.35,0.5,0.349,0.124,0.441,0.115,0.089,0.137,0.042,0.112,0.462,0.63,0.077,0.478
0.036,0.157,0.619,0.026,0.044,0.211,0.061,0.093,0.462,0.469,0.031,0.03,1.339,0.276,0.697
0.202,0.159,0.327,0.258,0.821,0.388,1.032,0.064,0.627,0.229,0.101,0.34,0.152,0.523,0.781
0.471,0.123,0.451,0.006,0.482,0.398,0.046,1.123,0.158,0.173,0.317,0.286,0.273,0.54,0.414
0.706,0.544,0.058,0.165,0.084,0.401,0.242,0.414,0.235,0.956,0.415,0.675,0.572,0.347,0.079
0.368,0.275,0.241,0.109,0.615,0.581,0.216,0.398,0.071,0.883,0.332,0.054,0.167,0.971,0.48
1.033,0.31,0.482,0.683,0.362,0.736,0.312,0.186,0.268,0.268,0.066,0.158,0.033,0.996,0.847
0.17,0.348,0.112,0.5,0.395,0.627,0.196,0.532,0.404,0.1,1.444,0.872,0.384,0.183,1.175
