@RELATION Chinatown

@ATTRIBUTE att1_err NUMERIC
@ATTRIBUTE att2_err NUMERIC
@ATTRIBUTE att3_err NUMERIC
@ATTRIBUTE att4_err NUMERIC
@ATTRIBUTE att5_err NUMERIC
@ATTRIBUTE att6_err NUMERIC
@ATTRIBUTE att7_err NUMERIC
@ATTRIBUTE att8_err NUMERIC
@ATTRIBUTE att9_err NUMERIC
@ATTRIBUTE att10_err NUMERIC
@ATTRIBUTE att11_err NUMERIC
@ATTRIBUTE att12_err NUMERIC
@ATTRIBUTE att13_err NUMERIC
@ATTRIBUTE att14_err NUMERIC
@ATTRIBUTE att15_err NUMERIC
@ATTRIBUTE att16_err NUMERIC
@ATTRIBUTE att17_err NUMERIC
@ATTRIBUTE att18_err NUMERIC
@ATTRIBUTE att19_err NUMERIC
@ATTRIBUTE att20_err NUMERIC
@ATTRIBUTE att21_err NUMERIC
@ATTRIBUTE att22_err NUMERIC
@ATTRIBUTE att23_err NUMERIC
@ATTRIBUTE att24_err NUMERIC

@DATA
194.495,206.351,112.364,54.726,31.012,41.656,3.561,4.671,45.375,67.496,6.869,334.956,421.005,22.447,182.799,530.389,47.597,604.713,186.637,102.607,649.649,663.903,909.182,735.522
343.838,98.381,75.565,46.271,11.797,5.856,20.586,5.004,78.801,73.051,106.828,241.901,402.802,113.49,191.489,417.27,231.595,224.849,1235.179,508.718,190.138,54.771,947.687,756.76
46.116,125.078,60.278,70.067,60.948,10.162,11.818,40.626,79.476,29.085,75.647,154.028,246.969,63.272,601.065,287.168,148.203,366.951,146.809,786.856,303.648,276.946,413.594,171.128
223.299,8.773,201.29,1.123,39.59,25.581,5.652,46.713,67.66,72.621,79.026,38.329,378.788,327.179,510.936,615.103,522.844,73.356,546.152,292.296,986.485,253.08,497.138,183.588
185.27,294.533,39.416,14.049,35.763,5.806,2.092,77.345,95.872,184.56,4.349,95.037,336.388,252.299,378.278,407.275,75.629,289.672,599.958,187.321,427.634,393.438,516.969,4.672
104.542,276.687,44.835,62.442,6.875,29.613,5.664,25.134,7.366,116.607,57.789,370.117,321.206,199.673,580.719,364.049,472.23,160.298,358.736,35.707,1427.535,397.681,802.662,230.817
319.005,179.006,42.844,101.209,25.913,5.73,2.786,91.864,11.118,165.836,139.174,202.455,69.139,145.755,140.449,263.079,203.523,4.121,450.75,664.563,630.652,758.341,109.577,714.913
326.109,74.754,51.55,262.699,103.698,4.54,6.537,17.347,102.464,4.095,135.29,352.761,136.29,258.848,664.174,35.508,738.308,196.463,371.229,474.198,247.817,219.315,602.654,645.207
20.441,85.654,192.563,103.933,17.571,5.22,14.227,51.763,53.696,101.157,138.258,22.128,254.952,326.287,223.551,138.393,435.435,169.913,41.203,77.015,713.539,336.056,258.223,543.802
107.416,27.448,43.216,290.837,29.112,14.016,0.536,47.947,120.346,99.845,40.676,59.313,133.576,20.398,329.803,127.527,258.671,401.581,205.04,772.033,297.477,362.169,654.673,491.18
503.697,142.578,263.428,10.01,3.502,2.318,24.787,90.855,26.885,25.15,4.019,119.735,425.588,182.136,256.586,249.974,145.781,75.043,308.107,42.052,880.53,267.122,1014.426,491.99
204.817,320.358,18.66,36.861,26.752,18.686,14.587,25.089,19.046,10.877,63.606,317.641,588.448,152.701,224.446,52.141,92.486,250.972,234.068,761.868,388.068,25.98,60.055,179.446
126.413,85.937,143.797,305.334,4.809,5.444,10.302,22.511,154.503,49.276,136.063,140.009,22.734,207.665,101.506,6.576,87.266,9.24,320.281,286.914,309.808,734.072,144.448,750.865
352.172,35.96,2.535,37.825,2.68,2.281,8.426,34.11,77.883,42.072,31.734,124.968,309.369,85.196,512.115,286.87,1030.934,323.413,31.409,491.461,576.267,474.796,904.025,35.163
218.732,119.612,267.686,129.838,70.129,27.455,16.501,90.518,236.979,2.974,15.74,216.432,23.466,49.025,7.991,369.068,456.816,355.324,313.738,810.645,334.781,712.38,536.816,83.212
111.706,258.117,63.515,308.622,12.384,1.467,9.811,46.318,242.57,4.273,7.905,340.786,127.516,248.919,357.224,354.307,141.225,418.195,392.357,719.385,580.357,468.103,42.564,151.654
34.297,88.876,169.329,67.084,49.139,5.645,5.31,56.788,160.572,76.847,55.66,53.809,119.037,174.312,294.87,65.822,217.415,3.332,440.292,658.765,268.602,296.665,825.54,1163.038
403.117,46.515,223.871,148.54,37.293,30.025,2.026,75.691,26.649,71.014,36.743,50.084,49.779,182.017,68.839,559.981,177.724,293.625,270.08,186.628,17.232,756.064,691.111,637.766
168.859,24.501,138.208,60.316,135.922,30.858,4.756,12.425,56.77,144.389,101.125,38.022,82.616,401.533,530.576,155.429,532.53,140.815,722.078,394.028,11.974,198.031,396.79,533.139
33.08,513.849,58.22,29.212,29.14,14.261,4.818,8.938,49.321,18.992,25.491,376.219,14.954,270.928,577.244,127.92,87.738,131.804,79.147,3.959,52.479,229.201,328.372,333.974
