@RELATION SyntheticControl

@ATTRIBUTE att1_err NUMERIC
@ATTRIBUTE att2_err NUMERIC
@ATTRIBUTE att3_err NUMERIC
@ATTRIBUTE att4_err NUMERIC
@ATTRIBUTE att5_err NUMERIC
@ATTRIBUTE att6_err NUMERIC
@ATTRIBUTE att7_err NUMERIC
@ATTRIBUTE att8_err NUMERIC
@ATTRIBUTE att9_err NUMERIC
@ATTRIBUTE att10_err NUMERIC
@ATTRIBUTE att11_err NUMERIC
@ATTRIBUTE att12_err NUMERIC
@ATTRIBUTE att13_err NUMERIC
@ATTRIBUTE att14_err NUMERIC
@ATTRIBUTE att15_err NUMERIC
@ATTRIBUTE att16_err NUMERIC
@ATTRIBUTE att17_err NUMERIC
@ATTRIBUTE att18_err NUMERIC
@ATTRIBUTE att19_err NUMERIC
@ATTRIBUTE att20_err NUMERIC
@ATTRIBUTE att21_err NUMERIC
@ATTRIBUTE att22_err NUMERIC
@ATTRIBUTE att23_err NUMERIC
@ATTRIBUTE att24_err NUMERIC
@ATTRIBUTE att25_err NUMERIC
@ATTRIBUTE att26_err NUMERIC
@ATTRIBUTE att27_err NUMERIC
@ATTRIBUTE att28_err NUMERIC
@ATTRIBUTE att29_err NUMERIC
@ATTRIBUTE att30_err NUMERIC
@ATTRIBUTE att31_err NUMERIC
@ATTRIBUTE att32_err NUMERIC
@ATTRIBUTE att33_err NUMERIC
@ATTRIBUTE att34_err NUMERIC
@ATTRIBUTE att35_err NUMERIC
@ATTRIBUTE att36_err NUMERIC
@ATTRIBUTE att37_err NUMERIC
@ATTRIBUTE att38_err NUMERIC
@ATTRIBUTE att39_err NUMERIC
@ATTRIBUTE att40_err NUMERIC
@ATTRIBUTE att41_err NUMERIC
@ATTRIBUTE att42_err NUMERIC
@ATTRIBUTE att43_err NUMERIC
@ATTRIBUTE att44_err NUMERIC
@ATTRIBUTE att45_err NUMERIC
@ATTRIBUTE att46_err NUMERIC
@ATTRIBUTE att47_err NUMERIC
@ATTRIBUTE att48_err NUMERIC
@ATTRIBUTE att49_err NUMERIC
@ATTRIBUTE att50_err NUMERIC
@ATTRIBUTE att51_err NUMERIC
@ATTRIBUTE att52_err NUMERIC
@ATTRIBUTE att53_err NUMERIC
@ATTRIBUTE att54_err NUMERIC
@ATTRIBUTE att55_err NUMERIC
@ATTRIBUTE att56_err NUMERIC
@ATTRIBUTE att57_err NUMERIC
@ATTRIBUTE att58_err NUMERIC
@ATTRIBUTE att59_err NUMERIC
@ATTRIBUTE att60_err NUMERIC

@DATA
1.334,0.434,0.095,2.868,0.197,0.15,0.518,1.458,0.888,1.383,0.26,0.281,0.67,0.524,0.554,0.632,0.392,1.174,0.203,0.368,0.814,0.784,0.423,0.673,0.021,1.357,0.074,0.523,0.166,0.939,1.444,0.679,1.669,0.651,0.779,0.791,0.089,0.298,0.906,0.898,0.506,0.658,1.036,0.198,0.304,0.098,2.883,1.626,1.175,0.886,1.562,0.351,1.436,1.148,1.495,0.44,1.39,1.663,0.422,0.806
1.494,1.879,0.67,0.958,0.193,1.461,0.128,0.288,0.931,1.101,0.231,1.322,0.536,0.01,0.169,0.716,1.263,0.63,1.081,0.625,1.402,1.26,1.187,1.38,0.228,0.565,0.143,1.013,0.525,0.493,0.811,1.116,1.627,0.176,0.45,0.31,0.201,1.235,0.585,0.234,1.029,0.788,0.004,0.355,0.461,1.08,0.361,0.584,0.324,1.283,0.43,0.059,0.275,0.846,1.664,0.554,0.808,0.706,1.599,1.199
0.037,1.169,2.506,1.206,0.079,0.258,2.612,0.134,0.066,1.651,1.177,0.879,0.711,1.351,0.588,0.008,1.768,1.51,0.519,0.692,0.708,1.448,0.031,0.091,1.659,0.464,0.939,0.273,0.991,0.59,1.063,1.238,1.16,0.924,0.226,0.272,0.848,0.208,0.323,0.549,0.149,1.137,0.283,0.711,1.688,0.407,0.17,0.652,0.053,1.281,1.051,0.712,0.11,0.323,2.578,1.598,1.088,1.086,0.813,1.3
0.033,0.33,1.562,0.3,1.359,0.66,1.769,0.155,0.183,0.068,0.532,0.147,0.75,0.47,0.094,0.955,0.951,0.963,1.006,1.147,0.853,0.139,0.522,0.724,0.024,0.129,0.446,0.444,0.66,0.401,1.036,0.648,1.419,0.11,0.529,0.014,0.599,0.858,0.659,0.54,0.217,0.701,0.952,2.091,0.22,0.726,0.211,0.213,0.282,1.075,0.098,0.7,0.577,1.148,2.179,0.241,0.313,0.775,0.233,1.161
1.19,1.26,1.007,0.645,1.684,2.628,0.599,1.595,1.057,1.473,0.892,0.779,0.887,0.634,0.006,0.043,0.281,0.255,1.634,0.805,1.04,0.909,0.473,0.813,1.031,0.077,0.659,0.668,0.001,0.011,0.555,0.277,0.181,0.212,0.024,0.808,0.109,0.819,0.412,0.046,0.699,0.906,0.977,0.874,1.461,0.328,0.397,0.529,1.38,1.679,1.312,0.246,1.241,0.928,1.38,1.93,3.544,0.702,0.014,0.293
0.906,0.149,0.088,0.904,0.494,0.517,0.999,1.788,0.622,1.536,1.893,0.862,0.623,0.98,2.143,0.463,0.19,0.214,1.867,1.31,0.928,1.305,1.24,0.621,0.255,0.504,0.478,0.772,0.716,0.975,0.479,0.215,0.605,0.272,1.034,0.256,0.196,0.091,0.042,0.45,0.211,0.191,1.165,1.335,0.152,0.053,1.154,1.316,1.293,0.98,1.415,0.359,0.405,1.878,0.653,1.174,1.634,0.09,0.199,0.358
1.07,0.524,0.617,0.293,0.379,0.258,0.613,0.293,0.161,1.138,0.457,1.125,0.097,0.236,0.628,0.116,1.618,0.977,0.451,0.295,0.966,1.125,0.234,1.38,0.056,0.032,0.24,0.407,1.272,0.802,1.063,0.84,0.287,0.413,1.856,1.364,0.043,0.319,0.125,0.299,1.09,0.22,1.728,0.049,3.162,0.745,0.427,0.004,2.043,0.718,1.055,0.055,0.546,1.515,0.045,1.502,2.023,0.178,0.268,0.919
2.492,2.392,1.665,0.666,0.324,0.728,0.188,0.456,0.396,0.501,1.57,1.682,1.533,0.111,0.222,1.45,1.548,0.647,1.642,1.055,1.096,0.788,1.106,0.337,0.597,0.287,0.003,0.015,0.324,0.975,0.939,0.017,0.156,0.747,1.037,0.075,0.756,0.027,0.438,0.469,0.154,2.18,1.824,0.721,1.499,0.502,1.301,2.492,0.14,0.014,0.303,0.195,1.256,0.969,1.291,2.491,2.441,0.114,0.778,0.142
1.614,2.238,2.338,1.351,0.473,0.709,1.064,1.867,1.446,1.412,1.798,0.623,0.336,0.349,1.633,1.762,1.366,0.715,0.607,0.874,0.556,0.661,0.444,0.428,0.755,0.054,0.307,0.16,0.193,1.899,0.345,1.481,1.495,1.336,1.096,0.856,0.12,1.224,1.443,0.318,0.681,0.023,0.238,0.505,0.055,0.076,0.263,1.876,0.291,0.753,0.432,0.437,0.35,1.254,0.251,0.212,0.412,0.965,0.025,0.176
0.905,1.39,0.924,0.278,1.645,0.504,0.099,0.676,1.39,0.686,0.688,0.899,0.535,0.169,1.182,0.334,0.079,0.251,0.849,0.521,0.903,0.003,1.227,0.473,0.115,0.3,0.937,0.393,0.181,0.002,1.428,0.188,0.365,0.886,0.338,1.971,0.245,0.433,0.838,0.278,0.457,2.376,0.591,0.301,1.163,0.001,3.177,0.306,0.143,0.467,0.106,0.367,2.644,1.551,0.003,0.274,0.242,1.492,0.585,0.679
