@RELATION SonyAIBORobotSurface2

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE att4 NUMERIC
@ATTRIBUTE att5 NUMERIC
@ATTRIBUTE att6 NUMERIC
@ATTRIBUTE att7 NUMERIC
@ATTRIBUTE att8 NUMERIC
@ATTRIBUTE att9 NUMERIC
@ATTRIBUTE att10 NUMERIC
@ATTRIBUTE att11 NUMERIC
@ATTRIBUTE att12 NUMERIC
@ATTRIBUTE att13 NUMERIC
@ATTRIBUTE att14 NUMERIC
@ATTRIBUTE att15 NUMERIC
@ATTRIBUTE att16 NUMERIC
@ATTRIBUTE att17 NUMERIC
@ATTRIBUTE att18 NUMERIC
@ATTRIBUTE att19 NUMERIC
@ATTRIBUTE att20 NUMERIC
@ATTRIBUTE att21 NUMERIC
@ATTRIBUTE att22 NUMERIC
@ATTRIBUTE att23 NUMERIC
@ATTRIBUTE att24 NUMERIC
@ATTRIBUTE att25 NUMERIC
@ATTRIBUTE att26 NUMERIC
@ATTRIBUTE att27 NUMERIC
@ATTRIBUTE att28 NUMERIC
@ATTRIBUTE att29 NUMERIC
@ATTRIBUTE att30 NUMERIC
@ATTRIBUTE att31 NUMERIC
@ATTRIBUTE att32 NUMERIC
@ATTRIBUTE att33 NUMERIC
@ATTRIBUTE att34 NUMERIC
@ATTRIBUTE att35 NUMERIC
@ATTRIBUTE att36 NUMERIC
@ATTRIBUTE att37 NUMERIC
@ATTRIBUTE att38 NUMERIC
@ATTRIBUTE att39 NUMERIC
@ATTRIBUTE att40 NUMERIC
@ATTRIBUTE att41 NUMERIC
@ATTRIBUTE att42 NUMERIC
@ATTRIBUTE att43 NUMERIC
@ATTRIBUTE att44 NUMERIC
@ATTRIBUTE att45 NUMERIC
@ATTRIBUTE att46 NUMERIC
@ATTRIBUTE att47 NUMERIC
@ATTRIBUTE att48 NUMERIC
@ATTRIBUTE att49 NUMERIC
@ATTRIBUTE att50 NUMERIC
@ATTRIBUTE att51 NUMERIC
@ATTRIBUTE att52 NUMERIC
@ATTRIBUTE att53 NUMERIC
@ATTRIBUTE att54 NUMERIC
@ATTRIBUTE att55 NUMERIC
@ATTRIBUTE att56 NUMERIC
@ATTRIBUTE att57 NUMERIC
@ATTRIBUTE att58 NUMERIC
@ATTRIBUTE att59 NUMERIC
@ATTRIBUTE att60 NUMERIC
@ATTRIBUTE att61 NUMERIC
@ATTRIBUTE att62 NUMERIC
@ATTRIBUTE att63 NUMERIC
@ATTRIBUTE att64 NUMERIC
@ATTRIBUTE att65 NUMERIC
@ATTRIBUTE target {2.0, 1.0}

@DATA
-1.007,-1.841,-0.361,-0.015,2.487,0.828,-0.479,-2.854,-0.281,1.011,-12.959,9.372,1.114,-1.959,-2.166,-1.164,-1.121,-0.672,-2.222,-0.426,-1.058,-1.55,2.667,0.513,-0.137,2.985,0.957,0.215,0.255,0.3,-0.121,-0.261,-0.475,-0.397,-0.016,0.419,-0.251,0.577,-0.309,0.074,2.223,2.346,-0.54,-1.197,-1.034,-1.865,-0.788,0.425,0.553,2.059,3.073,-0.703,-4.976,-1.04,-3.047,-1.828,-1.433,-0.254,-0.415,-4.85,0.905,-1.007,1.02,-0.134,-1.19,2.0
-0.682,0.257,1.689,1.654,6.371,0.43,0.518,-1.102,1.629,-2.112,-2.611,-1.376,1.84,-1.796,-4.215,-2.986,0.181,1.443,2.359,1.502,0.969,-0.27,0.055,-1.219,-0.412,-0.25,0.735,-1.074,0.085,-0.43,-0.739,-0.906,-0.623,-0.885,0.391,1.155,0.28,0.873,0.476,0.211,1.367,-0.277,0.515,-0.588,-0.428,0.758,0.153,-1.677,-1.48,0.363,0.931,1.555,1.603,-2.18,-2.257,0.524,1.712,-0.679,-2.365,8.602,-5.782,-1.315,0.6,0.152,1.022,1.0
0.062,-1.556,-0.255,-0.759,0.633,3.999,2.342,2.705,-0.037,-1.142,3.361,0.153,-0.759,2.735,0.445,-1.918,-0.054,-0.271,-0.114,-1.401,0.107,2.473,-2.445,-2.441,-1.553,-0.551,-0.563,-0.578,-0.374,0.234,-0.03,-0.333,-0.165,-0.097,0.692,0.054,1.589,0.181,-0.488,0.133,-1.069,-0.007,-1.195,-1.013,-4.419,-3.105,-0.321,0.105,0.056,2.262,3.378,4.338,-0.882,-1.88,-1.94,-1.31,-2.293,2.822,-0.054,1.978,-3.976,2.329,8.035,0.831,0.785,1.0
-0.192,-0.653,2.166,0.314,-0.799,-2.979,0.553,1.203,2.412,1.915,0.355,4.399,1.564,0.072,-0.814,-0.759,1.771,1.77,-9.496,0.807,-0.15,-1.377,-1.007,-2.281,1.763,3.793,-1.928,-0.319,-0.374,0.234,-0.414,-1.066,-0.672,-0.046,0.438,-0.888,-0.626,1.086,0.068,0.201,-1.314,2.149,-0.163,-0.934,-3.259,-2.732,-0.371,-0.222,1.547,8.968,4.144,2.287,-2.283,-4.149,-0.957,3.491,-0.12,0.075,-1.15,-0.151,4.455,4.139,2.499,-3.005,0.258,1.0
-0.337,-0.057,0.938,-2.343,0.321,0.075,-0.481,-0.912,-0.285,-1.027,-0.256,-1.54,6.777,1.627,3.516,-1.354,-1.67,-0.826,0.446,1.865,2.949,1.401,-1.244,-1.37,-1.87,-1.328,-9.045,-1.804,-0.612,-0.369,-1.13,-0.905,-0.236,-0.276,0.186,0.458,0.211,0.304,0.191,-0.168,0.973,-0.177,0.169,1.479,0.098,0.881,-3.491,-0.137,-1.387,1.281,4.449,1.368,-0.315,2.364,-5.049,-0.286,-1.335,0.562,5.206,-10.278,2.925,0.401,-2.578,-1.761,-1.012,2.0
-0.353,0.767,0.109,-0.588,-0.549,0.059,0.525,-1.108,-1.02,-1.722,-2.189,-0.914,1.33,-4.296,3.599,-0.369,0.301,-3.755,0.758,-0.557,-0.56,-0.188,2.078,0.082,0.009,0.465,0.29,-3.669,-0.877,-0.437,0.482,-0.026,-0.333,0.394,-0.207,0.011,-0.662,-0.235,-0.335,-0.735,-0.243,2.465,-1.146,-0.559,1.476,-0.09,-2.078,-2.023,2.314,3.828,2.018,2.443,-1.605,-3.574,-1.692,-0.582,0.015,0.001,0.531,-0.765,-0.756,2.787,2.343,2.701,-1.109,2.0
-0.018,0.714,0.661,1.787,2.527,1.309,0.291,-0.937,-2.17,0.162,5.26,2.112,0.222,-1.041,-0.683,-3.093,-0.782,-1.103,-1.07,-0.57,5.963,-2.193,0.585,-1.476,0.043,0.05,-0.076,0.703,0.754,-0.308,2.081,0.255,-0.217,-0.219,-0.065,0.006,-0.039,0.521,0.179,-1.0,-2.114,-2.362,-0.942,-0.368,1.444,2.155,-0.131,-0.287,0.43,2.882,8.01,0.513,-1.851,-3.644,-4.239,0.181,-2.221,0.792,2.499,1.866,-1.182,0.138,-0.803,1.915,0.291,2.0
-0.18,-0.285,-0.663,-2.823,-0.554,3.629,0.321,0.995,-1.504,-0.84,-4.295,3.064,2.515,-1.972,-7.942,0.456,-1.669,-1.181,-0.433,-1.179,-4.557,-0.724,-1.677,1.629,1.683,-0.524,0.075,-0.532,-0.303,0.966,0.057,0.233,0.39,0.119,-0.651,0.003,0.459,-0.565,-0.082,-0.235,-1.614,0.106,1.99,-0.411,-0.119,0.734,0.384,-0.337,0.578,4.535,0.938,1.822,0.318,-0.642,-1.44,-0.731,3.635,-0.95,1.264,-3.013,-0.349,-0.294,-1.13,-0.938,0.608,2.0
-0.641,0.179,-0.201,-3.504,-1.546,-3.826,0.081,-1.069,1.004,-0.203,-0.844,0.34,1.206,0.043,-1.764,-2.403,-0.168,-1.833,5.552,2.391,2.515,5.071,0.783,0.703,-0.023,0.205,-0.752,-1.27,-0.891,-0.967,-0.527,-0.834,-0.968,0.07,0.276,0.379,0.248,0.682,0.113,0.15,0.228,0.028,-0.099,0.245,0.091,-1.087,1.63,-0.197,0.348,1.142,-0.326,0.266,-5.52,-1.138,-1.546,-0.503,0.267,2.287,1.929,2.741,1.889,1.671,-0.454,-2.621,-0.471,1.0
-1.468,-0.84,0.614,0.515,1.922,2.502,-0.159,-1.625,-3.029,0.445,2.021,2.148,0.98,1.575,1.376,-0.94,-3.899,-0.704,-0.368,1.123,0.431,1.678,-2.125,-0.31,-0.858,-0.807,1.116,-3.074,0.296,-1.579,-0.067,0.434,-0.338,-0.306,-0.944,-0.235,0.14,0.093,0.216,1.116,-0.101,-0.166,-0.844,-0.31,-0.014,2.045,-0.634,-3.023,1.69,-0.666,1.289,-2.605,-4.655,-1.139,-0.864,-1.741,0.354,1.085,1.952,2.361,-0.431,-0.214,0.067,1.194,0.066,2.0
