@RELATION SonyAIBORobotSurface2

@ATTRIBUTE att1_err NUMERIC
@ATTRIBUTE att2_err NUMERIC
@ATTRIBUTE att3_err NUMERIC
@ATTRIBUTE att4_err NUMERIC
@ATTRIBUTE att5_err NUMERIC
@ATTRIBUTE att6_err NUMERIC
@ATTRIBUTE att7_err NUMERIC
@ATTRIBUTE att8_err NUMERIC
@ATTRIBUTE att9_err NUMERIC
@ATTRIBUTE att10_err NUMERIC
@ATTRIBUTE att11_err NUMERIC
@ATTRIBUTE att12_err NUMERIC
@ATTRIBUTE att13_err NUMERIC
@ATTRIBUTE att14_err NUMERIC
@ATTRIBUTE att15_err NUMERIC
@ATTRIBUTE att16_err NUMERIC
@ATTRIBUTE att17_err NUMERIC
@ATTRIBUTE att18_err NUMERIC
@ATTRIBUTE att19_err NUMERIC
@ATTRIBUTE att20_err NUMERIC
@ATTRIBUTE att21_err NUMERIC
@ATTRIBUTE att22_err NUMERIC
@ATTRIBUTE att23_err NUMERIC
@ATTRIBUTE att24_err NUMERIC
@ATTRIBUTE att25_err NUMERIC
@ATTRIBUTE att26_err NUMERIC
@ATTRIBUTE att27_err NUMERIC
@ATTRIBUTE att28_err NUMERIC
@ATTRIBUTE att29_err NUMERIC
@ATTRIBUTE att30_err NUMERIC
@ATTRIBUTE att31_err NUMERIC
@ATTRIBUTE att32_err NUMERIC
@ATTRIBUTE att33_err NUMERIC
@ATTRIBUTE att34_err NUMERIC
@ATTRIBUTE att35_err NUMERIC
@ATTRIBUTE att36_err NUMERIC
@ATTRIBUTE att37_err NUMERIC
@ATTRIBUTE att38_err NUMERIC
@ATTRIBUTE att39_err NUMERIC
@ATTRIBUTE att40_err NUMERIC
@ATTRIBUTE att41_err NUMERIC
@ATTRIBUTE att42_err NUMERIC
@ATTRIBUTE att43_err NUMERIC
@ATTRIBUTE att44_err NUMERIC
@ATTRIBUTE att45_err NUMERIC
@ATTRIBUTE att46_err NUMERIC
@ATTRIBUTE att47_err NUMERIC
@ATTRIBUTE att48_err NUMERIC
@ATTRIBUTE att49_err NUMERIC
@ATTRIBUTE att50_err NUMERIC
@ATTRIBUTE att51_err NUMERIC
@ATTRIBUTE att52_err NUMERIC
@ATTRIBUTE att53_err NUMERIC
@ATTRIBUTE att54_err NUMERIC
@ATTRIBUTE att55_err NUMERIC
@ATTRIBUTE att56_err NUMERIC
@ATTRIBUTE att57_err NUMERIC
@ATTRIBUTE att58_err NUMERIC
@ATTRIBUTE att59_err NUMERIC
@ATTRIBUTE att60_err NUMERIC
@ATTRIBUTE att61_err NUMERIC
@ATTRIBUTE att62_err NUMERIC
@ATTRIBUTE att63_err NUMERIC
@ATTRIBUTE att64_err NUMERIC
@ATTRIBUTE att65_err NUMERIC

@DATA
0.573,0.983,0.221,2.62,0.304,4.25,0.192,4.046,0.743,1.218,6.055,5.724,0.609,2.287,0.276,1.607,0.355,2.821,1.323,1.366,0.27,1.76,1.524,3.429,0.543,2.931,1.574,0.585,0.424,0.222,0.334,0.025,0.154,0.175,0.191,0.161,0.846,0.478,0.094,0.099,1.247,2.393,0.373,0.399,2.988,1.877,0.174,0.122,1.928,0.529,1.016,3.09,2.909,0.709,1.693,1.588,1.312,1.467,1.755,3.649,1.346,1.052,2.991,0.149,0.715
0.006,1.185,0.879,3.833,3.126,0.476,0.005,0.949,1.44,0.733,1.729,3.763,0.225,1.742,0.941,1.259,0.597,1.127,1.215,0.448,0.148,0.417,0.055,0.994,0.188,1.744,0.909,0.14,1.507,0.94,0.429,0.48,0.159,0.394,0.736,0.839,0.0,0.246,0.244,0.476,0.647,0.596,1.224,0.23,1.399,0.028,0.485,0.924,1.849,1.413,2.486,0.177,2.859,0.808,0.514,1.09,0.293,3.254,2.237,3.799,2.709,1.875,1.228,0.134,1.169
0.086,1.391,0.799,0.321,0.234,2.882,1.235,1.426,2.514,0.813,4.486,0.095,1.894,0.485,1.637,2.111,1.829,0.148,0.52,6.524,0.632,1.893,1.956,2.056,2.109,0.527,1.046,1.151,0.501,0.282,0.197,1.41,0.426,0.363,0.582,0.151,0.718,0.217,1.616,0.103,0.743,0.023,0.364,1.67,2.781,1.85,0.071,0.172,1.369,1.131,0.106,1.933,0.193,2.077,0.937,0.719,1.376,2.139,0.531,4.175,3.309,2.225,4.714,0.546,0.565
0.763,0.576,0.742,0.03,3.242,0.999,1.537,0.537,1.307,1.637,0.438,2.411,0.68,1.936,0.662,0.333,2.29,1.546,3.71,2.991,5.042,0.412,0.536,2.43,1.106,1.852,1.255,0.228,0.286,0.104,0.621,0.855,0.32,0.123,0.632,0.583,0.725,0.835,0.375,0.256,0.721,0.789,0.766,0.568,1.292,1.846,0.162,0.023,1.232,3.262,1.035,2.45,0.038,3.72,1.752,6.967,0.781,1.581,5.096,1.106,3.336,2.647,1.589,3.294,0.43
0.39,0.322,0.631,2.079,0.378,0.439,0.35,2.988,0.93,1.663,1.061,1.948,2.046,0.244,1.954,1.336,0.093,0.526,0.331,0.037,3.061,1.075,0.997,0.342,0.216,1.269,3.836,1.047,0.006,0.602,0.015,0.212,0.225,0.669,0.263,0.253,0.407,0.358,0.332,0.67,0.982,0.113,0.138,1.333,0.519,0.017,2.915,0.481,1.548,2.295,4.17,1.214,0.33,2.412,2.221,0.811,1.001,1.062,3.268,4.488,2.291,0.18,1.492,1.394,0.323
0.129,0.447,0.263,0.222,0.892,0.558,0.257,3.118,0.392,1.58,1.745,3.397,0.112,4.246,2.269,0.158,1.211,2.344,1.227,0.169,1.322,0.646,2.564,1.106,0.031,1.004,0.71,1.9,1.002,1.444,0.967,0.601,0.056,0.398,0.465,0.558,0.737,0.31,0.0,0.621,0.599,1.589,0.081,0.927,2.536,0.464,1.31,0.879,0.277,3.211,1.3,0.904,2.712,1.314,0.089,2.657,0.539,0.044,0.518,0.401,0.525,3.049,2.606,0.625,1.521
0.345,0.795,0.349,0.365,1.106,0.221,0.59,3.514,2.682,0.34,4.707,2.892,2.595,0.29,0.956,1.918,1.839,1.074,0.496,0.238,6.304,1.539,0.912,1.093,0.018,0.057,0.829,1.198,0.566,0.572,1.652,0.946,0.035,0.266,0.451,0.298,0.257,0.411,0.238,0.989,1.233,1.075,0.589,1.993,0.324,1.482,0.113,1.637,1.039,1.542,5.726,0.811,1.488,1.743,1.244,0.86,0.735,0.818,0.968,1.445,1.36,0.412,0.771,0.698,0.446
0.661,0.402,0.286,2.784,3.002,1.877,1.783,1.103,0.091,0.817,2.705,0.578,0.229,5.806,4.476,2.164,0.203,2.039,0.551,0.707,3.375,0.862,1.098,4.17,1.243,1.509,1.344,1.747,1.242,0.762,0.419,0.276,0.932,0.459,0.456,0.001,0.367,0.494,0.661,0.956,1.125,0.537,1.424,0.622,0.524,1.118,0.522,0.706,0.09,6.62,2.3,0.617,0.37,0.164,0.332,0.609,3.588,0.518,1.178,1.206,1.595,0.65,3.422,0.91,0.071
0.908,0.068,0.602,2.326,1.752,3.258,0.144,1.137,0.618,0.96,1.225,2.79,0.068,2.817,1.626,1.095,1.385,0.754,3.438,2.531,1.384,2.981,0.465,0.101,1.044,0.681,0.836,1.191,0.631,0.427,0.457,0.315,0.498,0.309,0.961,0.07,0.168,0.276,0.448,0.087,0.271,0.581,0.76,0.92,1.052,0.737,1.094,0.135,0.92,1.274,4.309,1.157,3.604,0.207,1.344,0.472,0.441,0.834,0.849,0.811,3.413,1.943,1.205,1.321,0.64
0.507,0.475,1.075,0.566,0.081,1.439,0.527,0.8,1.364,0.411,0.309,0.135,1.444,0.243,3.305,1.816,3.079,0.147,0.363,2.388,2.101,2.306,1.098,0.348,1.028,1.079,0.77,1.628,1.498,1.314,0.005,0.66,0.044,0.074,0.671,0.075,1.011,0.258,0.317,1.385,0.118,0.636,0.168,0.166,0.026,1.224,0.128,1.695,1.186,5.088,1.253,3.488,2.92,0.562,0.741,0.487,1.444,1.745,0.798,3.489,3.025,1.583,3.069,1.404,0.433
