@RELATION SonyAIBORobotSurface1

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE att4 NUMERIC
@ATTRIBUTE att5 NUMERIC
@ATTRIBUTE att6 NUMERIC
@ATTRIBUTE att7 NUMERIC
@ATTRIBUTE att8 NUMERIC
@ATTRIBUTE att9 NUMERIC
@ATTRIBUTE att10 NUMERIC
@ATTRIBUTE att11 NUMERIC
@ATTRIBUTE att12 NUMERIC
@ATTRIBUTE att13 NUMERIC
@ATTRIBUTE att14 NUMERIC
@ATTRIBUTE att15 NUMERIC
@ATTRIBUTE att16 NUMERIC
@ATTRIBUTE att17 NUMERIC
@ATTRIBUTE att18 NUMERIC
@ATTRIBUTE att19 NUMERIC
@ATTRIBUTE att20 NUMERIC
@ATTRIBUTE att21 NUMERIC
@ATTRIBUTE att22 NUMERIC
@ATTRIBUTE att23 NUMERIC
@ATTRIBUTE att24 NUMERIC
@ATTRIBUTE att25 NUMERIC
@ATTRIBUTE att26 NUMERIC
@ATTRIBUTE att27 NUMERIC
@ATTRIBUTE att28 NUMERIC
@ATTRIBUTE att29 NUMERIC
@ATTRIBUTE att30 NUMERIC
@ATTRIBUTE att31 NUMERIC
@ATTRIBUTE att32 NUMERIC
@ATTRIBUTE att33 NUMERIC
@ATTRIBUTE att34 NUMERIC
@ATTRIBUTE att35 NUMERIC
@ATTRIBUTE att36 NUMERIC
@ATTRIBUTE att37 NUMERIC
@ATTRIBUTE att38 NUMERIC
@ATTRIBUTE att39 NUMERIC
@ATTRIBUTE att40 NUMERIC
@ATTRIBUTE att41 NUMERIC
@ATTRIBUTE att42 NUMERIC
@ATTRIBUTE att43 NUMERIC
@ATTRIBUTE att44 NUMERIC
@ATTRIBUTE att45 NUMERIC
@ATTRIBUTE att46 NUMERIC
@ATTRIBUTE att47 NUMERIC
@ATTRIBUTE att48 NUMERIC
@ATTRIBUTE att49 NUMERIC
@ATTRIBUTE att50 NUMERIC
@ATTRIBUTE att51 NUMERIC
@ATTRIBUTE att52 NUMERIC
@ATTRIBUTE att53 NUMERIC
@ATTRIBUTE att54 NUMERIC
@ATTRIBUTE att55 NUMERIC
@ATTRIBUTE att56 NUMERIC
@ATTRIBUTE att57 NUMERIC
@ATTRIBUTE att58 NUMERIC
@ATTRIBUTE att59 NUMERIC
@ATTRIBUTE att60 NUMERIC
@ATTRIBUTE att61 NUMERIC
@ATTRIBUTE att62 NUMERIC
@ATTRIBUTE att63 NUMERIC
@ATTRIBUTE att64 NUMERIC
@ATTRIBUTE att65 NUMERIC
@ATTRIBUTE att66 NUMERIC
@ATTRIBUTE att67 NUMERIC
@ATTRIBUTE att68 NUMERIC
@ATTRIBUTE att69 NUMERIC
@ATTRIBUTE att70 NUMERIC
@ATTRIBUTE target {2.0, 1.0}

@DATA
1.13,2.603,0.272,2.243,1.891,0.199,-1.547,-1.79,-0.898,-0.708,-1.082,-1.566,-1.133,-1.935,-2.502,-2.079,-2.596,-0.218,-0.364,-0.374,0.519,-0.594,0.797,0.25,0.778,1.003,0.809,1.402,0.752,0.709,0.742,0.395,0.342,-0.23,0.554,0.068,0.671,0.06,0.634,0.719,0.126,1.751,2.068,1.436,-0.13,-1.133,-1.076,-1.959,-1.071,-0.954,-1.332,-0.322,-1.854,-1.006,-1.632,-0.778,0.394,0.126,-0.089,-0.237,-0.088,0.461,0.312,0.17,1.175,0.3,-1.165,0.587,-0.218,0.408,2.0
-1.174,-1.847,2.72,3.359,2.368,2.271,-0.644,-0.984,-0.897,0.449,0.677,1.069,-1.014,-2.168,-2.232,-0.868,-1.486,-0.224,-0.845,-1.181,-0.35,0.017,0.231,1.697,1.02,1.521,0.789,0.48,0.676,0.806,1.228,0.72,0.524,-0.67,0.525,0.543,0.087,-0.142,0.529,1.096,-1.271,0.141,0.496,3.218,-0.368,-1.2,-2.134,-1.926,-0.318,1.431,0.326,-1.181,-1.981,-1.843,-2.78,1.027,0.319,0.613,0.197,0.057,-0.105,-0.15,-0.041,-0.333,-0.383,-0.041,-0.7,0.374,-0.066,-0.324,1.0
0.87,1.275,2.176,2.563,2.198,1.913,0.952,0.234,-1.56,-1.827,-0.803,-0.434,-1.218,-1.324,-2.117,-0.882,-1.174,-0.435,0.578,0.152,0.085,0.412,0.648,0.733,0.675,1.504,0.406,0.467,-0.154,-0.672,0.078,-0.214,-0.103,-0.044,0.11,0.199,-0.436,0.546,0.569,1.205,0.24,0.064,0.337,1.914,1.513,0.194,-0.639,-1.893,-1.702,-1.669,0.548,0.082,0.092,-1.485,-1.545,-1.523,-1.838,0.723,0.575,0.819,0.278,0.201,0.238,-0.404,-0.79,-0.521,-0.861,-0.651,-0.297,0.024,2.0
0.693,1.17,1.922,2.097,2.107,-0.272,0.445,-1.875,-3.101,-2.4,-0.306,-0.13,-0.074,-1.137,-1.548,-2.888,-1.411,-1.119,-0.492,0.126,-0.005,0.721,-0.027,0.599,0.465,0.428,0.255,0.363,1.252,1.134,0.104,0.286,-0.529,-0.426,0.289,-0.125,0.297,0.821,0.909,1.098,-1.28,0.247,1.763,1.158,1.799,1.702,-1.119,-0.612,-1.293,-1.868,-0.707,-0.382,-1.685,-1.85,-1.705,-1.767,-0.519,-2.304,0.47,0.265,0.24,-0.063,1.012,0.348,0.274,-0.433,-0.735,1.259,0.11,-0.451,2.0
0.693,1.651,0.425,1.637,2.138,-1.87,-0.598,-0.936,-0.928,-0.944,-0.719,-0.925,-1.877,-1.996,-1.792,-0.865,-0.546,-0.818,-1.69,-0.354,0.39,0.865,1.599,0.18,-0.691,-0.28,0.253,0.684,0.38,-0.032,-0.033,0.127,0.172,0.312,0.341,-0.474,0.263,0.211,0.827,0.807,-1.036,0.405,-0.146,1.839,2.428,1.238,-0.045,-0.571,0.163,-0.596,0.156,0.281,-0.051,-1.87,-2.52,-4.093,-0.706,-0.402,0.227,-0.226,-0.073,0.575,1.011,0.995,1.102,1.099,0.546,-0.117,-0.538,0.113,1.0
0.755,1.907,2.527,3.211,1.635,1.13,-0.803,-0.961,-1.301,-2.385,-0.623,-1.459,-1.497,-1.243,-1.111,-1.236,-1.07,-0.645,-0.119,0.174,0.513,0.868,0.302,0.191,0.318,1.258,1.437,-0.793,0.104,0.439,0.307,0.172,0.441,0.136,0.405,-0.302,0.32,0.827,0.751,-0.464,1.217,2.726,1.841,1.285,-0.316,-1.061,-0.787,-1.219,-1.245,-0.911,-0.31,-2.233,-1.749,-1.813,-1.622,-0.667,0.068,1.439,-0.369,-0.721,0.201,0.263,0.892,0.702,-0.45,-0.188,-0.551,-0.205,0.092,0.031,2.0
1.961,3.031,2.765,0.584,0.787,-1.634,-0.978,-1.358,-1.603,-1.111,-0.823,-2.787,-2.337,-1.633,-1.916,-1.258,-0.977,-0.839,-0.512,-0.153,-0.395,0.6,-0.083,0.78,0.402,0.331,0.536,0.97,-0.378,-0.41,2.281,0.271,0.37,-1.236,-0.052,-1.128,1.175,0.97,1.077,1.056,1.032,0.296,2.034,1.408,-1.111,-0.049,-3.501,-1.824,-0.805,-1.089,-0.02,-0.422,-1.619,-2.046,-1.437,-0.353,0.322,-0.763,0.211,0.48,1.018,0.413,0.561,0.454,-0.434,-0.291,0.569,1.204,0.469,0.62,2.0
1.26,1.584,2.054,2.276,-1.484,0.275,-0.582,-1.416,-2.339,-0.944,-0.601,-4.316,-1.608,-1.659,-1.814,-1.525,-1.187,-1.49,-0.192,-0.287,-0.035,0.784,0.41,2.443,0.165,0.156,-0.014,0.287,0.308,0.519,0.257,-0.381,0.053,0.24,-0.366,-0.523,0.012,1.015,0.136,1.063,1.27,1.974,1.002,0.981,-0.517,-0.541,-1.535,-0.55,-2.388,-1.107,-0.746,-1.169,-2.254,-1.983,-1.156,-0.971,0.59,0.97,-0.757,0.547,0.424,0.463,0.731,0.681,0.526,0.172,0.973,0.424,0.868,-1.078,2.0
0.981,1.715,2.504,2.295,0.807,-0.968,-0.993,-0.371,-1.697,-0.874,-0.747,-1.119,-2.48,-2.384,-1.159,-1.061,-0.938,-0.847,-0.575,0.207,-0.043,-0.126,-0.175,0.609,0.436,0.622,0.121,0.489,0.418,-0.15,0.324,1.734,0.472,0.071,-0.063,0.677,0.257,0.539,-0.594,0.362,0.616,1.975,2.759,1.784,0.198,-1.139,-1.163,-1.101,-0.44,0.062,-0.087,-1.124,-0.744,-1.818,-2.083,-0.554,0.648,0.509,-0.016,0.774,0.267,1.761,0.785,0.646,0.291,0.437,0.084,0.147,1.257,-0.195,2.0
-0.425,-0.822,0.238,1.162,1.231,-0.717,-2.012,-2.252,-1.59,-2.798,1.116,0.429,-1.16,-3.286,-1.588,-1.016,0.721,-0.058,0.546,0.313,0.754,1.37,2.058,1.236,1.441,0.682,1.048,0.207,0.635,0.796,0.301,-0.112,0.364,0.013,-0.802,-0.458,0.17,-1.784,-1.615,-0.308,2.112,0.035,2.279,-0.972,-3.169,-0.741,0.622,0.851,-0.316,-0.413,-1.529,-1.765,-2.407,-2.547,-0.734,1.609,0.428,2.096,1.11,-0.289,0.18,0.273,0.038,0.132,0.571,0.723,0.387,0.181,0.38,-0.407,1.0
