@RELATION SonyAIBORobotSurface1

@ATTRIBUTE att1_err NUMERIC
@ATTRIBUTE att2_err NUMERIC
@ATTRIBUTE att3_err NUMERIC
@ATTRIBUTE att4_err NUMERIC
@ATTRIBUTE att5_err NUMERIC
@ATTRIBUTE att6_err NUMERIC
@ATTRIBUTE att7_err NUMERIC
@ATTRIBUTE att8_err NUMERIC
@ATTRIBUTE att9_err NUMERIC
@ATTRIBUTE att10_err NUMERIC
@ATTRIBUTE att11_err NUMERIC
@ATTRIBUTE att12_err NUMERIC
@ATTRIBUTE att13_err NUMERIC
@ATTRIBUTE att14_err NUMERIC
@ATTRIBUTE att15_err NUMERIC
@ATTRIBUTE att16_err NUMERIC
@ATTRIBUTE att17_err NUMERIC
@ATTRIBUTE att18_err NUMERIC
@ATTRIBUTE att19_err NUMERIC
@ATTRIBUTE att20_err NUMERIC
@ATTRIBUTE att21_err NUMERIC
@ATTRIBUTE att22_err NUMERIC
@ATTRIBUTE att23_err NUMERIC
@ATTRIBUTE att24_err NUMERIC
@ATTRIBUTE att25_err NUMERIC
@ATTRIBUTE att26_err NUMERIC
@ATTRIBUTE att27_err NUMERIC
@ATTRIBUTE att28_err NUMERIC
@ATTRIBUTE att29_err NUMERIC
@ATTRIBUTE att30_err NUMERIC
@ATTRIBUTE att31_err NUMERIC
@ATTRIBUTE att32_err NUMERIC
@ATTRIBUTE att33_err NUMERIC
@ATTRIBUTE att34_err NUMERIC
@ATTRIBUTE att35_err NUMERIC
@ATTRIBUTE att36_err NUMERIC
@ATTRIBUTE att37_err NUMERIC
@ATTRIBUTE att38_err NUMERIC
@ATTRIBUTE att39_err NUMERIC
@ATTRIBUTE att40_err NUMERIC
@ATTRIBUTE att41_err NUMERIC
@ATTRIBUTE att42_err NUMERIC
@ATTRIBUTE att43_err NUMERIC
@ATTRIBUTE att44_err NUMERIC
@ATTRIBUTE att45_err NUMERIC
@ATTRIBUTE att46_err NUMERIC
@ATTRIBUTE att47_err NUMERIC
@ATTRIBUTE att48_err NUMERIC
@ATTRIBUTE att49_err NUMERIC
@ATTRIBUTE att50_err NUMERIC
@ATTRIBUTE att51_err NUMERIC
@ATTRIBUTE att52_err NUMERIC
@ATTRIBUTE att53_err NUMERIC
@ATTRIBUTE att54_err NUMERIC
@ATTRIBUTE att55_err NUMERIC
@ATTRIBUTE att56_err NUMERIC
@ATTRIBUTE att57_err NUMERIC
@ATTRIBUTE att58_err NUMERIC
@ATTRIBUTE att59_err NUMERIC
@ATTRIBUTE att60_err NUMERIC
@ATTRIBUTE att61_err NUMERIC
@ATTRIBUTE att62_err NUMERIC
@ATTRIBUTE att63_err NUMERIC
@ATTRIBUTE att64_err NUMERIC
@ATTRIBUTE att65_err NUMERIC
@ATTRIBUTE att66_err NUMERIC
@ATTRIBUTE att67_err NUMERIC
@ATTRIBUTE att68_err NUMERIC
@ATTRIBUTE att69_err NUMERIC
@ATTRIBUTE att70_err NUMERIC

@DATA
0.14,0.65,1.59,0.017,0.488,0.277,0.705,0.32,0.155,0.157,0.542,0.013,0.975,0.092,0.315,0.4,1.677,0.272,0.33,0.167,0.184,0.438,0.106,0.507,0.02,0.342,0.554,1.161,0.611,0.345,0.219,0.028,0.267,0.38,0.423,0.191,0.482,0.351,0.052,0.755,0.822,0.682,0.894,0.071,1.569,0.889,0.402,1.297,0.59,0.559,0.88,0.914,0.256,0.235,0.648,0.522,0.297,0.181,0.125,0.283,0.407,0.061,0.022,0.075,0.733,0.232,0.388,0.243,0.579,0.221
1.264,1.158,0.644,0.221,1.41,0.726,0.016,1.029,0.176,0.407,0.541,0.423,0.154,0.28,0.248,0.32,0.925,0.174,0.096,0.367,0.075,0.895,0.136,1.15,0.346,0.361,0.026,0.792,0.173,0.27,0.135,0.321,0.018,0.622,0.311,0.574,0.163,0.14,0.84,0.562,0.939,0.519,0.347,1.158,0.03,0.009,0.175,0.367,0.139,1.351,0.231,0.347,0.325,0.073,1.766,0.808,1.36,0.54,0.194,0.226,0.355,0.338,0.016,0.029,0.062,0.16,0.484,0.48,0.031,0.063
0.292,0.097,0.325,1.3,0.194,0.852,0.763,0.687,0.068,0.26,0.376,0.573,0.142,0.209,0.17,0.558,0.168,0.21,0.504,0.333,0.072,0.082,0.153,0.08,0.074,0.604,0.714,0.109,0.138,0.59,0.062,0.514,0.45,0.552,0.03,0.205,0.564,0.149,0.714,0.535,0.075,2.362,0.833,1.093,0.086,0.269,0.123,0.79,0.221,0.644,1.437,0.474,0.403,0.023,0.429,0.88,1.159,0.661,0.344,0.395,0.551,0.18,0.116,0.298,0.363,0.077,0.343,0.723,0.048,0.401
0.993,0.124,0.428,0.457,0.167,1.404,0.328,1.177,0.878,0.679,0.946,0.388,0.613,1.122,0.579,0.558,0.634,0.282,0.36,0.349,0.808,0.596,0.508,0.27,0.008,0.102,0.162,0.233,0.543,0.764,0.063,0.163,0.915,0.667,0.134,0.168,0.671,0.134,0.377,0.405,1.18,1.53,0.007,0.753,0.35,0.914,0.697,0.112,0.913,0.862,0.648,0.46,0.262,0.189,0.152,1.106,0.676,1.611,0.05,0.14,0.465,0.215,1.032,0.261,0.53,0.303,0.59,0.531,0.174,0.765
0.216,1.092,1.339,0.23,0.494,1.425,0.394,0.102,0.667,0.763,0.426,0.566,1.377,0.695,0.315,0.789,0.075,0.488,1.035,0.219,0.039,0.135,0.471,0.202,0.388,0.133,0.472,0.622,0.615,0.384,0.173,0.119,0.366,0.173,0.274,0.514,0.466,0.935,0.404,0.42,1.338,0.295,1.174,0.049,0.031,0.161,0.526,1.242,0.797,0.454,0.936,0.493,0.59,0.454,0.598,1.588,0.35,0.211,0.37,0.093,0.084,0.747,0.003,0.017,0.287,0.093,0.057,0.425,1.013,0.498
0.529,0.344,0.085,0.396,0.291,0.245,0.265,0.137,1.069,0.833,1.493,0.111,0.174,0.346,0.197,0.103,0.284,0.267,1.203,0.369,0.707,0.559,0.23,0.074,0.481,0.63,0.447,0.599,0.283,0.657,0.111,0.305,0.002,0.087,0.353,0.188,0.291,0.457,0.164,0.59,0.034,2.355,1.1,0.795,1.262,0.598,0.053,0.413,0.028,0.539,0.347,0.647,0.172,0.047,0.222,0.031,0.029,0.935,0.415,0.601,0.26,0.039,0.323,0.57,0.369,0.11,0.205,0.348,0.152,0.035
0.761,0.862,0.495,0.991,0.29,0.722,0.341,0.234,0.073,0.19,1.455,1.127,1.095,0.116,0.405,0.209,0.019,1.034,0.453,0.196,0.432,0.529,0.419,0.428,0.257,0.126,0.083,0.61,0.572,0.42,0.694,0.236,0.141,0.389,0.252,0.93,0.521,0.506,0.571,0.308,0.168,1.355,0.099,0.25,1.164,0.334,0.833,0.925,0.358,1.034,1.357,0.348,0.047,0.014,0.175,0.602,0.098,0.874,0.253,0.549,0.569,0.222,0.069,0.152,0.206,0.205,0.36,0.441,0.493,0.539
0.269,0.506,0.091,0.297,2.019,0.107,0.185,0.322,0.468,0.517,0.302,1.687,0.05,0.197,0.087,0.107,0.345,0.4,0.848,0.567,0.08,0.218,0.017,1.119,0.174,0.526,0.638,0.03,0.058,0.095,0.003,0.727,0.292,0.022,0.387,0.892,0.093,0.893,0.556,0.096,0.378,0.935,1.477,0.149,1.705,0.061,1.024,0.474,0.791,0.058,0.783,0.612,0.712,0.582,0.148,0.996,1.977,0.898,0.992,0.159,0.044,0.248,0.235,0.309,0.136,0.064,0.653,0.132,0.038,0.79
0.821,0.036,0.533,0.127,0.71,0.465,0.609,0.915,0.103,0.267,0.378,0.011,1.399,0.639,0.297,0.534,0.055,0.021,0.761,0.366,0.104,0.154,0.71,0.058,0.268,0.186,0.257,0.112,0.051,0.346,0.365,0.867,0.195,0.08,0.449,0.259,0.166,0.451,0.81,0.534,0.485,0.024,0.475,1.014,0.216,0.285,0.622,0.466,0.106,0.815,0.008,0.555,1.424,0.611,0.667,0.137,0.671,1.34,0.029,0.287,0.41,0.787,0.285,0.023,0.187,0.18,0.306,0.037,0.662,0.39
0.276,1.792,0.687,0.537,0.11,0.848,0.409,0.12,0.346,1.427,0.101,0.412,0.949,1.505,0.431,0.092,0.899,0.355,0.372,0.066,0.394,0.405,0.798,0.672,0.368,0.286,0.596,0.277,0.153,0.437,0.339,0.083,0.195,0.368,0.908,0.072,0.633,1.408,1.156,0.524,0.8,1.963,1.045,0.309,1.845,1.603,1.182,0.165,0.048,0.889,1.006,0.247,0.084,0.289,0.215,0.766,0.748,0.153,0.088,0.42,0.727,0.442,0.092,0.312,0.304,0.306,0.129,0.462,0.194,1.12
