@RELATION SmoothSubspace

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE att4 NUMERIC
@ATTRIBUTE att5 NUMERIC
@ATTRIBUTE att6 NUMERIC
@ATTRIBUTE att7 NUMERIC
@ATTRIBUTE att8 NUMERIC
@ATTRIBUTE att9 NUMERIC
@ATTRIBUTE att10 NUMERIC
@ATTRIBUTE att11 NUMERIC
@ATTRIBUTE att12 NUMERIC
@ATTRIBUTE att13 NUMERIC
@ATTRIBUTE att14 NUMERIC
@ATTRIBUTE att15 NUMERIC
@ATTRIBUTE target {1.0, 2.0, 3.0}

@DATA
0.837,0.416,0.947,0.691,0.312,1.146,0.676,0.191,0.523,0.515,-0.338,-1.263,0.238,1.322,0.425,1.0
0.528,0.658,0.322,0.54,0.588,0.344,0.395,-0.013,0.771,0.728,2.157,0.24,1.05,-0.019,0.551,1.0
0.361,0.976,0.823,0.166,1.082,0.442,0.292,0.276,0.824,0.114,0.555,1.947,0.153,0.742,0.147,1.0
0.844,0.347,0.777,0.63,1.006,0.557,0.671,-0.171,0.159,0.473,0.673,0.486,0.756,0.788,-0.441,1.0
0.784,0.482,0.729,0.467,0.532,0.847,0.259,0.549,0.198,0.464,0.582,0.155,0.607,-0.535,1.183,1.0
0.52,0.484,0.712,0.461,0.626,0.75,0.132,0.486,0.105,0.213,0.175,0.135,1.137,0.803,0.866,1.0
0.312,0.556,0.565,0.793,1.373,0.663,0.249,0.141,0.449,0.456,1.146,0.814,0.389,0.787,1.777,1.0
0.025,0.486,0.045,0.609,0.183,-0.845,1.254,0.233,-0.09,-0.488,0.413,0.738,0.721,0.306,0.25,1.0
1.11,0.741,-0.154,0.496,0.667,0.015,0.49,0.786,0.915,0.553,-0.139,0.09,0.39,0.093,0.175,1.0
0.527,0.581,0.208,0.635,0.725,0.342,-0.381,0.499,0.315,0.861,0.985,0.488,0.458,0.953,0.776,1.0
0.439,0.773,0.666,0.306,0.63,1.178,0.598,0.453,0.533,0.963,0.883,0.655,0.295,0.58,-0.484,1.0
0.46,0.346,0.429,0.588,0.861,0.848,2.341,0.668,0.133,0.323,-0.35,0.703,0.467,0.434,1.161,1.0
0.71,0.484,1.354,0.555,0.554,0.69,0.789,0.439,1.069,1.481,0.902,0.534,0.553,-0.057,0.818,1.0
0.609,0.544,0.717,0.343,0.639,1.107,0.676,0.153,0.572,0.729,0.207,0.72,1.19,1.113,0.379,1.0
