@RELATION SmoothSubspace

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE att4 NUMERIC
@ATTRIBUTE att5 NUMERIC
@ATTRIBUTE att6 NUMERIC
@ATTRIBUTE att7 NUMERIC
@ATTRIBUTE att8 NUMERIC
@ATTRIBUTE att9 NUMERIC
@ATTRIBUTE att10 NUMERIC
@ATTRIBUTE att11 NUMERIC
@ATTRIBUTE att12 NUMERIC
@ATTRIBUTE att13 NUMERIC
@ATTRIBUTE att14 NUMERIC
@ATTRIBUTE att15 NUMERIC
@ATTRIBUTE target {1.0, 2.0, 3.0}

@DATA
0.659,0.515,0.783,0.594,0.486,1.013,0.669,0.26,0.463,0.451,-0.148,-0.61,0.328,0.875,0.425,1.0
0.523,0.653,0.54,0.546,0.593,0.331,0.397,0.058,0.737,0.772,1.577,0.24,0.994,0.208,0.565,1.0
0.389,0.793,0.806,0.346,0.84,0.442,0.242,0.236,0.791,0.106,0.545,1.168,0.112,0.708,0.102,1.0
0.738,0.486,0.774,0.541,0.812,0.559,0.763,-0.019,0.165,0.414,0.683,0.488,0.712,0.7,-0.09,1.0
0.639,0.542,0.729,0.439,0.557,0.798,0.522,0.579,0.208,0.553,0.547,0.101,0.627,-0.232,0.932,1.0
0.516,0.533,0.729,0.474,0.617,0.642,0.133,0.518,0.33,0.265,0.265,0.425,0.983,0.815,0.866,1.0
0.389,0.619,0.571,0.677,1.004,0.709,0.149,0.077,0.441,0.459,1.066,0.854,0.634,0.754,1.224,1.0
0.245,0.565,0.393,0.564,0.413,-0.128,1.057,0.315,0.039,-0.212,0.582,0.725,0.724,0.411,0.351,1.0
0.825,0.717,0.265,0.496,0.624,0.21,0.615,0.482,0.852,0.575,0.042,0.099,0.397,0.272,0.268,1.0
0.524,0.637,0.411,0.583,0.676,0.37,-0.086,0.517,0.315,0.704,0.801,0.409,0.41,0.893,0.846,1.0
0.452,0.677,0.667,0.378,0.632,1.006,0.61,0.489,0.532,0.942,0.772,0.697,0.291,0.363,0.016,1.0
0.462,0.468,0.629,0.548,0.722,0.809,1.306,0.786,0.096,0.324,-0.121,0.626,0.471,0.417,1.005,1.0
0.642,0.549,1.079,0.545,0.576,0.811,0.725,0.324,0.729,1.02,0.812,0.316,0.45,0.308,0.756,1.0
0.602,0.562,0.697,0.399,0.639,0.873,0.771,0.136,0.577,0.675,0.314,0.725,0.928,0.989,0.537,1.0
0.611,0.658,0.834,0.525,0.655,0.597,0.047,0.336,0.885,0.842,0.252,0.201,0.158,0.877,0.785,1.0
0.434,0.695,0.725,0.606,0.917,0.219,0.846,0.264,0.624,0.595,1.202,0.679,2.061,0.187,0.611,1.0
0.693,0.444,0.764,0.443,0.261,0.636,0.198,0.612,0.768,0.72,0.565,0.79,0.627,0.479,0.327,1.0
0.405,0.957,0.287,0.437,0.493,0.421,-0.811,0.507,0.577,0.291,0.342,0.607,0.992,0.328,0.623,1.0
0.168,0.739,0.824,0.676,0.475,0.575,0.129,0.056,0.41,0.662,0.987,0.968,0.315,-0.015,0.929,1.0
0.45,0.739,0.488,0.489,0.549,0.243,1.03,0.752,0.658,1.034,0.542,0.608,-0.078,0.535,0.272,1.0
0.58,0.761,0.638,0.435,0.535,-0.041,1.325,0.112,-0.255,0.771,0.585,0.919,0.463,0.449,0.457,1.0
0.43,0.614,0.841,0.454,0.448,-0.19,0.938,0.821,0.275,0.804,0.426,0.356,0.349,0.693,0.079,1.0
0.507,0.704,0.762,0.579,0.625,0.458,0.94,0.238,0.378,0.753,0.619,0.753,0.342,0.029,0.581,1.0
