@RELATION SmoothSubspace

@ATTRIBUTE att1_err NUMERIC
@ATTRIBUTE att2_err NUMERIC
@ATTRIBUTE att3_err NUMERIC
@ATTRIBUTE att4_err NUMERIC
@ATTRIBUTE att5_err NUMERIC
@ATTRIBUTE att6_err NUMERIC
@ATTRIBUTE att7_err NUMERIC
@ATTRIBUTE att8_err NUMERIC
@ATTRIBUTE att9_err NUMERIC
@ATTRIBUTE att10_err NUMERIC
@ATTRIBUTE att11_err NUMERIC
@ATTRIBUTE att12_err NUMERIC
@ATTRIBUTE att13_err NUMERIC
@ATTRIBUTE att14_err NUMERIC
@ATTRIBUTE att15_err NUMERIC

@DATA
0.245,0.324,0.075,0.074,0.334,0.21,0.271,0.188,0.056,0.043,0.326,0.323,0.114,0.157,0.022
0.062,0.007,0.157,0.026,0.093,0.093,0.061,0.142,0.366,0.042,0.415,0.006,0.118,0.391,0.021
0.313,0.199,0.244,0.139,0.264,0.0,0.04,0.088,0.268,0.026,0.044,0.43,0.334,0.17,0.272
0.108,0.103,0.115,0.109,0.155,0.012,0.11,0.068,0.011,0.056,0.011,0.033,0.087,0.144,0.333
0.275,0.052,0.001,0.036,0.044,0.092,0.426,0.069,0.15,0.242,0.055,0.058,0.041,0.225,0.192
0.059,0.023,0.106,0.332,0.055,0.082,0.002,0.216,0.42,0.095,0.204,0.271,0.334,0.074,0.278
0.08,0.171,0.023,0.136,0.205,0.146,0.116,0.272,0.013,0.041,0.154,0.033,0.194,0.198,0.249
0.494,0.295,0.251,0.04,0.295,0.571,0.252,0.049,0.153,0.377,0.077,0.034,0.006,0.115,0.121
0.175,0.023,0.271,0.005,0.234,0.11,0.118,0.362,0.086,0.101,0.295,0.026,0.199,0.354,0.075
0.343,0.1,0.287,0.109,0.112,0.184,0.141,0.108,0.38,0.248,0.27,0.112,0.151,0.307,0.184
0.046,0.092,0.006,0.264,0.16,0.506,0.018,0.036,0.192,0.034,0.186,0.208,0.174,0.261,0.26
0.028,0.078,0.202,0.091,0.076,0.182,0.484,0.172,0.063,0.088,0.21,0.198,0.013,0.034,0.145
0.087,0.132,0.254,0.038,0.098,0.197,0.045,0.16,0.313,0.461,0.397,0.098,0.125,0.426,0.064
0.006,0.031,0.152,0.053,0.012,0.242,0.342,0.009,0.152,0.031,0.163,0.052,0.169,0.083,0.132
0.136,0.035,0.528,0.147,0.084,0.054,0.169,0.003,0.065,0.577,0.116,0.015,0.171,0.028,0.071
0.003,0.208,0.046,0.086,0.269,0.083,0.508,0.497,0.291,0.193,0.379,0.102,0.533,0.094,0.177
0.146,0.5,0.045,0.134,0.218,0.183,0.024,0.25,0.061,0.34,0.161,0.099,0.156,0.045,0.163
0.019,0.146,0.186,0.096,0.162,0.02,0.521,0.329,0.21,0.118,0.018,0.236,0.158,0.134,0.016
0.228,0.156,0.222,0.155,0.055,0.196,0.051,0.04,0.061,0.019,0.05,0.205,0.28,0.034,0.212
0.016,0.07,0.275,0.012,0.02,0.094,0.027,0.041,0.205,0.208,0.014,0.014,0.595,0.123,0.31
0.09,0.07,0.146,0.114,0.365,0.172,0.459,0.028,0.279,0.102,0.045,0.151,0.067,0.233,0.347
0.209,0.055,0.2,0.003,0.214,0.177,0.021,0.499,0.07,0.077,0.141,0.127,0.122,0.24,0.184
0.314,0.242,0.026,0.073,0.037,0.178,0.107,0.184,0.105,0.425,0.185,0.3,0.254,0.154,0.035
0.164,0.122,0.107,0.049,0.273,0.258,0.096,0.177,0.032,0.392,0.148,0.024,0.074,0.432,0.213
0.459,0.138,0.214,0.304,0.161,0.327,0.139,0.083,0.119,0.119,0.029,0.07,0.015,0.443,0.376
0.075,0.154,0.05,0.222,0.175,0.279,0.087,0.236,0.18,0.044,0.642,0.388,0.171,0.081,0.522
0.162,0.035,0.189,0.211,0.04,0.333,0.195,0.229,0.226,0.149,0.198,0.119,0.218,0.325,0.213
0.109,0.094,0.07,0.051,0.003,0.254,0.019,0.36,0.122,0.015,0.041,0.112,0.372,0.255,0.495
0.042,0.034,0.425,0.331,0.069,0.251,0.287,0.261,0.17,0.084,0.788,0.123,0.151,0.221,0.037
0.034,0.085,0.206,0.226,0.13,0.118,0.162,0.001,0.058,0.007,0.009,0.014,0.317,0.21,0.464
0.068,0.285,0.177,0.034,0.312,0.277,0.084,0.07,0.184,0.021,0.103,0.167,0.136,0.337,0.104
0.051,0.04,0.04,0.203,0.114,0.099,0.101,0.274,0.024,0.09,0.036,0.04,0.228,0.014,0.64
0.014,0.142,0.02,0.263,0.143,0.106,0.141,0.117,0.332,0.298,0.2,0.094,0.062,0.124,0.347
0.012,0.212,0.241,0.176,0.175,0.109,0.259,0.101,0.011,0.312,0.256,0.139,0.098,0.269,0.096
0.159,0.291,0.271,0.157,0.312,0.211,0.32,0.173,0.277,0.168,0.092,0.019,0.077,0.26,0.194
0.341,0.056,0.038,0.058,0.016,0.445,0.086,0.085,0.196,0.394,0.004,0.014,0.331,0.179,0.072
0.308,0.013,0.149,0.339,0.099,0.047,0.385,0.279,0.065,0.052,0.017,0.205,0.189,0.128,0.314
0.03,0.031,0.041,0.333,0.273,0.265,0.181,0.11,0.272,0.389,0.154,0.005,0.287,0.184,0.271
0.403,0.192,0.206,0.17,0.347,0.252,0.144,0.09,0.25,0.176,0.122,0.288,0.159,0.323,0.264
0.029,0.086,0.06,0.228,0.205,0.157,0.223,0.228,0.047,0.133,0.143,0.445,0.084,0.02,0.086
0.137,0.182,0.23,0.135,0.047,0.197,0.175,0.078,0.088,0.08,0.152,0.05,0.297,0.181,0.079
0.165,0.222,0.264,0.009,0.166,0.268,0.193,0.188,0.062,0.199,0.421,0.218,0.116,0.119,0.29
0.15,0.168,0.036,0.183,0.205,0.192,0.362,0.526,0.209,0.032,0.044,0.115,0.754,0.277,0.453
0.154,0.082,0.061,0.11,0.149,0.112,0.098,0.286,0.065,0.121,0.173,0.11,0.101,0.351,0.194
0.031,0.253,0.342,0.203,0.119,0.031,0.127,0.27,0.181,0.104,0.129,0.049,0.227,0.098,0.084
0.145,0.219,0.111,0.067,0.236,0.355,0.489,0.54,0.032,0.009,0.279,0.076,0.029,0.169,0.057
0.183,0.205,0.134,0.243,0.15,0.24,0.458,0.195,0.042,0.568,0.214,0.003,0.044,0.059,0.429
0.133,0.14,0.242,0.099,0.298,0.215,0.087,0.104,0.142,0.322,0.13,0.081,0.173,0.033,0.292
0.084,0.095,0.274,0.18,0.107,0.192,0.31,0.374,0.081,0.118,0.171,0.281,0.059,0.3,0.058
0.182,0.101,0.221,0.391,0.04,0.117,0.296,0.124,0.132,0.273,0.02,0.086,0.163,0.09,0.086
0.122,0.026,0.077,0.319,0.539,0.109,0.002,0.055,0.208,0.373,0.066,0.235,0.165,0.335,0.39
0.403,0.03,0.212,0.21,0.045,0.038,0.174,0.348,0.19,0.043,0.18,0.14,0.388,0.009,0.105
0.111,0.104,0.064,0.102,0.009,0.098,0.147,0.365,0.182,0.017,0.285,0.212,0.086,0.014,0.092
