@RELATION SonyAIBORobotSurface2

@ATTRIBUTE att1_err NUMERIC
@ATTRIBUTE att2_err NUMERIC
@ATTRIBUTE att3_err NUMERIC
@ATTRIBUTE att4_err NUMERIC
@ATTRIBUTE att5_err NUMERIC
@ATTRIBUTE att6_err NUMERIC
@ATTRIBUTE att7_err NUMERIC
@ATTRIBUTE att8_err NUMERIC
@ATTRIBUTE att9_err NUMERIC
@ATTRIBUTE att10_err NUMERIC
@ATTRIBUTE att11_err NUMERIC
@ATTRIBUTE att12_err NUMERIC
@ATTRIBUTE att13_err NUMERIC
@ATTRIBUTE att14_err NUMERIC
@ATTRIBUTE att15_err NUMERIC
@ATTRIBUTE att16_err NUMERIC
@ATTRIBUTE att17_err NUMERIC
@ATTRIBUTE att18_err NUMERIC
@ATTRIBUTE att19_err NUMERIC
@ATTRIBUTE att20_err NUMERIC
@ATTRIBUTE att21_err NUMERIC
@ATTRIBUTE att22_err NUMERIC
@ATTRIBUTE att23_err NUMERIC
@ATTRIBUTE att24_err NUMERIC
@ATTRIBUTE att25_err NUMERIC
@ATTRIBUTE att26_err NUMERIC
@ATTRIBUTE att27_err NUMERIC
@ATTRIBUTE att28_err NUMERIC
@ATTRIBUTE att29_err NUMERIC
@ATTRIBUTE att30_err NUMERIC
@ATTRIBUTE att31_err NUMERIC
@ATTRIBUTE att32_err NUMERIC
@ATTRIBUTE att33_err NUMERIC
@ATTRIBUTE att34_err NUMERIC
@ATTRIBUTE att35_err NUMERIC
@ATTRIBUTE att36_err NUMERIC
@ATTRIBUTE att37_err NUMERIC
@ATTRIBUTE att38_err NUMERIC
@ATTRIBUTE att39_err NUMERIC
@ATTRIBUTE att40_err NUMERIC
@ATTRIBUTE att41_err NUMERIC
@ATTRIBUTE att42_err NUMERIC
@ATTRIBUTE att43_err NUMERIC
@ATTRIBUTE att44_err NUMERIC
@ATTRIBUTE att45_err NUMERIC
@ATTRIBUTE att46_err NUMERIC
@ATTRIBUTE att47_err NUMERIC
@ATTRIBUTE att48_err NUMERIC
@ATTRIBUTE att49_err NUMERIC
@ATTRIBUTE att50_err NUMERIC
@ATTRIBUTE att51_err NUMERIC
@ATTRIBUTE att52_err NUMERIC
@ATTRIBUTE att53_err NUMERIC
@ATTRIBUTE att54_err NUMERIC
@ATTRIBUTE att55_err NUMERIC
@ATTRIBUTE att56_err NUMERIC
@ATTRIBUTE att57_err NUMERIC
@ATTRIBUTE att58_err NUMERIC
@ATTRIBUTE att59_err NUMERIC
@ATTRIBUTE att60_err NUMERIC
@ATTRIBUTE att61_err NUMERIC
@ATTRIBUTE att62_err NUMERIC
@ATTRIBUTE att63_err NUMERIC
@ATTRIBUTE att64_err NUMERIC
@ATTRIBUTE att65_err NUMERIC

@DATA
0.229,0.393,0.089,1.048,0.121,1.7,0.077,1.618,0.297,0.487,2.422,2.29,0.243,0.915,0.11,0.643,0.142,1.128,0.529,0.546,0.108,0.704,0.61,1.371,0.217,1.172,0.63,0.234,0.17,0.089,0.133,0.01,0.062,0.07,0.076,0.065,0.338,0.191,0.038,0.04,0.499,0.957,0.149,0.159,1.195,0.751,0.069,0.049,0.771,0.211,0.406,1.236,1.164,0.284,0.677,0.635,0.525,0.587,0.702,1.459,0.538,0.421,1.196,0.06,0.286
0.003,0.474,0.352,1.533,1.25,0.19,0.002,0.38,0.576,0.293,0.692,1.505,0.09,0.697,0.376,0.504,0.239,0.451,0.486,0.179,0.059,0.167,0.022,0.398,0.075,0.698,0.364,0.056,0.603,0.376,0.171,0.192,0.064,0.157,0.294,0.336,0.0,0.098,0.097,0.191,0.259,0.238,0.49,0.092,0.56,0.011,0.194,0.369,0.74,0.565,0.994,0.071,1.143,0.323,0.206,0.436,0.117,1.302,0.895,1.52,1.084,0.75,0.491,0.054,0.468
0.035,0.556,0.32,0.128,0.094,1.153,0.494,0.57,1.006,0.325,1.795,0.038,0.758,0.194,0.655,0.845,0.732,0.059,0.208,2.61,0.253,0.757,0.782,0.822,0.844,0.211,0.418,0.461,0.2,0.113,0.079,0.564,0.17,0.145,0.233,0.06,0.287,0.087,0.647,0.041,0.297,0.009,0.146,0.668,1.113,0.74,0.029,0.069,0.547,0.453,0.043,0.773,0.077,0.831,0.375,0.287,0.551,0.856,0.212,1.67,1.324,0.89,1.885,0.218,0.226
0.305,0.231,0.297,0.012,1.297,0.4,0.615,0.215,0.523,0.655,0.175,0.964,0.272,0.774,0.265,0.133,0.916,0.618,1.484,1.197,2.017,0.165,0.214,0.972,0.442,0.741,0.502,0.091,0.114,0.042,0.249,0.342,0.128,0.049,0.253,0.233,0.29,0.334,0.15,0.102,0.288,0.316,0.307,0.227,0.517,0.739,0.065,0.009,0.493,1.305,0.414,0.98,0.015,1.488,0.701,2.787,0.313,0.632,2.038,0.443,1.334,1.059,0.636,1.317,0.172
0.156,0.129,0.253,0.832,0.151,0.176,0.14,1.195,0.372,0.665,0.424,0.779,0.818,0.098,0.782,0.534,0.037,0.21,0.132,0.015,1.224,0.43,0.399,0.137,0.086,0.507,1.534,0.419,0.003,0.241,0.006,0.085,0.09,0.268,0.105,0.101,0.163,0.143,0.133,0.268,0.393,0.045,0.055,0.533,0.208,0.007,1.166,0.192,0.619,0.918,1.668,0.486,0.132,0.965,0.888,0.324,0.4,0.425,1.307,1.795,0.916,0.072,0.597,0.558,0.129
0.052,0.179,0.105,0.089,0.357,0.223,0.103,1.247,0.157,0.632,0.698,1.359,0.045,1.698,0.907,0.063,0.484,0.938,0.491,0.067,0.529,0.258,1.026,0.442,0.012,0.402,0.284,0.76,0.401,0.578,0.387,0.24,0.023,0.159,0.186,0.223,0.295,0.124,0.0,0.248,0.24,0.636,0.032,0.371,1.015,0.185,0.524,0.352,0.111,1.284,0.52,0.362,1.085,0.526,0.036,1.063,0.216,0.017,0.207,0.16,0.21,1.22,1.043,0.25,0.608
0.138,0.318,0.14,0.146,0.442,0.088,0.236,1.406,1.073,0.136,1.883,1.157,1.038,0.116,0.382,0.767,0.736,0.43,0.198,0.095,2.522,0.616,0.365,0.437,0.007,0.023,0.331,0.479,0.226,0.229,0.661,0.378,0.014,0.107,0.18,0.119,0.103,0.165,0.095,0.396,0.493,0.43,0.236,0.797,0.129,0.593,0.045,0.655,0.416,0.617,2.29,0.324,0.595,0.697,0.497,0.344,0.294,0.327,0.387,0.578,0.544,0.165,0.308,0.279,0.178
0.264,0.161,0.114,1.113,1.201,0.751,0.713,0.441,0.036,0.327,1.082,0.231,0.092,2.323,1.79,0.866,0.081,0.815,0.22,0.283,1.35,0.345,0.439,1.668,0.497,0.604,0.538,0.699,0.497,0.305,0.168,0.111,0.373,0.184,0.182,0.001,0.147,0.198,0.265,0.382,0.45,0.215,0.57,0.249,0.21,0.447,0.209,0.282,0.036,2.648,0.92,0.247,0.148,0.065,0.133,0.244,1.435,0.207,0.471,0.482,0.638,0.26,1.369,0.364,0.028
0.363,0.027,0.241,0.93,0.701,1.303,0.058,0.455,0.247,0.384,0.49,1.116,0.027,1.127,0.651,0.438,0.554,0.302,1.375,1.012,0.553,1.192,0.186,0.04,0.417,0.272,0.334,0.476,0.252,0.171,0.183,0.126,0.199,0.124,0.384,0.028,0.067,0.11,0.179,0.035,0.108,0.232,0.304,0.368,0.421,0.295,0.438,0.054,0.368,0.51,1.724,0.463,1.441,0.083,0.538,0.189,0.177,0.334,0.34,0.325,1.365,0.777,0.482,0.528,0.256
0.203,0.19,0.43,0.226,0.032,0.576,0.211,0.32,0.546,0.165,0.123,0.054,0.577,0.097,1.322,0.726,1.232,0.059,0.145,0.955,0.84,0.923,0.439,0.139,0.411,0.432,0.308,0.651,0.599,0.526,0.002,0.264,0.018,0.03,0.268,0.03,0.404,0.103,0.127,0.554,0.047,0.254,0.067,0.066,0.01,0.49,0.051,0.678,0.474,2.035,0.501,1.395,1.168,0.225,0.296,0.195,0.578,0.698,0.319,1.396,1.21,0.633,1.228,0.562,0.173
