@RELATION SonyAIBORobotSurface1

@ATTRIBUTE att1_err NUMERIC
@ATTRIBUTE att2_err NUMERIC
@ATTRIBUTE att3_err NUMERIC
@ATTRIBUTE att4_err NUMERIC
@ATTRIBUTE att5_err NUMERIC
@ATTRIBUTE att6_err NUMERIC
@ATTRIBUTE att7_err NUMERIC
@ATTRIBUTE att8_err NUMERIC
@ATTRIBUTE att9_err NUMERIC
@ATTRIBUTE att10_err NUMERIC
@ATTRIBUTE att11_err NUMERIC
@ATTRIBUTE att12_err NUMERIC
@ATTRIBUTE att13_err NUMERIC
@ATTRIBUTE att14_err NUMERIC
@ATTRIBUTE att15_err NUMERIC
@ATTRIBUTE att16_err NUMERIC
@ATTRIBUTE att17_err NUMERIC
@ATTRIBUTE att18_err NUMERIC
@ATTRIBUTE att19_err NUMERIC
@ATTRIBUTE att20_err NUMERIC
@ATTRIBUTE att21_err NUMERIC
@ATTRIBUTE att22_err NUMERIC
@ATTRIBUTE att23_err NUMERIC
@ATTRIBUTE att24_err NUMERIC
@ATTRIBUTE att25_err NUMERIC
@ATTRIBUTE att26_err NUMERIC
@ATTRIBUTE att27_err NUMERIC
@ATTRIBUTE att28_err NUMERIC
@ATTRIBUTE att29_err NUMERIC
@ATTRIBUTE att30_err NUMERIC
@ATTRIBUTE att31_err NUMERIC
@ATTRIBUTE att32_err NUMERIC
@ATTRIBUTE att33_err NUMERIC
@ATTRIBUTE att34_err NUMERIC
@ATTRIBUTE att35_err NUMERIC
@ATTRIBUTE att36_err NUMERIC
@ATTRIBUTE att37_err NUMERIC
@ATTRIBUTE att38_err NUMERIC
@ATTRIBUTE att39_err NUMERIC
@ATTRIBUTE att40_err NUMERIC
@ATTRIBUTE att41_err NUMERIC
@ATTRIBUTE att42_err NUMERIC
@ATTRIBUTE att43_err NUMERIC
@ATTRIBUTE att44_err NUMERIC
@ATTRIBUTE att45_err NUMERIC
@ATTRIBUTE att46_err NUMERIC
@ATTRIBUTE att47_err NUMERIC
@ATTRIBUTE att48_err NUMERIC
@ATTRIBUTE att49_err NUMERIC
@ATTRIBUTE att50_err NUMERIC
@ATTRIBUTE att51_err NUMERIC
@ATTRIBUTE att52_err NUMERIC
@ATTRIBUTE att53_err NUMERIC
@ATTRIBUTE att54_err NUMERIC
@ATTRIBUTE att55_err NUMERIC
@ATTRIBUTE att56_err NUMERIC
@ATTRIBUTE att57_err NUMERIC
@ATTRIBUTE att58_err NUMERIC
@ATTRIBUTE att59_err NUMERIC
@ATTRIBUTE att60_err NUMERIC
@ATTRIBUTE att61_err NUMERIC
@ATTRIBUTE att62_err NUMERIC
@ATTRIBUTE att63_err NUMERIC
@ATTRIBUTE att64_err NUMERIC
@ATTRIBUTE att65_err NUMERIC
@ATTRIBUTE att66_err NUMERIC
@ATTRIBUTE att67_err NUMERIC
@ATTRIBUTE att68_err NUMERIC
@ATTRIBUTE att69_err NUMERIC
@ATTRIBUTE att70_err NUMERIC

@DATA
0.093,0.433,1.06,0.011,0.326,0.185,0.47,0.213,0.103,0.105,0.362,0.009,0.65,0.061,0.21,0.267,1.118,0.181,0.22,0.111,0.122,0.292,0.071,0.338,0.014,0.228,0.369,0.774,0.407,0.23,0.146,0.019,0.178,0.254,0.282,0.127,0.321,0.234,0.035,0.503,0.548,0.454,0.596,0.047,1.046,0.593,0.268,0.865,0.393,0.373,0.586,0.609,0.17,0.157,0.432,0.348,0.198,0.121,0.084,0.189,0.272,0.04,0.015,0.05,0.489,0.154,0.259,0.162,0.386,0.147
0.842,0.772,0.43,0.147,0.94,0.484,0.011,0.686,0.117,0.272,0.361,0.282,0.103,0.187,0.166,0.213,0.617,0.116,0.064,0.245,0.05,0.597,0.09,0.766,0.231,0.241,0.017,0.528,0.115,0.18,0.09,0.214,0.012,0.414,0.208,0.383,0.108,0.094,0.56,0.374,0.626,0.346,0.231,0.772,0.02,0.006,0.117,0.245,0.093,0.9,0.154,0.231,0.217,0.048,1.177,0.538,0.907,0.36,0.129,0.15,0.237,0.225,0.011,0.019,0.042,0.107,0.323,0.32,0.02,0.042
0.194,0.065,0.216,0.867,0.13,0.568,0.509,0.458,0.045,0.173,0.251,0.382,0.095,0.139,0.113,0.372,0.112,0.14,0.336,0.222,0.048,0.054,0.102,0.054,0.049,0.403,0.476,0.073,0.092,0.393,0.041,0.342,0.3,0.368,0.02,0.136,0.376,0.1,0.476,0.357,0.05,1.575,0.555,0.729,0.057,0.18,0.082,0.526,0.147,0.43,0.958,0.316,0.269,0.015,0.286,0.587,0.773,0.44,0.229,0.263,0.367,0.12,0.077,0.198,0.242,0.051,0.229,0.482,0.032,0.267
0.662,0.083,0.285,0.305,0.112,0.936,0.219,0.785,0.585,0.453,0.63,0.258,0.409,0.748,0.386,0.372,0.423,0.188,0.24,0.233,0.538,0.397,0.339,0.18,0.005,0.068,0.108,0.156,0.362,0.509,0.042,0.108,0.61,0.445,0.089,0.112,0.447,0.09,0.251,0.27,0.787,1.02,0.005,0.502,0.233,0.609,0.465,0.075,0.608,0.575,0.432,0.307,0.175,0.126,0.101,0.737,0.451,1.074,0.034,0.093,0.31,0.144,0.688,0.174,0.353,0.202,0.393,0.354,0.116,0.51
0.144,0.728,0.893,0.154,0.329,0.95,0.263,0.068,0.445,0.508,0.284,0.377,0.918,0.463,0.21,0.526,0.05,0.325,0.69,0.146,0.026,0.09,0.314,0.134,0.259,0.089,0.314,0.414,0.41,0.256,0.115,0.079,0.244,0.115,0.183,0.343,0.311,0.623,0.269,0.28,0.892,0.197,0.783,0.033,0.021,0.107,0.35,0.828,0.531,0.302,0.624,0.329,0.393,0.303,0.399,1.059,0.233,0.141,0.246,0.062,0.056,0.498,0.002,0.011,0.191,0.062,0.038,0.283,0.676,0.332
0.352,0.229,0.057,0.264,0.194,0.163,0.177,0.092,0.713,0.556,0.996,0.074,0.116,0.231,0.131,0.068,0.189,0.178,0.802,0.246,0.471,0.373,0.153,0.05,0.321,0.42,0.298,0.399,0.188,0.438,0.074,0.203,0.002,0.058,0.235,0.125,0.194,0.305,0.109,0.394,0.023,1.57,0.733,0.53,0.841,0.398,0.035,0.275,0.019,0.359,0.231,0.431,0.114,0.031,0.148,0.02,0.019,0.624,0.277,0.401,0.174,0.026,0.215,0.38,0.246,0.074,0.137,0.232,0.101,0.024
0.507,0.575,0.33,0.661,0.193,0.481,0.227,0.156,0.049,0.127,0.97,0.751,0.73,0.078,0.27,0.139,0.013,0.69,0.302,0.13,0.288,0.353,0.279,0.285,0.172,0.084,0.055,0.406,0.381,0.28,0.463,0.157,0.094,0.259,0.168,0.62,0.347,0.337,0.381,0.205,0.112,0.903,0.066,0.167,0.776,0.223,0.556,0.616,0.239,0.689,0.905,0.232,0.031,0.009,0.117,0.402,0.065,0.583,0.169,0.366,0.38,0.148,0.046,0.102,0.137,0.137,0.24,0.294,0.328,0.359
0.179,0.337,0.061,0.198,1.346,0.072,0.123,0.215,0.312,0.345,0.202,1.124,0.033,0.131,0.058,0.071,0.23,0.266,0.565,0.378,0.053,0.146,0.011,0.746,0.116,0.35,0.426,0.02,0.039,0.063,0.002,0.485,0.195,0.015,0.258,0.595,0.062,0.595,0.371,0.064,0.252,0.623,0.985,0.099,1.136,0.041,0.682,0.316,0.527,0.039,0.522,0.408,0.475,0.388,0.099,0.664,1.318,0.599,0.661,0.106,0.029,0.165,0.156,0.206,0.091,0.043,0.435,0.088,0.025,0.527
0.547,0.024,0.355,0.085,0.474,0.31,0.406,0.61,0.069,0.178,0.252,0.008,0.933,0.426,0.198,0.356,0.037,0.014,0.507,0.244,0.07,0.103,0.473,0.039,0.179,0.124,0.171,0.075,0.034,0.23,0.243,0.578,0.13,0.054,0.299,0.173,0.11,0.301,0.54,0.356,0.323,0.016,0.317,0.676,0.144,0.19,0.415,0.311,0.071,0.543,0.006,0.37,0.949,0.407,0.444,0.092,0.448,0.894,0.019,0.191,0.273,0.525,0.19,0.015,0.124,0.12,0.204,0.025,0.441,0.26
0.184,1.195,0.458,0.358,0.073,0.565,0.272,0.08,0.23,0.952,0.067,0.275,0.632,1.004,0.287,0.061,0.6,0.237,0.248,0.044,0.263,0.27,0.532,0.448,0.245,0.191,0.397,0.185,0.102,0.292,0.226,0.055,0.13,0.245,0.606,0.048,0.422,0.938,0.771,0.349,0.533,1.309,0.697,0.206,1.23,1.068,0.788,0.11,0.032,0.593,0.671,0.165,0.056,0.193,0.143,0.51,0.499,0.102,0.058,0.28,0.485,0.294,0.061,0.208,0.203,0.204,0.086,0.308,0.129,0.747
