@RELATION SonyAIBORobotSurface2

@ATTRIBUTE att1_err NUMERIC
@ATTRIBUTE att2_err NUMERIC
@ATTRIBUTE att3_err NUMERIC
@ATTRIBUTE att4_err NUMERIC
@ATTRIBUTE att5_err NUMERIC
@ATTRIBUTE att6_err NUMERIC
@ATTRIBUTE att7_err NUMERIC
@ATTRIBUTE att8_err NUMERIC
@ATTRIBUTE att9_err NUMERIC
@ATTRIBUTE att10_err NUMERIC
@ATTRIBUTE att11_err NUMERIC
@ATTRIBUTE att12_err NUMERIC
@ATTRIBUTE att13_err NUMERIC
@ATTRIBUTE att14_err NUMERIC
@ATTRIBUTE att15_err NUMERIC
@ATTRIBUTE att16_err NUMERIC
@ATTRIBUTE att17_err NUMERIC
@ATTRIBUTE att18_err NUMERIC
@ATTRIBUTE att19_err NUMERIC
@ATTRIBUTE att20_err NUMERIC
@ATTRIBUTE att21_err NUMERIC
@ATTRIBUTE att22_err NUMERIC
@ATTRIBUTE att23_err NUMERIC
@ATTRIBUTE att24_err NUMERIC
@ATTRIBUTE att25_err NUMERIC
@ATTRIBUTE att26_err NUMERIC
@ATTRIBUTE att27_err NUMERIC
@ATTRIBUTE att28_err NUMERIC
@ATTRIBUTE att29_err NUMERIC
@ATTRIBUTE att30_err NUMERIC
@ATTRIBUTE att31_err NUMERIC
@ATTRIBUTE att32_err NUMERIC
@ATTRIBUTE att33_err NUMERIC
@ATTRIBUTE att34_err NUMERIC
@ATTRIBUTE att35_err NUMERIC
@ATTRIBUTE att36_err NUMERIC
@ATTRIBUTE att37_err NUMERIC
@ATTRIBUTE att38_err NUMERIC
@ATTRIBUTE att39_err NUMERIC
@ATTRIBUTE att40_err NUMERIC
@ATTRIBUTE att41_err NUMERIC
@ATTRIBUTE att42_err NUMERIC
@ATTRIBUTE att43_err NUMERIC
@ATTRIBUTE att44_err NUMERIC
@ATTRIBUTE att45_err NUMERIC
@ATTRIBUTE att46_err NUMERIC
@ATTRIBUTE att47_err NUMERIC
@ATTRIBUTE att48_err NUMERIC
@ATTRIBUTE att49_err NUMERIC
@ATTRIBUTE att50_err NUMERIC
@ATTRIBUTE att51_err NUMERIC
@ATTRIBUTE att52_err NUMERIC
@ATTRIBUTE att53_err NUMERIC
@ATTRIBUTE att54_err NUMERIC
@ATTRIBUTE att55_err NUMERIC
@ATTRIBUTE att56_err NUMERIC
@ATTRIBUTE att57_err NUMERIC
@ATTRIBUTE att58_err NUMERIC
@ATTRIBUTE att59_err NUMERIC
@ATTRIBUTE att60_err NUMERIC
@ATTRIBUTE att61_err NUMERIC
@ATTRIBUTE att62_err NUMERIC
@ATTRIBUTE att63_err NUMERIC
@ATTRIBUTE att64_err NUMERIC
@ATTRIBUTE att65_err NUMERIC

@DATA
0.115,0.197,0.044,0.524,0.061,0.85,0.038,0.809,0.149,0.244,1.211,1.145,0.122,0.457,0.055,0.321,0.071,0.564,0.265,0.273,0.054,0.352,0.305,0.686,0.109,0.586,0.315,0.117,0.085,0.044,0.067,0.005,0.031,0.035,0.038,0.032,0.169,0.096,0.019,0.02,0.249,0.479,0.075,0.08,0.598,0.375,0.035,0.024,0.386,0.106,0.203,0.618,0.582,0.142,0.339,0.318,0.262,0.293,0.351,0.73,0.269,0.21,0.598,0.03,0.143
0.001,0.237,0.176,0.767,0.625,0.095,0.001,0.19,0.288,0.147,0.346,0.753,0.045,0.348,0.188,0.252,0.119,0.225,0.243,0.09,0.03,0.083,0.011,0.199,0.038,0.349,0.182,0.028,0.301,0.188,0.086,0.096,0.032,0.079,0.147,0.168,0.0,0.049,0.049,0.095,0.129,0.119,0.245,0.046,0.28,0.006,0.097,0.185,0.37,0.283,0.497,0.035,0.572,0.162,0.103,0.218,0.059,0.651,0.447,0.76,0.542,0.375,0.246,0.027,0.234
0.017,0.278,0.16,0.064,0.047,0.576,0.247,0.285,0.503,0.163,0.897,0.019,0.379,0.097,0.327,0.422,0.366,0.03,0.104,1.305,0.126,0.379,0.391,0.411,0.422,0.105,0.209,0.23,0.1,0.056,0.039,0.282,0.085,0.073,0.116,0.03,0.144,0.043,0.323,0.021,0.149,0.005,0.073,0.334,0.556,0.37,0.014,0.034,0.274,0.226,0.021,0.387,0.039,0.415,0.187,0.144,0.275,0.428,0.106,0.835,0.662,0.445,0.943,0.109,0.113
0.153,0.115,0.148,0.006,0.648,0.2,0.307,0.107,0.261,0.327,0.088,0.482,0.136,0.387,0.132,0.067,0.458,0.309,0.742,0.598,1.008,0.082,0.107,0.486,0.221,0.37,0.251,0.046,0.057,0.021,0.124,0.171,0.064,0.025,0.126,0.117,0.145,0.167,0.075,0.051,0.144,0.158,0.153,0.114,0.258,0.369,0.032,0.005,0.246,0.652,0.207,0.49,0.008,0.744,0.35,1.393,0.156,0.316,1.019,0.221,0.667,0.529,0.318,0.659,0.086
0.078,0.064,0.126,0.416,0.076,0.088,0.07,0.598,0.186,0.333,0.212,0.39,0.409,0.049,0.391,0.267,0.019,0.105,0.066,0.007,0.612,0.215,0.199,0.068,0.043,0.254,0.767,0.209,0.001,0.12,0.003,0.042,0.045,0.134,0.053,0.051,0.081,0.072,0.066,0.134,0.196,0.023,0.028,0.267,0.104,0.003,0.583,0.096,0.31,0.459,0.834,0.243,0.066,0.482,0.444,0.162,0.2,0.212,0.654,0.898,0.458,0.036,0.298,0.279,0.065
0.026,0.089,0.053,0.044,0.178,0.112,0.051,0.624,0.078,0.316,0.349,0.679,0.022,0.849,0.454,0.032,0.242,0.469,0.245,0.034,0.264,0.129,0.513,0.221,0.006,0.201,0.142,0.38,0.2,0.289,0.193,0.12,0.011,0.08,0.093,0.112,0.147,0.062,0.0,0.124,0.12,0.318,0.016,0.185,0.507,0.093,0.262,0.176,0.055,0.642,0.26,0.181,0.542,0.263,0.018,0.531,0.108,0.009,0.104,0.08,0.105,0.61,0.521,0.125,0.304
0.069,0.159,0.07,0.073,0.221,0.044,0.118,0.703,0.536,0.068,0.941,0.578,0.519,0.058,0.191,0.384,0.368,0.215,0.099,0.048,1.261,0.308,0.182,0.219,0.004,0.011,0.166,0.24,0.113,0.114,0.33,0.189,0.007,0.053,0.09,0.06,0.051,0.082,0.048,0.198,0.247,0.215,0.118,0.399,0.065,0.296,0.023,0.327,0.208,0.308,1.145,0.162,0.298,0.349,0.249,0.172,0.147,0.164,0.194,0.289,0.272,0.082,0.154,0.14,0.089
0.132,0.08,0.057,0.557,0.6,0.375,0.357,0.221,0.018,0.163,0.541,0.116,0.046,1.161,0.895,0.433,0.041,0.408,0.11,0.141,0.675,0.172,0.22,0.834,0.249,0.302,0.269,0.349,0.248,0.152,0.084,0.055,0.186,0.092,0.091,0.0,0.073,0.099,0.132,0.191,0.225,0.107,0.285,0.124,0.105,0.224,0.104,0.141,0.018,1.324,0.46,0.123,0.074,0.033,0.066,0.122,0.718,0.104,0.236,0.241,0.319,0.13,0.684,0.182,0.014
0.182,0.014,0.12,0.465,0.35,0.652,0.029,0.227,0.124,0.192,0.245,0.558,0.014,0.563,0.325,0.219,0.277,0.151,0.688,0.506,0.277,0.596,0.093,0.02,0.209,0.136,0.167,0.238,0.126,0.085,0.091,0.063,0.1,0.062,0.192,0.014,0.034,0.055,0.09,0.017,0.054,0.116,0.152,0.184,0.21,0.147,0.219,0.027,0.184,0.255,0.862,0.231,0.721,0.041,0.269,0.094,0.088,0.167,0.17,0.162,0.683,0.389,0.241,0.264,0.128
0.101,0.095,0.215,0.113,0.016,0.288,0.105,0.16,0.273,0.082,0.062,0.027,0.289,0.049,0.661,0.363,0.616,0.029,0.073,0.478,0.42,0.461,0.22,0.07,0.206,0.216,0.154,0.326,0.3,0.263,0.001,0.132,0.009,0.015,0.134,0.015,0.202,0.052,0.063,0.277,0.024,0.127,0.034,0.033,0.005,0.245,0.026,0.339,0.237,1.018,0.251,0.698,0.584,0.112,0.148,0.097,0.289,0.349,0.16,0.698,0.605,0.317,0.614,0.281,0.087
0.024,0.031,0.015,0.196,1.052,0.037,0.119,0.488,0.489,0.156,0.063,0.431,0.327,0.347,0.011,0.196,0.182,0.264,0.232,0.493,0.229,0.058,0.422,0.326,0.215,0.023,0.342,0.025,0.008,0.131,0.07,0.058,0.075,0.238,0.101,0.044,0.221,0.004,0.05,0.061,0.113,0.107,0.132,0.063,0.083,0.259,0.065,0.261,0.08,0.019,0.564,0.011,0.369,0.276,0.169,0.338,0.321,0.074,1.232,0.259,1.071,0.291,0.39,0.157,0.054
0.147,0.167,0.076,0.481,0.091,0.228,0.111,0.137,0.303,0.134,0.06,0.267,0.075,0.053,0.428,0.156,0.242,0.261,0.096,0.314,0.124,0.227,0.077,0.729,0.173,0.189,0.096,0.136,0.008,0.164,0.149,0.311,0.124,0.013,0.052,0.1,0.11,0.001,0.18,0.118,0.012,0.263,0.212,0.051,0.247,0.173,0.106,0.363,0.356,0.366,0.234,0.274,0.318,0.136,0.216,0.99,0.082,0.287,0.146,0.368,0.49,0.006,0.311,0.527,0.14
