@RELATION SonyAIBORobotSurface2

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE att4 NUMERIC
@ATTRIBUTE att5 NUMERIC
@ATTRIBUTE att6 NUMERIC
@ATTRIBUTE att7 NUMERIC
@ATTRIBUTE att8 NUMERIC
@ATTRIBUTE att9 NUMERIC
@ATTRIBUTE att10 NUMERIC
@ATTRIBUTE att11 NUMERIC
@ATTRIBUTE att12 NUMERIC
@ATTRIBUTE att13 NUMERIC
@ATTRIBUTE att14 NUMERIC
@ATTRIBUTE att15 NUMERIC
@ATTRIBUTE att16 NUMERIC
@ATTRIBUTE att17 NUMERIC
@ATTRIBUTE att18 NUMERIC
@ATTRIBUTE att19 NUMERIC
@ATTRIBUTE att20 NUMERIC
@ATTRIBUTE att21 NUMERIC
@ATTRIBUTE att22 NUMERIC
@ATTRIBUTE att23 NUMERIC
@ATTRIBUTE att24 NUMERIC
@ATTRIBUTE att25 NUMERIC
@ATTRIBUTE att26 NUMERIC
@ATTRIBUTE att27 NUMERIC
@ATTRIBUTE att28 NUMERIC
@ATTRIBUTE att29 NUMERIC
@ATTRIBUTE att30 NUMERIC
@ATTRIBUTE att31 NUMERIC
@ATTRIBUTE att32 NUMERIC
@ATTRIBUTE att33 NUMERIC
@ATTRIBUTE att34 NUMERIC
@ATTRIBUTE att35 NUMERIC
@ATTRIBUTE att36 NUMERIC
@ATTRIBUTE att37 NUMERIC
@ATTRIBUTE att38 NUMERIC
@ATTRIBUTE att39 NUMERIC
@ATTRIBUTE att40 NUMERIC
@ATTRIBUTE att41 NUMERIC
@ATTRIBUTE att42 NUMERIC
@ATTRIBUTE att43 NUMERIC
@ATTRIBUTE att44 NUMERIC
@ATTRIBUTE att45 NUMERIC
@ATTRIBUTE att46 NUMERIC
@ATTRIBUTE att47 NUMERIC
@ATTRIBUTE att48 NUMERIC
@ATTRIBUTE att49 NUMERIC
@ATTRIBUTE att50 NUMERIC
@ATTRIBUTE att51 NUMERIC
@ATTRIBUTE att52 NUMERIC
@ATTRIBUTE att53 NUMERIC
@ATTRIBUTE att54 NUMERIC
@ATTRIBUTE att55 NUMERIC
@ATTRIBUTE att56 NUMERIC
@ATTRIBUTE att57 NUMERIC
@ATTRIBUTE att58 NUMERIC
@ATTRIBUTE att59 NUMERIC
@ATTRIBUTE att60 NUMERIC
@ATTRIBUTE att61 NUMERIC
@ATTRIBUTE att62 NUMERIC
@ATTRIBUTE att63 NUMERIC
@ATTRIBUTE att64 NUMERIC
@ATTRIBUTE att65 NUMERIC
@ATTRIBUTE target {2.0, 1.0}

@DATA
-0.818,-1.392,-0.282,1.211,2.322,0.973,-0.509,-1.798,-0.673,1.01,-0.564,4.106,1.64,-0.602,-1.66,-1.866,-1.451,-0.547,-0.654,-0.295,-0.625,-0.723,0.324,-0.107,-0.237,0.591,0.389,0.24,0.248,0.257,-0.03,-0.262,-0.508,-0.289,-0.009,0.281,0.147,0.109,-0.271,0.009,0.438,0.26,-0.725,-0.856,-0.416,-0.583,-0.774,0.486,1.121,2.236,2.439,0.87,-0.798,-0.621,-1.633,-1.389,-0.903,-0.26,-0.089,-0.976,-0.232,-0.411,0.198,-0.033,0.163,2.0
-0.69,0.081,0.562,0.555,1.693,0.505,0.522,0.198,0.55,-0.976,-0.881,0.338,1.758,-0.524,-2.757,-2.122,0.066,1.29,2.251,1.885,1.001,0.365,0.041,-0.603,-0.441,-0.409,-0.406,-0.962,-0.536,-0.445,-0.506,-0.734,-0.678,-0.536,-0.086,0.455,0.28,0.593,0.319,0.266,0.498,-0.414,-0.839,-0.865,0.139,0.765,0.449,-0.5,-0.266,0.686,1.577,1.896,1.128,-1.961,-1.976,0.718,1.733,-0.106,-2.387,0.584,-1.904,-0.622,0.538,0.255,0.04,1.0
0.03,-0.422,-0.291,-0.778,0.273,1.72,0.873,1.203,0.139,-0.984,0.046,0.306,1.284,2.369,-0.022,-1.655,-0.38,-0.423,-0.263,-0.391,-0.09,-0.132,-1.116,-0.728,-0.293,0.036,-0.095,-0.227,-0.057,0.194,0.012,-0.049,-0.273,-0.13,0.156,0.029,0.207,0.054,-0.08,0.173,0.062,0.016,-0.737,-1.474,-1.768,-1.119,-0.433,0.297,1.318,2.79,3.4,2.948,-0.803,-2.034,-2.175,-0.76,-0.312,0.84,-0.251,0.027,-1.164,-0.032,1.625,0.571,0.433,1.0
-0.017,-0.11,0.68,0.31,-0.591,-1.931,-0.547,0.94,1.634,0.63,0.318,1.805,1.238,0.035,-0.368,-0.357,0.149,0.375,-1.878,-0.496,-0.235,-0.707,-0.633,-0.887,0.374,0.327,-0.365,-0.269,0.172,0.294,-0.062,-0.192,-0.34,0.012,0.335,0.069,-0.104,0.238,-0.192,0.061,-0.242,0.451,-0.012,-1.07,-2.213,-1.43,-0.505,-0.25,1.913,4.527,3.788,2.287,-2.244,-1.939,-1.527,0.719,-0.003,-0.19,-0.435,-0.462,1.138,1.075,0.521,-0.806,-0.154,1.0
-0.165,0.09,0.488,-0.368,0.364,0.116,0.005,-0.28,-0.752,-0.701,-0.149,0.191,2.451,2.019,1.799,-0.568,-1.626,-1.059,0.588,1.867,2.283,1.177,-0.347,-1.367,-1.865,-1.359,-2.305,-0.857,-0.618,-0.769,-1.12,-1.075,-0.543,-0.352,0.337,0.591,0.541,0.361,0.139,-0.132,-0.102,-0.133,-0.064,0.397,0.32,0.874,-0.199,0.273,-0.574,-0.439,0.394,0.574,-0.36,-0.819,-2.501,-0.553,0.033,1.407,2.734,-0.363,1.88,0.38,-1.012,-1.246,-1.096,2.0
-0.339,0.166,0.035,-0.386,-0.659,0.587,0.68,-0.209,-0.753,-0.612,0.137,0.673,1.122,-0.284,1.014,-0.061,-0.489,-1.581,-0.397,-0.66,-0.38,-0.587,-0.133,0.029,0.015,0.106,0.071,-0.721,-0.162,-0.075,-0.172,-0.273,-0.335,0.092,-0.028,0.015,-0.4,-0.034,-0.335,-0.415,-0.317,-0.056,-1.059,-0.099,1.151,-0.005,-2.088,-0.954,1.881,4.15,3.226,2.187,-0.589,-2.107,-1.73,-0.946,-0.265,0.013,0.119,-0.421,-0.419,0.57,0.763,1.115,0.072,2.0
-0.158,0.189,0.581,1.611,2.363,1.314,-0.298,-1.55,-1.796,0.481,2.708,2.481,0.695,-0.967,-1.297,-1.78,-0.915,-0.778,-0.771,-0.671,0.434,-0.996,-0.038,-0.249,0.055,0.057,0.232,0.388,0.6,-0.015,0.463,-0.104,-0.198,-0.199,0.034,-0.154,0.039,0.151,0.082,-0.355,-1.382,-2.036,-0.746,0.778,1.543,1.081,-0.181,0.391,1.139,2.031,2.856,0.753,-0.726,-1.89,-2.411,-0.923,-0.8,0.205,0.546,0.218,-0.391,-0.127,-0.114,0.631,0.306,2.0
-0.696,-0.496,-0.572,-0.561,1.662,3.163,1.174,-0.24,-1.625,-0.386,-0.192,2.607,2.276,0.051,-2.249,-1.233,-1.658,-1.118,-0.526,-0.675,-1.129,-0.141,-0.332,0.108,0.119,-0.323,0.018,0.118,-0.057,0.197,0.015,-0.171,-0.14,-0.194,-0.348,0.004,0.095,-0.11,-0.013,-0.265,-0.762,-0.197,0.18,-0.521,-0.242,0.593,0.301,-0.285,0.561,2.016,2.182,2.137,0.288,-0.568,-1.391,-1.47,-0.376,-0.629,0.256,-0.378,-0.066,-0.498,-0.444,-0.184,0.567,2.0
-0.265,0.206,-0.024,-0.531,-0.293,-0.902,0.033,-0.197,0.371,-0.331,-0.766,-0.069,1.332,2.02,-0.49,-1.998,-1.705,-0.964,1.587,1.722,1.747,1.798,0.787,0.771,0.012,-0.403,-0.748,-1.005,-0.929,-0.79,-0.549,-0.457,-0.637,-0.123,0.072,0.399,0.219,0.306,0.193,0.2,0.062,0.022,-0.003,0.066,0.188,-0.201,0.189,-0.176,-0.067,0.245,-0.049,-0.084,-2.008,-0.978,-0.599,-0.391,-0.237,1.088,1.783,2.866,2.389,1.425,-1.455,-2.349,-1.612,1.0
-0.89,-0.583,0.437,1.145,1.973,1.36,-0.446,-1.468,-1.385,0.403,1.993,2.018,1.603,1.175,-0.139,-1.877,-2.287,-0.738,-0.306,-0.008,-0.511,-0.079,-0.84,-0.477,-0.222,-0.03,0.537,-0.119,0.373,-0.184,-0.064,0.036,-0.3,-0.294,-0.421,-0.28,-0.022,-0.032,-0.007,0.173,-0.071,-0.63,-0.766,-0.477,-0.053,-0.006,-0.542,-0.109,1.744,2.002,2.211,0.339,-1.346,-1.371,-1.68,-1.491,-0.708,0.166,0.704,0.786,-0.137,-0.275,-0.037,0.553,0.327,2.0
