@RELATION UMD

@ATTRIBUTE att1_err NUMERIC
@ATTRIBUTE att2_err NUMERIC
@ATTRIBUTE att3_err NUMERIC
@ATTRIBUTE att4_err NUMERIC
@ATTRIBUTE att5_err NUMERIC
@ATTRIBUTE att6_err NUMERIC
@ATTRIBUTE att7_err NUMERIC
@ATTRIBUTE att8_err NUMERIC
@ATTRIBUTE att9_err NUMERIC
@ATTRIBUTE att10_err NUMERIC
@ATTRIBUTE att11_err NUMERIC
@ATTRIBUTE att12_err NUMERIC
@ATTRIBUTE att13_err NUMERIC
@ATTRIBUTE att14_err NUMERIC
@ATTRIBUTE att15_err NUMERIC
@ATTRIBUTE att16_err NUMERIC
@ATTRIBUTE att17_err NUMERIC
@ATTRIBUTE att18_err NUMERIC
@ATTRIBUTE att19_err NUMERIC
@ATTRIBUTE att20_err NUMERIC
@ATTRIBUTE att21_err NUMERIC
@ATTRIBUTE att22_err NUMERIC
@ATTRIBUTE att23_err NUMERIC
@ATTRIBUTE att24_err NUMERIC
@ATTRIBUTE att25_err NUMERIC
@ATTRIBUTE att26_err NUMERIC
@ATTRIBUTE att27_err NUMERIC
@ATTRIBUTE att28_err NUMERIC
@ATTRIBUTE att29_err NUMERIC
@ATTRIBUTE att30_err NUMERIC
@ATTRIBUTE att31_err NUMERIC
@ATTRIBUTE att32_err NUMERIC
@ATTRIBUTE att33_err NUMERIC
@ATTRIBUTE att34_err NUMERIC
@ATTRIBUTE att35_err NUMERIC
@ATTRIBUTE att36_err NUMERIC
@ATTRIBUTE att37_err NUMERIC
@ATTRIBUTE att38_err NUMERIC
@ATTRIBUTE att39_err NUMERIC
@ATTRIBUTE att40_err NUMERIC
@ATTRIBUTE att41_err NUMERIC
@ATTRIBUTE att42_err NUMERIC
@ATTRIBUTE att43_err NUMERIC
@ATTRIBUTE att44_err NUMERIC
@ATTRIBUTE att45_err NUMERIC
@ATTRIBUTE att46_err NUMERIC
@ATTRIBUTE att47_err NUMERIC
@ATTRIBUTE att48_err NUMERIC
@ATTRIBUTE att49_err NUMERIC
@ATTRIBUTE att50_err NUMERIC
@ATTRIBUTE att51_err NUMERIC
@ATTRIBUTE att52_err NUMERIC
@ATTRIBUTE att53_err NUMERIC
@ATTRIBUTE att54_err NUMERIC
@ATTRIBUTE att55_err NUMERIC
@ATTRIBUTE att56_err NUMERIC
@ATTRIBUTE att57_err NUMERIC
@ATTRIBUTE att58_err NUMERIC
@ATTRIBUTE att59_err NUMERIC
@ATTRIBUTE att60_err NUMERIC
@ATTRIBUTE att61_err NUMERIC
@ATTRIBUTE att62_err NUMERIC
@ATTRIBUTE att63_err NUMERIC
@ATTRIBUTE att64_err NUMERIC
@ATTRIBUTE att65_err NUMERIC
@ATTRIBUTE att66_err NUMERIC
@ATTRIBUTE att67_err NUMERIC
@ATTRIBUTE att68_err NUMERIC
@ATTRIBUTE att69_err NUMERIC
@ATTRIBUTE att70_err NUMERIC
@ATTRIBUTE att71_err NUMERIC
@ATTRIBUTE att72_err NUMERIC
@ATTRIBUTE att73_err NUMERIC
@ATTRIBUTE att74_err NUMERIC
@ATTRIBUTE att75_err NUMERIC
@ATTRIBUTE att76_err NUMERIC
@ATTRIBUTE att77_err NUMERIC
@ATTRIBUTE att78_err NUMERIC
@ATTRIBUTE att79_err NUMERIC
@ATTRIBUTE att80_err NUMERIC
@ATTRIBUTE att81_err NUMERIC
@ATTRIBUTE att82_err NUMERIC
@ATTRIBUTE att83_err NUMERIC
@ATTRIBUTE att84_err NUMERIC
@ATTRIBUTE att85_err NUMERIC
@ATTRIBUTE att86_err NUMERIC
@ATTRIBUTE att87_err NUMERIC
@ATTRIBUTE att88_err NUMERIC
@ATTRIBUTE att89_err NUMERIC
@ATTRIBUTE att90_err NUMERIC
@ATTRIBUTE att91_err NUMERIC
@ATTRIBUTE att92_err NUMERIC
@ATTRIBUTE att93_err NUMERIC
@ATTRIBUTE att94_err NUMERIC
@ATTRIBUTE att95_err NUMERIC
@ATTRIBUTE att96_err NUMERIC
@ATTRIBUTE att97_err NUMERIC
@ATTRIBUTE att98_err NUMERIC
@ATTRIBUTE att99_err NUMERIC
@ATTRIBUTE att100_err NUMERIC
@ATTRIBUTE att101_err NUMERIC
@ATTRIBUTE att102_err NUMERIC
@ATTRIBUTE att103_err NUMERIC
@ATTRIBUTE att104_err NUMERIC
@ATTRIBUTE att105_err NUMERIC
@ATTRIBUTE att106_err NUMERIC
@ATTRIBUTE att107_err NUMERIC
@ATTRIBUTE att108_err NUMERIC
@ATTRIBUTE att109_err NUMERIC
@ATTRIBUTE att110_err NUMERIC
@ATTRIBUTE att111_err NUMERIC
@ATTRIBUTE att112_err NUMERIC
@ATTRIBUTE att113_err NUMERIC
@ATTRIBUTE att114_err NUMERIC
@ATTRIBUTE att115_err NUMERIC
@ATTRIBUTE att116_err NUMERIC
@ATTRIBUTE att117_err NUMERIC
@ATTRIBUTE att118_err NUMERIC
@ATTRIBUTE att119_err NUMERIC
@ATTRIBUTE att120_err NUMERIC
@ATTRIBUTE att121_err NUMERIC
@ATTRIBUTE att122_err NUMERIC
@ATTRIBUTE att123_err NUMERIC
@ATTRIBUTE att124_err NUMERIC
@ATTRIBUTE att125_err NUMERIC
@ATTRIBUTE att126_err NUMERIC
@ATTRIBUTE att127_err NUMERIC
@ATTRIBUTE att128_err NUMERIC
@ATTRIBUTE att129_err NUMERIC
@ATTRIBUTE att130_err NUMERIC
@ATTRIBUTE att131_err NUMERIC
@ATTRIBUTE att132_err NUMERIC
@ATTRIBUTE att133_err NUMERIC
@ATTRIBUTE att134_err NUMERIC
@ATTRIBUTE att135_err NUMERIC
@ATTRIBUTE att136_err NUMERIC
@ATTRIBUTE att137_err NUMERIC
@ATTRIBUTE att138_err NUMERIC
@ATTRIBUTE att139_err NUMERIC
@ATTRIBUTE att140_err NUMERIC
@ATTRIBUTE att141_err NUMERIC
@ATTRIBUTE att142_err NUMERIC
@ATTRIBUTE att143_err NUMERIC
@ATTRIBUTE att144_err NUMERIC
@ATTRIBUTE att145_err NUMERIC
@ATTRIBUTE att146_err NUMERIC
@ATTRIBUTE att147_err NUMERIC
@ATTRIBUTE att148_err NUMERIC
@ATTRIBUTE att149_err NUMERIC
@ATTRIBUTE att150_err NUMERIC

@DATA
0.003,0.003,0.011,0.005,0.007,0.005,0.0,0.006,0.014,0.005,0.002,0.002,0.0,0.0,0.005,0.005,0.016,0.03,0.069,0.003,0.044,0.075,0.208,0.147,0.269,0.015,0.138,0.052,0.045,0.084,0.01,0.001,0.004,0.001,0.003,0.006,0.0,0.001,0.002,0.011,0.007,0.016,0.067,0.009,0.043,0.024,0.0,0.042,0.159,0.091,0.239,0.11,0.256,0.336,0.526,0.794,0.152,0.446,0.172,0.106,0.37,0.406,0.015,0.17,0.292,0.981,0.181,0.74,0.059,0.785,0.345,0.082,0.365,0.526,0.418,0.313,0.412,0.54,0.098,0.04,0.468,0.278,0.004,0.546,0.172,0.105,0.106,0.43,0.071,0.451,0.046,0.171,0.103,0.479,0.124,0.037,0.011,0.578,0.191,0.353,0.084,0.24,0.056,0.676,0.294,0.472,0.054,0.104,0.306,0.073,0.322,0.256,0.034,0.197,0.18,0.06,0.053,0.003,0.001,0.052,0.023,0.187,0.02,0.074,0.19,0.314,0.273,0.031,0.169,0.064,0.213,0.092,0.003,0.019,0.017,0.004,0.001,0.005,0.002,0.001,0.003,0.002,0.004,0.003,0.005,0.004,0.002,0.004,0.007,0.002
0.001,0.001,0.007,0.006,0.006,0.0,0.004,0.013,0.003,0.002,0.008,0.001,0.004,0.003,0.014,0.0,0.002,0.081,0.012,0.046,0.184,0.28,0.04,0.485,0.084,0.117,0.224,0.079,0.023,0.006,0.018,0.001,0.011,0.0,0.0,0.001,0.001,0.005,0.006,0.006,0.008,0.007,0.023,0.028,0.009,0.029,0.109,0.051,0.181,0.096,0.143,0.001,0.272,0.078,0.318,0.332,0.499,0.758,0.051,0.147,0.33,0.136,0.201,0.764,0.264,0.375,0.029,0.197,0.398,0.133,0.343,0.438,0.182,0.507,0.199,0.691,0.212,0.06,0.257,0.318,0.048,0.855,0.099,0.011,0.082,0.891,0.727,0.013,0.766,0.756,0.159,0.426,0.697,0.365,0.055,0.023,0.505,0.156,0.269,0.23,0.566,0.071,0.119,0.155,0.045,0.37,0.102,0.228,0.081,0.02,0.583,0.271,0.075,0.031,0.062,0.022,0.034,0.006,0.1,0.069,0.006,0.024,0.084,0.164,0.13,0.216,0.113,0.145,0.304,0.111,0.069,0.051,0.018,0.004,0.01,0.009,0.002,0.008,0.002,0.001,0.006,0.012,0.003,0.0,0.002,0.001,0.001,0.011,0.005,0.006
0.003,0.001,0.001,0.005,0.001,0.005,0.004,0.006,0.01,0.007,0.003,0.001,0.009,0.005,0.01,0.012,0.049,0.008,0.129,0.094,0.278,0.194,0.026,0.302,0.22,0.36,0.334,0.203,0.122,0.05,0.063,0.011,0.028,0.011,0.004,0.003,0.007,0.003,0.001,0.004,0.007,0.02,0.023,0.012,0.032,0.006,0.016,0.2,0.085,0.135,0.312,0.177,0.166,0.085,0.229,0.111,0.154,0.41,0.111,1.044,0.112,0.044,0.604,0.016,0.189,0.592,0.887,0.11,0.3,0.044,0.004,0.758,0.335,0.579,0.154,0.573,0.025,0.334,0.385,0.243,0.515,0.151,0.615,0.013,0.298,0.262,0.059,0.192,0.152,0.644,0.453,0.257,0.308,0.172,0.161,0.055,0.081,0.241,0.69,0.429,0.477,0.42,0.17,0.374,0.207,0.272,0.042,0.153,0.061,0.11,0.288,0.177,0.067,0.139,0.111,0.101,0.031,0.067,0.031,0.085,0.083,0.212,0.1,0.093,0.06,0.158,0.225,0.32,0.028,0.089,0.014,0.036,0.003,0.001,0.001,0.01,0.006,0.003,0.003,0.009,0.004,0.005,0.004,0.004,0.005,0.001,0.004,0.005,0.011,0.0
0.005,0.007,0.002,0.002,0.004,0.007,0.008,0.009,0.009,0.004,0.008,0.004,0.005,0.012,0.015,0.021,0.03,0.022,0.068,0.041,0.249,0.142,0.476,0.242,0.35,0.219,0.023,0.058,0.089,0.015,0.058,0.018,0.004,0.002,0.003,0.007,0.005,0.002,0.0,0.013,0.002,0.005,0.064,0.031,0.025,0.075,0.088,0.112,0.048,0.033,0.3,0.25,0.346,0.282,0.176,0.187,0.205,0.422,0.054,0.395,0.376,0.092,0.433,0.008,0.833,0.151,0.069,0.247,0.276,0.208,0.402,0.625,0.487,0.074,0.113,0.141,0.416,0.269,1.012,0.49,0.58,0.01,0.839,0.968,0.111,1.15,0.392,0.52,0.255,0.028,0.01,0.219,0.31,0.109,0.117,0.642,0.418,0.141,0.75,0.076,0.463,0.075,0.047,0.077,0.008,0.239,0.137,0.081,0.254,0.203,0.257,0.179,0.049,0.256,0.095,0.056,0.042,0.05,0.025,0.058,0.012,0.003,0.051,0.038,0.038,0.045,0.01,0.115,0.24,0.05,0.019,0.062,0.032,0.004,0.013,0.01,0.0,0.001,0.008,0.01,0.007,0.005,0.002,0.004,0.001,0.005,0.0,0.004,0.001,0.009
0.002,0.003,0.0,0.002,0.002,0.003,0.003,0.006,0.0,0.005,0.001,0.009,0.002,0.011,0.012,0.004,0.003,0.008,0.092,0.2,0.321,0.157,0.124,0.069,0.081,0.072,0.039,0.169,0.075,0.059,0.002,0.007,0.014,0.004,0.001,0.003,0.01,0.0,0.005,0.003,0.014,0.009,0.043,0.012,0.009,0.136,0.08,0.061,0.008,0.033,0.038,0.028,0.378,0.379,0.252,0.875,0.542,0.725,0.498,0.727,0.488,0.049,0.339,0.013,0.265,0.441,0.728,0.381,0.458,0.304,0.972,0.347,0.179,0.211,0.488,0.312,0.48,0.119,0.082,0.462,0.253,0.537,0.674,0.169,0.009,0.129,0.147,0.097,0.244,0.378,0.494,0.044,0.125,0.392,0.152,0.109,0.107,0.385,0.451,0.467,0.275,0.023,0.139,0.461,0.016,0.197,0.414,0.021,0.118,0.441,0.088,0.098,0.155,0.084,0.013,0.078,0.042,0.01,0.045,0.15,0.058,0.109,0.206,0.086,0.363,0.181,0.161,0.218,0.031,0.027,0.037,0.092,0.04,0.006,0.009,0.002,0.006,0.005,0.004,0.003,0.001,0.01,0.001,0.012,0.002,0.006,0.0,0.002,0.0,0.002
0.004,0.003,0.009,0.005,0.005,0.01,0.003,0.0,0.006,0.005,0.011,0.001,0.008,0.007,0.016,0.003,0.02,0.109,0.312,0.247,0.052,0.256,0.14,0.016,0.292,0.022,0.04,0.11,0.042,0.074,0.043,0.01,0.016,0.005,0.005,0.002,0.001,0.004,0.005,0.003,0.003,0.025,0.024,0.046,0.055,0.01,0.099,0.009,0.219,0.054,0.052,0.042,0.159,0.049,0.19,0.223,0.492,0.289,0.088,0.448,0.296,0.556,0.124,0.22,0.305,0.379,0.385,0.305,0.018,0.105,0.15,0.221,0.235,0.382,0.086,0.105,0.514,0.498,0.061,0.123,0.139,0.008,0.354,0.356,0.335,0.542,0.804,0.067,0.004,0.355,0.479,0.178,0.276,0.033,0.202,0.286,0.38,0.06,0.478,0.583,0.242,0.239,0.094,0.059,0.622,0.111,0.294,0.021,0.115,0.28,0.167,0.052,0.035,0.028,0.141,0.136,0.024,0.015,0.001,0.087,0.019,0.115,0.156,0.001,0.287,0.082,0.176,0.094,0.049,0.043,0.001,0.085,0.012,0.026,0.007,0.002,0.006,0.006,0.001,0.002,0.006,0.009,0.005,0.0,0.001,0.001,0.0,0.001,0.001,0.006
0.002,0.003,0.007,0.005,0.008,0.0,0.001,0.003,0.002,0.006,0.003,0.003,0.004,0.01,0.005,0.0,0.022,0.089,0.204,0.105,0.048,0.031,0.21,0.365,0.103,0.222,0.2,0.039,0.037,0.082,0.008,0.007,0.021,0.008,0.002,0.003,0.015,0.002,0.003,0.002,0.001,0.019,0.003,0.099,0.002,0.059,0.164,0.017,0.438,0.254,0.125,0.272,0.014,0.042,0.315,0.0,0.221,0.823,0.865,0.19,0.347,0.82,0.036,0.335,0.603,0.5,0.119,0.469,0.375,0.193,0.103,0.746,0.157,0.409,0.599,0.585,0.176,0.019,0.008,0.009,0.695,0.061,0.954,0.133,0.856,0.206,0.322,0.148,0.021,0.434,0.622,0.968,0.035,0.411,0.335,0.162,0.461,0.31,0.348,0.254,0.918,0.393,0.274,0.665,0.039,0.013,0.32,0.07,0.072,0.104,0.074,0.069,0.059,0.055,0.144,0.053,0.047,0.064,0.04,0.008,0.099,0.049,0.092,0.173,0.105,0.261,0.074,0.033,0.161,0.049,0.047,0.091,0.05,0.015,0.008,0.013,0.01,0.001,0.001,0.002,0.0,0.004,0.017,0.003,0.01,0.008,0.007,0.005,0.005,0.005
0.002,0.0,0.002,0.003,0.003,0.001,0.002,0.002,0.011,0.011,0.002,0.0,0.003,0.006,0.002,0.01,0.064,0.219,0.008,0.006,0.511,0.03,0.196,0.175,0.027,0.067,0.032,0.036,0.079,0.0,0.022,0.004,0.009,0.001,0.001,0.013,0.001,0.002,0.001,0.017,0.008,0.013,0.04,0.067,0.077,0.03,0.268,0.008,0.22,0.295,0.198,0.012,0.501,0.004,0.039,0.369,0.049,0.053,0.22,0.574,0.117,0.061,0.446,0.266,0.897,0.694,0.039,0.589,0.073,0.776,0.781,1.273,0.332,0.321,0.415,0.566,0.146,0.017,0.156,0.139,0.061,0.05,0.341,0.386,0.485,0.238,0.4,0.041,0.199,0.002,0.347,0.054,0.059,0.308,0.264,0.176,0.404,0.259,0.231,0.674,0.097,0.263,0.089,0.045,0.611,0.478,0.241,0.131,0.303,0.054,0.159,0.186,0.067,0.184,0.169,0.01,0.009,0.028,0.034,0.031,0.105,0.056,0.1,0.039,0.239,0.325,0.154,0.044,0.258,0.085,0.048,0.034,0.031,0.015,0.001,0.007,0.01,0.002,0.003,0.002,0.007,0.0,0.002,0.004,0.007,0.003,0.001,0.001,0.002,0.007
0.002,0.01,0.003,0.009,0.013,0.002,0.003,0.006,0.003,0.004,0.003,0.001,0.001,0.008,0.003,0.011,0.01,0.054,0.231,0.053,0.359,0.02,0.149,0.134,0.009,0.124,0.173,0.351,0.087,0.018,0.0,0.007,0.008,0.001,0.003,0.006,0.002,0.002,0.006,0.012,0.006,0.017,0.029,0.075,0.035,0.01,0.007,0.033,0.135,0.177,0.186,0.195,0.158,0.128,0.417,0.351,0.089,0.466,0.085,0.815,0.286,0.226,0.106,0.672,0.611,0.402,0.749,0.311,0.202,0.282,0.012,0.422,0.357,0.273,0.337,0.172,0.158,0.088,0.154,0.395,0.003,0.261,0.061,0.021,0.348,0.495,0.074,0.156,0.516,0.515,0.323,0.579,0.077,0.306,0.444,0.038,0.343,0.192,0.223,0.357,0.255,0.248,0.368,0.088,0.11,0.093,0.046,0.0,0.184,0.031,0.233,0.148,0.103,0.14,0.215,0.02,0.067,0.014,0.157,0.086,0.084,0.122,0.002,0.286,0.026,0.25,0.326,0.012,0.327,0.133,0.003,0.043,0.091,0.007,0.008,0.001,0.001,0.021,0.012,0.0,0.003,0.013,0.003,0.005,0.012,0.002,0.0,0.003,0.009,0.008
0.009,0.002,0.003,0.001,0.006,0.003,0.004,0.008,0.004,0.0,0.001,0.009,0.003,0.002,0.003,0.021,0.02,0.012,0.061,0.025,0.022,0.036,0.027,0.211,0.0,0.013,0.04,0.14,0.118,0.066,0.017,0.02,0.005,0.005,0.009,0.004,0.006,0.003,0.0,0.001,0.002,0.056,0.012,0.021,0.088,0.182,0.049,0.041,0.063,0.121,0.055,0.021,0.08,0.09,0.294,0.307,0.587,0.8,0.419,0.797,0.564,0.103,0.124,0.713,0.476,0.052,0.3,0.06,0.228,0.114,0.417,0.169,0.002,0.233,0.254,0.194,0.653,0.34,0.079,0.223,0.316,0.524,0.105,1.06,0.302,0.331,0.614,0.171,0.207,0.045,0.609,0.503,0.131,0.379,0.678,0.602,0.547,0.516,0.433,0.087,0.311,0.036,0.041,0.23,0.167,0.162,0.218,0.141,0.101,0.339,0.052,0.118,0.155,0.046,0.022,0.036,0.004,0.064,0.018,0.092,0.0,0.102,0.259,0.0,0.204,0.196,0.016,0.023,0.024,0.071,0.005,0.011,0.011,0.001,0.005,0.007,0.008,0.004,0.005,0.005,0.001,0.003,0.004,0.003,0.007,0.008,0.0,0.006,0.005,0.007
