@RELATION SyntheticControl

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE att4 NUMERIC
@ATTRIBUTE att5 NUMERIC
@ATTRIBUTE att6 NUMERIC
@ATTRIBUTE att7 NUMERIC
@ATTRIBUTE att8 NUMERIC
@ATTRIBUTE att9 NUMERIC
@ATTRIBUTE att10 NUMERIC
@ATTRIBUTE att11 NUMERIC
@ATTRIBUTE att12 NUMERIC
@ATTRIBUTE att13 NUMERIC
@ATTRIBUTE att14 NUMERIC
@ATTRIBUTE att15 NUMERIC
@ATTRIBUTE att16 NUMERIC
@ATTRIBUTE att17 NUMERIC
@ATTRIBUTE att18 NUMERIC
@ATTRIBUTE att19 NUMERIC
@ATTRIBUTE att20 NUMERIC
@ATTRIBUTE att21 NUMERIC
@ATTRIBUTE att22 NUMERIC
@ATTRIBUTE att23 NUMERIC
@ATTRIBUTE att24 NUMERIC
@ATTRIBUTE att25 NUMERIC
@ATTRIBUTE att26 NUMERIC
@ATTRIBUTE att27 NUMERIC
@ATTRIBUTE att28 NUMERIC
@ATTRIBUTE att29 NUMERIC
@ATTRIBUTE att30 NUMERIC
@ATTRIBUTE att31 NUMERIC
@ATTRIBUTE att32 NUMERIC
@ATTRIBUTE att33 NUMERIC
@ATTRIBUTE att34 NUMERIC
@ATTRIBUTE att35 NUMERIC
@ATTRIBUTE att36 NUMERIC
@ATTRIBUTE att37 NUMERIC
@ATTRIBUTE att38 NUMERIC
@ATTRIBUTE att39 NUMERIC
@ATTRIBUTE att40 NUMERIC
@ATTRIBUTE att41 NUMERIC
@ATTRIBUTE att42 NUMERIC
@ATTRIBUTE att43 NUMERIC
@ATTRIBUTE att44 NUMERIC
@ATTRIBUTE att45 NUMERIC
@ATTRIBUTE att46 NUMERIC
@ATTRIBUTE att47 NUMERIC
@ATTRIBUTE att48 NUMERIC
@ATTRIBUTE att49 NUMERIC
@ATTRIBUTE att50 NUMERIC
@ATTRIBUTE att51 NUMERIC
@ATTRIBUTE att52 NUMERIC
@ATTRIBUTE att53 NUMERIC
@ATTRIBUTE att54 NUMERIC
@ATTRIBUTE att55 NUMERIC
@ATTRIBUTE att56 NUMERIC
@ATTRIBUTE att57 NUMERIC
@ATTRIBUTE att58 NUMERIC
@ATTRIBUTE att59 NUMERIC
@ATTRIBUTE att60 NUMERIC
@ATTRIBUTE target {1.0, 2.0, 3.0, 4.0, 5.0, 6.0}

@DATA
-0.152,0.931,0.32,0.358,-0.321,0.984,-1.288,-0.387,1.614,-1.254,0.769,-0.588,1.491,0.179,1.245,0.749,1.291,-0.994,-0.797,-1.055,-1.155,-0.24,0.259,-0.171,1.003,-1.428,-0.277,-1.652,-1.222,1.297,-1.418,-0.984,1.726,-0.579,0.041,-1.506,-1.076,1.002,0.124,-1.454,1.469,-0.986,-0.257,0.59,0.279,2.17,-0.723,-0.002,1.64,-0.203,0.698,-1.633,0.988,-1.457,1.211,0.716,0.715,0.85,-1.011,-1.191,1.0
-0.169,-0.293,-1.117,-1.544,-0.311,-0.446,-1.146,1.042,-1.1,-0.594,0.762,-0.771,-0.763,-0.815,-1.624,1.147,0.518,0.92,0.537,1.468,0.07,0.502,1.607,0.763,-1.581,0.241,0.748,-0.765,0.422,-0.273,-0.575,-1.019,-0.845,-0.918,0.71,-1.359,-0.537,-1.195,-0.736,1.758,1.231,0.474,-0.856,-0.354,0.373,-0.814,0.072,2.034,1.398,-0.611,1.365,-0.701,-0.814,1.135,-1.043,0.25,0.615,1.37,-0.16,0.177,1.0
-0.723,-0.479,0.99,-1.32,-2.703,-0.478,1.433,1.677,-1.691,0.822,-0.786,-2.021,0.862,1.446,-1.548,-0.317,1.039,0.677,0.072,-1.097,-0.611,0.284,1.447,0.722,-1.7,0.654,-0.607,0.809,1.51,-0.518,0.604,0.781,-0.838,-0.342,-0.392,0.178,-2.109,0.882,0.799,0.599,0.227,-0.725,1.079,1.345,1.095,-1.268,-0.419,-1.766,0.421,1.183,-0.76,-0.912,1.482,-0.823,1.26,-0.288,0.953,0.378,-0.04,0.282,1.0
-0.136,-0.242,0.438,1.756,0.987,-0.229,1.733,0.923,-0.165,-1.111,1.378,1.291,-0.08,-0.845,0.437,0.567,0.956,-1.389,-0.084,-0.638,-1.162,-1.304,-0.757,-0.754,-0.052,0.408,-0.796,-0.771,1.101,-1.119,-1.433,1.231,0.662,0.703,-2.183,0.026,-1.307,-0.369,0.894,0.711,0.428,1.681,0.454,-0.914,0.978,0.785,-1.435,0.668,-0.127,-1.565,0.394,-1.505,0.212,1.216,-1.152,-0.895,1.648,-0.935,0.061,-0.669,1.0
1.486,1.979,1.162,-0.249,-1.107,0.794,0.709,2.054,-0.333,-1.337,-0.284,-0.39,-0.376,1.489,-0.717,-1.177,0.631,1.179,1.18,-1.149,0.849,-0.732,-1.351,0.379,-0.374,-0.643,0.672,-0.874,0.49,0.22,1.71,1.702,-1.042,-1.571,-0.999,-0.144,-1.677,0.418,-1.568,0.023,-0.045,0.594,-1.515,0.101,-0.7,-0.962,0.603,1.258,-1.56,0.672,0.742,1.447,-2.069,-1.628,1.853,-1.195,0.554,-0.112,0.854,0.71,1.0
1.627,1.836,0.405,0.177,-1.268,-1.338,-1.897,1.467,-2.299,-1.072,1.227,-0.258,-0.938,1.476,0.453,0.865,-1.669,1.062,0.95,1.272,0.58,-1.604,0.69,1.146,-0.82,1.39,-1.034,1.607,0.365,-0.157,0.785,0.985,0.468,-1.208,-0.361,0.771,-0.328,0.849,0.901,-1.412,-0.837,0.619,-1.994,0.307,-0.628,-1.164,-1.259,-1.682,-0.005,-1.655,0.329,-1.51,0.142,-0.43,0.531,-0.926,1.312,-0.22,0.161,-0.084,1.0
1.729,0.956,-1.737,-1.084,-1.283,1.75,0.329,-0.451,-1.156,-1.666,1.728,0.81,0.316,-0.34,-0.829,-0.874,0.796,0.868,-0.096,1.674,0.444,0.214,-0.87,-0.937,0.558,1.199,1.219,-0.319,-0.898,-0.348,-0.409,0.433,-2.299,-0.54,0.757,-1.255,1.165,1.783,0.629,-0.321,0.26,0.516,-0.006,0.187,-1.25,0.988,-1.619,-1.414,0.057,-0.719,1.462,-0.024,1.432,0.979,-1.454,-0.606,0.154,-0.845,0.262,0.764,1.0
-1.738,0.949,1.625,0.213,-0.224,1.117,0.135,-1.576,-1.718,1.316,0.239,1.189,0.441,1.278,1.102,-0.135,0.091,-1.081,-0.338,-1.303,1.395,-0.836,0.53,-1.199,1.838,-0.318,0.172,-1.253,1.611,-1.054,-1.334,-0.309,-1.046,0.018,0.156,0.122,-1.686,0.53,-0.522,-0.89,-0.319,1.458,-0.434,0.928,-0.337,1.284,-1.4,0.742,-0.889,-1.044,0.246,-0.671,0.607,1.92,-0.709,1.593,-0.128,0.283,1.932,-0.926,1.0
-1.536,-0.984,-1.063,-1.823,1.032,-1.684,-0.31,0.753,-1.193,-0.225,-0.662,0.942,-0.293,0.088,0.557,-0.681,-0.964,1.459,1.5,0.163,-1.68,-1.16,-0.154,-0.265,-0.881,-0.908,1.206,1.041,0.203,1.027,-0.269,0.784,0.791,0.991,1.006,0.232,-1.253,-1.66,-0.154,0.448,1.564,1.572,-1.046,0.165,0.594,1.699,0.181,1.28,-1.499,0.185,-0.225,-0.471,-1.731,1.277,0.158,0.838,-2.155,0.67,-0.063,1.526,1.0
-0.556,0.55,0.193,-1.108,0.603,0.847,-0.923,0.193,1.069,1.508,1.042,-0.041,-0.435,-0.384,0.146,-0.237,1.882,1.28,-0.442,-0.583,-0.462,-1.4,-0.792,0.383,-0.407,0.222,-1.554,0.076,-0.774,-1.165,0.733,-0.098,-0.919,1.484,1.007,0.123,0.591,1.162,-1.289,-1.523,0.261,1.569,-1.411,-0.176,0.426,2.128,1.328,-1.065,0.43,0.65,-1.075,-1.971,0.077,-1.361,0.495,0.449,-0.174,0.401,1.666,-0.515,1.0
