@RELATION Chinatown

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE att4 NUMERIC
@ATTRIBUTE att5 NUMERIC
@ATTRIBUTE att6 NUMERIC
@ATTRIBUTE att7 NUMERIC
@ATTRIBUTE att8 NUMERIC
@ATTRIBUTE att9 NUMERIC
@ATTRIBUTE att10 NUMERIC
@ATTRIBUTE att11 NUMERIC
@ATTRIBUTE att12 NUMERIC
@ATTRIBUTE att13 NUMERIC
@ATTRIBUTE att14 NUMERIC
@ATTRIBUTE att15 NUMERIC
@ATTRIBUTE att16 NUMERIC
@ATTRIBUTE att17 NUMERIC
@ATTRIBUTE att18 NUMERIC
@ATTRIBUTE att19 NUMERIC
@ATTRIBUTE att20 NUMERIC
@ATTRIBUTE att21 NUMERIC
@ATTRIBUTE att22 NUMERIC
@ATTRIBUTE att23 NUMERIC
@ATTRIBUTE att24 NUMERIC
@ATTRIBUTE target {1.0, 2.0}

@DATA
504.077,413.723,264.726,189.119,54.097,35.443,24.905,31.482,111.741,134.64,309.873,620.225,1212.401,1291.512,1222.097,1083.988,930.287,1094.681,1047.221,975.385,760.617,581.196,486.181,147.974,1.0
387.141,271.421,128.878,143.486,84.871,11.197,27.316,30.238,69.774,147.935,396.707,659.48,1214.98,1378.442,1241.254,1258.744,1164.831,1143.572,1281.678,1138.095,751.176,633.034,597.942,273.166,1.0
600.418,361.33,168.185,180.807,41.649,28.015,40.16,44.324,117.812,178.34,397.0,812.312,1331.363,1605.51,1406.459,1217.235,1193.529,1224.502,1207.056,1116.737,787.444,644.023,300.45,73.612,1.0
414.764,341.169,232.848,101.15,83.734,42.666,28.597,63.457,161.2,173.385,425.152,777.538,1287.326,1412.038,1480.275,1369.683,1341.508,1509.944,1696.889,1635.874,1634.816,1133.803,852.668,669.576,1.0
367.672,302.332,198.3,159.164,55.296,38.741,27.746,35.896,91.902,139.015,329.037,651.136,954.781,1019.274,1068.208,1017.182,1098.971,920.652,1006.726,1046.483,857.411,637.061,488.447,397.17,1.0
428.053,348.451,188.857,149.616,71.207,13.945,30.778,39.138,111.026,136.982,298.282,554.761,1019.73,1262.794,1289.499,1080.766,1090.958,1028.493,1064.438,1148.655,850.96,730.208,496.175,362.024,1.0
568.893,336.144,234.63,170.564,70.08,39.387,42.485,88.768,140.738,191.869,338.191,676.036,1161.28,1473.46,1366.417,1284.148,1352.297,1336.832,1420.453,1470.465,1252.687,1348.666,1020.239,794.737,1.0
566.725,418.947,135.929,90.165,47.713,29.922,31.069,89.561,81.41,157.003,409.238,1021.59,1649.968,1738.933,1703.0,1718.126,1520.877,1555.68,1625.406,1767.02,1531.749,1526.997,1248.117,937.326,1.0
509.63,398.196,232.779,257.275,89.959,64.259,27.359,113.94,200.964,235.957,452.633,723.421,1327.192,1611.3,1561.287,1547.783,1525.722,1459.394,1648.145,1892.66,1904.703,1717.544,1366.552,1273.586,1.0
522.81,379.878,165.121,179.66,129.003,40.57,20.253,30.589,71.86,132.066,297.157,657.534,1093.749,1299.265,1146.348,998.932,1117.03,1175.306,1534.984,1574.325,1540.154,1242.564,1088.547,802.058,1.0
159.889,64.861,19.082,16.368,-2.35,16.373,25.522,97.561,201.63,214.336,358.061,571.891,1257.34,1363.042,1466.859,1346.921,1260.809,1130.708,1225.464,1146.414,994.154,771.981,578.574,285.536,2.0
129.898,42.025,36.902,14.515,28.931,14.031,27.085,102.882,203.235,204.943,459.363,615.317,1155.892,1233.681,916.079,854.141,846.246,1206.19,1562.606,1702.486,1345.286,971.497,828.557,766.397,2.0
41.049,62.834,121.941,13.498,-4.542,19.669,18.142,73.16,185.348,216.66,298.334,570.734,1045.173,1182.096,972.897,809.492,832.254,1030.146,1216.213,1017.765,740.095,465.704,346.825,175.219,2.0
39.35,53.73,34.967,-7.994,8.055,15.803,19.18,75.992,221.623,236.411,356.865,722.673,1174.979,1157.598,957.054,963.779,1055.117,1092.637,1222.597,1455.968,1089.499,780.497,444.066,241.193,2.0
148.708,105.437,36.99,29.781,54.468,12.403,35.941,90.753,184.949,216.72,436.151,722.141,1348.867,1361.767,979.71,943.433,1015.006,1238.093,1677.18,1786.874,1496.359,1190.919,1031.456,742.94,2.0
258.897,172.144,108.39,61.349,49.121,24.929,25.982,38.14,180.886,203.769,339.565,803.348,1345.95,1462.682,1384.827,1228.425,1154.713,1284.069,1388.887,1345.823,1164.561,822.435,459.741,292.446,2.0
84.481,111.04,52.999,23.633,9.457,15.978,28.157,135.068,224.032,272.914,378.116,657.499,1279.115,1351.147,1136.639,1120.173,919.39,1125.012,1121.709,1191.199,900.966,694.845,600.641,185.336,2.0
103.257,35.873,44.497,9.207,3.957,12.115,22.737,69.98,165.119,187.004,316.925,409.016,996.26,1149.435,975.136,844.205,881.966,1050.988,1213.453,1272.65,853.733,858.515,525.284,330.757,2.0
101.365,122.543,55.47,9.897,1.543,22.863,27.367,108.706,208.984,221.364,370.425,533.071,1216.004,1231.405,1178.306,1210.87,1090.637,1154.514,1065.595,1160.088,920.632,574.26,471.651,286.973,2.0
83.019,79.5,44.486,28.415,29.911,16.419,29.996,138.848,217.486,260.287,344.057,629.898,1105.9,1175.365,917.322,831.559,839.569,918.397,958.374,919.748,656.116,530.456,222.425,149.131,2.0
