@RELATION SmoothSubspace

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE att4 NUMERIC
@ATTRIBUTE att5 NUMERIC
@ATTRIBUTE att6 NUMERIC
@ATTRIBUTE att7 NUMERIC
@ATTRIBUTE att8 NUMERIC
@ATTRIBUTE att9 NUMERIC
@ATTRIBUTE att10 NUMERIC
@ATTRIBUTE att11 NUMERIC
@ATTRIBUTE att12 NUMERIC
@ATTRIBUTE att13 NUMERIC
@ATTRIBUTE att14 NUMERIC
@ATTRIBUTE att15 NUMERIC
@ATTRIBUTE target {1.0, 2.0, 3.0}

@DATA
0.703,0.49,0.824,0.618,0.442,1.046,0.671,0.243,0.478,0.467,-0.195,-0.773,0.305,0.986,0.425,1.0
0.524,0.654,0.485,0.544,0.592,0.334,0.397,0.04,0.746,0.761,1.722,0.24,1.008,0.151,0.562,1.0
0.382,0.839,0.81,0.301,0.9,0.442,0.254,0.246,0.799,0.108,0.548,1.363,0.122,0.717,0.113,1.0
0.764,0.451,0.775,0.563,0.861,0.559,0.74,-0.057,0.163,0.429,0.681,0.487,0.723,0.722,-0.178,1.0
0.675,0.527,0.729,0.446,0.551,0.81,0.456,0.571,0.205,0.531,0.555,0.114,0.622,-0.308,0.994,1.0
0.517,0.521,0.725,0.471,0.619,0.669,0.133,0.51,0.274,0.252,0.242,0.353,1.022,0.812,0.866,1.0
0.369,0.603,0.569,0.706,1.096,0.697,0.174,0.093,0.443,0.459,1.086,0.844,0.573,0.762,1.362,1.0
0.19,0.546,0.306,0.575,0.356,-0.307,1.107,0.294,0.007,-0.281,0.54,0.728,0.724,0.385,0.326,1.0
0.896,0.723,0.161,0.496,0.635,0.161,0.583,0.558,0.868,0.569,-0.003,0.097,0.395,0.227,0.245,1.0
0.525,0.623,0.36,0.596,0.688,0.363,-0.16,0.512,0.315,0.743,0.847,0.429,0.422,0.908,0.829,1.0
0.449,0.701,0.667,0.36,0.632,1.049,0.607,0.48,0.532,0.947,0.8,0.687,0.292,0.417,-0.109,1.0
0.462,0.437,0.579,0.558,0.756,0.818,1.564,0.757,0.105,0.324,-0.179,0.645,0.47,0.421,1.044,1.0
0.659,0.533,1.148,0.548,0.571,0.781,0.741,0.353,0.814,1.135,0.835,0.371,0.476,0.217,0.771,1.0
0.604,0.558,0.702,0.385,0.639,0.932,0.747,0.14,0.576,0.688,0.288,0.724,0.994,1.02,0.498,1.0
0.64,0.648,0.863,0.547,0.67,0.59,0.038,0.336,0.914,0.947,0.269,0.203,0.115,0.875,0.798,1.0
0.433,0.739,0.73,0.621,0.978,0.246,0.913,0.125,0.609,0.611,1.436,0.657,2.414,0.196,0.555,1.0
0.765,0.393,0.766,0.42,0.195,0.591,0.203,0.605,0.789,0.749,0.514,0.747,0.595,0.485,0.335,1.0
0.4,1.055,0.171,0.424,0.471,0.417,-1.056,0.483,0.541,0.323,0.344,0.549,0.995,0.386,0.614,1.0
0.065,0.747,0.843,0.709,0.459,0.637,0.135,0.058,0.407,0.665,0.987,0.967,0.318,-0.021,0.97,1.0
0.454,0.769,0.444,0.489,0.545,0.253,1.041,0.745,0.744,1.124,0.54,0.612,-0.105,0.561,0.207,1.0
0.617,0.79,0.627,0.43,0.51,-0.089,1.423,0.124,-0.368,0.772,0.586,0.992,0.434,0.479,0.361,1.0
0.421,0.605,0.858,0.454,0.394,-0.265,0.938,0.803,0.29,0.808,0.446,0.375,0.343,0.713,0.07,1.0
0.502,0.721,0.759,0.594,0.619,0.47,0.96,0.214,0.393,0.762,0.628,0.776,0.316,-0.086,0.587,1.0
0.555,0.689,0.489,0.483,0.377,-0.205,0.483,-0.399,0.857,0.798,0.283,0.386,-0.063,0.385,0.641,1.0
-0.025,0.411,0.689,0.695,0.568,0.65,0.951,0.388,0.766,0.945,0.75,0.631,0.786,-0.476,0.256,1.0
0.682,0.692,0.607,0.212,0.656,0.01,0.582,0.36,0.403,0.995,0.257,-0.552,0.515,0.709,0.894,1.0
0.423,0.699,0.791,0.286,0.6,0.21,1.172,0.686,0.694,0.714,0.793,0.728,-0.027,-0.429,0.394,1.0
0.389,0.632,0.836,0.609,0.557,0.864,0.138,0.133,0.358,0.196,0.927,0.95,-0.527,0.089,-0.13,1.0
0.539,0.695,-0.064,0.367,0.483,0.976,0.807,0.931,0.704,0.14,1.831,0.169,0.846,0.68,0.093,1.0
0.646,0.599,0.879,0.362,0.164,0.297,-0.184,0.485,0.175,0.817,0.98,0.865,0.399,0.399,0.313,1.0
0.617,1.143,1.25,0.531,0.404,0.201,0.584,-0.008,0.679,0.553,0.761,0.88,0.717,0.39,0.917,1.0
0.637,0.593,0.771,0.635,0.803,0.774,0.248,0.213,0.915,0.536,0.778,0.499,0.262,0.097,1.572,1.0
0.465,0.814,0.634,0.271,0.572,0.314,0.853,0.153,0.051,0.953,0.33,0.72,0.172,0.335,-0.302,1.0
0.484,0.51,0.56,0.243,1.021,0.464,0.472,0.597,0.089,1.209,0.182,0.0,1.14,0.845,0.992,1.0
0.926,0.506,1.64,0.467,0.348,1.1,0.784,0.283,0.994,0.19,0.481,0.684,0.971,0.319,0.444,1.0
0.124,0.498,0.772,0.546,0.552,0.718,0.045,1.113,0.387,0.824,0.937,0.352,0.18,0.284,0.888,1.0
0.838,0.602,0.526,1.142,0.63,0.001,0.284,0.113,0.713,0.859,0.917,0.695,0.096,0.88,0.298,1.0
0.595,0.636,0.732,-0.231,1.274,0.336,-0.154,0.735,0.589,0.465,0.417,0.03,0.446,0.518,0.892,1.0
0.336,0.38,0.681,0.648,0.465,1.007,0.171,0.16,-0.065,0.717,0.521,0.995,0.201,0.298,0.121,1.0
0.588,0.614,0.76,0.293,0.378,0.002,0.553,1.33,0.641,0.207,-0.075,0.469,0.653,-0.024,0.602,1.0
0.352,0.818,0.336,0.37,0.477,0.446,0.729,0.228,0.055,0.714,0.706,0.203,0.454,0.846,-0.092,1.0
0.687,0.251,0.939,0.499,0.831,0.168,0.542,0.282,0.839,0.707,0.249,-0.054,1.079,0.324,0.31,1.0
0.954,0.718,0.752,0.103,0.733,0.419,0.764,0.789,0.524,0.669,0.17,0.402,0.241,0.996,0.578,1.0
0.781,0.572,0.715,0.479,0.572,0.574,0.555,1.441,0.87,0.027,0.094,0.391,0.546,1.718,0.622,1.0
0.431,0.037,0.528,-0.094,1.038,0.878,0.282,0.244,-0.118,0.66,0.838,0.561,0.575,0.736,-0.029,1.0
0.509,0.187,0.708,0.535,0.705,0.799,0.303,0.514,0.204,0.373,-0.472,0.991,0.125,0.628,0.421,1.0
0.522,0.936,0.752,0.348,0.368,0.246,1.307,0.262,0.645,1.235,1.137,0.772,0.086,0.452,0.936,1.0
0.503,0.581,0.959,0.69,0.34,0.174,0.501,-0.113,0.557,0.85,0.627,0.914,0.527,0.323,1.429,1.0
0.513,0.46,0.537,0.486,0.658,-0.158,0.016,0.244,0.916,0.541,0.564,0.221,0.715,1.466,0.14,1.0
0.082,0.629,0.843,0.776,0.706,0.131,1.061,0.896,0.111,0.787,0.282,0.607,0.432,0.605,0.487,1.0
0.243,0.955,0.418,0.065,-0.103,0.162,0.361,0.4,0.471,0.676,0.713,0.03,0.687,0.405,0.103,2.0
0.72,0.398,1.095,1.071,0.371,0.272,0.31,0.297,0.387,0.441,0.433,-0.127,0.286,0.9,0.807,2.0
0.56,0.872,0.524,0.33,0.781,0.13,0.249,0.394,0.635,0.353,0.362,1.139,0.385,0.295,0.736,2.0
0.05,0.372,0.588,0.583,0.268,0.275,0.333,0.347,0.428,0.383,-0.398,0.083,0.124,0.953,0.763,2.0
0.19,0.285,-0.191,1.068,0.143,0.085,0.436,0.297,0.281,0.757,1.16,0.679,0.197,0.595,0.55,2.0
0.655,0.601,0.676,0.761,0.859,0.222,0.107,0.472,0.132,0.501,0.275,0.707,0.326,0.463,0.518,2.0
-0.092,0.052,0.177,0.383,0.645,0.351,0.392,0.382,0.719,0.034,0.216,-0.2,1.144,0.679,0.378,2.0
0.199,0.079,0.64,0.233,0.181,0.222,0.162,0.323,0.488,0.427,0.935,0.675,0.062,0.334,1.574,2.0
0.322,0.066,0.541,0.929,0.386,0.074,0.179,-0.09,0.526,0.506,0.839,0.517,0.705,0.659,-0.261,2.0
0.578,0.812,0.339,0.178,1.007,0.158,0.263,0.428,0.272,0.724,0.448,0.674,-0.03,0.718,-0.112,2.0
-0.09,0.834,0.125,0.697,0.801,0.291,0.441,0.426,0.313,0.938,0.076,0.391,0.803,0.768,0.64,2.0
0.655,0.365,0.85,0.288,0.283,0.431,0.764,0.464,0.234,0.503,0.299,0.829,0.755,0.253,0.11,2.0
-0.498,0.477,0.226,0.45,0.912,0.381,0.463,0.406,0.863,0.291,0.505,0.79,0.675,0.559,0.099,2.0
0.801,0.926,0.097,-0.109,0.939,0.319,0.051,0.043,0.235,0.391,0.711,0.49,0.574,0.681,0.407,2.0
0.041,0.282,1.003,0.331,0.655,-0.026,0.317,0.374,0.362,0.473,0.953,0.343,0.061,0.203,0.804,2.0
0.459,0.181,0.054,0.042,0.395,0.547,0.205,0.523,0.31,0.435,0.759,0.45,0.352,0.407,-0.037,2.0
0.255,0.863,0.613,0.642,1.08,0.372,0.38,0.372,0.765,0.185,0.81,1.22,-0.111,1.053,0.108,2.0
0.46,0.401,0.226,0.7,0.872,0.257,0.27,0.386,0.377,0.475,0.473,0.125,0.669,-0.049,1.281,2.0
0.475,0.618,0.001,1.171,1.039,0.289,-0.086,0.365,0.509,0.359,0.418,0.708,0.226,0.427,-0.026,2.0
0.052,0.655,0.431,0.092,0.249,0.463,0.431,0.332,-0.179,0.229,0.703,0.857,0.639,0.564,0.246,2.0
0.758,0.104,0.46,1.044,0.672,-0.211,0.383,0.006,0.372,0.527,0.286,0.459,0.619,0.612,0.635,2.0
0.37,0.481,0.206,0.073,0.127,0.563,0.431,0.422,0.236,0.394,0.325,0.86,-0.208,0.002,0.883,2.0
0.093,0.127,-0.055,0.391,0.128,0.272,-0.624,0.387,0.27,0.528,0.274,0.866,0.403,1.057,0.707,2.0
0.169,0.656,0.019,0.473,0.541,0.25,0.167,0.022,0.334,0.051,0.489,0.017,0.583,1.004,0.51,2.0
0.5,0.613,-0.083,-0.078,0.747,0.228,-0.098,0.485,-0.186,0.394,0.569,0.662,0.755,0.043,0.38,2.0
0.595,0.843,0.831,0.929,0.175,0.372,-0.699,0.273,0.3,0.655,0.925,0.114,0.676,0.239,0.901,2.0
1.195,0.716,0.46,0.541,0.736,0.209,0.478,0.436,0.323,0.291,0.398,0.566,0.002,0.232,0.256,2.0
1.093,0.073,0.916,0.717,0.85,0.253,0.199,-0.224,0.322,0.27,0.326,0.381,0.466,0.847,0.481,2.0
0.447,1.114,0.729,0.127,0.489,0.242,0.309,0.635,0.154,0.291,0.259,0.963,0.199,0.61,0.55,2.0
0.285,1.4,0.839,0.246,0.422,0.371,0.16,0.641,0.195,0.289,0.646,0.728,0.006,0.466,0.423,2.0
0.147,0.469,0.572,1.036,0.0,0.297,0.501,0.374,0.149,0.457,0.689,0.639,0.892,-0.402,0.321,2.0
0.714,0.295,0.888,0.457,0.147,0.294,0.356,0.328,0.42,0.313,0.977,0.852,0.55,0.411,0.113,2.0
0.036,0.378,0.1,0.184,0.995,0.016,0.183,0.4,0.349,0.464,0.897,0.95,-0.174,0.061,0.529,2.0
0.468,0.373,0.424,0.165,0.966,0.368,-0.436,0.582,0.168,0.113,0.538,0.438,0.035,0.631,0.258,2.0
0.001,0.719,0.732,0.767,0.763,0.079,0.74,0.051,0.574,0.279,0.296,1.051,0.294,0.759,0.803,2.0
-0.115,0.684,0.402,0.191,0.891,0.195,0.383,0.22,0.304,0.091,0.07,1.027,1.007,1.138,0.97,2.0
0.768,0.692,0.225,0.731,0.154,0.214,0.392,0.155,0.432,0.551,1.004,0.321,0.824,0.057,-0.451,2.0
-0.08,-0.078,0.99,0.097,0.212,0.209,0.303,0.351,0.001,0.49,0.449,-0.361,0.569,0.966,1.027,2.0
0.629,0.473,0.911,0.929,0.338,0.228,0.364,-0.005,0.354,0.348,1.595,0.688,0.418,1.076,0.629,2.0
0.194,0.268,0.852,0.814,-0.032,1.168,0.421,0.346,-0.207,0.326,0.358,1.283,0.634,1.33,0.174,2.0
0.422,1.019,0.819,0.661,1.225,0.146,-0.127,0.434,-0.01,0.429,-0.01,0.53,0.631,0.958,0.412,2.0
0.533,0.454,0.424,-0.249,0.382,0.31,0.28,0.763,-0.45,0.378,0.141,0.662,0.332,0.942,1.069,2.0
0.403,-0.301,-0.042,0.832,0.375,-0.044,0.454,0.337,0.152,0.546,1.188,1.393,0.201,0.873,0.626,2.0
0.255,0.872,0.373,0.702,0.353,0.293,-0.461,0.39,0.35,0.431,0.728,0.186,0.504,1.19,-0.066,2.0
0.709,0.995,0.181,0.181,0.422,0.209,0.614,-0.02,0.422,0.507,0.641,0.114,0.568,0.588,0.594,2.0
0.27,0.864,0.096,0.328,0.396,0.148,0.838,0.379,0.808,0.028,0.41,1.553,0.981,0.121,0.901,2.0
0.778,0.558,0.307,-0.211,0.318,0.288,0.456,0.594,0.082,0.042,0.673,-0.387,0.5,-0.013,0.346,2.0
0.807,1.021,1.003,0.012,0.5,0.175,0.134,0.48,0.354,0.488,1.187,-0.01,0.789,0.091,1.001,2.0
0.12,0.361,0.405,0.208,0.967,0.087,-0.568,0.347,0.221,-0.024,0.332,0.709,0.101,0.052,0.7,2.0
0.091,1.158,0.413,0.801,-0.018,0.322,0.256,0.224,0.387,0.642,0.315,0.912,0.529,-0.254,0.614,2.0
0.147,0.315,-0.191,1.093,0.394,-0.082,0.4,1.147,0.345,-0.418,1.172,1.461,0.273,1.231,0.912,3.0
0.252,0.088,0.654,0.43,0.221,0.745,0.906,0.894,-0.057,0.104,0.844,0.749,0.909,0.957,0.904,3.0
0.598,0.101,0.476,0.711,1.042,0.855,0.605,0.154,1.748,0.499,0.785,0.49,1.061,0.834,0.906,3.0
0.384,0.914,0.789,0.734,0.396,0.406,0.757,0.659,1.269,0.981,0.616,1.029,0.833,0.619,0.711,3.0
0.282,0.695,0.59,0.575,0.372,0.462,1.006,0.677,0.157,0.451,0.87,1.414,0.929,0.773,0.961,3.0
0.873,1.369,0.06,0.44,0.478,0.447,0.865,0.017,0.629,-0.448,0.78,0.124,0.98,0.702,0.959,3.0
0.415,0.462,0.918,0.018,0.474,0.87,0.266,0.16,0.118,0.818,0.902,0.719,1.346,0.354,0.971,3.0
0.532,0.606,0.945,0.446,1.018,1.048,-0.073,0.298,0.89,0.737,0.549,0.214,0.927,0.708,0.919,3.0
1.104,0.403,0.209,0.475,0.797,0.481,0.211,-0.296,0.107,0.53,1.898,0.87,1.532,0.76,0.497,3.0
1.175,-0.509,0.69,0.241,0.025,1.084,1.188,0.314,0.327,0.888,1.603,0.605,0.511,0.895,0.937,3.0
0.309,1.023,0.026,0.382,0.463,0.781,0.832,0.392,0.425,0.183,0.954,0.901,0.852,0.998,0.72,3.0
-0.025,0.762,1.389,0.257,1.006,1.02,0.898,1.177,-0.382,0.713,1.017,0.957,1.052,0.888,0.89,3.0
0.746,0.17,0.737,-0.112,0.905,0.044,0.201,0.533,0.479,0.737,0.914,0.471,0.76,0.767,0.937,3.0
0.769,0.666,0.647,0.557,0.039,0.92,0.383,0.403,0.067,0.962,1.315,0.722,0.573,0.667,0.906,3.0
0.164,0.588,0.744,0.587,0.677,0.242,0.473,0.619,0.881,0.797,0.929,0.788,1.181,0.896,0.967,3.0
0.206,0.677,0.542,0.59,0.024,0.766,1.149,0.067,0.734,0.227,0.918,0.969,0.899,0.857,0.732,3.0
0.175,0.842,0.52,0.865,0.288,0.867,0.035,-0.039,1.127,0.887,0.857,0.939,0.967,1.448,0.395,3.0
1.063,0.029,0.7,0.881,1.287,0.89,0.171,0.236,0.124,0.032,1.047,0.792,0.881,0.914,0.994,3.0
0.277,1.09,0.192,0.577,0.21,0.511,1.013,0.168,0.416,0.277,1.041,1.034,1.172,0.665,0.366,3.0
0.947,0.519,0.358,0.756,0.037,0.444,0.831,0.215,1.164,0.76,0.844,0.804,1.327,0.959,1.003,3.0
0.494,0.116,0.333,0.684,0.821,1.006,0.043,0.462,0.329,0.426,0.346,-0.079,1.135,1.483,1.225,3.0
0.386,0.353,0.539,0.577,0.674,0.306,0.157,0.592,0.295,1.033,0.282,0.692,1.041,0.986,0.925,3.0
