@RELATION SmoothSubspace

@ATTRIBUTE att1_err NUMERIC
@ATTRIBUTE att2_err NUMERIC
@ATTRIBUTE att3_err NUMERIC
@ATTRIBUTE att4_err NUMERIC
@ATTRIBUTE att5_err NUMERIC
@ATTRIBUTE att6_err NUMERIC
@ATTRIBUTE att7_err NUMERIC
@ATTRIBUTE att8_err NUMERIC
@ATTRIBUTE att9_err NUMERIC
@ATTRIBUTE att10_err NUMERIC
@ATTRIBUTE att11_err NUMERIC
@ATTRIBUTE att12_err NUMERIC
@ATTRIBUTE att13_err NUMERIC
@ATTRIBUTE att14_err NUMERIC
@ATTRIBUTE att15_err NUMERIC

@DATA
0.306,0.405,0.093,0.092,0.418,0.262,0.338,0.235,0.069,0.054,0.407,0.404,0.142,0.197,0.028
0.078,0.008,0.197,0.032,0.116,0.116,0.076,0.177,0.457,0.053,0.519,0.007,0.148,0.489,0.026
0.391,0.248,0.305,0.174,0.33,0.0,0.05,0.11,0.335,0.032,0.055,0.538,0.418,0.212,0.34
0.135,0.129,0.144,0.136,0.194,0.015,0.138,0.085,0.014,0.071,0.014,0.042,0.109,0.18,0.417
0.344,0.065,0.002,0.045,0.055,0.115,0.533,0.086,0.188,0.302,0.068,0.073,0.051,0.281,0.24
0.074,0.029,0.133,0.415,0.069,0.102,0.002,0.27,0.525,0.119,0.254,0.338,0.418,0.092,0.347
0.1,0.214,0.028,0.17,0.256,0.183,0.145,0.34,0.016,0.051,0.193,0.041,0.243,0.247,0.312
0.617,0.369,0.313,0.05,0.369,0.714,0.315,0.061,0.191,0.471,0.096,0.043,0.007,0.143,0.151
0.219,0.029,0.339,0.006,0.293,0.138,0.147,0.452,0.108,0.126,0.369,0.032,0.249,0.442,0.094
0.429,0.125,0.359,0.137,0.14,0.23,0.176,0.135,0.475,0.31,0.338,0.14,0.188,0.383,0.231
0.058,0.115,0.007,0.331,0.2,0.632,0.022,0.045,0.239,0.043,0.232,0.26,0.217,0.326,0.325
0.035,0.097,0.253,0.114,0.095,0.228,0.605,0.215,0.079,0.11,0.263,0.248,0.016,0.043,0.181
0.109,0.165,0.317,0.047,0.122,0.247,0.057,0.2,0.391,0.576,0.497,0.123,0.157,0.533,0.081
0.007,0.039,0.19,0.067,0.015,0.303,0.428,0.011,0.19,0.039,0.203,0.065,0.211,0.104,0.164
0.17,0.044,0.66,0.183,0.105,0.068,0.212,0.004,0.081,0.721,0.145,0.019,0.214,0.035,0.089
0.004,0.26,0.058,0.107,0.336,0.104,0.636,0.621,0.363,0.242,0.473,0.128,0.667,0.118,0.222
0.183,0.625,0.056,0.167,0.273,0.229,0.03,0.313,0.077,0.425,0.201,0.124,0.195,0.056,0.204
0.024,0.183,0.232,0.12,0.202,0.025,0.652,0.411,0.263,0.148,0.022,0.295,0.198,0.168,0.019
0.285,0.195,0.278,0.194,0.069,0.245,0.064,0.049,0.076,0.023,0.062,0.257,0.35,0.043,0.265
0.02,0.087,0.344,0.015,0.024,0.117,0.034,0.052,0.257,0.261,0.017,0.017,0.744,0.154,0.387
0.112,0.088,0.182,0.143,0.456,0.216,0.574,0.035,0.348,0.127,0.056,0.189,0.084,0.291,0.434
0.262,0.068,0.251,0.003,0.268,0.221,0.026,0.624,0.088,0.096,0.176,0.159,0.152,0.3,0.23
0.392,0.302,0.032,0.092,0.047,0.223,0.134,0.23,0.131,0.531,0.231,0.375,0.318,0.193,0.044
0.205,0.153,0.134,0.061,0.341,0.323,0.12,0.221,0.039,0.49,0.185,0.03,0.093,0.54,0.267
0.574,0.172,0.268,0.379,0.201,0.409,0.173,0.103,0.149,0.149,0.037,0.088,0.019,0.553,0.471
0.094,0.193,0.062,0.278,0.219,0.348,0.109,0.296,0.225,0.055,0.802,0.484,0.213,0.102,0.653
0.202,0.044,0.236,0.264,0.051,0.417,0.243,0.286,0.283,0.186,0.248,0.149,0.273,0.407,0.266
0.137,0.118,0.087,0.063,0.003,0.318,0.023,0.451,0.153,0.019,0.051,0.141,0.465,0.319,0.619
0.052,0.042,0.531,0.414,0.086,0.314,0.359,0.326,0.212,0.105,0.985,0.153,0.189,0.276,0.046
0.043,0.107,0.258,0.283,0.162,0.147,0.203,0.001,0.073,0.009,0.011,0.018,0.396,0.263,0.58
0.085,0.356,0.221,0.042,0.391,0.346,0.105,0.088,0.23,0.027,0.129,0.208,0.17,0.421,0.13
0.064,0.049,0.05,0.253,0.143,0.124,0.127,0.342,0.03,0.113,0.045,0.049,0.285,0.017,0.8
0.017,0.177,0.025,0.329,0.178,0.132,0.177,0.147,0.415,0.373,0.25,0.118,0.077,0.155,0.433
0.015,0.265,0.301,0.22,0.219,0.137,0.324,0.127,0.014,0.39,0.32,0.174,0.123,0.337,0.12
0.198,0.363,0.339,0.197,0.39,0.263,0.401,0.217,0.346,0.21,0.115,0.024,0.097,0.324,0.243
0.427,0.069,0.048,0.072,0.02,0.556,0.108,0.107,0.245,0.493,0.005,0.018,0.413,0.224,0.09
0.385,0.017,0.186,0.424,0.124,0.059,0.481,0.349,0.081,0.065,0.021,0.256,0.236,0.159,0.392
0.037,0.039,0.051,0.416,0.341,0.332,0.227,0.137,0.339,0.487,0.193,0.006,0.358,0.231,0.339
0.504,0.239,0.257,0.212,0.434,0.315,0.18,0.112,0.312,0.219,0.152,0.36,0.198,0.404,0.33
0.036,0.108,0.076,0.286,0.256,0.197,0.279,0.285,0.059,0.166,0.179,0.557,0.105,0.025,0.107
0.171,0.227,0.288,0.168,0.058,0.246,0.219,0.098,0.11,0.099,0.19,0.063,0.371,0.226,0.098
0.206,0.278,0.33,0.011,0.207,0.334,0.242,0.235,0.078,0.248,0.526,0.273,0.145,0.148,0.363
0.188,0.21,0.045,0.229,0.256,0.24,0.453,0.657,0.261,0.04,0.055,0.144,0.942,0.346,0.567
0.193,0.102,0.076,0.138,0.187,0.14,0.123,0.358,0.082,0.152,0.216,0.138,0.126,0.438,0.243
0.039,0.316,0.427,0.253,0.149,0.038,0.158,0.337,0.226,0.13,0.161,0.061,0.284,0.123,0.104
