@RELATION CBF

@ATTRIBUTE att1_err NUMERIC
@ATTRIBUTE att2_err NUMERIC
@ATTRIBUTE att3_err NUMERIC
@ATTRIBUTE att4_err NUMERIC
@ATTRIBUTE att5_err NUMERIC
@ATTRIBUTE att6_err NUMERIC
@ATTRIBUTE att7_err NUMERIC
@ATTRIBUTE att8_err NUMERIC
@ATTRIBUTE att9_err NUMERIC
@ATTRIBUTE att10_err NUMERIC
@ATTRIBUTE att11_err NUMERIC
@ATTRIBUTE att12_err NUMERIC
@ATTRIBUTE att13_err NUMERIC
@ATTRIBUTE att14_err NUMERIC
@ATTRIBUTE att15_err NUMERIC
@ATTRIBUTE att16_err NUMERIC
@ATTRIBUTE att17_err NUMERIC
@ATTRIBUTE att18_err NUMERIC
@ATTRIBUTE att19_err NUMERIC
@ATTRIBUTE att20_err NUMERIC
@ATTRIBUTE att21_err NUMERIC
@ATTRIBUTE att22_err NUMERIC
@ATTRIBUTE att23_err NUMERIC
@ATTRIBUTE att24_err NUMERIC
@ATTRIBUTE att25_err NUMERIC
@ATTRIBUTE att26_err NUMERIC
@ATTRIBUTE att27_err NUMERIC
@ATTRIBUTE att28_err NUMERIC
@ATTRIBUTE att29_err NUMERIC
@ATTRIBUTE att30_err NUMERIC
@ATTRIBUTE att31_err NUMERIC
@ATTRIBUTE att32_err NUMERIC
@ATTRIBUTE att33_err NUMERIC
@ATTRIBUTE att34_err NUMERIC
@ATTRIBUTE att35_err NUMERIC
@ATTRIBUTE att36_err NUMERIC
@ATTRIBUTE att37_err NUMERIC
@ATTRIBUTE att38_err NUMERIC
@ATTRIBUTE att39_err NUMERIC
@ATTRIBUTE att40_err NUMERIC
@ATTRIBUTE att41_err NUMERIC
@ATTRIBUTE att42_err NUMERIC
@ATTRIBUTE att43_err NUMERIC
@ATTRIBUTE att44_err NUMERIC
@ATTRIBUTE att45_err NUMERIC
@ATTRIBUTE att46_err NUMERIC
@ATTRIBUTE att47_err NUMERIC
@ATTRIBUTE att48_err NUMERIC
@ATTRIBUTE att49_err NUMERIC
@ATTRIBUTE att50_err NUMERIC
@ATTRIBUTE att51_err NUMERIC
@ATTRIBUTE att52_err NUMERIC
@ATTRIBUTE att53_err NUMERIC
@ATTRIBUTE att54_err NUMERIC
@ATTRIBUTE att55_err NUMERIC
@ATTRIBUTE att56_err NUMERIC
@ATTRIBUTE att57_err NUMERIC
@ATTRIBUTE att58_err NUMERIC
@ATTRIBUTE att59_err NUMERIC
@ATTRIBUTE att60_err NUMERIC
@ATTRIBUTE att61_err NUMERIC
@ATTRIBUTE att62_err NUMERIC
@ATTRIBUTE att63_err NUMERIC
@ATTRIBUTE att64_err NUMERIC
@ATTRIBUTE att65_err NUMERIC
@ATTRIBUTE att66_err NUMERIC
@ATTRIBUTE att67_err NUMERIC
@ATTRIBUTE att68_err NUMERIC
@ATTRIBUTE att69_err NUMERIC
@ATTRIBUTE att70_err NUMERIC
@ATTRIBUTE att71_err NUMERIC
@ATTRIBUTE att72_err NUMERIC
@ATTRIBUTE att73_err NUMERIC
@ATTRIBUTE att74_err NUMERIC
@ATTRIBUTE att75_err NUMERIC
@ATTRIBUTE att76_err NUMERIC
@ATTRIBUTE att77_err NUMERIC
@ATTRIBUTE att78_err NUMERIC
@ATTRIBUTE att79_err NUMERIC
@ATTRIBUTE att80_err NUMERIC
@ATTRIBUTE att81_err NUMERIC
@ATTRIBUTE att82_err NUMERIC
@ATTRIBUTE att83_err NUMERIC
@ATTRIBUTE att84_err NUMERIC
@ATTRIBUTE att85_err NUMERIC
@ATTRIBUTE att86_err NUMERIC
@ATTRIBUTE att87_err NUMERIC
@ATTRIBUTE att88_err NUMERIC
@ATTRIBUTE att89_err NUMERIC
@ATTRIBUTE att90_err NUMERIC
@ATTRIBUTE att91_err NUMERIC
@ATTRIBUTE att92_err NUMERIC
@ATTRIBUTE att93_err NUMERIC
@ATTRIBUTE att94_err NUMERIC
@ATTRIBUTE att95_err NUMERIC
@ATTRIBUTE att96_err NUMERIC
@ATTRIBUTE att97_err NUMERIC
@ATTRIBUTE att98_err NUMERIC
@ATTRIBUTE att99_err NUMERIC
@ATTRIBUTE att100_err NUMERIC
@ATTRIBUTE att101_err NUMERIC
@ATTRIBUTE att102_err NUMERIC
@ATTRIBUTE att103_err NUMERIC
@ATTRIBUTE att104_err NUMERIC
@ATTRIBUTE att105_err NUMERIC
@ATTRIBUTE att106_err NUMERIC
@ATTRIBUTE att107_err NUMERIC
@ATTRIBUTE att108_err NUMERIC
@ATTRIBUTE att109_err NUMERIC
@ATTRIBUTE att110_err NUMERIC
@ATTRIBUTE att111_err NUMERIC
@ATTRIBUTE att112_err NUMERIC
@ATTRIBUTE att113_err NUMERIC
@ATTRIBUTE att114_err NUMERIC
@ATTRIBUTE att115_err NUMERIC
@ATTRIBUTE att116_err NUMERIC
@ATTRIBUTE att117_err NUMERIC
@ATTRIBUTE att118_err NUMERIC
@ATTRIBUTE att119_err NUMERIC
@ATTRIBUTE att120_err NUMERIC
@ATTRIBUTE att121_err NUMERIC
@ATTRIBUTE att122_err NUMERIC
@ATTRIBUTE att123_err NUMERIC
@ATTRIBUTE att124_err NUMERIC
@ATTRIBUTE att125_err NUMERIC
@ATTRIBUTE att126_err NUMERIC
@ATTRIBUTE att127_err NUMERIC
@ATTRIBUTE att128_err NUMERIC

@DATA
0.019,0.173,0.755,0.038,0.332,0.327,0.615,0.252,0.148,0.534,1.154,0.277,0.13,0.061,0.714,0.261,0.094,0.542,0.247,0.355,1.358,0.475,2.411,0.608,0.33,0.119,1.39,1.028,0.621,0.108,0.69,2.201,1.547,0.28,0.682,0.317,0.673,0.186,0.2,1.072,0.038,0.068,0.266,0.525,0.065,0.64,0.084,0.26,0.34,0.602,0.339,0.026,0.146,0.946,0.106,0.686,0.869,0.084,0.192,0.139,0.853,0.095,0.32,1.305,0.825,0.813,0.191,0.755,0.455,0.42,0.794,0.585,0.316,1.19,0.728,0.577,0.831,0.29,1.232,0.596,1.317,1.022,0.536,0.53,0.293,0.479,0.368,0.291,1.054,0.479,0.637,0.373,1.117,1.852,0.637,0.272,0.421,0.141,0.943,1.272,0.193,0.295,0.271,1.844,0.06,0.539,0.517,0.672,0.58,0.576,0.274,1.779,0.08,0.096,0.835,0.801,0.129,0.94,0.062,1.496,0.258,0.196,0.034,0.265,1.218,0.449,0.099,0.156
0.111,0.196,0.055,0.713,1.035,0.019,0.591,0.268,0.07,0.383,0.493,0.613,0.441,0.631,0.29,0.697,0.146,0.608,0.074,0.292,0.151,0.561,0.95,0.778,0.943,0.297,0.619,0.58,0.889,0.395,0.117,0.224,0.009,0.186,0.223,1.106,0.146,0.349,0.026,0.19,0.047,0.843,0.405,1.469,0.268,0.151,0.111,1.161,0.626,0.09,0.293,0.205,0.092,0.535,0.606,0.681,0.439,0.471,0.397,1.479,0.06,0.565,0.966,1.206,0.994,0.839,0.196,0.055,0.049,0.117,0.466,0.425,0.526,0.596,0.006,0.3,0.158,0.256,0.276,0.511,1.142,0.338,0.642,1.17,0.556,0.081,0.267,0.09,0.296,0.179,0.105,0.535,0.303,0.36,0.205,0.513,0.639,0.055,0.91,1.584,0.116,0.458,0.702,0.649,0.589,0.295,0.032,0.385,0.268,0.43,0.364,0.021,1.02,0.235,0.678,1.142,0.161,0.54,1.652,0.254,0.699,0.492,0.381,1.131,0.611,0.259,1.107,0.298
0.993,0.685,0.076,0.13,0.057,0.5,0.232,0.057,0.118,0.038,0.504,0.335,0.268,0.307,0.567,0.584,0.447,0.593,0.763,0.771,1.265,1.438,1.483,0.72,0.632,1.498,0.258,1.336,0.979,0.913,0.314,0.407,0.158,0.261,0.709,0.65,0.369,0.521,0.948,0.727,0.221,0.262,1.224,0.851,0.009,0.213,0.73,0.076,0.151,0.356,0.873,0.085,0.078,0.715,0.468,0.267,0.137,0.337,0.67,0.292,0.326,0.393,0.877,0.868,1.097,0.754,0.081,0.654,0.508,1.114,0.061,0.97,0.13,0.581,0.27,0.228,1.321,0.338,1.119,0.456,0.268,0.066,1.099,0.006,0.117,1.508,0.63,0.653,1.558,0.345,0.615,0.249,1.486,0.521,0.604,0.746,0.46,0.778,0.989,0.221,0.155,0.27,0.127,0.113,0.825,0.961,0.362,0.177,0.0,0.176,0.559,0.565,0.157,0.092,0.522,0.718,0.638,0.855,0.785,0.342,0.167,0.474,0.269,0.932,0.33,0.551,0.05,0.002
0.049,0.66,0.193,0.276,0.208,0.251,0.325,0.23,0.168,0.091,0.336,0.235,0.009,0.155,0.075,0.824,0.219,0.254,0.132,0.086,0.788,0.321,0.56,0.511,0.418,0.533,0.623,0.101,0.054,0.831,0.153,0.3,0.007,0.769,1.125,0.659,0.368,0.954,0.338,0.452,0.785,0.169,0.723,0.629,1.266,0.129,0.603,0.141,0.378,0.415,0.159,0.115,0.194,0.544,0.575,0.344,0.074,0.86,0.339,0.463,0.714,0.429,0.258,1.195,0.149,0.745,0.026,0.873,0.312,0.57,0.261,0.287,0.137,0.973,0.085,0.671,0.137,0.15,0.673,0.967,0.865,0.262,0.027,1.218,1.121,0.263,1.104,0.027,0.777,0.481,0.568,0.337,0.035,0.494,0.143,0.285,0.45,0.268,0.037,0.643,0.643,0.857,0.343,0.085,0.091,0.373,0.256,0.574,1.171,0.303,1.46,0.124,0.027,1.295,0.085,0.412,1.317,0.981,0.147,0.443,0.484,0.547,0.279,0.381,0.389,0.103,0.752,0.548
0.159,0.392,0.563,0.2,1.054,0.687,0.502,0.166,0.646,0.332,0.014,0.27,0.186,0.813,0.239,0.351,0.476,0.341,0.236,1.886,0.256,0.272,0.439,0.144,0.925,1.497,0.266,1.524,0.516,0.897,0.678,0.437,0.017,1.509,0.735,0.632,0.061,2.188,0.061,1.753,0.874,0.083,1.478,0.783,0.357,0.355,0.978,0.299,0.755,0.207,0.099,0.375,0.025,0.189,0.107,0.51,0.119,0.026,0.235,0.284,0.737,0.319,0.396,1.473,1.192,0.295,0.941,0.871,0.489,0.387,0.14,0.407,1.019,0.388,1.042,0.61,0.836,0.31,0.957,0.065,0.172,0.187,0.028,0.069,0.603,1.061,0.186,0.684,0.537,0.017,0.075,0.124,0.241,0.97,1.02,0.701,0.235,0.242,0.76,0.509,0.494,1.326,0.026,0.293,0.991,1.394,0.438,0.108,0.254,0.571,0.747,0.096,0.582,0.338,1.183,0.579,0.749,0.111,0.218,0.96,0.295,0.205,1.03,0.671,1.462,0.192,0.351,0.053
0.043,0.763,0.466,0.07,0.687,0.078,0.476,0.23,0.182,0.016,0.92,0.487,0.188,0.235,0.128,0.207,0.485,0.229,0.649,0.185,1.322,1.503,1.422,1.324,0.178,1.428,1.674,0.618,1.942,2.069,1.284,0.832,0.531,1.186,0.232,0.29,1.126,0.453,0.673,0.378,0.624,1.272,0.555,0.278,0.004,0.065,0.418,0.421,0.756,0.023,0.154,0.558,1.223,0.114,0.001,0.392,0.214,0.543,0.551,0.143,0.356,0.394,1.007,0.26,1.012,0.504,0.389,0.95,0.194,0.428,0.005,0.525,0.83,0.122,1.235,0.474,1.456,0.127,0.106,0.015,1.506,0.248,0.265,0.945,0.386,0.108,0.354,0.558,0.474,0.328,0.661,0.849,0.956,1.003,0.099,1.195,0.348,0.078,0.246,0.394,1.44,0.487,0.787,0.453,0.089,0.517,0.079,0.167,0.814,0.207,0.601,0.05,0.741,0.981,0.336,0.475,1.435,0.337,0.709,0.082,0.178,1.358,0.08,0.224,0.42,0.323,0.718,0.245
0.842,0.022,0.46,0.331,0.98,0.162,0.597,0.323,0.094,0.365,0.319,0.245,0.603,0.581,0.83,0.517,0.229,0.33,0.359,0.893,0.663,0.982,0.424,0.551,0.739,0.483,0.605,2.072,0.786,0.781,1.367,0.781,0.712,0.339,0.037,0.257,0.698,0.064,0.712,0.355,0.833,0.021,0.091,1.038,0.605,0.598,0.026,0.047,0.259,0.026,0.337,0.089,0.299,0.387,0.067,0.967,0.375,0.098,0.487,0.154,0.909,0.389,0.155,0.136,1.012,0.39,0.861,1.155,0.222,0.081,1.047,0.218,0.489,0.597,0.775,0.631,0.345,0.292,0.46,0.559,0.19,0.214,0.992,1.764,2.51,0.904,0.13,0.35,0.752,0.759,0.632,0.111,0.477,0.122,0.664,0.217,0.362,1.645,0.994,0.113,0.743,0.688,0.395,1.327,0.954,0.85,0.859,0.412,0.571,0.122,1.981,0.136,0.851,0.682,0.62,0.915,0.295,0.438,0.495,0.348,0.659,0.294,0.309,0.106,0.25,0.733,0.428,0.31
0.135,0.037,0.245,0.637,0.524,0.635,0.208,0.206,0.233,0.342,0.12,0.064,0.354,0.289,0.135,0.007,0.508,0.559,0.83,0.934,0.64,0.675,1.442,1.224,1.271,0.327,0.515,0.287,0.84,0.156,1.142,1.367,0.873,0.492,0.077,0.186,0.148,0.969,0.42,1.129,1.458,0.71,0.343,0.573,0.482,0.054,0.775,0.555,0.336,0.605,0.182,0.204,0.142,0.672,0.104,0.2,0.09,0.715,0.454,0.152,0.407,0.223,0.636,0.365,0.025,0.325,0.084,0.19,0.848,0.299,0.103,0.088,0.713,1.14,0.245,0.856,0.573,0.056,0.394,1.087,0.341,0.219,0.336,0.259,1.148,0.036,1.031,0.735,0.218,1.069,0.293,0.344,0.033,0.472,1.109,0.357,1.441,0.475,0.866,0.086,0.261,0.646,0.517,0.586,1.485,0.411,0.657,0.518,0.096,1.199,0.628,0.435,0.587,0.714,0.935,0.43,0.883,0.305,0.406,0.235,0.365,0.704,0.878,0.307,0.251,0.489,0.002,0.624
0.213,0.185,0.61,0.326,0.253,0.066,0.325,0.554,0.221,0.382,0.553,0.098,0.497,0.185,0.062,0.72,0.13,0.502,0.153,0.654,0.425,0.754,0.734,1.57,0.387,1.06,0.194,1.12,0.2,0.09,0.3,1.227,1.912,0.945,1.061,1.065,0.242,0.689,0.778,0.059,0.379,0.858,0.744,0.32,0.484,0.317,1.01,0.422,0.246,0.053,0.001,0.763,0.358,0.4,0.596,0.891,0.355,1.139,0.058,0.369,0.543,0.172,0.061,0.194,0.763,0.967,0.075,0.88,0.283,0.099,0.063,0.018,0.208,0.204,0.226,0.686,1.052,0.018,0.223,0.028,0.824,0.54,1.057,0.997,0.157,1.126,0.543,0.717,0.376,0.355,1.061,0.121,0.124,0.93,0.162,1.166,0.327,0.335,0.145,1.358,0.247,0.248,0.311,1.027,0.03,0.138,1.01,0.576,0.498,0.103,0.077,0.819,0.169,0.557,0.41,0.101,0.335,0.436,0.065,0.404,0.414,0.54,0.834,0.345,0.463,0.977,0.055,0.763
0.648,0.028,0.274,0.091,0.66,0.209,0.461,0.623,0.636,0.694,0.294,0.484,0.32,0.103,0.159,0.088,0.904,0.48,0.597,0.499,0.018,0.76,0.252,0.096,0.944,1.802,0.864,0.438,0.934,1.625,0.817,0.893,0.409,1.423,0.419,0.068,0.646,1.85,0.716,0.552,0.2,0.491,0.632,0.674,1.211,0.418,0.396,0.824,0.357,1.211,0.393,0.725,0.045,0.878,0.007,0.093,0.041,0.136,0.943,0.051,0.595,0.155,0.23,0.284,0.44,1.265,0.783,0.144,0.472,0.001,0.715,0.792,0.285,0.76,0.485,0.039,0.027,0.684,1.001,0.196,0.633,0.019,0.424,0.563,0.38,0.211,0.004,0.68,0.449,0.374,0.823,0.09,0.242,0.366,1.288,0.164,0.757,0.794,0.274,0.269,0.76,1.072,0.564,0.239,0.331,0.089,1.394,0.246,0.349,0.119,0.744,0.57,0.243,0.505,0.301,0.535,0.658,0.364,0.059,0.265,0.261,0.777,0.499,0.297,0.574,0.068,0.153,0.475
