@RELATION TwoLeadECG

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE att4 NUMERIC
@ATTRIBUTE att5 NUMERIC
@ATTRIBUTE att6 NUMERIC
@ATTRIBUTE att7 NUMERIC
@ATTRIBUTE att8 NUMERIC
@ATTRIBUTE att9 NUMERIC
@ATTRIBUTE att10 NUMERIC
@ATTRIBUTE att11 NUMERIC
@ATTRIBUTE att12 NUMERIC
@ATTRIBUTE att13 NUMERIC
@ATTRIBUTE att14 NUMERIC
@ATTRIBUTE att15 NUMERIC
@ATTRIBUTE att16 NUMERIC
@ATTRIBUTE att17 NUMERIC
@ATTRIBUTE att18 NUMERIC
@ATTRIBUTE att19 NUMERIC
@ATTRIBUTE att20 NUMERIC
@ATTRIBUTE att21 NUMERIC
@ATTRIBUTE att22 NUMERIC
@ATTRIBUTE att23 NUMERIC
@ATTRIBUTE att24 NUMERIC
@ATTRIBUTE att25 NUMERIC
@ATTRIBUTE att26 NUMERIC
@ATTRIBUTE att27 NUMERIC
@ATTRIBUTE att28 NUMERIC
@ATTRIBUTE att29 NUMERIC
@ATTRIBUTE att30 NUMERIC
@ATTRIBUTE att31 NUMERIC
@ATTRIBUTE att32 NUMERIC
@ATTRIBUTE att33 NUMERIC
@ATTRIBUTE att34 NUMERIC
@ATTRIBUTE att35 NUMERIC
@ATTRIBUTE att36 NUMERIC
@ATTRIBUTE att37 NUMERIC
@ATTRIBUTE att38 NUMERIC
@ATTRIBUTE att39 NUMERIC
@ATTRIBUTE att40 NUMERIC
@ATTRIBUTE att41 NUMERIC
@ATTRIBUTE att42 NUMERIC
@ATTRIBUTE att43 NUMERIC
@ATTRIBUTE att44 NUMERIC
@ATTRIBUTE att45 NUMERIC
@ATTRIBUTE att46 NUMERIC
@ATTRIBUTE att47 NUMERIC
@ATTRIBUTE att48 NUMERIC
@ATTRIBUTE att49 NUMERIC
@ATTRIBUTE att50 NUMERIC
@ATTRIBUTE att51 NUMERIC
@ATTRIBUTE att52 NUMERIC
@ATTRIBUTE att53 NUMERIC
@ATTRIBUTE att54 NUMERIC
@ATTRIBUTE att55 NUMERIC
@ATTRIBUTE att56 NUMERIC
@ATTRIBUTE att57 NUMERIC
@ATTRIBUTE att58 NUMERIC
@ATTRIBUTE att59 NUMERIC
@ATTRIBUTE att60 NUMERIC
@ATTRIBUTE att61 NUMERIC
@ATTRIBUTE att62 NUMERIC
@ATTRIBUTE att63 NUMERIC
@ATTRIBUTE att64 NUMERIC
@ATTRIBUTE att65 NUMERIC
@ATTRIBUTE att66 NUMERIC
@ATTRIBUTE att67 NUMERIC
@ATTRIBUTE att68 NUMERIC
@ATTRIBUTE att69 NUMERIC
@ATTRIBUTE att70 NUMERIC
@ATTRIBUTE att71 NUMERIC
@ATTRIBUTE att72 NUMERIC
@ATTRIBUTE att73 NUMERIC
@ATTRIBUTE att74 NUMERIC
@ATTRIBUTE att75 NUMERIC
@ATTRIBUTE att76 NUMERIC
@ATTRIBUTE att77 NUMERIC
@ATTRIBUTE att78 NUMERIC
@ATTRIBUTE att79 NUMERIC
@ATTRIBUTE att80 NUMERIC
@ATTRIBUTE att81 NUMERIC
@ATTRIBUTE att82 NUMERIC
@ATTRIBUTE target {2.0, 1.0}

@DATA
0.881,0.779,0.718,0.651,0.343,0.623,0.739,0.796,0.521,0.44,0.546,0.347,0.353,0.266,0.247,0.423,0.22,0.29,0.28,0.138,-0.14,0.134,0.213,-0.029,0.226,0.284,0.162,0.047,0.206,0.262,-0.377,-0.729,-2.007,-2.885,-3.025,-2.86,-2.957,-2.577,-1.814,-1.912,-1.997,-1.345,-1.226,-1.168,-0.497,-0.469,-0.433,-0.198,0.282,0.536,0.694,0.379,0.346,0.529,0.242,0.437,0.538,0.644,0.436,0.446,0.632,0.587,0.799,0.774,0.585,0.668,0.628,0.863,0.777,0.828,0.919,0.624,0.995,0.624,0.537,0.725,0.407,0.384,0.14,0.137,0.176,0.171,2.0
-0.233,-0.033,-0.104,-0.055,0.085,0.033,0.16,0.251,0.164,0.196,0.071,0.09,0.038,0.166,-0.067,-0.077,-0.141,-0.089,-0.304,-0.185,-0.354,-0.324,-0.251,-0.255,-0.425,-0.28,-0.168,-0.399,-0.028,0.804,-0.512,-0.593,-1.231,-2.982,-3.641,-2.79,-2.294,-2.193,-1.582,-1.88,-1.69,-1.569,-1.346,-1.094,-0.951,-0.748,-0.178,0.044,0.348,0.491,0.664,0.726,0.724,0.784,0.805,0.866,0.873,0.985,1.05,1.004,1.011,0.935,1.253,1.36,1.359,1.368,1.365,1.266,1.462,1.174,1.057,1.004,0.859,0.724,0.594,0.314,0.545,0.334,0.198,0.065,0.087,-0.002,1.0
-0.551,-0.569,-0.475,-0.37,-0.394,-0.179,-0.329,-0.104,-0.182,-0.107,-0.239,-0.401,-0.18,-0.376,-0.281,-0.358,-0.3,-0.312,-0.422,-0.297,-0.189,-0.375,-0.328,-0.32,-0.238,-0.287,-0.368,-0.369,-0.335,-0.473,-0.261,-0.615,-2.473,-2.617,-2.908,-2.263,-2.242,-1.789,-1.708,-1.626,-1.367,-0.931,-0.741,-0.597,-0.12,-0.023,0.107,0.166,0.634,0.432,0.887,0.769,0.822,0.755,0.939,1.096,0.973,1.093,1.231,1.216,1.334,1.34,1.19,1.358,1.495,1.457,1.476,1.359,1.267,1.719,1.1,0.91,0.871,0.702,0.564,0.584,0.59,0.774,0.42,0.324,0.492,0.366,2.0
-0.373,-0.226,-0.289,-0.176,0.232,-0.103,-0.062,-0.023,0.299,0.153,0.054,0.047,-0.127,-0.103,-0.331,-0.406,-0.325,-0.455,-0.337,-0.446,-0.437,-0.354,-0.561,-0.416,-0.498,-0.36,-0.454,-0.342,-0.049,0.026,-0.821,-1.633,-2.156,-2.737,-2.234,-2.38,-1.897,-1.822,-1.849,-1.653,-1.575,-1.384,-1.284,-0.168,-0.335,0.468,-0.048,0.662,0.434,0.618,0.721,0.782,0.831,0.869,0.792,0.717,1.058,1.033,1.172,1.225,1.507,1.303,1.323,1.404,1.499,1.448,1.303,1.348,1.185,1.319,1.037,0.961,0.822,0.693,0.607,0.562,0.346,0.488,0.527,0.342,0.212,0.333,1.0
0.297,0.027,-0.014,0.089,-0.016,0.015,0.271,0.093,0.251,0.247,0.249,0.273,0.298,0.171,0.002,0.081,-0.08,-0.028,-0.043,-0.075,-0.064,-0.111,-0.164,-0.234,-0.277,-0.218,-0.269,-0.288,-0.291,-0.298,-0.327,-0.022,0.396,-0.224,-1.006,-1.983,-2.545,-2.646,-2.911,-2.34,-2.026,-1.89,-1.97,-1.735,-1.656,-1.356,-1.094,-1.239,-0.595,-0.263,0.083,0.313,0.479,0.557,0.552,0.62,0.609,0.704,0.842,0.794,0.86,0.905,0.836,0.999,0.764,1.109,1.176,1.231,1.214,1.308,1.332,1.146,1.275,1.205,1.076,1.013,0.842,0.539,0.581,0.373,0.425,0.511,1.0
-0.385,-0.265,-0.443,-0.433,-0.145,-0.345,-0.639,0.162,-0.168,-0.111,0.011,0.128,0.01,0.026,-0.051,-0.198,-0.104,-0.181,-0.344,-0.269,-0.282,-0.398,-0.413,-0.463,-0.476,-0.422,-0.439,-0.46,-0.418,-0.378,0.019,-0.073,-0.145,-0.081,-0.819,-1.966,-2.448,-2.602,-2.437,-1.532,-1.921,-1.617,-1.486,-1.29,-1.154,-0.936,-0.594,0.123,-0.203,0.024,0.194,0.359,0.825,0.666,0.805,0.766,0.904,0.861,0.924,0.832,1.152,1.274,1.293,1.271,1.373,1.499,1.474,1.564,1.567,1.596,1.569,1.311,1.261,1.114,1.002,0.859,0.764,0.68,0.514,0.442,0.361,0.342,1.0
0.255,0.094,0.207,0.23,0.423,0.399,0.517,0.425,0.335,0.243,0.242,0.296,0.178,0.142,0.093,0.06,0.079,0.043,-0.042,0.042,-0.027,-0.028,-0.042,0.007,-0.03,-0.063,-0.186,0.044,-0.118,-1.007,-2.516,-3.139,-3.035,-2.985,-2.868,-2.134,-2.409,-1.764,-1.546,-1.241,-1.179,-0.467,-0.322,-0.14,-0.015,0.146,0.903,0.587,0.578,0.717,0.759,0.865,0.834,0.678,0.864,0.871,0.976,0.946,1.308,1.102,1.176,1.225,1.135,1.258,1.279,1.054,1.025,0.826,0.717,0.563,0.466,0.359,-0.132,0.111,0.068,0.05,-0.114,-0.495,-0.218,-0.252,-0.268,-0.336,2.0
-0.528,-0.546,-0.626,-0.448,-0.402,-0.298,-0.193,-0.207,-0.205,-0.271,-0.364,-0.308,-0.432,-0.162,-0.294,-0.331,-0.145,-0.18,-0.258,-0.348,-0.287,-0.318,-0.262,-0.3,-0.198,-0.141,-0.335,-0.175,-0.212,-0.216,0.844,-0.329,-2.217,-2.285,-2.652,-1.852,-2.471,-2.089,-1.767,-1.679,-1.28,-1.234,-1.081,-0.976,-0.589,0.459,0.05,0.106,0.407,0.584,0.624,0.894,0.817,0.818,0.772,0.899,0.933,0.855,0.995,0.986,1.03,1.159,1.104,1.126,1.221,1.214,1.321,1.422,1.309,1.327,1.482,1.174,1.264,1.078,0.971,0.884,0.7,0.717,0.569,0.565,0.524,0.555,2.0
0.066,0.018,0.191,0.24,0.233,0.431,0.372,0.425,0.346,0.016,0.185,0.187,0.276,0.045,0.094,0.017,0.088,-0.081,-0.119,-0.041,-0.148,-0.221,-0.18,-0.099,-0.219,-0.353,-0.203,0.026,0.253,-0.437,-2.178,-2.354,-2.754,-2.874,-2.497,-2.521,-1.94,-1.977,-1.838,-1.567,-1.375,-1.059,-0.574,-0.41,-0.208,0.39,0.202,0.468,0.759,0.471,0.445,0.619,0.657,0.767,0.617,0.751,0.632,0.869,0.966,0.903,0.972,1.057,1.127,1.172,1.193,1.187,1.211,1.141,1.156,1.021,0.85,0.926,0.796,0.643,0.534,0.118,0.283,0.212,0.175,0.017,-0.056,-0.009,1.0
0.966,0.056,-0.064,0.238,0.017,-0.047,-0.092,0.017,0.121,0.12,0.147,0.309,0.191,0.08,-0.009,0.087,-0.001,0.178,-0.123,-0.092,-0.118,-0.047,-0.279,-0.222,-0.278,-0.355,-0.303,-0.292,-0.49,-0.227,-0.372,-0.455,-0.709,0.162,-0.341,-1.356,-2.222,-2.379,-2.366,-2.481,-2.337,-2.1,-1.87,-1.825,-1.415,-1.464,-1.373,-1.145,-0.814,-0.534,-0.251,-0.271,0.309,0.625,0.643,0.706,0.757,0.73,0.825,0.837,0.879,0.927,0.975,0.978,1.128,1.216,1.221,1.307,1.496,1.348,1.462,1.264,0.922,1.423,0.943,1.024,0.89,0.709,0.617,0.061,0.346,0.236,1.0
