@RELATION SonyAIBORobotSurface1

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE att4 NUMERIC
@ATTRIBUTE att5 NUMERIC
@ATTRIBUTE att6 NUMERIC
@ATTRIBUTE att7 NUMERIC
@ATTRIBUTE att8 NUMERIC
@ATTRIBUTE att9 NUMERIC
@ATTRIBUTE att10 NUMERIC
@ATTRIBUTE att11 NUMERIC
@ATTRIBUTE att12 NUMERIC
@ATTRIBUTE att13 NUMERIC
@ATTRIBUTE att14 NUMERIC
@ATTRIBUTE att15 NUMERIC
@ATTRIBUTE att16 NUMERIC
@ATTRIBUTE att17 NUMERIC
@ATTRIBUTE att18 NUMERIC
@ATTRIBUTE att19 NUMERIC
@ATTRIBUTE att20 NUMERIC
@ATTRIBUTE att21 NUMERIC
@ATTRIBUTE att22 NUMERIC
@ATTRIBUTE att23 NUMERIC
@ATTRIBUTE att24 NUMERIC
@ATTRIBUTE att25 NUMERIC
@ATTRIBUTE att26 NUMERIC
@ATTRIBUTE att27 NUMERIC
@ATTRIBUTE att28 NUMERIC
@ATTRIBUTE att29 NUMERIC
@ATTRIBUTE att30 NUMERIC
@ATTRIBUTE att31 NUMERIC
@ATTRIBUTE att32 NUMERIC
@ATTRIBUTE att33 NUMERIC
@ATTRIBUTE att34 NUMERIC
@ATTRIBUTE att35 NUMERIC
@ATTRIBUTE att36 NUMERIC
@ATTRIBUTE att37 NUMERIC
@ATTRIBUTE att38 NUMERIC
@ATTRIBUTE att39 NUMERIC
@ATTRIBUTE att40 NUMERIC
@ATTRIBUTE att41 NUMERIC
@ATTRIBUTE att42 NUMERIC
@ATTRIBUTE att43 NUMERIC
@ATTRIBUTE att44 NUMERIC
@ATTRIBUTE att45 NUMERIC
@ATTRIBUTE att46 NUMERIC
@ATTRIBUTE att47 NUMERIC
@ATTRIBUTE att48 NUMERIC
@ATTRIBUTE att49 NUMERIC
@ATTRIBUTE att50 NUMERIC
@ATTRIBUTE att51 NUMERIC
@ATTRIBUTE att52 NUMERIC
@ATTRIBUTE att53 NUMERIC
@ATTRIBUTE att54 NUMERIC
@ATTRIBUTE att55 NUMERIC
@ATTRIBUTE att56 NUMERIC
@ATTRIBUTE att57 NUMERIC
@ATTRIBUTE att58 NUMERIC
@ATTRIBUTE att59 NUMERIC
@ATTRIBUTE att60 NUMERIC
@ATTRIBUTE att61 NUMERIC
@ATTRIBUTE att62 NUMERIC
@ATTRIBUTE att63 NUMERIC
@ATTRIBUTE att64 NUMERIC
@ATTRIBUTE att65 NUMERIC
@ATTRIBUTE att66 NUMERIC
@ATTRIBUTE att67 NUMERIC
@ATTRIBUTE att68 NUMERIC
@ATTRIBUTE att69 NUMERIC
@ATTRIBUTE att70 NUMERIC
@ATTRIBUTE target {2.0, 1.0}

@DATA
1.107,2.548,0.712,2.248,1.848,0.189,-1.408,-1.681,-0.903,-0.673,-1.056,-1.566,-1.241,-1.945,-2.453,-2.029,-2.389,-0.301,-0.386,-0.359,0.491,-0.436,0.794,0.338,0.778,0.931,0.769,1.227,0.722,0.685,0.713,0.388,0.344,-0.168,0.485,0.116,0.583,0.109,0.623,0.73,0.235,1.66,1.96,1.433,-0.05,-0.992,-1.015,-1.787,-1.047,-0.914,-1.228,-0.458,-1.806,-1.064,-1.55,-0.732,0.352,0.129,-0.051,-0.175,-0.05,0.443,0.319,0.165,0.967,0.238,-0.983,0.513,-0.158,0.328,2.0
-0.989,-1.596,2.587,3.403,2.294,1.977,-0.641,-1.019,-0.9,0.411,0.791,0.975,-1.045,-2.195,-2.201,-0.876,-1.295,-0.244,-0.856,-1.136,-0.349,0.051,0.23,1.498,0.982,1.399,0.789,0.532,0.695,0.803,1.202,0.731,0.521,-0.521,0.475,0.49,0.11,-0.129,0.573,1.092,-0.928,0.202,0.451,2.719,-0.364,-1.199,-2.12,-1.852,-0.322,1.277,0.309,-1.184,-1.992,-1.829,-2.516,0.799,0.35,0.643,0.249,0.085,-0.098,-0.135,-0.044,-0.335,-0.377,-0.045,-0.546,0.349,-0.065,-0.327,1.0
0.827,1.282,2.151,2.512,2.169,1.892,0.856,0.062,-1.551,-1.852,-0.881,-0.495,-1.226,-1.354,-2.094,-0.986,-1.151,-0.496,0.426,0.072,0.094,0.406,0.642,0.752,0.665,1.355,0.401,0.452,-0.105,-0.536,0.088,-0.155,-0.063,0.026,0.115,0.189,-0.34,0.557,0.654,1.224,0.262,0.116,0.54,1.932,1.52,0.185,-0.627,-1.789,-1.669,-1.524,0.441,0.053,-0.057,-1.488,-1.578,-1.441,-1.547,0.704,0.581,0.745,0.295,0.191,0.222,-0.353,-0.713,-0.528,-0.811,-0.637,-0.303,0.005,2.0
0.685,1.176,1.927,2.104,2.111,0.005,0.447,-1.673,-2.788,-2.234,-0.459,-0.249,-0.203,-1.182,-1.587,-2.672,-1.379,-1.074,-0.489,0.026,-0.052,0.615,0.023,0.576,0.464,0.433,0.289,0.378,1.089,0.959,0.101,0.252,-0.427,-0.31,0.255,-0.09,0.262,0.791,0.927,1.147,-0.866,0.406,1.763,1.321,1.793,1.526,-0.949,-0.62,-1.281,-1.76,-0.7,-0.429,-1.639,-1.87,-1.717,-1.707,-0.511,-1.906,0.468,0.266,0.152,-0.069,0.857,0.335,0.242,-0.377,-0.63,1.032,0.075,-0.393,2.0
0.712,1.613,0.557,1.671,2.019,-1.459,-0.605,-0.921,-0.915,-0.859,-0.671,-0.981,-1.877,-2.046,-1.841,-0.896,-0.562,-0.823,-1.55,-0.333,0.391,0.855,1.398,0.181,-0.58,-0.236,0.242,0.635,0.382,-0.03,-0.031,0.103,0.14,0.325,0.35,-0.329,0.319,0.31,0.789,0.772,-0.832,0.334,-0.091,1.838,2.433,1.269,0.028,-0.686,-0.074,-0.569,0.161,0.196,-0.252,-1.906,-2.447,-3.724,-0.764,-0.407,0.151,-0.226,-0.064,0.545,1.011,0.998,1.087,1.085,0.554,0.003,-0.383,0.16,1.0
0.83,2.013,2.529,3.068,1.691,1.111,-0.723,-0.981,-1.328,-2.232,-0.7,-1.428,-1.46,-1.248,-1.139,-1.243,-1.073,-0.687,-0.185,0.091,0.406,0.797,0.326,0.201,0.275,1.122,1.271,-0.619,0.128,0.407,0.329,0.217,0.441,0.155,0.379,-0.274,0.34,0.858,0.794,-0.218,1.215,2.504,1.798,1.272,-0.222,-0.938,-0.773,-1.197,-1.25,-0.876,-0.343,-2.041,-1.733,-1.819,-1.596,-0.673,0.067,1.241,-0.266,-0.591,0.177,0.261,0.785,0.595,-0.428,-0.179,-0.481,-0.161,0.086,0.036,2.0
1.831,2.865,2.644,0.791,0.817,-1.379,-0.939,-1.364,-1.604,-1.122,-0.846,-2.518,-2.215,-1.664,-1.9,-1.28,-0.974,-0.859,-0.551,-0.18,-0.311,0.554,0.02,0.704,0.389,0.33,0.537,0.862,-0.296,-0.323,1.955,0.28,0.362,-1.047,-0.061,-0.957,1.033,0.97,1.094,1.006,1.057,0.551,2.035,1.406,-0.943,-0.094,-3.113,-1.716,-0.831,-0.996,0.038,-0.44,-1.616,-2.044,-1.465,-0.383,0.322,-0.546,0.266,0.49,0.974,0.47,0.558,0.432,-0.379,-0.26,0.493,1.058,0.48,0.607,2.0
1.274,1.665,2.056,2.241,-1.073,0.272,-0.593,-1.379,-2.178,-1.016,-0.669,-3.765,-1.599,-1.702,-1.831,-1.53,-1.188,-1.38,-0.268,-0.287,-0.047,0.696,0.415,2.109,0.21,0.203,0.062,0.282,0.299,0.475,0.257,-0.335,0.056,0.242,-0.293,-0.454,0.023,0.889,0.216,1.05,1.312,1.99,1.149,1.011,-0.448,-0.559,-1.447,-0.657,-2.219,-1.091,-0.7,-1.112,-2.107,-1.942,-1.132,-0.887,0.534,0.911,-0.558,0.529,0.426,0.489,0.712,0.641,0.511,0.186,0.854,0.426,0.857,-0.765,2.0
0.973,1.712,2.496,2.322,0.87,-0.821,-1.011,-0.536,-1.683,-0.87,-0.722,-1.117,-2.336,-2.298,-1.193,-1.069,-0.924,-0.847,-0.621,0.073,-0.05,-0.077,-0.076,0.62,0.476,0.631,0.213,0.52,0.418,-0.097,0.341,1.473,0.421,0.087,-0.067,0.592,0.242,0.477,-0.552,0.33,0.711,1.971,2.708,1.726,0.193,-1.049,-1.153,-1.059,-0.466,0.037,-0.087,-1.121,-0.932,-1.826,-1.962,-0.518,0.61,0.494,-0.028,0.673,0.293,1.623,0.767,0.651,0.313,0.392,0.098,0.151,0.99,-0.177,2.0
-0.411,-0.683,0.378,1.265,1.205,-0.595,-1.851,-2.227,-1.558,-2.388,1.109,0.419,-1.082,-3.03,-1.615,-1.021,0.545,-0.105,0.516,0.322,0.748,1.321,1.835,1.268,1.38,0.747,0.994,0.293,0.59,0.724,0.312,-0.091,0.306,-0.046,-0.725,-0.438,0.144,-1.543,-1.402,-0.195,1.88,0.209,2.079,-0.984,-2.815,-0.615,0.579,0.83,-0.32,-0.695,-1.566,-1.763,-2.415,-2.473,-0.727,1.461,0.654,2.102,1.104,-0.238,0.094,0.171,0.035,0.113,0.537,0.664,0.384,0.212,0.378,-0.336,1.0
