@RELATION UMD

@ATTRIBUTE att1_err NUMERIC
@ATTRIBUTE att2_err NUMERIC
@ATTRIBUTE att3_err NUMERIC
@ATTRIBUTE att4_err NUMERIC
@ATTRIBUTE att5_err NUMERIC
@ATTRIBUTE att6_err NUMERIC
@ATTRIBUTE att7_err NUMERIC
@ATTRIBUTE att8_err NUMERIC
@ATTRIBUTE att9_err NUMERIC
@ATTRIBUTE att10_err NUMERIC
@ATTRIBUTE att11_err NUMERIC
@ATTRIBUTE att12_err NUMERIC
@ATTRIBUTE att13_err NUMERIC
@ATTRIBUTE att14_err NUMERIC
@ATTRIBUTE att15_err NUMERIC
@ATTRIBUTE att16_err NUMERIC
@ATTRIBUTE att17_err NUMERIC
@ATTRIBUTE att18_err NUMERIC
@ATTRIBUTE att19_err NUMERIC
@ATTRIBUTE att20_err NUMERIC
@ATTRIBUTE att21_err NUMERIC
@ATTRIBUTE att22_err NUMERIC
@ATTRIBUTE att23_err NUMERIC
@ATTRIBUTE att24_err NUMERIC
@ATTRIBUTE att25_err NUMERIC
@ATTRIBUTE att26_err NUMERIC
@ATTRIBUTE att27_err NUMERIC
@ATTRIBUTE att28_err NUMERIC
@ATTRIBUTE att29_err NUMERIC
@ATTRIBUTE att30_err NUMERIC
@ATTRIBUTE att31_err NUMERIC
@ATTRIBUTE att32_err NUMERIC
@ATTRIBUTE att33_err NUMERIC
@ATTRIBUTE att34_err NUMERIC
@ATTRIBUTE att35_err NUMERIC
@ATTRIBUTE att36_err NUMERIC
@ATTRIBUTE att37_err NUMERIC
@ATTRIBUTE att38_err NUMERIC
@ATTRIBUTE att39_err NUMERIC
@ATTRIBUTE att40_err NUMERIC
@ATTRIBUTE att41_err NUMERIC
@ATTRIBUTE att42_err NUMERIC
@ATTRIBUTE att43_err NUMERIC
@ATTRIBUTE att44_err NUMERIC
@ATTRIBUTE att45_err NUMERIC
@ATTRIBUTE att46_err NUMERIC
@ATTRIBUTE att47_err NUMERIC
@ATTRIBUTE att48_err NUMERIC
@ATTRIBUTE att49_err NUMERIC
@ATTRIBUTE att50_err NUMERIC
@ATTRIBUTE att51_err NUMERIC
@ATTRIBUTE att52_err NUMERIC
@ATTRIBUTE att53_err NUMERIC
@ATTRIBUTE att54_err NUMERIC
@ATTRIBUTE att55_err NUMERIC
@ATTRIBUTE att56_err NUMERIC
@ATTRIBUTE att57_err NUMERIC
@ATTRIBUTE att58_err NUMERIC
@ATTRIBUTE att59_err NUMERIC
@ATTRIBUTE att60_err NUMERIC
@ATTRIBUTE att61_err NUMERIC
@ATTRIBUTE att62_err NUMERIC
@ATTRIBUTE att63_err NUMERIC
@ATTRIBUTE att64_err NUMERIC
@ATTRIBUTE att65_err NUMERIC
@ATTRIBUTE att66_err NUMERIC
@ATTRIBUTE att67_err NUMERIC
@ATTRIBUTE att68_err NUMERIC
@ATTRIBUTE att69_err NUMERIC
@ATTRIBUTE att70_err NUMERIC
@ATTRIBUTE att71_err NUMERIC
@ATTRIBUTE att72_err NUMERIC
@ATTRIBUTE att73_err NUMERIC
@ATTRIBUTE att74_err NUMERIC
@ATTRIBUTE att75_err NUMERIC
@ATTRIBUTE att76_err NUMERIC
@ATTRIBUTE att77_err NUMERIC
@ATTRIBUTE att78_err NUMERIC
@ATTRIBUTE att79_err NUMERIC
@ATTRIBUTE att80_err NUMERIC
@ATTRIBUTE att81_err NUMERIC
@ATTRIBUTE att82_err NUMERIC
@ATTRIBUTE att83_err NUMERIC
@ATTRIBUTE att84_err NUMERIC
@ATTRIBUTE att85_err NUMERIC
@ATTRIBUTE att86_err NUMERIC
@ATTRIBUTE att87_err NUMERIC
@ATTRIBUTE att88_err NUMERIC
@ATTRIBUTE att89_err NUMERIC
@ATTRIBUTE att90_err NUMERIC
@ATTRIBUTE att91_err NUMERIC
@ATTRIBUTE att92_err NUMERIC
@ATTRIBUTE att93_err NUMERIC
@ATTRIBUTE att94_err NUMERIC
@ATTRIBUTE att95_err NUMERIC
@ATTRIBUTE att96_err NUMERIC
@ATTRIBUTE att97_err NUMERIC
@ATTRIBUTE att98_err NUMERIC
@ATTRIBUTE att99_err NUMERIC
@ATTRIBUTE att100_err NUMERIC
@ATTRIBUTE att101_err NUMERIC
@ATTRIBUTE att102_err NUMERIC
@ATTRIBUTE att103_err NUMERIC
@ATTRIBUTE att104_err NUMERIC
@ATTRIBUTE att105_err NUMERIC
@ATTRIBUTE att106_err NUMERIC
@ATTRIBUTE att107_err NUMERIC
@ATTRIBUTE att108_err NUMERIC
@ATTRIBUTE att109_err NUMERIC
@ATTRIBUTE att110_err NUMERIC
@ATTRIBUTE att111_err NUMERIC
@ATTRIBUTE att112_err NUMERIC
@ATTRIBUTE att113_err NUMERIC
@ATTRIBUTE att114_err NUMERIC
@ATTRIBUTE att115_err NUMERIC
@ATTRIBUTE att116_err NUMERIC
@ATTRIBUTE att117_err NUMERIC
@ATTRIBUTE att118_err NUMERIC
@ATTRIBUTE att119_err NUMERIC
@ATTRIBUTE att120_err NUMERIC
@ATTRIBUTE att121_err NUMERIC
@ATTRIBUTE att122_err NUMERIC
@ATTRIBUTE att123_err NUMERIC
@ATTRIBUTE att124_err NUMERIC
@ATTRIBUTE att125_err NUMERIC
@ATTRIBUTE att126_err NUMERIC
@ATTRIBUTE att127_err NUMERIC
@ATTRIBUTE att128_err NUMERIC
@ATTRIBUTE att129_err NUMERIC
@ATTRIBUTE att130_err NUMERIC
@ATTRIBUTE att131_err NUMERIC
@ATTRIBUTE att132_err NUMERIC
@ATTRIBUTE att133_err NUMERIC
@ATTRIBUTE att134_err NUMERIC
@ATTRIBUTE att135_err NUMERIC
@ATTRIBUTE att136_err NUMERIC
@ATTRIBUTE att137_err NUMERIC
@ATTRIBUTE att138_err NUMERIC
@ATTRIBUTE att139_err NUMERIC
@ATTRIBUTE att140_err NUMERIC
@ATTRIBUTE att141_err NUMERIC
@ATTRIBUTE att142_err NUMERIC
@ATTRIBUTE att143_err NUMERIC
@ATTRIBUTE att144_err NUMERIC
@ATTRIBUTE att145_err NUMERIC
@ATTRIBUTE att146_err NUMERIC
@ATTRIBUTE att147_err NUMERIC
@ATTRIBUTE att148_err NUMERIC
@ATTRIBUTE att149_err NUMERIC
@ATTRIBUTE att150_err NUMERIC

@DATA
0.036,0.008,0.001,0.036,0.01,0.027,0.017,0.026,0.012,0.012,0.014,0.025,0.015,0.076,0.004,0.017,0.077,0.323,1.027,0.378,0.992,1.371,0.1,0.198,0.676,1.009,0.696,0.01,0.047,0.029,0.054,0.235,0.078,0.013,0.005,0.031,0.001,0.032,0.0,0.025,0.016,0.121,0.087,0.181,0.246,0.182,0.588,0.006,0.153,0.375,2.674,1.291,0.731,1.115,0.997,1.193,3.069,1.794,2.102,1.39,1.865,1.919,1.663,0.562,2.979,1.038,0.398,5.2,1.014,2.481,4.355,1.844,3.801,0.742,1.376,1.157,2.217,3.016,1.768,0.367,1.728,2.801,1.432,0.255,2.36,1.614,2.035,3.026,2.803,0.792,0.85,2.373,3.203,0.376,1.873,0.367,1.439,1.26,1.948,0.551,3.249,2.549,3.08,2.119,1.685,1.648,0.606,1.325,0.745,0.728,0.017,0.356,0.919,0.398,0.101,0.389,0.471,0.024,0.613,0.187,0.228,1.293,0.08,0.592,1.865,0.185,0.773,0.467,0.521,0.434,0.067,0.126,0.017,0.126,0.05,0.041,0.021,0.017,0.058,0.031,0.027,0.005,0.021,0.035,0.07,0.001,0.006,0.006,0.009,0.001
0.05,0.015,0.018,0.01,0.012,0.005,0.025,0.025,0.008,0.038,0.004,0.054,0.003,0.001,0.028,0.028,0.014,0.054,1.242,1.101,0.688,1.464,2.076,0.502,0.446,0.09,1.215,0.185,0.098,0.105,0.375,0.051,0.056,0.073,0.019,0.019,0.02,0.006,0.007,0.029,0.005,0.156,0.004,0.137,0.196,0.802,0.092,0.272,0.678,2.472,1.594,0.903,0.682,0.583,3.828,0.853,1.202,2.129,4.687,0.231,1.38,0.266,4.183,0.489,5.434,0.683,4.255,1.687,2.111,1.476,5.755,2.257,3.229,2.873,2.979,2.352,1.45,0.723,1.295,0.282,0.22,1.99,2.055,0.283,2.523,3.177,0.371,2.476,2.953,2.133,1.639,2.273,0.666,0.151,1.474,0.477,2.991,1.106,2.331,0.183,0.736,0.425,0.24,0.988,0.134,1.756,2.398,1.756,1.057,2.541,1.216,0.929,0.269,0.095,0.95,0.556,0.306,0.095,0.63,0.074,0.25,0.752,0.296,0.732,0.748,1.894,0.342,1.058,0.259,0.603,0.016,0.051,0.026,0.085,0.007,0.011,0.008,0.042,0.014,0.009,0.013,0.025,0.08,0.01,0.03,0.026,0.033,0.049,0.001,0.001
0.019,0.051,0.053,0.019,0.026,0.022,0.02,0.028,0.025,0.071,0.021,0.041,0.028,0.019,0.008,0.097,0.005,0.232,1.19,1.085,1.489,0.404,1.347,1.78,0.327,0.726,0.672,1.011,0.201,0.226,0.128,0.084,0.036,0.017,0.045,0.038,0.008,0.032,0.005,0.029,0.035,0.058,0.007,0.145,0.318,0.334,0.072,0.403,0.249,0.487,1.064,0.343,1.37,0.075,1.153,1.534,1.165,0.703,0.964,2.597,2.729,0.147,1.33,0.162,0.922,2.847,3.123,0.976,0.7,0.465,0.005,3.202,3.239,2.364,0.275,3.739,0.368,1.56,2.774,0.862,0.426,1.678,0.392,0.574,1.807,1.242,1.004,2.211,4.439,1.938,1.052,0.087,0.064,1.706,0.353,0.382,0.333,0.874,0.812,0.734,2.184,1.047,0.32,0.281,0.2,1.115,0.07,1.342,0.913,1.034,0.028,2.108,0.737,0.205,0.761,0.249,0.195,0.25,0.011,1.046,0.308,0.665,0.243,0.926,0.72,0.238,0.43,0.107,1.595,0.533,0.014,0.312,0.254,0.096,0.074,0.032,0.012,0.023,0.015,0.008,0.019,0.027,0.042,0.034,0.051,0.022,0.014,0.068,0.031,0.049
0.024,0.037,0.004,0.008,0.061,0.075,0.01,0.058,0.008,0.013,0.057,0.009,0.041,0.02,0.033,0.023,0.185,0.163,1.075,0.883,0.001,0.673,0.577,1.718,0.651,0.312,0.273,0.05,0.019,0.008,0.012,0.073,0.036,0.045,0.011,0.058,0.048,0.012,0.022,0.018,0.028,0.007,0.034,0.286,0.406,0.174,0.723,0.955,0.433,0.194,0.515,2.359,1.602,0.658,1.82,1.104,0.806,2.782,1.85,0.842,0.298,1.617,4.476,1.539,2.004,0.952,4.785,0.982,0.687,2.476,1.058,1.59,1.559,1.389,0.122,2.571,2.753,1.326,0.674,0.018,0.01,1.118,2.818,1.738,1.489,0.538,1.369,1.3,0.831,0.302,2.29,1.091,0.184,0.504,3.11,2.915,0.081,0.658,3.25,0.473,0.211,2.318,2.426,1.725,0.077,1.854,0.057,0.782,0.946,1.075,2.236,0.734,1.179,0.246,0.903,0.196,0.464,0.083,0.409,0.035,0.28,0.753,1.162,0.384,1.139,0.267,0.37,0.05,0.023,0.485,0.262,0.099,0.026,0.107,0.081,0.005,0.035,0.031,0.003,0.028,0.018,0.028,0.004,0.018,0.015,0.002,0.055,0.025,0.005,0.039
0.042,0.002,0.047,0.001,0.052,0.005,0.007,0.026,0.052,0.04,0.014,0.005,0.008,0.019,0.011,0.014,0.078,0.813,0.345,0.621,0.723,1.193,0.101,0.548,0.283,0.466,0.605,0.222,0.149,0.356,0.169,0.051,0.069,0.0,0.034,0.004,0.026,0.0,0.006,0.002,0.008,0.044,0.184,0.191,0.229,0.335,0.077,0.008,0.02,0.23,0.205,0.52,0.625,0.386,0.089,1.3,1.0,0.841,1.089,0.511,1.373,3.738,1.399,2.001,0.855,2.455,0.604,1.936,1.86,0.836,0.858,1.244,3.244,2.899,4.654,0.631,3.125,1.13,2.5,0.168,2.426,0.29,2.263,0.933,1.627,0.422,0.926,3.927,0.486,1.554,0.379,0.356,0.735,2.29,0.305,0.788,0.205,0.189,0.637,0.223,1.457,0.582,1.401,0.799,0.4,0.542,0.165,1.703,1.136,0.427,1.214,0.446,1.567,1.668,0.543,0.236,0.116,0.224,0.132,0.391,0.831,0.014,0.189,0.95,0.5,0.635,1.93,0.051,1.029,0.288,0.284,0.226,0.287,0.048,0.056,0.021,0.012,0.028,0.02,0.005,0.046,0.001,0.004,0.023,0.035,0.007,0.05,0.023,0.027,0.026
0.004,0.023,0.028,0.034,0.03,0.033,0.021,0.02,0.034,0.042,0.058,0.013,0.033,0.047,0.03,0.042,0.092,0.365,0.512,0.19,1.48,0.44,3.311,0.106,0.331,0.886,1.14,0.253,0.594,0.263,0.077,0.159,0.041,0.024,0.025,0.021,0.018,0.015,0.023,0.032,0.008,0.003,0.264,0.124,0.207,0.695,0.133,0.038,1.81,2.307,0.695,0.972,0.761,2.393,3.164,0.122,2.298,1.698,0.111,2.052,1.128,1.385,2.239,1.515,3.602,0.215,0.134,1.258,1.974,2.011,2.385,1.549,2.703,2.0,3.287,0.318,0.91,2.052,1.129,1.359,1.913,0.447,0.834,1.733,0.419,1.531,3.999,3.861,2.416,2.378,2.114,2.41,5.084,0.546,1.097,1.557,2.197,1.604,1.598,0.436,0.122,0.631,0.379,0.849,0.753,0.602,0.45,2.7,1.001,0.017,0.723,1.116,0.49,0.714,0.63,0.017,0.139,0.211,0.18,0.713,0.896,0.174,0.676,2.095,0.036,0.4,1.032,1.625,0.269,0.289,0.277,0.052,0.387,0.118,0.0,0.014,0.04,0.01,0.065,0.02,0.011,0.009,0.005,0.025,0.008,0.001,0.022,0.031,0.037,0.008
0.008,0.008,0.011,0.067,0.027,0.026,0.011,0.009,0.058,0.01,0.023,0.004,0.019,0.014,0.082,0.077,0.002,0.226,0.31,0.931,1.757,1.373,0.235,1.272,0.052,0.731,0.248,0.481,0.841,0.024,0.152,0.084,0.071,0.043,0.024,0.018,0.012,0.014,0.009,0.026,0.024,0.075,0.263,0.445,0.002,0.23,0.009,0.336,0.187,0.661,1.15,2.877,1.546,1.074,0.62,0.951,1.755,4.404,2.585,3.822,3.847,2.028,1.859,0.686,4.106,2.017,0.77,1.067,3.268,0.357,4.081,4.983,0.753,2.166,1.592,0.134,3.505,2.847,2.606,3.455,0.018,0.905,0.133,2.115,1.135,0.2,2.146,0.691,2.287,1.244,0.491,1.006,1.953,0.388,0.302,0.483,1.19,1.546,3.125,1.182,2.035,1.485,1.26,0.732,0.06,2.068,0.417,0.99,1.129,1.399,0.389,0.554,0.716,0.822,0.314,0.687,0.101,0.014,0.141,0.166,0.174,0.115,0.43,0.778,2.339,0.628,0.288,1.318,1.176,0.467,0.162,0.393,0.121,0.087,0.089,0.045,0.003,0.003,0.048,0.027,0.038,0.022,0.007,0.04,0.038,0.021,0.019,0.026,0.031,0.032
0.05,0.028,0.001,0.004,0.014,0.009,0.039,0.024,0.04,0.021,0.043,0.006,0.014,0.02,0.012,0.028,0.118,0.337,0.202,0.075,2.038,2.006,0.561,1.107,0.516,0.673,0.398,0.485,0.228,0.286,0.16,0.209,0.025,0.011,0.006,0.018,0.005,0.002,0.006,0.018,0.029,0.092,0.032,0.003,0.149,0.059,0.387,0.794,1.745,0.926,1.23,1.153,0.512,0.123,3.706,0.906,0.743,0.512,0.24,2.038,1.757,0.701,3.836,3.885,4.413,2.091,1.298,2.473,0.538,0.367,0.642,0.781,0.982,3.663,4.212,1.149,0.717,1.093,3.2,0.476,0.12,0.024,1.207,1.631,0.971,2.16,2.496,0.58,0.664,1.745,1.107,2.75,0.757,1.712,2.432,3.632,1.288,2.217,3.082,1.273,0.173,2.224,0.302,0.448,0.968,1.452,0.031,1.748,2.073,1.178,0.443,1.235,0.915,0.21,0.353,0.032,0.105,0.507,0.252,0.136,0.266,0.461,1.358,0.085,0.04,1.306,0.305,0.069,0.102,0.592,0.091,0.144,0.104,0.074,0.015,0.042,0.021,0.033,0.008,0.006,0.027,0.004,0.025,0.054,0.01,0.018,0.016,0.013,0.07,0.068
0.025,0.042,0.007,0.022,0.029,0.019,0.049,0.011,0.038,0.013,0.036,0.042,0.005,0.021,0.049,0.066,0.021,0.136,0.279,1.285,0.358,0.392,0.276,0.138,0.547,0.444,1.55,0.548,0.311,0.166,0.027,0.001,0.067,0.026,0.015,0.003,0.074,0.015,0.035,0.032,0.036,0.049,0.18,0.019,0.182,0.185,0.456,0.888,0.062,0.304,0.829,0.852,0.925,0.319,1.36,1.291,1.476,0.177,5.271,0.376,3.082,0.556,1.949,2.066,3.831,0.158,1.713,2.467,4.648,2.48,2.221,2.845,2.221,0.614,0.426,1.373,4.157,0.011,1.409,1.995,0.44,2.478,3.986,5.048,3.227,0.987,1.121,1.268,0.451,0.478,1.438,0.101,2.948,1.249,0.546,1.009,1.219,0.03,0.319,1.437,0.904,0.886,0.051,1.651,0.234,0.769,0.323,0.481,0.635,1.179,0.643,2.29,0.018,1.324,0.94,0.077,0.3,0.013,0.056,0.787,0.027,0.742,0.585,0.806,1.623,0.324,1.426,0.693,0.668,0.245,0.335,0.373,0.05,0.065,0.016,0.011,0.03,0.013,0.015,0.026,0.023,0.029,0.023,0.009,0.007,0.018,0.021,0.029,0.049,0.036
0.044,0.034,0.053,0.032,0.019,0.019,0.03,0.02,0.013,0.086,0.041,0.029,0.027,0.04,0.081,0.018,0.215,0.091,0.539,1.1,0.619,0.63,0.048,0.715,2.642,1.137,0.604,0.156,0.084,0.173,0.04,0.01,0.039,0.001,0.065,0.015,0.062,0.017,0.03,0.033,0.027,0.001,0.062,0.278,0.107,0.864,0.073,0.486,0.057,0.061,0.658,1.698,0.631,0.017,0.717,0.707,2.151,0.892,1.541,1.826,4.203,3.049,1.902,2.616,3.828,0.194,4.233,2.302,2.687,2.589,0.231,0.795,2.537,0.817,1.997,0.776,0.584,1.728,1.185,3.416,0.529,3.474,0.751,2.883,5.806,3.049,2.483,1.812,0.571,1.746,0.887,2.654,2.195,2.109,0.298,0.797,0.287,1.683,3.893,2.26,3.422,0.568,1.046,1.213,1.499,0.97,2.316,0.304,0.199,0.852,1.371,0.3,0.765,0.403,1.393,0.52,0.157,0.359,0.03,0.85,0.537,0.257,0.484,1.023,0.52,0.383,1.512,0.058,0.248,0.323,0.547,0.118,0.339,0.011,0.06,0.003,0.024,0.073,0.034,0.032,0.021,0.021,0.045,0.019,0.019,0.036,0.024,0.026,0.013,0.042
