@RELATION UMD

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE att4 NUMERIC
@ATTRIBUTE att5 NUMERIC
@ATTRIBUTE att6 NUMERIC
@ATTRIBUTE att7 NUMERIC
@ATTRIBUTE att8 NUMERIC
@ATTRIBUTE att9 NUMERIC
@ATTRIBUTE att10 NUMERIC
@ATTRIBUTE att11 NUMERIC
@ATTRIBUTE att12 NUMERIC
@ATTRIBUTE att13 NUMERIC
@ATTRIBUTE att14 NUMERIC
@ATTRIBUTE att15 NUMERIC
@ATTRIBUTE att16 NUMERIC
@ATTRIBUTE att17 NUMERIC
@ATTRIBUTE att18 NUMERIC
@ATTRIBUTE att19 NUMERIC
@ATTRIBUTE att20 NUMERIC
@ATTRIBUTE att21 NUMERIC
@ATTRIBUTE att22 NUMERIC
@ATTRIBUTE att23 NUMERIC
@ATTRIBUTE att24 NUMERIC
@ATTRIBUTE att25 NUMERIC
@ATTRIBUTE att26 NUMERIC
@ATTRIBUTE att27 NUMERIC
@ATTRIBUTE att28 NUMERIC
@ATTRIBUTE att29 NUMERIC
@ATTRIBUTE att30 NUMERIC
@ATTRIBUTE att31 NUMERIC
@ATTRIBUTE att32 NUMERIC
@ATTRIBUTE att33 NUMERIC
@ATTRIBUTE att34 NUMERIC
@ATTRIBUTE att35 NUMERIC
@ATTRIBUTE att36 NUMERIC
@ATTRIBUTE att37 NUMERIC
@ATTRIBUTE att38 NUMERIC
@ATTRIBUTE att39 NUMERIC
@ATTRIBUTE att40 NUMERIC
@ATTRIBUTE att41 NUMERIC
@ATTRIBUTE att42 NUMERIC
@ATTRIBUTE att43 NUMERIC
@ATTRIBUTE att44 NUMERIC
@ATTRIBUTE att45 NUMERIC
@ATTRIBUTE att46 NUMERIC
@ATTRIBUTE att47 NUMERIC
@ATTRIBUTE att48 NUMERIC
@ATTRIBUTE att49 NUMERIC
@ATTRIBUTE att50 NUMERIC
@ATTRIBUTE att51 NUMERIC
@ATTRIBUTE att52 NUMERIC
@ATTRIBUTE att53 NUMERIC
@ATTRIBUTE att54 NUMERIC
@ATTRIBUTE att55 NUMERIC
@ATTRIBUTE att56 NUMERIC
@ATTRIBUTE att57 NUMERIC
@ATTRIBUTE att58 NUMERIC
@ATTRIBUTE att59 NUMERIC
@ATTRIBUTE att60 NUMERIC
@ATTRIBUTE att61 NUMERIC
@ATTRIBUTE att62 NUMERIC
@ATTRIBUTE att63 NUMERIC
@ATTRIBUTE att64 NUMERIC
@ATTRIBUTE att65 NUMERIC
@ATTRIBUTE att66 NUMERIC
@ATTRIBUTE att67 NUMERIC
@ATTRIBUTE att68 NUMERIC
@ATTRIBUTE att69 NUMERIC
@ATTRIBUTE att70 NUMERIC
@ATTRIBUTE att71 NUMERIC
@ATTRIBUTE att72 NUMERIC
@ATTRIBUTE att73 NUMERIC
@ATTRIBUTE att74 NUMERIC
@ATTRIBUTE att75 NUMERIC
@ATTRIBUTE att76 NUMERIC
@ATTRIBUTE att77 NUMERIC
@ATTRIBUTE att78 NUMERIC
@ATTRIBUTE att79 NUMERIC
@ATTRIBUTE att80 NUMERIC
@ATTRIBUTE att81 NUMERIC
@ATTRIBUTE att82 NUMERIC
@ATTRIBUTE att83 NUMERIC
@ATTRIBUTE att84 NUMERIC
@ATTRIBUTE att85 NUMERIC
@ATTRIBUTE att86 NUMERIC
@ATTRIBUTE att87 NUMERIC
@ATTRIBUTE att88 NUMERIC
@ATTRIBUTE att89 NUMERIC
@ATTRIBUTE att90 NUMERIC
@ATTRIBUTE att91 NUMERIC
@ATTRIBUTE att92 NUMERIC
@ATTRIBUTE att93 NUMERIC
@ATTRIBUTE att94 NUMERIC
@ATTRIBUTE att95 NUMERIC
@ATTRIBUTE att96 NUMERIC
@ATTRIBUTE att97 NUMERIC
@ATTRIBUTE att98 NUMERIC
@ATTRIBUTE att99 NUMERIC
@ATTRIBUTE att100 NUMERIC
@ATTRIBUTE att101 NUMERIC
@ATTRIBUTE att102 NUMERIC
@ATTRIBUTE att103 NUMERIC
@ATTRIBUTE att104 NUMERIC
@ATTRIBUTE att105 NUMERIC
@ATTRIBUTE att106 NUMERIC
@ATTRIBUTE att107 NUMERIC
@ATTRIBUTE att108 NUMERIC
@ATTRIBUTE att109 NUMERIC
@ATTRIBUTE att110 NUMERIC
@ATTRIBUTE att111 NUMERIC
@ATTRIBUTE att112 NUMERIC
@ATTRIBUTE att113 NUMERIC
@ATTRIBUTE att114 NUMERIC
@ATTRIBUTE att115 NUMERIC
@ATTRIBUTE att116 NUMERIC
@ATTRIBUTE att117 NUMERIC
@ATTRIBUTE att118 NUMERIC
@ATTRIBUTE att119 NUMERIC
@ATTRIBUTE att120 NUMERIC
@ATTRIBUTE att121 NUMERIC
@ATTRIBUTE att122 NUMERIC
@ATTRIBUTE att123 NUMERIC
@ATTRIBUTE att124 NUMERIC
@ATTRIBUTE att125 NUMERIC
@ATTRIBUTE att126 NUMERIC
@ATTRIBUTE att127 NUMERIC
@ATTRIBUTE att128 NUMERIC
@ATTRIBUTE att129 NUMERIC
@ATTRIBUTE att130 NUMERIC
@ATTRIBUTE att131 NUMERIC
@ATTRIBUTE att132 NUMERIC
@ATTRIBUTE att133 NUMERIC
@ATTRIBUTE att134 NUMERIC
@ATTRIBUTE att135 NUMERIC
@ATTRIBUTE att136 NUMERIC
@ATTRIBUTE att137 NUMERIC
@ATTRIBUTE att138 NUMERIC
@ATTRIBUTE att139 NUMERIC
@ATTRIBUTE att140 NUMERIC
@ATTRIBUTE att141 NUMERIC
@ATTRIBUTE att142 NUMERIC
@ATTRIBUTE att143 NUMERIC
@ATTRIBUTE att144 NUMERIC
@ATTRIBUTE att145 NUMERIC
@ATTRIBUTE att146 NUMERIC
@ATTRIBUTE att147 NUMERIC
@ATTRIBUTE att148 NUMERIC
@ATTRIBUTE att149 NUMERIC
@ATTRIBUTE att150 NUMERIC
@ATTRIBUTE target {1.0, 2.0, 3.0}

@DATA
0.06,0.032,0.039,-0.014,0.023,0.048,0.026,0.001,0.01,0.029,0.019,0.031,0.019,0.08,0.01,0.041,-0.085,-0.485,0.802,0.677,-0.695,0.74,1.242,1.248,1.965,1.934,0.956,0.151,0.103,0.077,0.098,0.292,0.096,0.014,0.046,0.038,0.015,-0.007,0.036,0.004,0.029,-0.053,-0.022,0.264,0.065,0.302,-0.166,-0.32,-0.662,-1.012,-0.783,1.196,-2.324,1.0,-0.202,-1.816,-2.509,-1.44,-2.45,-1.231,-2.46,-2.985,-2.354,-0.292,0.909,-1.302,-0.324,-1.552,-1.981,4.569,2.632,-2.689,6.247,-0.871,-0.241,-1.014,-2.723,3.316,-0.889,-0.81,-0.992,2.833,2.377,-0.854,-3.947,-1.156,-4.056,-0.283,0.147,-0.753,-1.476,4.58,-5.557,-0.397,0.827,-0.292,-0.632,-1.55,-4.657,-0.169,-2.216,-1.228,-2.417,5.925,-0.258,-2.599,-0.377,0.163,-0.411,1.327,0.005,-0.351,0.179,0.119,0.035,-0.8,0.193,0.057,0.758,-0.132,0.055,-4.058,-0.093,-0.881,-0.287,0.047,-1.656,-0.607,-1.538,-0.339,0.092,0.051,0.045,-0.01,0.038,0.064,0.034,0.01,0.111,0.034,0.014,0.047,0.075,0.082,0.105,0.048,0.024,0.041,0.022,0.042,1.0
0.065,0.037,0.055,0.06,0.004,0.054,0.073,0.046,0.053,0.084,0.034,-0.102,0.005,0.02,0.071,0.036,0.025,0.048,-1.289,0.365,0.357,3.433,4.269,0.845,0.793,1.096,1.806,0.832,0.701,0.076,0.668,0.023,0.147,0.074,0.032,0.009,0.002,0.052,0.001,0.063,-0.007,0.099,0.037,0.288,-0.056,-0.31,-0.028,-0.249,0.316,-2.115,0.351,-0.975,-1.545,-2.119,-0.702,-1.681,0.73,-1.893,6.155,-1.393,-1.895,-1.997,-8.033,-1.56,-0.106,-0.564,2.133,-1.635,-2.991,0.64,0.555,5.78,-0.623,0.87,-2.315,-1.551,-1.419,-1.587,-1.605,-1.62,-1.275,-0.18,-0.727,-1.551,-2.478,0.982,-0.907,0.419,-0.27,0.267,-1.063,-2.843,-1.001,-1.371,-1.7,-1.743,-5.639,-1.55,-1.576,-1.479,-0.804,-1.299,-1.347,-1.168,-1.14,-1.217,0.673,-1.316,-2.191,-1.067,-1.936,-1.339,-0.347,-0.108,0.083,-0.584,-0.333,-0.015,0.372,0.079,0.017,0.133,-0.301,-0.832,0.565,-0.479,0.153,-0.702,-0.067,-0.626,0.028,0.018,0.058,0.03,0.032,0.009,0.01,0.071,0.018,0.036,0.045,0.027,0.011,-0.0,0.019,0.008,-0.011,0.058,0.027,0.004,1.0
0.04,0.116,0.066,0.055,0.017,0.043,0.027,0.048,0.06,0.058,0.03,0.014,0.029,0.008,-0.009,-0.125,0.037,0.158,0.975,1.065,0.822,1.054,1.606,2.62,0.695,1.044,1.043,-0.234,-0.181,0.295,0.049,0.123,-0.007,0.022,-0.033,0.054,0.021,0.018,0.035,-0.029,0.001,-0.008,0.024,0.186,0.007,0.209,0.116,0.268,0.492,-0.051,-0.814,-0.128,-0.126,-0.16,-2.28,-0.495,-1.049,-1.314,0.721,-3.15,1.204,-0.586,-3.248,-1.093,-0.728,-0.895,0.068,-0.672,-0.734,-1.282,-0.876,-7.588,-0.199,-1.584,-1.054,-2.315,-0.671,-1.82,1.795,-2.212,-0.705,3.37,-1.041,-0.258,-1.799,-1.049,-0.68,-2.413,3.594,-2.097,-3.125,-1.116,-0.856,-0.182,-1.63,-0.189,-1.139,-0.171,-2.24,-1.963,-3.196,1.499,0.002,-0.376,0.16,-0.849,-0.03,0.057,-0.052,1.595,-0.009,-0.178,1.037,-0.045,0.104,0.409,0.254,-0.226,0.038,0.579,0.264,1.084,-0.06,0.216,-0.262,-0.039,-0.605,0.056,0.645,-0.508,0.008,-0.761,0.51,-0.035,-0.077,0.017,0.022,0.043,0.037,0.038,0.004,0.062,-0.013,0.033,0.01,0.026,0.024,-0.124,0.059,0.073,1.0
0.028,0.031,0.033,0.032,0.06,0.008,0.053,-0.049,0.048,0.039,0.031,0.027,0.02,0.016,0.027,0.043,0.23,-0.252,-0.913,-0.15,0.03,0.683,0.515,-0.598,-0.198,0.44,-0.024,0.054,0.042,0.025,0.032,0.01,0.142,-0.012,0.052,0.034,-0.005,0.026,0.006,0.017,0.027,0.044,0.044,0.167,0.034,-0.028,0.395,0.366,0.224,-0.291,0.024,-0.525,1.746,-1.243,0.533,1.113,0.336,3.786,-0.207,-0.371,-0.979,-0.525,-3.337,-0.435,0.495,1.491,-3.973,0.453,-0.723,-1.373,-0.037,1.128,-0.719,-0.87,-0.817,-2.313,-4.869,-2.017,0.124,-0.697,-0.729,1.233,1.524,-1.317,-1.176,-0.879,-0.983,-2.075,-0.773,-0.586,-1.732,0.32,-0.709,-1.598,-1.267,1.758,-0.82,-0.181,0.106,-0.818,-0.317,-2.269,0.047,-0.804,-0.063,1.425,-0.028,-1.736,-0.651,0.016,-3.01,0.059,1.95,0.575,0.278,0.044,-0.023,0.042,1.183,0.059,-0.068,-0.496,1.528,0.956,0.903,0.584,0.648,0.783,0.518,-1.004,0.039,0.018,0.042,-0.033,0.139,0.043,0.082,0.105,0.039,0.013,0.023,0.016,0.044,-0.012,0.058,0.021,0.129,0.008,0.029,-0.037,1.0
0.021,0.006,0.032,0.035,-0.045,0.033,0.021,0.05,0.038,0.044,0.045,0.016,0.021,0.032,0.04,0.006,0.001,-0.473,-0.48,0.027,-0.897,0.445,0.101,-0.246,-0.028,0.098,-0.537,0.261,-0.045,-0.019,-0.179,0.042,0.019,0.019,0.043,0.045,0.045,0.006,0.034,0.036,0.02,0.058,-0.025,0.327,0.08,-0.353,-0.037,0.03,0.01,0.132,0.187,-0.202,0.145,-0.389,-0.682,0.696,-1.982,-1.265,-0.104,-0.694,-3.668,-4.992,-2.147,-3.537,-0.845,1.294,-0.531,-0.781,0.177,-1.123,-1.621,-2.248,-1.871,-3.111,-0.275,-1.212,-2.482,0.215,-2.073,-1.383,-1.137,-1.021,1.499,-1.598,-0.816,-0.71,-0.998,-5.513,-1.857,0.213,-1.2,-1.274,-2.271,-1.781,-1.305,-2.976,-1.127,-1.17,-0.581,-1.236,-1.476,-2.008,-1.37,-0.98,-1.494,-1.97,-1.389,-1.762,-0.507,-0.686,-1.349,-0.239,-0.044,0.843,-0.889,0.051,0.075,0.016,0.093,-0.222,0.521,0.342,1.045,-0.392,0.749,1.71,-2.106,0.466,1.375,-0.035,-0.039,0.022,0.015,-0.044,0.077,0.036,0.023,-0.032,0.004,0.015,0.143,0.045,0.022,0.014,-0.03,0.046,0.071,0.034,0.019,0.068,1.0
0.016,0.012,0.035,-0.037,0.047,0.049,0.028,-0.007,-0.007,-0.032,0.095,0.052,0.028,0.032,0.024,0.055,0.142,-0.512,-0.444,-0.031,0.715,-0.467,-0.789,0.003,-0.047,1.014,-0.043,0.086,-0.126,-0.153,-0.016,0.165,0.116,0.027,0.02,0.032,0.056,0.043,0.013,-0.027,0.041,0.028,-0.058,-0.034,-0.353,-0.12,-0.008,0.079,-0.939,-0.438,0.373,-0.417,-0.404,-1.939,-7.336,-0.803,2.578,-3.464,-1.088,-1.056,-0.63,0.434,-2.517,-0.854,-2.579,-0.931,-1.142,-2.595,-1.18,-3.867,-6.41,-1.753,-1.925,-2.139,1.499,-1.618,0.038,-3.995,0.145,0.564,0.409,-0.757,-0.893,-3.484,-1.203,-1.585,-2.823,-0.548,-2.44,1.103,-3.332,-5.766,-4.286,-0.927,-1.267,-3.562,0.248,0.937,0.221,-0.639,-1.427,-2.431,-1.253,-2.073,-2.039,-1.641,-1.35,-3.352,-1.254,-1.202,-0.639,-2.726,-1.774,-0.261,-1.691,-0.352,-0.164,-0.139,-0.103,0.93,0.102,0.5,0.099,-1.247,1.001,1.536,1.266,0.661,-0.336,-0.37,-0.269,0.039,0.29,0.046,0.021,0.001,0.008,0.001,0.012,0.001,0.017,0.013,0.036,0.062,0.039,0.033,0.011,0.082,-0.014,0.054,1.0
0.051,0.053,0.016,0.057,0.007,0.018,0.027,0.011,0.017,0.046,0.088,0.052,0.029,0.036,0.169,0.024,0.105,0.45,0.96,0.695,2.972,2.186,0.631,2.186,0.826,0.885,0.881,0.901,-0.441,0.082,0.023,0.097,0.031,0.026,0.006,0.004,0.058,-0.008,0.022,0.063,0.017,0.025,0.139,-0.19,0.056,0.025,0.109,0.619,0.736,1.581,1.873,-7.308,-0.039,0.887,1.521,0.232,-2.183,3.556,7.066,3.533,-0.467,-2.18,-0.68,1.603,3.099,1.802,1.371,0.679,-4.112,0.876,4.846,-1.598,0.464,2.676,2.522,0.764,-7.808,3.605,1.457,-3.044,0.976,-1.033,1.11,0.016,0.976,1.077,1.716,1.007,0.851,1.635,1.684,-0.446,2.031,1.109,0.805,0.517,1.65,1.21,-0.29,0.77,1.48,-0.128,-0.704,1.201,0.869,1.953,0.868,0.498,2.187,-1.266,-0.334,-0.066,0.713,0.658,-0.331,-0.46,-0.104,0.014,0.268,0.135,0.041,0.24,-0.465,1.024,-1.315,0.711,-0.419,-0.363,0.197,1.149,-0.098,-0.373,0.004,-0.063,0.075,-0.113,0.002,0.01,0.058,0.047,0.062,0.035,0.018,-0.051,0.068,0.008,-0.017,0.007,-0.018,-0.018,1.0
0.086,-0.017,0.026,0.028,0.034,0.017,0.028,0.02,0.063,0.056,-0.035,0.024,0.03,0.032,0.043,-0.005,-0.057,0.361,-0.317,0.074,-0.418,-1.958,0.366,-0.951,-0.423,0.689,0.163,0.053,1.135,1.1,0.409,0.415,0.099,0.052,0.045,0.064,0.014,0.02,0.016,0.024,0.047,0.159,0.023,0.043,-0.114,-0.024,0.504,-1.039,2.668,-0.596,0.79,-0.702,1.176,0.855,5.684,1.334,1.144,1.087,0.725,2.625,2.003,1.0,5.961,-1.504,6.595,2.494,1.518,3.799,1.515,0.602,0.353,0.688,1.646,1.334,2.253,0.427,0.91,1.044,4.326,0.576,1.03,0.979,1.665,2.853,0.175,0.722,0.191,1.33,0.778,-1.39,1.223,0.159,-1.194,4.549,2.182,1.722,0.511,0.129,0.432,-1.027,0.676,-0.439,0.831,1.25,0.785,3.697,1.005,2.556,1.397,2.481,0.257,1.997,-0.092,0.639,0.357,0.122,0.171,-0.314,0.348,0.021,0.018,-0.704,-0.352,0.169,0.0,0.513,0.055,0.07,-0.031,-1.221,0.142,0.065,0.077,0.153,0.076,0.15,0.006,0.011,-0.007,0.026,0.051,0.041,-0.008,0.033,-0.0,0.054,0.043,0.054,-0.024,0.069,1.0
0.007,0.068,-0.001,-0.011,0.034,-0.001,-0.045,0.024,0.037,0.071,0.006,-0.016,0.019,-0.004,-0.013,0.025,-0.015,0.138,0.624,0.124,1.186,1.097,0.796,0.532,0.718,0.334,-0.828,-0.036,-0.521,0.03,0.019,0.004,-0.045,0.065,0.065,0.039,0.088,0.062,-0.001,0.011,0.026,-0.039,-0.077,0.012,0.277,-0.208,-0.767,-0.255,-0.018,0.556,-1.316,1.737,-0.219,0.862,-0.845,-1.438,-1.253,0.954,1.058,0.424,3.015,0.548,1.039,-1.346,1.627,0.95,4.289,0.652,0.212,1.247,1.618,3.838,2.593,1.114,1.557,-0.86,3.683,1.052,-0.466,-2.742,1.838,-1.401,4.055,-0.715,1.256,1.697,0.288,-0.103,0.772,1.251,0.74,1.065,-2.715,1.07,1.125,0.222,2.034,1.042,0.591,2.009,0.01,1.093,1.024,0.657,1.105,0.76,1.118,0.854,-0.191,0.045,-0.239,0.152,0.051,1.017,0.011,-0.026,0.538,0.041,-0.001,0.7,-0.012,-1.434,-0.126,0.511,-0.648,0.149,1.348,-1.181,0.13,-0.153,-0.145,0.038,0.101,0.147,0.052,0.036,0.061,0.012,0.029,-0.022,0.051,0.028,0.048,0.034,0.015,-0.009,0.07,-0.003,0.103,-0.001,1.0
0.0,0.056,-0.002,0.038,0.051,0.042,0.004,0.029,0.008,0.093,-0.001,0.075,0.043,0.014,0.079,0.072,-0.274,-0.069,0.005,-0.574,-0.367,-0.353,-0.061,0.223,2.657,1.357,-0.582,0.067,-0.059,-0.012,0.059,0.006,-0.03,0.003,0.126,0.022,0.076,0.017,0.04,0.057,0.077,0.026,0.039,0.295,0.047,-0.863,-0.037,0.282,0.094,0.038,0.465,1.063,-0.412,0.405,0.009,0.793,4.14,1.605,-1.648,2.762,0.615,5.338,3.06,7.163,0.329,1.221,-1.355,1.746,2.111,0.375,0.602,0.203,-3.033,1.125,-0.013,1.661,0.981,2.712,1.95,5.752,1.158,1.873,0.907,-1.435,9.041,-1.621,4.137,0.106,1.234,-1.387,3.272,1.472,0.505,3.263,1.146,1.236,1.067,0.238,-4.645,3.007,-5.459,1.064,-0.91,0.736,1.21,1.999,4.362,-0.122,0.151,-0.97,-2.149,-0.3,-1.414,0.303,0.07,0.657,0.403,0.431,0.838,1.243,1.332,1.306,0.536,1.427,1.089,0.747,0.41,1.02,0.883,0.327,0.799,0.188,0.061,0.054,-0.003,0.008,0.04,-0.003,-0.014,0.013,0.005,0.019,0.015,0.016,0.015,-0.003,0.041,0.059,0.016,0.041,1.0
