@RELATION SmoothSubspace

@ATTRIBUTE att1_err NUMERIC
@ATTRIBUTE att2_err NUMERIC
@ATTRIBUTE att3_err NUMERIC
@ATTRIBUTE att4_err NUMERIC
@ATTRIBUTE att5_err NUMERIC
@ATTRIBUTE att6_err NUMERIC
@ATTRIBUTE att7_err NUMERIC
@ATTRIBUTE att8_err NUMERIC
@ATTRIBUTE att9_err NUMERIC
@ATTRIBUTE att10_err NUMERIC
@ATTRIBUTE att11_err NUMERIC
@ATTRIBUTE att12_err NUMERIC
@ATTRIBUTE att13_err NUMERIC
@ATTRIBUTE att14_err NUMERIC
@ATTRIBUTE att15_err NUMERIC

@DATA
0.035,0.054,0.071,0.021,0.044,0.027,0.139,0.004,0.149,0.023,0.087,0.013,0.008,0.035,0.18
0.041,0.037,0.01,0.018,0.035,0.032,0.036,0.043,0.106,0.074,0.079,0.025,0.068,0.057,0.03
0.003,0.008,0.02,0.02,0.023,0.056,0.044,0.01,0.1,0.173,0.043,0.055,0.109,0.035,0.167
0.024,0.074,0.029,0.083,0.095,0.034,0.146,0.039,0.048,0.041,0.114,0.126,0.076,0.036,0.076
0.033,0.053,0.073,0.051,0.014,0.001,0.002,0.042,0.021,0.032,0.114,0.02,0.004,0.034,0.0
0.047,0.011,0.217,0.15,0.038,0.06,0.014,0.066,0.226,0.235,0.049,0.152,0.04,0.068,0.063
0.069,0.122,0.008,0.097,0.028,0.075,0.001,0.046,0.011,0.056,0.004,0.125,0.252,0.005,0.087
0.007,0.043,0.008,0.04,0.036,0.051,0.108,0.136,0.046,0.046,0.047,0.04,0.025,0.032,0.032
0.007,0.137,0.003,0.051,0.08,0.053,0.005,0.076,0.037,0.086,0.116,0.015,0.076,0.07,0.012
0.031,0.097,0.096,0.025,0.012,0.064,0.014,0.112,0.036,0.013,0.031,0.161,0.144,0.012,0.002
0.019,0.051,0.035,0.075,0.058,0.026,0.122,0.047,0.077,0.037,0.105,0.005,0.117,0.046,0.055
0.038,0.013,0.037,0.096,0.103,0.036,0.13,0.056,0.017,0.013,0.119,0.059,0.007,0.082,0.039
0.012,0.069,0.087,0.029,0.058,0.059,0.151,0.023,0.084,0.117,0.013,0.117,0.189,0.039,0.091
0.001,0.174,0.031,0.046,0.025,0.054,0.047,0.14,0.042,0.036,0.063,0.073,0.075,0.096,0.009
0.01,0.095,0.182,0.028,0.09,0.052,0.059,0.042,0.058,0.16,0.12,0.179,0.156,0.002,0.021
0.033,0.043,0.057,0.036,0.122,0.033,0.009,0.179,0.05,0.012,0.106,0.006,0.037,0.024,0.045
0.007,0.009,0.01,0.061,0.0,0.063,0.053,0.078,0.063,0.042,0.057,0.097,0.039,0.01,0.062
0.022,0.008,0.053,0.133,0.083,0.1,0.013,0.014,0.037,0.149,0.04,0.087,0.03,0.039,0.079
0.15,0.106,0.076,0.123,0.029,0.039,0.035,0.028,0.08,0.128,0.12,0.137,0.077,0.069,0.089
0.016,0.073,0.045,0.094,0.001,0.082,0.045,0.133,0.068,0.083,0.052,0.052,0.044,0.006,0.087
0.055,0.155,0.025,0.117,0.047,0.074,0.082,0.109,0.092,0.073,0.099,0.012,0.016,0.033,0.034
0.031,0.018,0.078,0.056,0.025,0.017,0.173,0.039,0.042,0.115,0.007,0.022,0.035,0.05,0.017
0.057,0.135,0.08,0.002,0.001,0.011,0.132,0.017,0.076,0.176,0.083,0.038,0.069,0.02,0.114
