@RELATION SonyAIBORobotSurface2

@ATTRIBUTE att1_err NUMERIC
@ATTRIBUTE att2_err NUMERIC
@ATTRIBUTE att3_err NUMERIC
@ATTRIBUTE att4_err NUMERIC
@ATTRIBUTE att5_err NUMERIC
@ATTRIBUTE att6_err NUMERIC
@ATTRIBUTE att7_err NUMERIC
@ATTRIBUTE att8_err NUMERIC
@ATTRIBUTE att9_err NUMERIC
@ATTRIBUTE att10_err NUMERIC
@ATTRIBUTE att11_err NUMERIC
@ATTRIBUTE att12_err NUMERIC
@ATTRIBUTE att13_err NUMERIC
@ATTRIBUTE att14_err NUMERIC
@ATTRIBUTE att15_err NUMERIC
@ATTRIBUTE att16_err NUMERIC
@ATTRIBUTE att17_err NUMERIC
@ATTRIBUTE att18_err NUMERIC
@ATTRIBUTE att19_err NUMERIC
@ATTRIBUTE att20_err NUMERIC
@ATTRIBUTE att21_err NUMERIC
@ATTRIBUTE att22_err NUMERIC
@ATTRIBUTE att23_err NUMERIC
@ATTRIBUTE att24_err NUMERIC
@ATTRIBUTE att25_err NUMERIC
@ATTRIBUTE att26_err NUMERIC
@ATTRIBUTE att27_err NUMERIC
@ATTRIBUTE att28_err NUMERIC
@ATTRIBUTE att29_err NUMERIC
@ATTRIBUTE att30_err NUMERIC
@ATTRIBUTE att31_err NUMERIC
@ATTRIBUTE att32_err NUMERIC
@ATTRIBUTE att33_err NUMERIC
@ATTRIBUTE att34_err NUMERIC
@ATTRIBUTE att35_err NUMERIC
@ATTRIBUTE att36_err NUMERIC
@ATTRIBUTE att37_err NUMERIC
@ATTRIBUTE att38_err NUMERIC
@ATTRIBUTE att39_err NUMERIC
@ATTRIBUTE att40_err NUMERIC
@ATTRIBUTE att41_err NUMERIC
@ATTRIBUTE att42_err NUMERIC
@ATTRIBUTE att43_err NUMERIC
@ATTRIBUTE att44_err NUMERIC
@ATTRIBUTE att45_err NUMERIC
@ATTRIBUTE att46_err NUMERIC
@ATTRIBUTE att47_err NUMERIC
@ATTRIBUTE att48_err NUMERIC
@ATTRIBUTE att49_err NUMERIC
@ATTRIBUTE att50_err NUMERIC
@ATTRIBUTE att51_err NUMERIC
@ATTRIBUTE att52_err NUMERIC
@ATTRIBUTE att53_err NUMERIC
@ATTRIBUTE att54_err NUMERIC
@ATTRIBUTE att55_err NUMERIC
@ATTRIBUTE att56_err NUMERIC
@ATTRIBUTE att57_err NUMERIC
@ATTRIBUTE att58_err NUMERIC
@ATTRIBUTE att59_err NUMERIC
@ATTRIBUTE att60_err NUMERIC
@ATTRIBUTE att61_err NUMERIC
@ATTRIBUTE att62_err NUMERIC
@ATTRIBUTE att63_err NUMERIC
@ATTRIBUTE att64_err NUMERIC
@ATTRIBUTE att65_err NUMERIC

@DATA
0.086,0.147,0.033,0.393,0.046,0.638,0.029,0.607,0.111,0.183,0.908,0.859,0.091,0.343,0.041,0.241,0.053,0.423,0.198,0.205,0.04,0.264,0.229,0.514,0.081,0.44,0.236,0.088,0.064,0.033,0.05,0.004,0.023,0.026,0.029,0.024,0.127,0.072,0.014,0.015,0.187,0.359,0.056,0.06,0.448,0.281,0.026,0.018,0.289,0.079,0.152,0.464,0.436,0.106,0.254,0.238,0.197,0.22,0.263,0.547,0.202,0.158,0.449,0.022,0.107
0.001,0.178,0.132,0.575,0.469,0.071,0.001,0.142,0.216,0.11,0.259,0.564,0.034,0.261,0.141,0.189,0.09,0.169,0.182,0.067,0.022,0.062,0.008,0.149,0.028,0.262,0.136,0.021,0.226,0.141,0.064,0.072,0.024,0.059,0.11,0.126,0.0,0.037,0.037,0.071,0.097,0.089,0.184,0.035,0.21,0.004,0.073,0.139,0.277,0.212,0.373,0.027,0.429,0.121,0.077,0.163,0.044,0.488,0.336,0.57,0.406,0.281,0.184,0.02,0.175
0.013,0.209,0.12,0.048,0.035,0.432,0.185,0.214,0.377,0.122,0.673,0.014,0.284,0.073,0.246,0.317,0.274,0.022,0.078,0.979,0.095,0.284,0.293,0.308,0.316,0.079,0.157,0.173,0.075,0.042,0.03,0.212,0.064,0.054,0.087,0.023,0.108,0.033,0.242,0.015,0.111,0.004,0.055,0.25,0.417,0.277,0.011,0.026,0.205,0.17,0.016,0.29,0.029,0.312,0.141,0.108,0.206,0.321,0.08,0.626,0.496,0.334,0.707,0.082,0.085
0.114,0.086,0.111,0.004,0.486,0.15,0.231,0.081,0.196,0.246,0.066,0.362,0.102,0.29,0.099,0.05,0.344,0.232,0.557,0.449,0.756,0.062,0.08,0.365,0.166,0.278,0.188,0.034,0.043,0.016,0.093,0.128,0.048,0.018,0.095,0.087,0.109,0.125,0.056,0.038,0.108,0.118,0.115,0.085,0.194,0.277,0.024,0.003,0.185,0.489,0.155,0.367,0.006,0.558,0.263,1.045,0.117,0.237,0.764,0.166,0.5,0.397,0.238,0.494,0.064
0.059,0.048,0.095,0.312,0.057,0.066,0.052,0.448,0.14,0.249,0.159,0.292,0.307,0.037,0.293,0.2,0.014,0.079,0.05,0.005,0.459,0.161,0.15,0.051,0.032,0.19,0.575,0.157,0.001,0.09,0.002,0.032,0.034,0.1,0.039,0.038,0.061,0.054,0.05,0.101,0.147,0.017,0.021,0.2,0.078,0.002,0.437,0.072,0.232,0.344,0.626,0.182,0.049,0.362,0.333,0.122,0.15,0.159,0.49,0.673,0.344,0.027,0.224,0.209,0.049
0.019,0.067,0.039,0.033,0.134,0.084,0.039,0.468,0.059,0.237,0.262,0.509,0.017,0.637,0.34,0.024,0.182,0.352,0.184,0.025,0.198,0.097,0.385,0.166,0.005,0.151,0.106,0.285,0.15,0.217,0.145,0.09,0.008,0.06,0.07,0.084,0.111,0.046,0.0,0.093,0.09,0.238,0.012,0.139,0.38,0.07,0.196,0.132,0.042,0.482,0.195,0.136,0.407,0.197,0.013,0.399,0.081,0.007,0.078,0.06,0.079,0.457,0.391,0.094,0.228
0.052,0.119,0.052,0.055,0.166,0.033,0.088,0.527,0.402,0.051,0.706,0.434,0.389,0.044,0.143,0.288,0.276,0.161,0.074,0.036,0.946,0.231,0.137,0.164,0.003,0.009,0.124,0.18,0.085,0.086,0.248,0.142,0.005,0.04,0.068,0.045,0.039,0.062,0.036,0.148,0.185,0.161,0.088,0.299,0.049,0.222,0.017,0.246,0.156,0.231,0.859,0.122,0.223,0.261,0.187,0.129,0.11,0.123,0.145,0.217,0.204,0.062,0.116,0.105,0.067
0.099,0.06,0.043,0.418,0.45,0.282,0.267,0.165,0.014,0.123,0.406,0.087,0.034,0.871,0.671,0.325,0.03,0.306,0.083,0.106,0.506,0.129,0.165,0.625,0.186,0.226,0.202,0.262,0.186,0.114,0.063,0.041,0.14,0.069,0.068,0.0,0.055,0.074,0.099,0.143,0.169,0.081,0.214,0.093,0.079,0.168,0.078,0.106,0.014,0.993,0.345,0.093,0.055,0.025,0.05,0.091,0.538,0.078,0.177,0.181,0.239,0.097,0.513,0.137,0.011
0.136,0.01,0.09,0.349,0.263,0.489,0.022,0.171,0.093,0.144,0.184,0.418,0.01,0.423,0.244,0.164,0.208,0.113,0.516,0.38,0.208,0.447,0.07,0.015,0.157,0.102,0.125,0.179,0.095,0.064,0.069,0.047,0.075,0.046,0.144,0.01,0.025,0.041,0.067,0.013,0.041,0.087,0.114,0.138,0.158,0.11,0.164,0.02,0.138,0.191,0.646,0.174,0.541,0.031,0.202,0.071,0.066,0.125,0.127,0.122,0.512,0.291,0.181,0.198,0.096
0.076,0.071,0.161,0.085,0.012,0.216,0.079,0.12,0.205,0.062,0.046,0.02,0.217,0.036,0.496,0.272,0.462,0.022,0.055,0.358,0.315,0.346,0.165,0.052,0.154,0.162,0.116,0.244,0.225,0.197,0.001,0.099,0.007,0.011,0.101,0.011,0.152,0.039,0.048,0.208,0.018,0.095,0.025,0.025,0.004,0.184,0.019,0.254,0.178,0.763,0.188,0.523,0.438,0.084,0.111,0.073,0.217,0.262,0.12,0.523,0.454,0.237,0.46,0.211,0.065
