@RELATION SonyAIBORobotSurface2

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE att4 NUMERIC
@ATTRIBUTE att5 NUMERIC
@ATTRIBUTE att6 NUMERIC
@ATTRIBUTE att7 NUMERIC
@ATTRIBUTE att8 NUMERIC
@ATTRIBUTE att9 NUMERIC
@ATTRIBUTE att10 NUMERIC
@ATTRIBUTE att11 NUMERIC
@ATTRIBUTE att12 NUMERIC
@ATTRIBUTE att13 NUMERIC
@ATTRIBUTE att14 NUMERIC
@ATTRIBUTE att15 NUMERIC
@ATTRIBUTE att16 NUMERIC
@ATTRIBUTE att17 NUMERIC
@ATTRIBUTE att18 NUMERIC
@ATTRIBUTE att19 NUMERIC
@ATTRIBUTE att20 NUMERIC
@ATTRIBUTE att21 NUMERIC
@ATTRIBUTE att22 NUMERIC
@ATTRIBUTE att23 NUMERIC
@ATTRIBUTE att24 NUMERIC
@ATTRIBUTE att25 NUMERIC
@ATTRIBUTE att26 NUMERIC
@ATTRIBUTE att27 NUMERIC
@ATTRIBUTE att28 NUMERIC
@ATTRIBUTE att29 NUMERIC
@ATTRIBUTE att30 NUMERIC
@ATTRIBUTE att31 NUMERIC
@ATTRIBUTE att32 NUMERIC
@ATTRIBUTE att33 NUMERIC
@ATTRIBUTE att34 NUMERIC
@ATTRIBUTE att35 NUMERIC
@ATTRIBUTE att36 NUMERIC
@ATTRIBUTE att37 NUMERIC
@ATTRIBUTE att38 NUMERIC
@ATTRIBUTE att39 NUMERIC
@ATTRIBUTE att40 NUMERIC
@ATTRIBUTE att41 NUMERIC
@ATTRIBUTE att42 NUMERIC
@ATTRIBUTE att43 NUMERIC
@ATTRIBUTE att44 NUMERIC
@ATTRIBUTE att45 NUMERIC
@ATTRIBUTE att46 NUMERIC
@ATTRIBUTE att47 NUMERIC
@ATTRIBUTE att48 NUMERIC
@ATTRIBUTE att49 NUMERIC
@ATTRIBUTE att50 NUMERIC
@ATTRIBUTE att51 NUMERIC
@ATTRIBUTE att52 NUMERIC
@ATTRIBUTE att53 NUMERIC
@ATTRIBUTE att54 NUMERIC
@ATTRIBUTE att55 NUMERIC
@ATTRIBUTE att56 NUMERIC
@ATTRIBUTE att57 NUMERIC
@ATTRIBUTE att58 NUMERIC
@ATTRIBUTE att59 NUMERIC
@ATTRIBUTE att60 NUMERIC
@ATTRIBUTE att61 NUMERIC
@ATTRIBUTE att62 NUMERIC
@ATTRIBUTE att63 NUMERIC
@ATTRIBUTE att64 NUMERIC
@ATTRIBUTE att65 NUMERIC
@ATTRIBUTE target {2.0, 1.0}

@DATA
-0.806,-1.363,-0.277,1.288,2.312,0.982,-0.511,-1.732,-0.697,1.009,0.211,3.777,1.673,-0.517,-1.628,-1.91,-1.472,-0.54,-0.556,-0.287,-0.598,-0.671,0.177,-0.146,-0.243,0.441,0.353,0.242,0.248,0.255,-0.025,-0.262,-0.51,-0.282,-0.009,0.272,0.172,0.08,-0.269,0.004,0.327,0.129,-0.736,-0.835,-0.378,-0.503,-0.773,0.489,1.157,2.247,2.399,0.969,-0.537,-0.595,-1.544,-1.361,-0.87,-0.261,-0.069,-0.734,-0.303,-0.374,0.146,-0.027,0.247,2.0
-0.69,0.07,0.492,0.486,1.4,0.509,0.522,0.279,0.483,-0.905,-0.773,0.445,1.753,-0.444,-2.665,-2.068,0.059,1.281,2.244,1.909,1.003,0.404,0.04,-0.564,-0.443,-0.419,-0.477,-0.955,-0.575,-0.446,-0.492,-0.724,-0.681,-0.514,-0.116,0.412,0.28,0.576,0.31,0.27,0.443,-0.423,-0.923,-0.882,0.174,0.765,0.468,-0.426,-0.19,0.706,1.617,1.917,1.098,-1.947,-1.959,0.73,1.734,-0.07,-2.388,0.083,-1.661,-0.578,0.535,0.261,-0.021,1.0
0.028,-0.351,-0.293,-0.78,0.251,1.577,0.781,1.109,0.15,-0.974,-0.162,0.316,1.411,2.346,-0.051,-1.638,-0.4,-0.432,-0.272,-0.328,-0.102,-0.295,-1.032,-0.621,-0.214,0.073,-0.065,-0.205,-0.037,0.191,0.014,-0.031,-0.28,-0.132,0.123,0.027,0.12,0.046,-0.054,0.176,0.132,0.018,-0.708,-1.502,-1.603,-0.995,-0.44,0.309,1.397,2.823,3.401,2.861,-0.798,-2.043,-2.189,-0.725,-0.188,0.716,-0.263,-0.095,-0.988,-0.179,1.224,0.554,0.411,1.0
-0.007,-0.076,0.587,0.309,-0.578,-1.866,-0.615,0.923,1.585,0.55,0.316,1.643,1.218,0.033,-0.34,-0.332,0.048,0.288,-1.402,-0.577,-0.241,-0.665,-0.609,-0.8,0.287,0.111,-0.267,-0.266,0.206,0.298,-0.04,-0.138,-0.319,0.015,0.328,0.129,-0.072,0.185,-0.208,0.052,-0.175,0.344,-0.002,-1.079,-2.148,-1.348,-0.514,-0.251,1.936,4.25,3.766,2.287,-2.242,-1.801,-1.563,0.546,0.004,-0.207,-0.391,-0.481,0.931,0.883,0.397,-0.669,-0.179,1.0
-0.155,0.099,0.46,-0.244,0.367,0.119,0.035,-0.241,-0.781,-0.681,-0.142,0.299,2.181,2.043,1.692,-0.519,-1.623,-1.074,0.597,1.867,2.241,1.163,-0.291,-1.367,-1.865,-1.361,-1.884,-0.798,-0.619,-0.794,-1.119,-1.086,-0.562,-0.357,0.347,0.599,0.562,0.364,0.136,-0.129,-0.17,-0.131,-0.079,0.329,0.334,0.874,0.007,0.298,-0.524,-0.546,0.14,0.524,-0.363,-1.018,-2.342,-0.57,0.118,1.46,2.58,0.257,1.815,0.379,-0.914,-1.214,-1.102,2.0
-0.338,0.129,0.03,-0.373,-0.666,0.62,0.69,-0.152,-0.736,-0.543,0.282,0.772,1.109,-0.034,0.852,-0.042,-0.538,-1.445,-0.47,-0.667,-0.369,-0.611,-0.272,0.026,0.015,0.083,0.057,-0.537,-0.118,-0.052,-0.212,-0.289,-0.335,0.073,-0.017,0.015,-0.384,-0.022,-0.335,-0.395,-0.321,-0.214,-1.054,-0.07,1.131,0.0,-2.089,-0.887,1.854,4.17,3.302,2.171,-0.525,-2.015,-1.733,-0.969,-0.282,0.014,0.093,-0.399,-0.398,0.432,0.664,1.016,0.146,2.0
-0.167,0.156,0.576,1.6,2.353,1.315,-0.335,-1.588,-1.773,0.501,2.549,2.504,0.724,-0.962,-1.336,-1.697,-0.923,-0.758,-0.753,-0.678,0.089,-0.921,-0.077,-0.172,0.056,0.057,0.252,0.369,0.59,0.003,0.362,-0.126,-0.197,-0.197,0.04,-0.164,0.043,0.128,0.076,-0.314,-1.337,-2.015,-0.733,0.849,1.549,1.014,-0.184,0.434,1.183,1.978,2.534,0.768,-0.656,-1.78,-2.297,-0.992,-0.711,0.168,0.424,0.115,-0.342,-0.144,-0.071,0.55,0.307,2.0
-0.729,-0.509,-0.566,-0.42,1.801,3.134,1.227,-0.317,-1.632,-0.357,0.064,2.579,2.261,0.178,-1.893,-1.338,-1.657,-1.114,-0.531,-0.643,-0.915,-0.105,-0.248,0.013,0.021,-0.31,0.015,0.159,-0.042,0.149,0.012,-0.196,-0.173,-0.214,-0.329,0.004,0.072,-0.081,-0.009,-0.267,-0.709,-0.216,0.067,-0.528,-0.249,0.584,0.296,-0.282,0.56,1.859,2.26,2.157,0.286,-0.563,-1.388,-1.516,-0.626,-0.609,0.193,-0.213,-0.049,-0.511,-0.401,-0.137,0.565,2.0
-0.242,0.207,-0.013,-0.345,-0.214,-0.719,0.03,-0.143,0.331,-0.339,-0.761,-0.094,1.339,2.143,-0.41,-1.973,-1.801,-0.909,1.339,1.68,1.699,1.593,0.787,0.775,0.014,-0.441,-0.747,-0.988,-0.931,-0.779,-0.551,-0.434,-0.617,-0.135,0.059,0.4,0.218,0.283,0.198,0.203,0.052,0.022,0.003,0.054,0.194,-0.145,0.099,-0.175,-0.093,0.189,-0.031,-0.106,-1.789,-0.968,-0.54,-0.384,-0.268,1.013,1.774,2.874,2.42,1.409,-1.518,-2.332,-1.683,1.0
-0.854,-0.567,0.426,1.185,1.976,1.289,-0.464,-1.458,-1.282,0.4,1.991,2.01,1.641,1.15,-0.234,-1.936,-2.186,-0.74,-0.302,-0.079,-0.569,-0.189,-0.759,-0.487,-0.182,0.019,0.501,0.066,0.378,-0.097,-0.064,0.012,-0.298,-0.293,-0.389,-0.282,-0.033,-0.04,-0.021,0.114,-0.069,-0.659,-0.761,-0.487,-0.056,-0.134,-0.536,0.073,1.748,2.169,2.268,0.523,-1.139,-1.385,-1.731,-1.476,-0.774,0.109,0.626,0.688,-0.118,-0.279,-0.044,0.512,0.343,2.0
