@RELATION TwoLeadECG

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE att4 NUMERIC
@ATTRIBUTE att5 NUMERIC
@ATTRIBUTE att6 NUMERIC
@ATTRIBUTE att7 NUMERIC
@ATTRIBUTE att8 NUMERIC
@ATTRIBUTE att9 NUMERIC
@ATTRIBUTE att10 NUMERIC
@ATTRIBUTE att11 NUMERIC
@ATTRIBUTE att12 NUMERIC
@ATTRIBUTE att13 NUMERIC
@ATTRIBUTE att14 NUMERIC
@ATTRIBUTE att15 NUMERIC
@ATTRIBUTE att16 NUMERIC
@ATTRIBUTE att17 NUMERIC
@ATTRIBUTE att18 NUMERIC
@ATTRIBUTE att19 NUMERIC
@ATTRIBUTE att20 NUMERIC
@ATTRIBUTE att21 NUMERIC
@ATTRIBUTE att22 NUMERIC
@ATTRIBUTE att23 NUMERIC
@ATTRIBUTE att24 NUMERIC
@ATTRIBUTE att25 NUMERIC
@ATTRIBUTE att26 NUMERIC
@ATTRIBUTE att27 NUMERIC
@ATTRIBUTE att28 NUMERIC
@ATTRIBUTE att29 NUMERIC
@ATTRIBUTE att30 NUMERIC
@ATTRIBUTE att31 NUMERIC
@ATTRIBUTE att32 NUMERIC
@ATTRIBUTE att33 NUMERIC
@ATTRIBUTE att34 NUMERIC
@ATTRIBUTE att35 NUMERIC
@ATTRIBUTE att36 NUMERIC
@ATTRIBUTE att37 NUMERIC
@ATTRIBUTE att38 NUMERIC
@ATTRIBUTE att39 NUMERIC
@ATTRIBUTE att40 NUMERIC
@ATTRIBUTE att41 NUMERIC
@ATTRIBUTE att42 NUMERIC
@ATTRIBUTE att43 NUMERIC
@ATTRIBUTE att44 NUMERIC
@ATTRIBUTE att45 NUMERIC
@ATTRIBUTE att46 NUMERIC
@ATTRIBUTE att47 NUMERIC
@ATTRIBUTE att48 NUMERIC
@ATTRIBUTE att49 NUMERIC
@ATTRIBUTE att50 NUMERIC
@ATTRIBUTE att51 NUMERIC
@ATTRIBUTE att52 NUMERIC
@ATTRIBUTE att53 NUMERIC
@ATTRIBUTE att54 NUMERIC
@ATTRIBUTE att55 NUMERIC
@ATTRIBUTE att56 NUMERIC
@ATTRIBUTE att57 NUMERIC
@ATTRIBUTE att58 NUMERIC
@ATTRIBUTE att59 NUMERIC
@ATTRIBUTE att60 NUMERIC
@ATTRIBUTE att61 NUMERIC
@ATTRIBUTE att62 NUMERIC
@ATTRIBUTE att63 NUMERIC
@ATTRIBUTE att64 NUMERIC
@ATTRIBUTE att65 NUMERIC
@ATTRIBUTE att66 NUMERIC
@ATTRIBUTE att67 NUMERIC
@ATTRIBUTE att68 NUMERIC
@ATTRIBUTE att69 NUMERIC
@ATTRIBUTE att70 NUMERIC
@ATTRIBUTE att71 NUMERIC
@ATTRIBUTE att72 NUMERIC
@ATTRIBUTE att73 NUMERIC
@ATTRIBUTE att74 NUMERIC
@ATTRIBUTE att75 NUMERIC
@ATTRIBUTE att76 NUMERIC
@ATTRIBUTE att77 NUMERIC
@ATTRIBUTE att78 NUMERIC
@ATTRIBUTE att79 NUMERIC
@ATTRIBUTE att80 NUMERIC
@ATTRIBUTE att81 NUMERIC
@ATTRIBUTE att82 NUMERIC
@ATTRIBUTE target {2.0, 1.0}

@DATA
1.555,1.346,1.07,0.936,-0.866,0.559,0.832,0.841,0.599,0.319,0.545,0.398,0.426,0.28,0.281,0.988,0.242,0.556,0.345,-0.213,-0.966,0.187,0.542,-0.052,0.431,0.278,0.147,0.041,0.344,0.597,-2.196,-0.461,-1.4,-2.449,-3.079,-2.916,-2.94,-2.554,-1.031,-1.305,-2.518,-0.913,-1.205,-1.278,0.086,-0.786,-0.789,-0.398,0.268,0.83,1.377,0.293,0.393,0.72,0.091,0.471,0.675,0.736,0.05,0.262,0.933,0.482,1.268,1.158,0.141,0.183,0.084,0.893,0.673,0.569,1.146,0.231,1.985,0.566,0.423,1.682,0.416,0.48,-0.12,0.115,0.208,0.27,2.0
-0.657,-0.022,-0.207,-0.033,0.247,-0.03,0.235,0.294,-0.011,0.045,0.098,0.049,-0.052,0.742,-0.172,-0.089,-0.068,0.032,-0.713,-0.178,-0.457,-0.584,-0.346,-0.188,-0.82,-0.254,-0.016,-0.659,0.044,2.345,-2.133,0.307,0.944,-4.611,-6.788,-2.783,-2.0,-2.637,-0.197,-1.93,-1.778,-1.54,-1.589,-1.288,-1.918,-2.054,-0.279,-0.068,0.203,0.191,0.66,0.895,0.711,0.85,0.856,0.87,0.726,1.051,1.082,0.79,0.555,-0.049,1.249,1.602,1.331,1.416,1.362,1.049,2.017,1.159,1.072,1.141,1.055,0.844,0.739,-0.168,1.178,0.621,0.406,0.068,0.386,0.03,1.0
-0.757,-0.964,-0.544,-0.133,-0.367,0.344,-0.584,0.303,-0.366,-0.093,-0.241,-0.906,0.151,-0.607,-0.304,-0.395,-0.325,-0.315,-0.813,-0.184,0.427,-0.472,-0.198,-0.227,0.018,-0.204,-0.505,-0.383,-0.421,-1.61,-0.15,0.857,-3.384,-2.385,-3.822,-1.045,-1.902,-1.702,-1.908,-2.109,-1.766,-0.63,-0.537,-1.031,0.229,0.033,0.174,-0.26,1.022,-0.454,1.402,0.743,0.731,0.363,0.874,1.517,0.901,1.122,1.555,1.235,1.509,1.35,0.544,1.11,1.667,1.367,1.708,1.495,1.273,3.752,1.473,0.87,1.011,0.569,0.327,0.673,0.89,1.845,0.316,0.073,0.763,0.137,2.0
-0.463,-0.148,-0.303,0.033,1.694,-0.078,-0.022,-0.414,0.904,0.378,0.193,0.335,-0.228,-0.077,-0.755,-0.958,-0.376,-1.049,-0.388,-0.614,-0.401,-0.16,-1.087,-0.525,-0.851,-0.14,-0.522,-0.321,0.124,0.546,-0.689,-1.328,-2.066,-4.112,-1.325,-2.549,-1.816,-2.005,-2.127,-1.592,-1.418,-1.385,-1.898,1.944,0.058,3.148,-0.046,2.1,0.113,0.374,0.705,0.848,0.853,0.849,0.328,-0.143,1.042,0.798,1.204,1.096,2.276,1.097,1.144,1.332,1.498,1.315,0.922,1.257,0.917,1.912,0.776,0.955,0.857,0.711,0.672,0.864,0.067,0.967,1.274,0.396,-0.055,0.443,1.0
1.281,-0.02,-0.071,0.435,-0.084,0.101,0.811,0.142,0.37,0.218,0.27,0.292,0.315,0.055,-0.486,0.044,-0.503,0.173,-0.07,-0.128,-0.077,-0.07,0.179,-0.268,-0.463,-0.24,-0.513,-0.291,-0.482,-0.734,-0.333,-0.285,0.402,-0.84,-1.005,-1.915,-2.544,-2.164,-3.224,-2.064,-1.713,-1.583,-2.431,-1.68,-1.724,-1.566,-1.312,-3.07,-1.496,-0.485,0.099,0.43,0.47,0.511,0.402,0.616,0.436,0.773,1.265,0.873,0.993,1.018,0.485,1.043,-0.279,1.008,1.224,1.247,0.997,1.24,1.439,0.556,1.27,1.262,1.083,1.107,0.82,-0.013,0.574,0.037,0.756,1.408,1.0
-0.529,-0.04,-0.839,-0.794,0.657,-0.294,-1.62,1.474,-0.218,-0.115,-0.128,0.348,-0.133,-0.012,-0.05,-0.452,0.073,0.034,-0.649,-0.211,-0.219,-0.382,-0.396,-0.47,-0.577,-0.386,-0.362,-0.453,-0.418,-0.135,1.6,-0.252,-1.24,1.713,1.261,-1.34,-2.583,-2.409,-2.486,-0.256,-2.621,-1.512,-1.332,-0.809,-1.17,-1.161,-0.648,1.81,0.037,0.034,-0.073,0.002,1.434,0.666,1.086,0.756,1.325,0.828,0.904,0.284,1.164,1.763,1.387,1.033,1.39,1.595,1.331,1.581,1.593,1.673,1.808,1.11,1.242,1.095,1.002,0.766,0.696,0.678,0.34,0.276,0.32,0.336,1.0
0.372,-0.422,-0.122,-0.16,0.426,0.104,0.566,0.647,0.382,0.11,0.314,0.56,0.168,0.218,-0.003,-0.15,0.003,0.053,-0.261,0.12,-0.053,0.013,-0.049,0.244,-0.067,-0.001,-0.412,0.056,-0.25,-1.01,-3.295,-3.497,-3.029,-2.803,-3.262,-2.072,-4.152,-2.026,-1.961,-1.291,-1.998,0.222,-0.183,-0.139,0.145,0.307,2.726,0.529,0.21,0.763,0.811,1.218,0.939,0.235,0.93,0.75,1.155,0.809,2.083,1.017,1.137,1.148,0.744,1.296,1.602,0.873,1.161,0.55,0.761,0.562,0.476,0.347,-1.296,0.146,0.304,0.367,0.05,-1.523,-0.206,-0.288,-0.221,-0.458,2.0
-0.386,-0.602,-1.027,-0.364,-0.424,-0.292,-0.02,-0.083,-0.208,-0.234,-0.654,-0.267,-0.625,0.455,-0.072,-0.37,0.13,0.172,-0.245,-0.315,-0.307,-0.379,-0.332,-0.3,-0.108,0.217,-0.324,-0.073,-0.239,-0.661,4.515,0.508,-4.702,-1.921,-2.636,0.56,-2.893,-2.112,-1.672,-1.273,-0.621,-1.216,-1.064,-1.733,-0.527,2.981,0.402,0.386,0.402,0.661,-0.03,0.983,0.705,0.777,0.436,0.938,0.957,0.607,0.966,0.995,1.058,1.37,0.99,1.09,1.248,1.082,1.361,1.681,1.31,1.254,2.021,1.037,1.372,0.74,0.993,0.739,0.379,0.657,0.258,0.71,0.527,0.868,2.0
0.088,-0.215,0.267,0.231,0.074,0.456,0.445,0.769,0.37,-0.692,0.369,0.12,0.648,-0.263,0.214,-0.089,0.4,-0.147,-0.109,0.202,-0.196,-0.356,-0.169,-0.103,-0.176,-0.777,-0.104,-0.133,0.502,0.672,-3.083,-1.702,-2.911,-2.898,-1.455,-3.222,-1.499,-2.262,-2.144,-1.351,-1.209,-0.934,0.099,-0.439,-0.084,1.674,0.189,0.704,1.504,0.084,-0.033,0.577,0.452,1.032,0.356,0.745,0.001,0.894,1.118,0.75,0.804,1.059,1.207,1.196,1.077,1.177,1.246,0.971,1.165,0.942,0.552,1.237,1.033,0.685,0.577,-0.825,0.298,0.278,0.45,-0.006,-0.163,0.132,1.0
1.029,0.328,-0.214,1.144,0.152,-0.095,-0.339,0.068,0.284,0.07,0.063,0.334,0.179,-0.197,-0.553,0.09,0.026,0.751,-0.439,-0.131,-0.162,0.239,-0.678,-0.213,-0.252,-0.64,-0.368,-0.359,-1.208,0.016,-0.594,-0.841,-2.656,0.595,-0.368,-1.326,-2.414,-2.281,-2.052,-2.532,-2.636,-2.496,-1.793,-1.801,-0.336,-0.89,-1.49,-1.302,-0.901,-0.649,-0.09,-1.231,0.29,0.788,0.658,0.819,0.877,0.591,0.851,0.779,0.881,0.929,0.893,0.74,1.119,1.307,1.12,1.296,1.94,1.315,1.66,0.896,-0.601,1.988,0.247,1.032,0.93,0.661,0.625,-1.372,0.331,0.255,1.0
