@RELATION SmoothSubspace

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE att4 NUMERIC
@ATTRIBUTE att5 NUMERIC
@ATTRIBUTE att6 NUMERIC
@ATTRIBUTE att7 NUMERIC
@ATTRIBUTE att8 NUMERIC
@ATTRIBUTE att9 NUMERIC
@ATTRIBUTE att10 NUMERIC
@ATTRIBUTE att11 NUMERIC
@ATTRIBUTE att12 NUMERIC
@ATTRIBUTE att13 NUMERIC
@ATTRIBUTE att14 NUMERIC
@ATTRIBUTE att15 NUMERIC
@ATTRIBUTE target {1.0, 2.0, 3.0}

@DATA
0.614,0.54,0.742,0.57,0.529,0.979,0.668,0.277,0.448,0.435,-0.1,-0.447,0.35,0.763,0.425,1.0
0.522,0.652,0.594,0.547,0.595,0.328,0.397,0.075,0.729,0.783,1.432,0.24,0.979,0.265,0.569,1.0
0.396,0.747,0.802,0.39,0.779,0.442,0.23,0.226,0.783,0.104,0.543,0.974,0.101,0.7,0.09,1.0
0.712,0.521,0.773,0.519,0.764,0.559,0.786,0.018,0.166,0.399,0.686,0.488,0.7,0.679,-0.003,1.0
0.603,0.557,0.728,0.432,0.563,0.786,0.588,0.586,0.21,0.575,0.538,0.088,0.632,-0.156,0.869,1.0
0.515,0.546,0.733,0.477,0.614,0.615,0.133,0.526,0.387,0.278,0.287,0.498,0.945,0.818,0.866,1.0
0.408,0.635,0.572,0.647,0.911,0.72,0.124,0.061,0.439,0.46,1.046,0.864,0.695,0.746,1.086,1.0
0.3,0.585,0.48,0.553,0.47,0.051,1.008,0.335,0.071,-0.143,0.624,0.721,0.725,0.437,0.376,1.0
0.753,0.711,0.37,0.496,0.613,0.259,0.646,0.406,0.836,0.581,0.088,0.101,0.398,0.317,0.291,1.0
0.524,0.651,0.462,0.57,0.664,0.376,-0.013,0.521,0.315,0.665,0.755,0.39,0.398,0.877,0.864,1.0
0.456,0.654,0.667,0.396,0.633,0.963,0.612,0.499,0.532,0.937,0.745,0.708,0.29,0.309,0.141,1.0
0.463,0.498,0.679,0.538,0.687,0.799,1.047,0.816,0.087,0.325,-0.064,0.607,0.472,0.413,0.966,1.0
0.625,0.566,1.011,0.543,0.582,0.842,0.709,0.295,0.644,0.904,0.79,0.262,0.425,0.399,0.74,1.0
0.6,0.567,0.692,0.413,0.639,0.815,0.794,0.131,0.579,0.661,0.341,0.726,0.863,0.958,0.577,1.0
0.582,0.667,0.805,0.504,0.641,0.605,0.056,0.336,0.857,0.737,0.234,0.199,0.202,0.878,0.772,1.0
0.434,0.651,0.719,0.592,0.856,0.191,0.778,0.402,0.639,0.579,0.968,0.701,1.709,0.177,0.668,1.0
0.622,0.495,0.763,0.466,0.327,0.681,0.193,0.62,0.747,0.691,0.617,0.833,0.66,0.472,0.32,1.0
0.411,0.858,0.403,0.451,0.516,0.425,-0.567,0.531,0.613,0.259,0.341,0.665,0.989,0.27,0.633,1.0
0.271,0.731,0.806,0.642,0.49,0.513,0.123,0.054,0.414,0.66,0.987,0.969,0.311,-0.008,0.887,1.0
0.445,0.709,0.531,0.489,0.553,0.232,1.018,0.759,0.573,0.943,0.545,0.603,-0.052,0.509,0.337,1.0
0.543,0.733,0.649,0.441,0.56,0.008,1.227,0.099,-0.143,0.77,0.585,0.845,0.491,0.419,0.552,1.0
0.438,0.624,0.825,0.453,0.503,-0.114,0.939,0.838,0.259,0.801,0.406,0.337,0.355,0.673,0.087,1.0
0.512,0.686,0.765,0.564,0.632,0.445,0.92,0.263,0.362,0.743,0.61,0.73,0.368,0.145,0.574,1.0
0.518,0.673,0.57,0.463,0.484,-0.063,0.542,-0.211,0.828,0.775,0.269,0.404,-0.019,0.361,0.584,1.0
