@RELATION SmoothSubspace

@ATTRIBUTE att1_err NUMERIC
@ATTRIBUTE att2_err NUMERIC
@ATTRIBUTE att3_err NUMERIC
@ATTRIBUTE att4_err NUMERIC
@ATTRIBUTE att5_err NUMERIC
@ATTRIBUTE att6_err NUMERIC
@ATTRIBUTE att7_err NUMERIC
@ATTRIBUTE att8_err NUMERIC
@ATTRIBUTE att9_err NUMERIC
@ATTRIBUTE att10_err NUMERIC
@ATTRIBUTE att11_err NUMERIC
@ATTRIBUTE att12_err NUMERIC
@ATTRIBUTE att13_err NUMERIC
@ATTRIBUTE att14_err NUMERIC
@ATTRIBUTE att15_err NUMERIC

@DATA
0.184,0.243,0.056,0.055,0.251,0.157,0.203,0.141,0.042,0.033,0.244,0.242,0.085,0.118,0.017
0.047,0.005,0.118,0.019,0.07,0.07,0.046,0.106,0.274,0.032,0.311,0.004,0.089,0.293,0.016
0.235,0.149,0.183,0.104,0.198,0.0,0.03,0.066,0.201,0.019,0.033,0.323,0.251,0.127,0.204
0.081,0.078,0.086,0.082,0.117,0.009,0.083,0.051,0.008,0.042,0.008,0.025,0.066,0.108,0.25
0.206,0.039,0.001,0.027,0.033,0.069,0.32,0.052,0.113,0.181,0.041,0.044,0.031,0.169,0.144
0.044,0.017,0.08,0.249,0.041,0.061,0.001,0.162,0.315,0.071,0.153,0.203,0.251,0.055,0.208
0.06,0.128,0.017,0.102,0.153,0.11,0.087,0.204,0.01,0.031,0.116,0.025,0.146,0.148,0.187
0.37,0.222,0.188,0.03,0.221,0.428,0.189,0.036,0.115,0.282,0.057,0.026,0.004,0.086,0.091
0.131,0.017,0.203,0.004,0.176,0.083,0.088,0.271,0.065,0.076,0.222,0.019,0.149,0.265,0.056
0.257,0.075,0.215,0.082,0.084,0.138,0.106,0.081,0.285,0.186,0.203,0.084,0.113,0.23,0.138
0.035,0.069,0.004,0.198,0.12,0.379,0.013,0.027,0.144,0.026,0.139,0.156,0.13,0.196,0.195
0.021,0.058,0.152,0.068,0.057,0.137,0.363,0.129,0.047,0.066,0.158,0.149,0.01,0.026,0.109
0.065,0.099,0.19,0.028,0.073,0.148,0.034,0.12,0.234,0.346,0.298,0.074,0.094,0.32,0.048
0.004,0.023,0.114,0.04,0.009,0.182,0.257,0.007,0.114,0.023,0.122,0.039,0.126,0.062,0.099
0.102,0.026,0.396,0.11,0.063,0.041,0.127,0.003,0.049,0.433,0.087,0.011,0.128,0.021,0.053
0.003,0.156,0.035,0.064,0.202,0.062,0.381,0.373,0.218,0.145,0.284,0.077,0.4,0.071,0.133
0.11,0.375,0.034,0.1,0.164,0.137,0.018,0.188,0.046,0.255,0.121,0.074,0.117,0.034,0.122
0.014,0.11,0.139,0.072,0.121,0.015,0.391,0.247,0.158,0.089,0.013,0.177,0.119,0.101,0.012
0.171,0.117,0.167,0.116,0.041,0.147,0.038,0.03,0.046,0.014,0.037,0.154,0.21,0.026,0.159
0.012,0.052,0.206,0.009,0.015,0.07,0.02,0.031,0.154,0.156,0.01,0.01,0.446,0.092,0.232
0.067,0.053,0.109,0.086,0.274,0.129,0.344,0.021,0.209,0.076,0.034,0.113,0.051,0.174,0.26
0.157,0.041,0.15,0.002,0.161,0.133,0.015,0.374,0.053,0.058,0.106,0.095,0.091,0.18,0.138
0.235,0.181,0.019,0.055,0.028,0.134,0.081,0.138,0.078,0.319,0.138,0.225,0.191,0.116,0.026
0.123,0.092,0.08,0.036,0.205,0.194,0.072,0.133,0.024,0.294,0.111,0.018,0.056,0.324,0.16
0.344,0.103,0.161,0.228,0.121,0.245,0.104,0.062,0.089,0.089,0.022,0.053,0.011,0.332,0.282
0.057,0.116,0.037,0.167,0.132,0.209,0.065,0.177,0.135,0.033,0.481,0.291,0.128,0.061,0.392
0.121,0.027,0.142,0.159,0.03,0.25,0.146,0.171,0.17,0.112,0.149,0.089,0.164,0.244,0.16
0.082,0.071,0.052,0.038,0.002,0.191,0.014,0.27,0.092,0.012,0.03,0.084,0.279,0.191,0.372
0.031,0.025,0.319,0.248,0.052,0.188,0.216,0.196,0.127,0.063,0.591,0.092,0.114,0.166,0.027
0.026,0.064,0.155,0.17,0.097,0.088,0.122,0.0,0.044,0.005,0.007,0.011,0.237,0.158,0.348
0.051,0.214,0.133,0.025,0.234,0.208,0.063,0.053,0.138,0.016,0.077,0.125,0.102,0.252,0.078
0.038,0.03,0.03,0.152,0.086,0.074,0.076,0.205,0.018,0.068,0.027,0.03,0.171,0.01,0.48
0.01,0.106,0.015,0.197,0.107,0.079,0.106,0.088,0.249,0.224,0.15,0.071,0.046,0.093,0.26
0.009,0.159,0.181,0.132,0.131,0.082,0.194,0.076,0.008,0.234,0.192,0.104,0.074,0.202,0.072
0.119,0.218,0.204,0.118,0.234,0.158,0.24,0.13,0.208,0.126,0.069,0.015,0.058,0.195,0.146
0.256,0.042,0.029,0.043,0.012,0.334,0.065,0.064,0.147,0.296,0.003,0.011,0.248,0.134,0.054
0.231,0.01,0.112,0.254,0.074,0.035,0.289,0.21,0.048,0.039,0.012,0.154,0.142,0.096,0.235
0.022,0.023,0.031,0.249,0.204,0.199,0.136,0.082,0.204,0.292,0.116,0.004,0.215,0.138,0.203
0.302,0.144,0.154,0.127,0.26,0.189,0.108,0.067,0.187,0.132,0.091,0.216,0.119,0.243,0.198
0.022,0.065,0.045,0.171,0.154,0.118,0.167,0.171,0.035,0.1,0.107,0.334,0.063,0.015,0.064
