@RELATION Chinatown

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE att4 NUMERIC
@ATTRIBUTE att5 NUMERIC
@ATTRIBUTE att6 NUMERIC
@ATTRIBUTE att7 NUMERIC
@ATTRIBUTE att8 NUMERIC
@ATTRIBUTE att9 NUMERIC
@ATTRIBUTE att10 NUMERIC
@ATTRIBUTE att11 NUMERIC
@ATTRIBUTE att12 NUMERIC
@ATTRIBUTE att13 NUMERIC
@ATTRIBUTE att14 NUMERIC
@ATTRIBUTE att15 NUMERIC
@ATTRIBUTE att16 NUMERIC
@ATTRIBUTE att17 NUMERIC
@ATTRIBUTE att18 NUMERIC
@ATTRIBUTE att19 NUMERIC
@ATTRIBUTE att20 NUMERIC
@ATTRIBUTE att21 NUMERIC
@ATTRIBUTE att22 NUMERIC
@ATTRIBUTE att23 NUMERIC
@ATTRIBUTE att24 NUMERIC
@ATTRIBUTE target {1.0, 2.0}

@DATA
684.57,354.389,325.336,211.495,74.431,-15.801,31.538,32.775,46.168,160.453,302.18,895.627,705.037,1253.7,1216.262,887.607,845.151,816.955,711.589,955.557,1175.742,695.929,275.932,-792.179,1.0
338.283,160.492,57.372,166.858,89.526,21.029,20.473,29.124,51.066,204.183,368.327,450.765,1298.373,1338.049,1291.579,1280.796,907.442,1451.46,1728.944,765.142,622.692,665.585,2718.295,386.679,1.0
608.212,314.928,258.203,260.634,95.111,37.287,54.481,20.351,57.941,137.346,430.921,1066.141,1417.167,1531.309,993.936,1442.314,1358.396,564.711,1134.666,1338.325,682.54,809.063,-192.604,381.552,1.0
611.219,307.138,335.563,117.206,69.732,77.273,18.856,16.287,166.128,167.145,397.511,807.238,1576.658,1071.478,1399.936,1849.612,2305.711,1553.197,1128.937,1755.778,890.356,1058.965,1334.986,536.521,1.0
342.833,452.105,249.064,159.626,66.524,40.877,26.876,-17.789,130.129,361.053,327.793,747.03,1276.336,1375.575,1026.871,1615.711,1121.042,954.638,361.638,943.957,146.104,649.118,534.833,449.682,1.0
416.289,-123.324,167.933,199.598,64.056,-1.91,28.615,42.516,116.562,52.053,308.364,435.445,985.978,1109.49,628.639,805.02,597.604,1016.022,1046.245,1213.857,109.638,877.425,366.142,216.822,1.0
564.354,243.455,222.069,93.478,43.095,38.07,42.271,46.299,141.985,103.672,357.018,619.435,1173.312,1411.71,1300.689,1303.518,1359.564,1339.845,1403.844,1396.326,1435.921,1959.647,1098.321,-113.79,1.0
701.869,402.52,115.484,-272.069,131.731,27.746,40.191,95.704,155.882,160.256,451.102,851.639,1541.987,1640.315,2444.615,1691.48,2017.093,1641.307,1728.246,1885.184,1803.711,1339.041,1324.774,-190.838,1.0
516.894,377.762,364.38,99.836,107.028,68.299,36.653,120.694,212.46,327.218,530.2,725.454,1181.498,1031.702,1590.074,1560.979,1206.56,1671.439,1583.102,1878.287,2147.725,2116.923,1612.158,944.324,1.0
735.763,411.064,146.255,-111.174,155.482,40.077,21.012,103.811,42.694,16.372,308.674,613.242,1032.32,1333.867,1649.936,973.819,1112.825,1137.216,1506.756,1675.072,1633.139,1807.583,1936.03,1025.801,1.0
85.992,111.968,-174.94,16.584,7.757,7.532,-6.101,55.45,135.406,229.54,371.406,625.955,1267.614,1252.65,1241.437,1452.38,1382.058,1238.737,1270.746,1314.176,821.48,979.343,374.364,350.787,2.0
187.804,26.87,31.973,23.515,11.018,26.495,13.314,110.619,186.929,198.507,489.022,793.078,1408.798,1325.82,997.821,850.103,815.54,1260.896,1838.347,2143.662,1215.369,1014.391,755.6,492.882,2.0
148.936,16.146,108.76,13.051,8.226,13.618,14.374,75.72,283.752,195.098,127.923,482.959,1064.41,928.638,915.438,762.843,826.697,1029.736,1258.39,1362.393,779.535,1218.472,504.77,315.468,2.0
241.8,-7.35,42.278,45.996,6.066,14.987,16.618,90.444,263.975,322.758,372.255,728.789,1016.279,1133.288,1097.274,1048.145,1116.093,1257.467,1263.613,428.864,1293.124,586.43,-59.027,213.108,2.0
303.81,-8.835,-122.677,46.807,44.808,8.911,30.307,-35.075,-54.987,222.506,432.032,892.677,1329.116,1422.985,983.509,693.341,1432.872,1035.854,2050.135,1881.538,1824.65,914.325,904.763,562.109,2.0
320.829,-31.862,170.887,486.201,36.885,26.358,43.938,80.456,-64.413,195.063,342.768,730.2,1410.784,994.723,1006.586,1309.938,1246.376,1648.525,1478.999,2008.209,1031.463,937.369,533.377,169.068,2.0
145.94,33.475,199.655,-36.012,21.7,11.474,25.223,99.985,-51.439,219.534,384.947,629.097,1281.141,1245.094,740.8,1056.941,1030.493,1060.354,1121.589,1549.2,1078.987,503.634,500.138,-474.623,2.0
-17.334,94.136,-331.767,94.103,-22.74,34.787,21.322,126.58,163.149,287.225,313.476,416.255,1024.895,1370.238,976.463,858.179,830.498,1290.809,1400.146,1086.691,993.974,1010.031,914.128,-279.512,2.0
269.853,83.712,-4.383,67.763,-46.287,68.381,35.408,113.16,271.924,396.406,327.651,590.496,1091.748,1739.293,867.221,1062.054,1092.662,1042.419,1194.208,1119.425,902.804,808.359,738.756,-436.984,2.0
86.47,-274.969,53.41,49.667,46.847,0.376,31.404,144.001,189.42,253.946,343.448,524.97,1081.34,915.99,1657.44,826.6,882.557,917.255,935.347,869.978,799.993,272.298,-76.225,469.44,2.0
