@RELATION ItalyPowerDemand

@ATTRIBUTE att1_err NUMERIC
@ATTRIBUTE att2_err NUMERIC
@ATTRIBUTE att3_err NUMERIC
@ATTRIBUTE att4_err NUMERIC
@ATTRIBUTE att5_err NUMERIC
@ATTRIBUTE att6_err NUMERIC
@ATTRIBUTE att7_err NUMERIC
@ATTRIBUTE att8_err NUMERIC
@ATTRIBUTE att9_err NUMERIC
@ATTRIBUTE att10_err NUMERIC
@ATTRIBUTE att11_err NUMERIC
@ATTRIBUTE att12_err NUMERIC
@ATTRIBUTE att13_err NUMERIC
@ATTRIBUTE att14_err NUMERIC
@ATTRIBUTE att15_err NUMERIC
@ATTRIBUTE att16_err NUMERIC
@ATTRIBUTE att17_err NUMERIC
@ATTRIBUTE att18_err NUMERIC
@ATTRIBUTE att19_err NUMERIC
@ATTRIBUTE att20_err NUMERIC
@ATTRIBUTE att21_err NUMERIC
@ATTRIBUTE att22_err NUMERIC
@ATTRIBUTE att23_err NUMERIC
@ATTRIBUTE att24_err NUMERIC

@DATA
0.53,0.377,0.412,0.223,0.142,0.002,0.305,0.072,0.08,0.161,0.246,0.028,0.213,0.347,0.351,0.474,0.147,0.223,0.282,0.24,0.473,0.991,0.387,0.709
0.041,0.441,0.089,0.072,0.1,0.284,0.199,0.406,0.267,0.154,0.56,0.568,0.234,0.074,0.078,0.082,0.886,0.554,0.467,0.443,0.283,1.026,1.162,0.355
0.498,0.123,0.519,0.772,0.237,0.064,0.429,0.849,0.901,0.423,0.883,0.005,0.2,0.164,0.156,1.102,0.444,0.148,1.409,0.049,0.853,0.224,0.425,0.191
0.103,0.669,0.634,0.083,0.308,0.013,0.093,0.696,1.49,0.012,0.071,0.2,0.5,0.137,0.035,0.132,0.365,0.664,0.191,1.209,1.003,0.853,0.557,0.662
0.248,0.144,0.051,0.193,0.087,0.228,0.043,0.757,0.432,0.058,0.538,0.487,0.001,0.402,0.502,0.62,0.297,0.563,0.153,0.001,0.077,0.145,0.23,0.495
0.501,0.106,0.406,0.17,0.002,0.298,0.133,0.255,0.669,0.114,0.706,0.496,0.154,0.072,0.302,0.756,0.283,1.159,0.037,1.084,1.439,0.783,0.932,0.876
0.419,0.644,0.209,0.238,0.344,0.308,0.133,0.782,0.099,0.699,0.037,0.216,0.353,0.101,0.258,0.49,0.876,0.341,0.694,0.413,1.48,0.588,0.537,0.474
0.326,0.003,0.258,0.231,0.592,0.064,0.046,0.552,0.061,0.427,0.183,0.858,0.345,0.189,0.444,0.667,0.208,0.55,0.229,0.139,0.335,0.034,0.328,0.503
0.573,0.303,0.176,0.147,0.021,0.2,0.394,0.882,0.811,0.018,0.115,0.239,0.046,0.156,0.392,0.202,0.388,0.105,0.161,0.99,0.424,0.242,0.936,0.368
0.873,1.349,0.007,0.487,0.533,0.025,0.302,0.066,0.127,0.709,0.986,0.086,0.121,0.27,0.057,0.266,0.042,0.571,0.585,0.351,0.122,1.451,0.314,1.535
0.26,0.913,0.007,0.453,0.217,0.184,0.21,0.426,0.906,0.482,0.527,0.318,0.191,0.165,0.535,0.737,0.757,0.229,0.0,0.181,0.554,0.605,0.083,0.531
0.1,0.952,0.117,0.026,0.668,0.461,0.27,0.019,0.358,0.078,0.833,0.001,0.248,0.032,0.242,0.275,0.098,0.285,0.895,0.946,0.062,0.944,0.395,0.145
1.327,0.083,0.405,0.058,0.46,0.367,0.014,0.176,0.819,1.743,0.763,0.07,0.279,0.751,0.269,0.444,0.14,0.406,0.005,0.553,1.13,0.387,0.676,0.185
0.587,0.772,0.001,0.079,0.178,0.131,0.011,0.736,0.395,0.234,0.061,0.274,0.2,0.439,0.498,0.134,0.303,0.193,0.18,1.315,0.781,0.337,0.41,0.684
0.153,0.384,0.361,0.206,0.067,0.159,0.058,0.292,0.031,1.006,0.176,0.3,0.108,0.42,0.577,0.548,0.503,0.554,0.592,0.58,0.325,0.564,0.323,0.916
1.559,0.046,0.131,0.349,0.098,0.057,0.349,1.077,0.3,0.797,0.075,0.127,0.393,0.528,0.108,0.013,0.039,0.249,0.179,0.263,0.896,0.425,0.803,0.607
0.868,0.11,0.007,0.122,0.09,0.099,0.02,0.785,0.669,0.061,0.24,0.22,0.512,0.258,0.381,0.233,0.591,0.6,0.188,0.493,0.165,0.191,0.581,0.277
1.002,0.255,0.342,0.354,0.114,0.466,0.133,0.57,0.552,0.837,0.381,0.481,0.185,0.031,0.601,0.077,0.305,0.543,0.498,0.153,1.073,0.488,0.704,0.207
0.263,0.048,0.262,0.112,0.059,0.105,0.065,0.305,1.069,0.298,0.376,0.297,0.298,0.124,0.366,0.692,0.432,0.991,0.843,0.303,0.669,1.276,0.763,0.095
0.782,0.067,0.301,0.643,0.55,0.306,0.641,0.266,0.868,0.027,0.158,0.509,0.205,0.373,0.579,0.133,0.573,0.908,0.175,0.112,0.271,0.571,0.556,0.729
