@RELATION SmoothSubspace

@ATTRIBUTE att1_err NUMERIC
@ATTRIBUTE att2_err NUMERIC
@ATTRIBUTE att3_err NUMERIC
@ATTRIBUTE att4_err NUMERIC
@ATTRIBUTE att5_err NUMERIC
@ATTRIBUTE att6_err NUMERIC
@ATTRIBUTE att7_err NUMERIC
@ATTRIBUTE att8_err NUMERIC
@ATTRIBUTE att9_err NUMERIC
@ATTRIBUTE att10_err NUMERIC
@ATTRIBUTE att11_err NUMERIC
@ATTRIBUTE att12_err NUMERIC
@ATTRIBUTE att13_err NUMERIC
@ATTRIBUTE att14_err NUMERIC
@ATTRIBUTE att15_err NUMERIC

@DATA
0.367,0.486,0.112,0.11,0.502,0.314,0.406,0.283,0.083,0.065,0.489,0.484,0.171,0.236,0.033
0.093,0.01,0.236,0.039,0.139,0.139,0.092,0.212,0.549,0.064,0.623,0.009,0.178,0.587,0.032
0.47,0.298,0.367,0.209,0.396,0.0,0.06,0.133,0.402,0.039,0.066,0.645,0.501,0.255,0.408
0.162,0.155,0.173,0.164,0.233,0.018,0.165,0.102,0.017,0.085,0.017,0.05,0.131,0.216,0.5
0.412,0.078,0.002,0.054,0.066,0.138,0.64,0.103,0.225,0.363,0.082,0.087,0.061,0.337,0.287
0.089,0.034,0.16,0.498,0.083,0.123,0.002,0.324,0.63,0.143,0.305,0.406,0.501,0.111,0.417
0.12,0.257,0.034,0.204,0.307,0.22,0.174,0.408,0.02,0.061,0.231,0.049,0.291,0.297,0.374
0.741,0.443,0.376,0.06,0.443,0.857,0.378,0.073,0.229,0.565,0.115,0.051,0.009,0.172,0.181
0.263,0.035,0.406,0.008,0.352,0.165,0.177,0.543,0.129,0.151,0.443,0.038,0.298,0.53,0.113
0.514,0.15,0.431,0.164,0.168,0.276,0.212,0.162,0.57,0.373,0.405,0.167,0.226,0.46,0.277
0.069,0.138,0.009,0.397,0.24,0.758,0.027,0.054,0.287,0.052,0.279,0.312,0.26,0.392,0.39
0.042,0.117,0.304,0.136,0.114,0.274,0.726,0.258,0.094,0.132,0.315,0.297,0.019,0.051,0.217
0.13,0.198,0.381,0.057,0.146,0.296,0.068,0.24,0.469,0.691,0.596,0.147,0.188,0.639,0.097
0.009,0.046,0.228,0.08,0.018,0.363,0.514,0.013,0.228,0.047,0.244,0.078,0.253,0.124,0.197
0.203,0.053,0.792,0.22,0.125,0.082,0.254,0.005,0.097,0.865,0.174,0.022,0.257,0.042,0.106
0.005,0.312,0.069,0.128,0.403,0.124,0.763,0.745,0.436,0.29,0.568,0.154,0.8,0.141,0.266
0.219,0.75,0.068,0.2,0.327,0.275,0.036,0.375,0.092,0.51,0.241,0.149,0.235,0.068,0.244
0.029,0.219,0.279,0.144,0.243,0.03,0.782,0.493,0.315,0.178,0.027,0.354,0.237,0.201,0.023
0.342,0.234,0.334,0.232,0.083,0.294,0.077,0.059,0.091,0.028,0.075,0.308,0.42,0.052,0.319
0.024,0.105,0.413,0.017,0.029,0.141,0.041,0.062,0.308,0.313,0.021,0.02,0.893,0.184,0.465
0.135,0.106,0.218,0.172,0.548,0.259,0.688,0.042,0.418,0.152,0.067,0.227,0.101,0.349,0.521
0.314,0.082,0.301,0.004,0.321,0.265,0.031,0.749,0.106,0.115,0.212,0.191,0.182,0.36,0.276
0.471,0.363,0.038,0.11,0.056,0.267,0.161,0.276,0.157,0.637,0.277,0.45,0.381,0.231,0.053
