@RELATION SmoothSubspace

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE att4 NUMERIC
@ATTRIBUTE att5 NUMERIC
@ATTRIBUTE att6 NUMERIC
@ATTRIBUTE att7 NUMERIC
@ATTRIBUTE att8 NUMERIC
@ATTRIBUTE att9 NUMERIC
@ATTRIBUTE att10 NUMERIC
@ATTRIBUTE att11 NUMERIC
@ATTRIBUTE att12 NUMERIC
@ATTRIBUTE att13 NUMERIC
@ATTRIBUTE att14 NUMERIC
@ATTRIBUTE att15 NUMERIC
@ATTRIBUTE target {1.0, 2.0, 3.0}

@DATA
0.748,0.465,0.865,0.643,0.399,1.079,0.673,0.226,0.493,0.483,-0.243,-0.936,0.283,1.098,0.425,1.0
0.525,0.656,0.431,0.543,0.59,0.338,0.396,0.022,0.754,0.75,1.867,0.24,1.022,0.094,0.558,1.0
0.375,0.885,0.814,0.256,0.961,0.442,0.267,0.256,0.807,0.11,0.55,1.558,0.132,0.725,0.125,1.0
0.791,0.417,0.775,0.586,0.909,0.558,0.717,-0.095,0.162,0.443,0.678,0.487,0.734,0.744,-0.266,1.0
0.712,0.512,0.729,0.453,0.545,0.823,0.39,0.564,0.203,0.509,0.564,0.128,0.617,-0.384,1.057,1.0
0.518,0.509,0.721,0.468,0.621,0.696,0.133,0.502,0.217,0.239,0.22,0.28,1.06,0.809,0.866,1.0
0.35,0.588,0.568,0.735,1.188,0.686,0.199,0.109,0.445,0.458,1.106,0.834,0.511,0.771,1.5,1.0
0.135,0.526,0.219,0.586,0.298,-0.487,1.156,0.274,-0.025,-0.35,0.498,0.732,0.723,0.359,0.3,1.0
0.967,0.729,0.056,0.496,0.645,0.113,0.552,0.634,0.883,0.564,-0.048,0.095,0.393,0.183,0.221,1.0
0.526,0.609,0.31,0.609,0.701,0.356,-0.234,0.508,0.315,0.783,0.893,0.449,0.434,0.923,0.811,1.0
0.446,0.725,0.667,0.342,0.631,1.092,0.604,0.471,0.533,0.953,0.827,0.676,0.293,0.471,-0.234,1.0
0.461,0.407,0.529,0.568,0.791,0.828,1.823,0.727,0.114,0.324,-0.236,0.665,0.469,0.425,1.083,1.0
0.676,0.517,1.217,0.55,0.565,0.751,0.757,0.382,0.899,1.251,0.857,0.425,0.501,0.126,0.787,1.0
0.606,0.553,0.707,0.371,0.639,0.99,0.723,0.145,0.574,0.702,0.261,0.723,1.059,1.051,0.458,1.0
0.668,0.638,0.892,0.568,0.684,0.582,0.029,0.336,0.942,1.052,0.287,0.205,0.072,0.874,0.811,1.0
0.433,0.783,0.736,0.636,1.039,0.273,0.981,-0.014,0.594,0.627,1.67,0.635,2.766,0.206,0.499,1.0
0.837,0.342,0.768,0.398,0.128,0.546,0.208,0.598,0.811,0.778,0.462,0.703,0.563,0.491,0.342,1.0
0.394,1.154,0.055,0.41,0.448,0.412,-1.3,0.458,0.504,0.355,0.345,0.491,0.998,0.445,0.604,1.0
-0.038,0.755,0.862,0.742,0.443,0.699,0.141,0.059,0.404,0.667,0.986,0.966,0.321,-0.028,1.012,1.0
0.459,0.799,0.401,0.489,0.542,0.264,1.053,0.738,0.829,1.215,0.538,0.616,-0.131,0.588,0.142,1.0
0.654,0.818,0.617,0.424,0.486,-0.138,1.52,0.137,-0.481,0.773,0.586,1.066,0.406,0.508,0.265,1.0
0.413,0.595,0.875,0.455,0.339,-0.34,0.938,0.786,0.306,0.812,0.466,0.393,0.338,0.733,0.062,1.0
0.497,0.738,0.756,0.608,0.612,0.483,0.98,0.189,0.409,0.771,0.637,0.799,0.29,-0.202,0.594,1.0
0.574,0.696,0.449,0.494,0.324,-0.277,0.454,-0.494,0.872,0.809,0.289,0.377,-0.085,0.396,0.669,1.0
-0.127,0.363,0.678,0.729,0.547,0.675,0.981,0.408,0.746,0.959,0.753,0.632,0.781,-0.747,0.276,1.0
0.715,0.698,0.585,0.175,0.647,-0.067,0.526,0.312,0.378,1.007,0.231,-0.788,0.509,0.751,0.906,1.0
0.406,0.716,0.823,0.245,0.594,0.241,1.238,0.634,0.709,0.684,0.807,0.712,-0.047,-0.633,0.401,1.0
