@RELATION ItalyPowerDemand

@ATTRIBUTE att1_err NUMERIC
@ATTRIBUTE att2_err NUMERIC
@ATTRIBUTE att3_err NUMERIC
@ATTRIBUTE att4_err NUMERIC
@ATTRIBUTE att5_err NUMERIC
@ATTRIBUTE att6_err NUMERIC
@ATTRIBUTE att7_err NUMERIC
@ATTRIBUTE att8_err NUMERIC
@ATTRIBUTE att9_err NUMERIC
@ATTRIBUTE att10_err NUMERIC
@ATTRIBUTE att11_err NUMERIC
@ATTRIBUTE att12_err NUMERIC
@ATTRIBUTE att13_err NUMERIC
@ATTRIBUTE att14_err NUMERIC
@ATTRIBUTE att15_err NUMERIC
@ATTRIBUTE att16_err NUMERIC
@ATTRIBUTE att17_err NUMERIC
@ATTRIBUTE att18_err NUMERIC
@ATTRIBUTE att19_err NUMERIC
@ATTRIBUTE att20_err NUMERIC
@ATTRIBUTE att21_err NUMERIC
@ATTRIBUTE att22_err NUMERIC
@ATTRIBUTE att23_err NUMERIC
@ATTRIBUTE att24_err NUMERIC

@DATA
0.159,0.113,0.124,0.067,0.043,0.0,0.091,0.022,0.024,0.048,0.074,0.008,0.064,0.104,0.105,0.142,0.044,0.067,0.085,0.072,0.142,0.297,0.116,0.213
0.012,0.132,0.027,0.022,0.03,0.085,0.06,0.122,0.08,0.046,0.168,0.171,0.07,0.022,0.024,0.025,0.266,0.166,0.14,0.133,0.085,0.308,0.348,0.106
0.149,0.037,0.156,0.231,0.071,0.019,0.129,0.255,0.27,0.127,0.265,0.002,0.06,0.049,0.047,0.331,0.133,0.044,0.423,0.015,0.256,0.067,0.128,0.057
0.031,0.201,0.19,0.025,0.092,0.004,0.028,0.209,0.447,0.004,0.021,0.06,0.15,0.041,0.01,0.04,0.11,0.199,0.057,0.363,0.301,0.256,0.167,0.199
0.075,0.043,0.015,0.058,0.026,0.068,0.013,0.227,0.13,0.017,0.161,0.146,0.0,0.121,0.151,0.186,0.089,0.169,0.046,0.0,0.023,0.043,0.069,0.149
0.15,0.032,0.122,0.051,0.001,0.089,0.04,0.077,0.201,0.034,0.212,0.149,0.046,0.022,0.091,0.227,0.085,0.348,0.011,0.325,0.432,0.235,0.28,0.263
0.126,0.193,0.063,0.071,0.103,0.092,0.04,0.235,0.03,0.21,0.011,0.065,0.106,0.03,0.078,0.147,0.263,0.102,0.208,0.124,0.444,0.176,0.161,0.142
0.098,0.001,0.077,0.069,0.178,0.019,0.014,0.166,0.018,0.128,0.055,0.257,0.104,0.057,0.133,0.2,0.062,0.165,0.069,0.042,0.101,0.01,0.098,0.151
0.172,0.091,0.053,0.044,0.006,0.06,0.118,0.265,0.243,0.005,0.034,0.072,0.014,0.047,0.117,0.061,0.117,0.031,0.048,0.297,0.127,0.073,0.281,0.11
0.262,0.405,0.002,0.146,0.16,0.007,0.09,0.02,0.038,0.213,0.296,0.026,0.036,0.081,0.017,0.08,0.012,0.171,0.176,0.105,0.037,0.435,0.094,0.46
0.078,0.274,0.002,0.136,0.065,0.055,0.063,0.128,0.272,0.145,0.158,0.095,0.057,0.05,0.161,0.221,0.227,0.069,0.0,0.054,0.166,0.182,0.025,0.159
0.03,0.286,0.035,0.008,0.2,0.138,0.081,0.006,0.107,0.023,0.25,0.0,0.074,0.01,0.073,0.082,0.029,0.086,0.268,0.284,0.019,0.283,0.119,0.043
0.398,0.025,0.121,0.017,0.138,0.11,0.004,0.053,0.246,0.523,0.229,0.021,0.084,0.225,0.081,0.133,0.042,0.122,0.001,0.166,0.339,0.116,0.203,0.056
0.176,0.232,0.0,0.024,0.053,0.039,0.003,0.221,0.118,0.07,0.018,0.082,0.06,0.132,0.149,0.04,0.091,0.058,0.054,0.395,0.234,0.101,0.123,0.205
0.046,0.115,0.108,0.062,0.02,0.048,0.017,0.088,0.009,0.302,0.053,0.09,0.032,0.126,0.173,0.164,0.151,0.166,0.177,0.174,0.098,0.169,0.097,0.275
0.468,0.014,0.039,0.105,0.029,0.017,0.105,0.323,0.09,0.239,0.023,0.038,0.118,0.158,0.032,0.004,0.012,0.075,0.054,0.079,0.269,0.127,0.241,0.182
0.26,0.033,0.002,0.037,0.027,0.03,0.006,0.236,0.201,0.018,0.072,0.066,0.154,0.077,0.114,0.07,0.177,0.18,0.057,0.148,0.049,0.057,0.174,0.083
0.301,0.076,0.102,0.106,0.034,0.14,0.04,0.171,0.166,0.251,0.114,0.144,0.056,0.009,0.18,0.023,0.091,0.163,0.149,0.046,0.322,0.146,0.211,0.062
0.079,0.014,0.078,0.034,0.018,0.032,0.02,0.092,0.321,0.089,0.113,0.089,0.089,0.037,0.11,0.208,0.13,0.297,0.253,0.091,0.201,0.383,0.229,0.028
0.235,0.02,0.09,0.193,0.165,0.092,0.192,0.08,0.26,0.008,0.047,0.153,0.061,0.112,0.174,0.04,0.172,0.273,0.052,0.034,0.081,0.171,0.167,0.219
0.121,0.23,0.081,0.167,0.123,0.132,0.154,0.114,0.101,0.24,0.02,0.219,0.021,0.043,0.258,0.147,0.108,0.159,0.463,0.004,0.008,0.11,0.256,0.195
0.04,0.148,0.05,0.037,0.031,0.001,0.029,0.007,0.081,0.108,0.032,0.086,0.056,0.06,0.1,0.062,0.184,0.168,0.171,0.011,0.019,0.159,0.12,0.343
0.139,0.151,0.044,0.071,0.073,0.018,0.055,0.278,0.03,0.098,0.052,0.047,0.086,0.094,0.095,0.082,0.03,0.014,0.283,0.061,0.167,0.017,0.12,0.224
0.053,0.009,0.042,0.143,0.013,0.005,0.071,0.115,0.05,0.081,0.306,0.0,0.097,0.022,0.046,0.081,0.11,0.157,0.042,0.035,0.103,0.223,0.102,0.154
