@RELATION BME

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE att4 NUMERIC
@ATTRIBUTE att5 NUMERIC
@ATTRIBUTE att6 NUMERIC
@ATTRIBUTE att7 NUMERIC
@ATTRIBUTE att8 NUMERIC
@ATTRIBUTE att9 NUMERIC
@ATTRIBUTE att10 NUMERIC
@ATTRIBUTE att11 NUMERIC
@ATTRIBUTE att12 NUMERIC
@ATTRIBUTE att13 NUMERIC
@ATTRIBUTE att14 NUMERIC
@ATTRIBUTE att15 NUMERIC
@ATTRIBUTE att16 NUMERIC
@ATTRIBUTE att17 NUMERIC
@ATTRIBUTE att18 NUMERIC
@ATTRIBUTE att19 NUMERIC
@ATTRIBUTE att20 NUMERIC
@ATTRIBUTE att21 NUMERIC
@ATTRIBUTE att22 NUMERIC
@ATTRIBUTE att23 NUMERIC
@ATTRIBUTE att24 NUMERIC
@ATTRIBUTE att25 NUMERIC
@ATTRIBUTE att26 NUMERIC
@ATTRIBUTE att27 NUMERIC
@ATTRIBUTE att28 NUMERIC
@ATTRIBUTE att29 NUMERIC
@ATTRIBUTE att30 NUMERIC
@ATTRIBUTE att31 NUMERIC
@ATTRIBUTE att32 NUMERIC
@ATTRIBUTE att33 NUMERIC
@ATTRIBUTE att34 NUMERIC
@ATTRIBUTE att35 NUMERIC
@ATTRIBUTE att36 NUMERIC
@ATTRIBUTE att37 NUMERIC
@ATTRIBUTE att38 NUMERIC
@ATTRIBUTE att39 NUMERIC
@ATTRIBUTE att40 NUMERIC
@ATTRIBUTE att41 NUMERIC
@ATTRIBUTE att42 NUMERIC
@ATTRIBUTE att43 NUMERIC
@ATTRIBUTE att44 NUMERIC
@ATTRIBUTE att45 NUMERIC
@ATTRIBUTE att46 NUMERIC
@ATTRIBUTE att47 NUMERIC
@ATTRIBUTE att48 NUMERIC
@ATTRIBUTE att49 NUMERIC
@ATTRIBUTE att50 NUMERIC
@ATTRIBUTE att51 NUMERIC
@ATTRIBUTE att52 NUMERIC
@ATTRIBUTE att53 NUMERIC
@ATTRIBUTE att54 NUMERIC
@ATTRIBUTE att55 NUMERIC
@ATTRIBUTE att56 NUMERIC
@ATTRIBUTE att57 NUMERIC
@ATTRIBUTE att58 NUMERIC
@ATTRIBUTE att59 NUMERIC
@ATTRIBUTE att60 NUMERIC
@ATTRIBUTE att61 NUMERIC
@ATTRIBUTE att62 NUMERIC
@ATTRIBUTE att63 NUMERIC
@ATTRIBUTE att64 NUMERIC
@ATTRIBUTE att65 NUMERIC
@ATTRIBUTE att66 NUMERIC
@ATTRIBUTE att67 NUMERIC
@ATTRIBUTE att68 NUMERIC
@ATTRIBUTE att69 NUMERIC
@ATTRIBUTE att70 NUMERIC
@ATTRIBUTE att71 NUMERIC
@ATTRIBUTE att72 NUMERIC
@ATTRIBUTE att73 NUMERIC
@ATTRIBUTE att74 NUMERIC
@ATTRIBUTE att75 NUMERIC
@ATTRIBUTE att76 NUMERIC
@ATTRIBUTE att77 NUMERIC
@ATTRIBUTE att78 NUMERIC
@ATTRIBUTE att79 NUMERIC
@ATTRIBUTE att80 NUMERIC
@ATTRIBUTE att81 NUMERIC
@ATTRIBUTE att82 NUMERIC
@ATTRIBUTE att83 NUMERIC
@ATTRIBUTE att84 NUMERIC
@ATTRIBUTE att85 NUMERIC
@ATTRIBUTE att86 NUMERIC
@ATTRIBUTE att87 NUMERIC
@ATTRIBUTE att88 NUMERIC
@ATTRIBUTE att89 NUMERIC
@ATTRIBUTE att90 NUMERIC
@ATTRIBUTE att91 NUMERIC
@ATTRIBUTE att92 NUMERIC
@ATTRIBUTE att93 NUMERIC
@ATTRIBUTE att94 NUMERIC
@ATTRIBUTE att95 NUMERIC
@ATTRIBUTE att96 NUMERIC
@ATTRIBUTE att97 NUMERIC
@ATTRIBUTE att98 NUMERIC
@ATTRIBUTE att99 NUMERIC
@ATTRIBUTE att100 NUMERIC
@ATTRIBUTE att101 NUMERIC
@ATTRIBUTE att102 NUMERIC
@ATTRIBUTE att103 NUMERIC
@ATTRIBUTE att104 NUMERIC
@ATTRIBUTE att105 NUMERIC
@ATTRIBUTE att106 NUMERIC
@ATTRIBUTE att107 NUMERIC
@ATTRIBUTE att108 NUMERIC
@ATTRIBUTE att109 NUMERIC
@ATTRIBUTE att110 NUMERIC
@ATTRIBUTE att111 NUMERIC
@ATTRIBUTE att112 NUMERIC
@ATTRIBUTE att113 NUMERIC
@ATTRIBUTE att114 NUMERIC
@ATTRIBUTE att115 NUMERIC
@ATTRIBUTE att116 NUMERIC
@ATTRIBUTE att117 NUMERIC
@ATTRIBUTE att118 NUMERIC
@ATTRIBUTE att119 NUMERIC
@ATTRIBUTE att120 NUMERIC
@ATTRIBUTE att121 NUMERIC
@ATTRIBUTE att122 NUMERIC
@ATTRIBUTE att123 NUMERIC
@ATTRIBUTE att124 NUMERIC
@ATTRIBUTE att125 NUMERIC
@ATTRIBUTE att126 NUMERIC
@ATTRIBUTE att127 NUMERIC
@ATTRIBUTE att128 NUMERIC
@ATTRIBUTE target {1.0, 2.0, 3.0}

@DATA
0.058,-0.002,0.005,0.02,0.023,0.141,0.587,0.708,1.333,1.005,1.005,1.001,1.468,0.615,0.656,0.388,0.144,0.143,0.188,0.006,0.038,0.045,0.032,0.056,0.008,0.059,0.038,0.063,0.048,0.02,0.013,0.016,0.014,0.042,-0.024,-0.059,-0.055,-0.135,-0.634,-0.969,-1.249,-0.844,-0.861,-0.368,-0.794,-0.811,-1.985,-1.074,-0.507,-1.067,-0.491,-1.794,-0.678,-1.171,-0.966,-1.388,-0.594,-0.918,-0.816,-1.082,-0.909,-0.929,-0.865,-1.451,-0.973,-0.788,-1.472,-1.2,-0.799,-0.929,-0.887,-0.848,-0.921,-0.94,-0.958,-1.042,-0.4,-0.494,-2.06,-0.632,-2.026,-0.087,-1.413,-0.647,-0.084,-0.803,-0.432,-0.232,-0.368,-0.544,-0.283,-0.781,-0.289,-0.114,-0.035,0.237,-0.061,-0.109,0.083,-0.004,0.15,0.035,0.137,0.141,0.029,0.017,0.028,0.017,0.08,0.282,0.031,0.169,0.212,-0.08,0.216,0.015,0.041,-0.092,0.193,0.018,-0.006,0.039,0.031,0.054,0.08,0.03,0.057,0.019,1.0
-0.005,0.039,0.004,0.022,0.037,0.058,0.073,0.315,0.58,0.304,0.677,0.444,0.196,-0.216,0.077,0.108,-0.005,0.127,0.052,0.035,0.008,0.001,0.044,0.032,0.02,-0.01,0.029,0.04,0.006,0.011,0.037,0.018,-0.004,0.019,-0.049,-0.35,-0.628,-0.786,-1.733,-0.394,-0.101,-1.126,-0.939,-0.97,-1.077,-1.015,-1.002,-1.032,-0.486,-1.188,-0.597,-1.121,-0.967,-0.797,-1.288,-0.824,-0.98,-1.937,-0.335,-0.484,-1.221,-0.745,-0.822,-1.449,-0.743,-1.186,-0.938,-1.216,-1.029,-1.529,-0.871,-1.168,-0.861,-0.343,-2.688,-0.787,1.461,-2.071,-1.856,-1.0,-1.762,-0.598,0.124,0.335,-0.145,0.294,0.006,-0.006,-0.085,0.499,0.056,-0.159,-0.132,-0.075,0.055,0.438,-0.009,-0.311,0.22,0.035,0.238,0.031,0.032,-0.006,0.026,0.018,0.049,0.068,0.022,-0.484,0.038,-0.025,0.421,0.045,0.176,-0.076,0.07,0.145,0.165,0.032,0.158,0.055,0.044,0.046,0.022,0.009,0.029,0.019,1.0
0.023,-0.016,0.038,-0.009,0.126,0.385,0.797,0.699,0.931,0.827,0.903,0.363,0.237,0.078,0.056,0.038,0.152,0.057,-0.204,0.161,0.006,0.037,0.007,0.003,0.036,-0.0,0.038,-0.0,0.029,0.056,0.031,0.02,0.009,0.112,-0.009,0.109,0.222,-0.278,-0.059,-0.348,-0.861,-0.861,-0.86,-0.433,-0.773,-0.612,-0.749,-0.479,-0.869,-2.151,-0.92,-0.951,-0.998,-1.586,-0.13,-1.43,-0.755,-0.896,-1.085,-1.111,-1.185,-2.349,-1.365,-0.967,-2.08,-0.919,-0.905,-1.044,-1.628,-1.27,-1.369,-1.228,-0.665,-0.988,-0.871,-2.446,-1.897,-0.876,-0.433,-0.015,0.731,-1.994,-0.767,-0.796,-1.399,-0.057,-0.595,-0.254,-0.215,0.01,0.646,-0.007,0.546,0.299,-0.107,0.115,-0.026,-0.048,0.233,-0.394,0.048,0.012,0.064,0.043,-0.025,0.023,0.04,0.062,0.082,-0.008,0.023,-0.068,0.011,0.11,-0.292,0.031,-0.235,-0.026,-0.006,0.007,0.159,0.008,0.026,0.016,0.033,0.03,0.036,0.043,1.0
0.0,0.019,0.015,-0.007,0.028,0.004,-0.021,0.068,0.342,0.656,0.743,0.816,0.982,0.455,0.738,0.463,0.076,0.196,0.069,0.035,0.027,0.034,0.006,0.0,0.034,0.024,0.027,0.022,0.014,0.017,0.024,0.052,0.017,0.004,-0.147,0.059,-0.003,0.024,0.163,-0.049,-0.128,0.115,-0.032,0.71,0.884,0.423,1.288,1.549,0.94,0.996,1.24,0.696,0.682,0.967,0.95,-0.319,1.613,1.077,1.298,1.672,2.106,1.307,1.274,1.615,0.994,0.082,0.683,0.799,0.881,1.13,0.815,2.399,1.894,0.688,0.725,1.245,0.803,1.048,0.34,1.089,0.851,1.925,0.988,1.008,1.06,0.986,0.213,0.595,0.445,0.028,0.04,0.11,-0.009,-0.352,0.025,-0.008,0.152,0.084,0.244,-0.051,0.279,0.188,-0.069,0.018,0.083,0.026,-0.058,-0.102,-0.01,0.018,0.007,0.007,-0.024,0.049,0.006,0.105,0.057,-0.004,-0.176,0.048,0.038,0.129,-0.004,0.019,0.017,0.005,0.021,0.033,1.0
0.048,0.058,0.037,0.046,0.059,0.024,0.028,-0.057,0.056,0.04,0.079,0.382,0.418,0.217,0.897,0.744,0.879,0.863,0.616,0.274,0.15,0.054,0.07,0.047,0.009,0.05,-0.001,0.016,0.021,-0.001,0.034,0.012,0.009,0.044,0.017,0.262,0.065,0.007,0.009,0.042,-0.36,-0.24,0.266,-0.059,-0.115,-0.662,-0.919,-0.877,-0.564,-0.817,-0.689,-3.929,-0.993,-0.936,-0.946,-0.024,-1.047,-1.885,-0.61,-1.447,-0.947,-1.038,-0.335,-1.013,-1.046,-0.969,-1.138,-1.067,-0.802,-0.884,-0.283,-1.433,0.954,-0.806,-1.445,-1.122,-2.077,-1.164,-1.115,-0.323,-1.865,-1.125,-0.737,-1.025,-1.278,-1.009,-1.118,-0.956,-1.371,-1.79,-0.985,-0.931,-1.182,-1.004,-1.014,-0.978,-0.914,-0.947,-0.927,-0.808,-0.861,-0.951,-0.511,-0.282,-0.171,-0.076,-0.005,0.015,0.039,-0.033,-0.398,0.14,0.293,0.253,0.59,-0.072,0.078,0.058,-0.095,0.061,0.056,0.011,0.016,-0.004,0.027,0.029,0.053,0.014,1.0
0.027,0.061,0.016,0.042,0.046,0.016,-0.537,0.017,0.049,0.067,0.764,0.63,0.651,0.487,0.983,1.441,0.818,0.586,0.293,0.144,0.047,0.067,0.07,-0.0,-0.0,0.018,0.003,0.013,0.037,0.05,0.029,0.047,-0.023,0.008,0.052,0.119,-0.021,0.009,0.295,0.122,0.112,-0.213,-0.515,-0.368,-0.308,-0.986,0.109,-1.047,-2.022,-0.952,-0.927,-0.952,-1.353,-1.396,-0.973,-0.935,-1.446,-1.022,-1.524,-0.301,-0.335,-0.979,-0.319,-1.044,-0.602,-1.314,-1.204,-0.672,-1.909,-0.63,-0.852,-0.357,-0.947,-0.479,-1.46,-1.055,-0.704,0.593,-1.056,-1.051,-0.683,-1.004,-0.748,0.546,-0.911,-0.962,-0.96,-0.912,-0.295,-0.047,-0.142,-0.124,0.104,0.098,-0.155,0.041,0.053,-0.001,0.046,0.024,-0.063,0.289,0.011,0.04,-0.006,0.013,0.094,0.019,0.098,-0.18,0.04,-0.139,0.021,-0.123,0.068,0.039,0.12,0.015,-0.012,0.094,0.042,0.026,0.079,0.064,0.043,0.04,0.056,0.032,1.0
0.048,0.032,0.013,0.034,0.004,0.025,-0.02,0.221,-0.037,0.066,0.129,0.412,0.702,1.051,0.933,0.889,0.627,0.271,0.179,0.086,0.088,0.041,0.016,0.003,0.034,0.04,0.012,0.014,0.008,-0.002,0.032,0.019,0.035,0.049,-0.07,0.072,0.08,-0.579,0.044,0.166,-0.686,-0.418,-0.774,-0.597,-0.986,-0.666,-1.176,-0.723,-2.211,-0.272,-2.382,-1.013,-1.641,-0.258,-1.048,-0.983,-0.964,-0.926,0.105,-0.907,-0.722,-0.711,-0.179,-0.988,-1.377,-1.021,-1.023,-1.948,-2.023,-1.063,-0.796,-1.043,-1.216,-1.202,-1.112,-1.488,-0.638,-0.959,-1.222,-1.286,-0.939,-0.597,-0.935,-0.754,-0.261,-1.862,-0.143,-1.011,-0.984,-1.031,-0.798,-0.973,-0.972,-1.088,-0.898,-1.123,-0.903,-1.618,-0.912,-0.864,-0.832,-0.644,-0.717,-0.28,-0.131,-0.055,-0.036,-0.034,-0.017,0.026,0.028,0.033,0.051,-0.103,0.236,-0.013,0.047,0.012,-0.085,-0.13,-0.028,0.022,0.056,0.048,0.041,0.04,0.024,0.014,1.0
0.014,0.004,0.003,0.004,0.007,0.226,-0.019,0.027,0.167,0.463,0.701,0.771,0.989,1.237,0.632,0.124,0.019,0.025,0.079,0.034,0.037,0.029,0.008,0.061,0.036,0.038,0.002,0.031,0.032,0.027,0.039,0.05,-0.001,-0.04,0.03,-0.006,-0.104,-0.021,-0.357,-0.858,-1.074,-0.31,-1.528,-0.946,-1.039,-0.993,-0.594,-1.0,-1.028,-0.931,-0.294,-1.077,-1.547,-1.286,-1.13,-0.759,-1.548,-0.998,-2.215,-0.335,-0.609,-1.018,-0.292,-1.98,-0.856,-1.241,-1.285,-2.631,-0.809,-1.194,-0.363,-1.041,-1.608,-1.481,-1.443,-0.842,-1.094,-1.163,-0.806,-0.917,-0.338,-1.682,-1.298,-0.991,-1.015,-1.009,-1.142,-0.439,-0.499,-0.594,0.017,0.012,0.248,0.058,-0.505,0.057,0.153,0.077,0.246,0.03,0.11,0.203,-0.0,0.027,0.074,0.05,0.016,0.025,-0.541,-0.125,0.079,0.08,-0.143,0.45,0.271,0.348,-0.086,-0.018,0.04,-0.007,0.001,0.041,0.041,0.035,0.045,0.007,0.026,0.041,1.0
0.047,0.025,0.002,0.04,0.046,0.083,0.129,0.117,0.834,0.932,1.014,1.054,0.965,1.094,1.117,0.895,1.119,0.986,0.648,0.379,0.145,0.057,0.065,0.034,0.013,0.029,0.03,0.014,0.018,0.038,0.02,0.075,-0.01,-0.053,0.046,0.022,0.071,0.07,0.102,-0.007,-0.274,1.001,1.641,-1.912,0.953,1.327,1.021,0.62,0.902,1.023,1.005,0.652,0.874,1.151,0.326,0.979,1.077,1.034,0.805,1.009,-1.421,0.86,0.496,1.004,1.11,1.296,1.306,0.181,1.061,1.001,1.091,1.688,2.209,1.137,1.866,0.724,0.159,1.134,1.265,0.976,1.344,1.209,0.369,1.248,1.443,0.857,0.397,0.113,0.064,0.01,0.059,-0.376,-0.203,-0.211,0.041,0.023,0.02,0.212,-0.039,0.195,-0.011,-0.012,-0.479,0.039,0.063,0.037,0.035,0.02,0.037,0.058,-0.419,-0.081,0.05,-0.455,0.07,-0.168,-0.576,0.041,-0.025,-0.039,-0.01,0.009,0.05,0.033,0.024,0.014,0.033,0.014,1.0
0.033,0.041,0.032,0.041,-0.004,-0.015,-0.079,0.012,0.201,0.599,0.548,1.173,1.283,1.042,0.519,0.266,0.101,0.054,0.043,-0.051,0.046,0.046,-0.003,0.023,0.025,0.02,0.035,0.01,0.029,0.012,0.014,-0.006,0.032,-0.003,0.003,0.021,0.033,-0.109,-0.186,-0.153,0.505,0.631,0.793,0.842,0.744,0.438,1.227,0.956,1.73,0.808,1.045,1.28,1.324,0.525,-1.393,-0.336,0.904,1.141,0.49,0.971,2.448,0.167,0.905,0.92,1.549,0.762,0.224,0.158,1.916,2.369,-0.391,0.437,-0.914,0.968,2.062,0.67,0.889,-0.956,0.804,0.869,2.967,1.053,0.356,1.324,-0.505,1.638,1.004,0.942,1.352,0.803,0.423,0.947,-0.237,-0.583,-0.002,0.039,0.055,-0.003,0.238,0.012,0.056,0.021,0.017,-0.007,-0.018,0.005,0.106,0.054,-0.168,0.125,0.029,0.011,-0.071,0.163,0.365,-0.221,0.242,0.04,0.279,-0.018,-0.015,-0.005,0.029,0.058,0.042,0.006,0.016,0.023,1.0
