@RELATION SmoothSubspace

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE att4 NUMERIC
@ATTRIBUTE att5 NUMERIC
@ATTRIBUTE att6 NUMERIC
@ATTRIBUTE att7 NUMERIC
@ATTRIBUTE att8 NUMERIC
@ATTRIBUTE att9 NUMERIC
@ATTRIBUTE att10 NUMERIC
@ATTRIBUTE att11 NUMERIC
@ATTRIBUTE att12 NUMERIC
@ATTRIBUTE att13 NUMERIC
@ATTRIBUTE att14 NUMERIC
@ATTRIBUTE att15 NUMERIC
@ATTRIBUTE target {1.0, 2.0, 3.0}

@DATA
0.926,0.366,1.029,0.74,0.225,1.213,0.679,0.157,0.554,0.547,-0.433,-1.589,0.194,1.545,0.424,1.0
0.531,0.661,0.212,0.537,0.585,0.35,0.395,-0.048,0.788,0.706,2.448,0.239,1.078,-0.133,0.545,1.0
0.347,1.068,0.831,0.076,1.203,0.442,0.316,0.295,0.84,0.118,0.56,2.336,0.173,0.759,0.17,1.0
0.896,0.277,0.778,0.675,1.103,0.557,0.626,-0.247,0.156,0.502,0.667,0.485,0.779,0.832,-0.616,1.0
0.856,0.452,0.73,0.481,0.52,0.872,0.127,0.535,0.193,0.42,0.599,0.181,0.598,-0.687,1.309,1.0
0.521,0.459,0.704,0.455,0.631,0.804,0.132,0.47,-0.008,0.187,0.13,-0.01,1.214,0.797,0.865,1.0
0.273,0.525,0.562,0.852,1.558,0.639,0.299,0.173,0.453,0.454,1.186,0.794,0.267,0.804,2.053,1.0
-0.085,0.447,-0.129,0.631,0.068,-1.203,1.353,0.192,-0.154,-0.626,0.329,0.745,0.719,0.254,0.2,1.0
1.252,0.753,-0.363,0.496,0.688,-0.082,0.428,0.938,0.946,0.541,-0.23,0.086,0.386,0.004,0.129,1.0
0.529,0.553,0.106,0.661,0.75,0.329,-0.528,0.491,0.315,0.94,1.077,0.528,0.482,0.984,0.74,1.0
0.432,0.821,0.666,0.27,0.63,1.264,0.592,0.434,0.533,0.974,0.938,0.634,0.297,0.688,-0.735,1.0
0.459,0.286,0.329,0.608,0.93,0.868,2.859,0.608,0.151,0.322,-0.464,0.741,0.465,0.442,1.24,1.0
0.745,0.451,1.492,0.56,0.543,0.629,0.821,0.497,1.24,1.712,0.946,0.642,0.604,-0.239,0.849,1.0
0.613,0.535,0.727,0.315,0.639,1.224,0.629,0.162,0.569,0.756,0.154,0.718,1.32,1.176,0.3,1.0
0.782,0.599,1.008,0.654,0.74,0.552,-0.007,0.335,1.056,1.471,0.358,0.212,-0.101,0.868,0.861,1.0
0.431,0.96,0.759,0.694,1.283,0.382,1.252,-0.568,0.533,0.691,2.607,0.547,4.176,0.244,0.274,1.0
1.124,0.137,0.775,0.307,-0.137,0.366,0.229,0.57,0.895,0.893,0.257,0.53,0.433,0.516,0.372,1.0
0.371,1.548,-0.409,0.356,0.357,0.395,-2.278,0.362,0.358,0.483,0.351,0.261,1.009,0.677,0.565,1.0
-0.45,0.786,0.937,0.875,0.38,0.946,0.164,0.067,0.391,0.675,0.985,0.961,0.335,-0.054,1.178,1.0
0.476,0.919,0.226,0.489,0.526,0.307,1.098,0.71,1.17,1.577,0.528,0.633,-0.235,0.693,-0.119,1.0
