@RELATION SmoothSubspace

@ATTRIBUTE att1_err NUMERIC
@ATTRIBUTE att2_err NUMERIC
@ATTRIBUTE att3_err NUMERIC
@ATTRIBUTE att4_err NUMERIC
@ATTRIBUTE att5_err NUMERIC
@ATTRIBUTE att6_err NUMERIC
@ATTRIBUTE att7_err NUMERIC
@ATTRIBUTE att8_err NUMERIC
@ATTRIBUTE att9_err NUMERIC
@ATTRIBUTE att10_err NUMERIC
@ATTRIBUTE att11_err NUMERIC
@ATTRIBUTE att12_err NUMERIC
@ATTRIBUTE att13_err NUMERIC
@ATTRIBUTE att14_err NUMERIC
@ATTRIBUTE att15_err NUMERIC

@DATA
0.612,0.81,0.187,0.184,0.836,0.524,0.677,0.471,0.139,0.109,0.815,0.807,0.284,0.394,0.055
0.155,0.017,0.393,0.064,0.232,0.232,0.153,0.354,0.914,0.106,1.038,0.015,0.296,0.978,0.053
0.783,0.497,0.611,0.348,0.659,0.0,0.1,0.221,0.67,0.065,0.109,1.075,0.835,0.424,0.679
0.271,0.258,0.288,0.273,0.389,0.03,0.275,0.17,0.028,0.141,0.028,0.083,0.218,0.359,0.834
0.687,0.131,0.003,0.091,0.11,0.23,1.066,0.172,0.376,0.605,0.137,0.146,0.102,0.562,0.479
0.148,0.057,0.266,0.829,0.138,0.205,0.004,0.539,1.051,0.238,0.509,0.676,0.835,0.184,0.694
0.2,0.428,0.057,0.34,0.512,0.366,0.29,0.68,0.033,0.102,0.385,0.082,0.486,0.495,0.623
1.235,0.739,0.627,0.099,0.738,1.428,0.63,0.122,0.382,0.941,0.192,0.085,0.015,0.286,0.302
0.438,0.058,0.677,0.013,0.586,0.276,0.295,0.904,0.215,0.252,0.739,0.064,0.497,0.884,0.188
0.857,0.25,0.718,0.273,0.28,0.459,0.353,0.27,0.95,0.621,0.675,0.279,0.377,0.766,0.461
0.116,0.23,0.015,0.661,0.4,1.264,0.045,0.09,0.479,0.086,0.465,0.52,0.434,0.653,0.651
0.071,0.195,0.506,0.227,0.191,0.456,1.209,0.43,0.157,0.221,0.525,0.496,0.032,0.085,0.362
0.217,0.329,0.634,0.095,0.244,0.494,0.113,0.4,0.782,1.152,0.993,0.245,0.314,1.066,0.161
0.014,0.077,0.381,0.133,0.03,0.605,0.856,0.022,0.38,0.078,0.407,0.131,0.422,0.207,0.329
0.339,0.088,1.32,0.366,0.209,0.136,0.423,0.009,0.162,1.442,0.29,0.037,0.428,0.071,0.177
0.009,0.519,0.115,0.214,0.672,0.207,1.271,1.242,0.727,0.484,0.947,0.256,1.333,0.236,0.443
