@RELATION SyntheticControl

@ATTRIBUTE att1_err NUMERIC
@ATTRIBUTE att2_err NUMERIC
@ATTRIBUTE att3_err NUMERIC
@ATTRIBUTE att4_err NUMERIC
@ATTRIBUTE att5_err NUMERIC
@ATTRIBUTE att6_err NUMERIC
@ATTRIBUTE att7_err NUMERIC
@ATTRIBUTE att8_err NUMERIC
@ATTRIBUTE att9_err NUMERIC
@ATTRIBUTE att10_err NUMERIC
@ATTRIBUTE att11_err NUMERIC
@ATTRIBUTE att12_err NUMERIC
@ATTRIBUTE att13_err NUMERIC
@ATTRIBUTE att14_err NUMERIC
@ATTRIBUTE att15_err NUMERIC
@ATTRIBUTE att16_err NUMERIC
@ATTRIBUTE att17_err NUMERIC
@ATTRIBUTE att18_err NUMERIC
@ATTRIBUTE att19_err NUMERIC
@ATTRIBUTE att20_err NUMERIC
@ATTRIBUTE att21_err NUMERIC
@ATTRIBUTE att22_err NUMERIC
@ATTRIBUTE att23_err NUMERIC
@ATTRIBUTE att24_err NUMERIC
@ATTRIBUTE att25_err NUMERIC
@ATTRIBUTE att26_err NUMERIC
@ATTRIBUTE att27_err NUMERIC
@ATTRIBUTE att28_err NUMERIC
@ATTRIBUTE att29_err NUMERIC
@ATTRIBUTE att30_err NUMERIC
@ATTRIBUTE att31_err NUMERIC
@ATTRIBUTE att32_err NUMERIC
@ATTRIBUTE att33_err NUMERIC
@ATTRIBUTE att34_err NUMERIC
@ATTRIBUTE att35_err NUMERIC
@ATTRIBUTE att36_err NUMERIC
@ATTRIBUTE att37_err NUMERIC
@ATTRIBUTE att38_err NUMERIC
@ATTRIBUTE att39_err NUMERIC
@ATTRIBUTE att40_err NUMERIC
@ATTRIBUTE att41_err NUMERIC
@ATTRIBUTE att42_err NUMERIC
@ATTRIBUTE att43_err NUMERIC
@ATTRIBUTE att44_err NUMERIC
@ATTRIBUTE att45_err NUMERIC
@ATTRIBUTE att46_err NUMERIC
@ATTRIBUTE att47_err NUMERIC
@ATTRIBUTE att48_err NUMERIC
@ATTRIBUTE att49_err NUMERIC
@ATTRIBUTE att50_err NUMERIC
@ATTRIBUTE att51_err NUMERIC
@ATTRIBUTE att52_err NUMERIC
@ATTRIBUTE att53_err NUMERIC
@ATTRIBUTE att54_err NUMERIC
@ATTRIBUTE att55_err NUMERIC
@ATTRIBUTE att56_err NUMERIC
@ATTRIBUTE att57_err NUMERIC
@ATTRIBUTE att58_err NUMERIC
@ATTRIBUTE att59_err NUMERIC
@ATTRIBUTE att60_err NUMERIC

@DATA
2.668,0.868,0.19,5.735,0.393,0.299,1.035,2.916,1.776,2.765,0.521,0.562,1.339,1.048,1.108,1.265,0.783,2.348,0.407,0.736,1.627,1.567,0.845,1.346,0.042,2.714,0.148,1.047,0.332,1.877,2.887,1.358,3.339,1.301,1.557,1.583,0.178,0.596,1.812,1.797,1.011,1.316,2.072,0.396,0.607,0.196,5.766,3.251,2.35,1.771,3.123,0.703,2.873,2.296,2.99,0.88,2.779,3.327,0.845,1.613
2.987,3.759,1.34,1.916,0.385,2.923,0.255,0.577,1.861,2.202,0.462,2.643,1.073,0.02,0.338,1.432,2.525,1.261,2.162,1.25,2.803,2.52,2.373,2.76,0.457,1.13,0.286,2.026,1.049,0.986,1.622,2.231,3.254,0.352,0.9,0.621,0.401,2.469,1.17,0.468,2.059,1.576,0.008,0.71,0.923,2.16,0.722,1.168,0.648,2.566,0.86,0.117,0.551,1.693,3.327,1.107,1.617,1.413,3.197,2.398
0.074,2.339,5.011,2.412,0.157,0.516,5.225,0.267,0.132,3.302,2.354,1.757,1.422,2.703,1.176,0.016,3.535,3.02,1.038,1.385,1.417,2.897,0.061,0.183,3.319,0.928,1.877,0.547,1.983,1.179,2.126,2.477,2.319,1.848,0.452,0.544,1.695,0.417,0.646,1.099,0.297,2.273,0.565,1.423,3.375,0.814,0.339,1.305,0.106,2.563,2.102,1.425,0.22,0.646,5.156,3.197,2.176,2.172,1.627,2.599
0.065,0.66,3.124,0.6,2.717,1.32,3.539,0.31,0.366,0.135,1.064,0.295,1.5,0.94,0.188,1.911,1.902,1.927,2.012,2.294,1.706,0.278,1.043,1.448,0.047,0.258,0.893,0.889,1.319,0.802,2.073,1.295,2.838,0.22,1.057,0.028,1.197,1.717,1.318,1.081,0.433,1.401,1.903,4.183,0.439,1.452,0.422,0.427,0.565,2.15,0.196,1.401,1.154,2.296,4.358,0.481,0.626,1.551,0.466,2.322
2.38,2.52,2.013,1.289,3.368,5.256,1.197,3.19,2.113,2.946,1.784,1.558,1.773,1.268,0.012,0.086,0.563,0.511,3.267,1.61,2.079,1.819,0.947,1.626,2.061,0.153,1.318,1.336,0.003,0.021,1.109,0.554,0.363,0.425,0.049,1.616,0.218,1.637,0.825,0.093,1.398,1.812,1.953,1.749,2.923,0.656,0.794,1.058,2.76,3.359,2.623,0.492,2.482,1.856,2.76,3.86,7.087,1.405,0.029,0.586
1.813,0.298,0.176,1.808,0.988,1.034,1.998,3.575,1.245,3.072,3.787,1.725,1.247,1.96,4.286,0.926,0.38,0.429,3.734,2.62,1.855,2.611,2.481,1.242,0.51,1.007,0.957,1.543,1.433,1.951,0.958,0.43,1.209,0.544,2.069,0.513,0.393,0.182,0.084,0.901,0.421,0.382,2.33,2.67,0.304,0.106,2.308,2.632,2.586,1.96,2.83,0.718,0.81,3.755,1.306,2.347,3.268,0.181,0.399,0.716
2.14,1.049,1.235,0.587,0.757,0.516,1.226,0.587,0.322,2.275,0.913,2.249,0.195,0.472,1.257,0.232,3.237,1.954,0.903,0.591,1.933,2.25,0.469,2.76,0.111,0.064,0.48,0.814,2.545,1.604,2.126,1.681,0.574,0.826,3.712,2.728,0.085,0.638,0.249,0.599,2.179,0.439,3.457,0.098,6.324,1.49,0.854,0.008,4.086,1.437,2.11,0.111,1.093,3.03,0.089,3.004,4.046,0.356,0.536,1.839
4.984,4.784,3.329,1.331,0.649,1.456,0.376,0.912,0.792,1.003,3.139,3.364,3.066,0.222,0.445,2.899,3.095,1.293,3.283,2.111,2.192,1.575,2.212,0.675,1.194,0.574,0.007,0.029,0.648,1.951,1.878,0.033,0.313,1.495,2.073,0.15,1.512,0.053,0.876,0.939,0.309,4.359,3.647,1.442,2.999,1.005,2.602,4.984,0.281,0.028,0.606,0.39,2.512,1.938,2.583,4.981,4.881,0.229,1.555,0.283
3.229,4.476,4.676,2.702,0.945,1.417,2.128,3.735,2.891,2.823,3.596,1.247,0.673,0.699,3.265,3.525,2.731,1.431,1.213,1.748,1.112,1.321,0.888,0.857,1.51,0.108,0.615,0.32,0.387,3.798,0.691,2.962,2.99,2.673,2.192,1.711,0.241,2.448,2.886,0.637,1.362,0.047,0.477,1.011,0.11,0.152,0.527,3.752,0.582,1.506,0.863,0.875,0.699,2.508,0.502,0.425,0.824,1.93,0.05,0.352
1.809,2.781,1.848,0.555,3.289,1.009,0.198,1.352,2.78,1.372,1.376,1.798,1.07,0.338,2.364,0.668,0.158,0.503,1.699,1.041,1.805,0.005,2.453,0.945,0.231,0.6,1.874,0.786,0.362,0.004,2.856,0.377,0.73,1.773,0.676,3.943,0.49,0.865,1.675,0.556,0.915,4.753,1.181,0.602,2.325,0.003,6.354,0.612,0.286,0.934,0.211,0.734,5.289,3.102,0.006,0.548,0.483,2.984,1.171,1.357
