@RELATION ItalyPowerDemand

@ATTRIBUTE att1_err NUMERIC
@ATTRIBUTE att2_err NUMERIC
@ATTRIBUTE att3_err NUMERIC
@ATTRIBUTE att4_err NUMERIC
@ATTRIBUTE att5_err NUMERIC
@ATTRIBUTE att6_err NUMERIC
@ATTRIBUTE att7_err NUMERIC
@ATTRIBUTE att8_err NUMERIC
@ATTRIBUTE att9_err NUMERIC
@ATTRIBUTE att10_err NUMERIC
@ATTRIBUTE att11_err NUMERIC
@ATTRIBUTE att12_err NUMERIC
@ATTRIBUTE att13_err NUMERIC
@ATTRIBUTE att14_err NUMERIC
@ATTRIBUTE att15_err NUMERIC
@ATTRIBUTE att16_err NUMERIC
@ATTRIBUTE att17_err NUMERIC
@ATTRIBUTE att18_err NUMERIC
@ATTRIBUTE att19_err NUMERIC
@ATTRIBUTE att20_err NUMERIC
@ATTRIBUTE att21_err NUMERIC
@ATTRIBUTE att22_err NUMERIC
@ATTRIBUTE att23_err NUMERIC
@ATTRIBUTE att24_err NUMERIC

@DATA
1.059,0.755,0.825,0.447,0.284,0.003,0.609,0.144,0.161,0.322,0.492,0.056,0.425,0.695,0.702,0.949,0.294,0.446,0.565,0.479,0.947,1.981,0.773,1.419
0.083,0.881,0.178,0.145,0.2,0.568,0.399,0.811,0.533,0.308,1.119,1.137,0.469,0.148,0.157,0.164,1.772,1.107,0.934,0.887,0.566,2.052,2.323,0.709
0.996,0.246,1.039,1.543,0.474,0.128,0.858,1.699,1.803,0.845,1.765,0.011,0.399,0.328,0.311,2.203,0.889,0.295,2.819,0.098,1.707,0.447,0.851,0.382
0.205,1.337,1.269,0.166,0.616,0.026,0.187,1.392,2.979,0.025,0.142,0.4,1.001,0.274,0.069,0.263,0.731,1.328,0.382,2.417,2.006,1.705,1.115,1.324
0.497,0.288,0.101,0.386,0.175,0.456,0.087,1.514,0.864,0.115,1.076,0.973,0.003,0.804,1.004,1.239,0.593,1.127,0.306,0.002,0.154,0.289,0.459,0.99
1.001,0.212,0.811,0.339,0.004,0.596,0.267,0.51,1.337,0.227,1.412,0.992,0.307,0.144,0.604,1.512,0.566,2.318,0.073,2.168,2.877,1.565,1.864,1.753
0.837,1.289,0.418,0.475,0.689,0.616,0.267,1.565,0.198,1.397,0.073,0.433,0.707,0.203,0.517,0.98,1.752,0.681,1.387,0.826,2.959,1.175,1.074,0.949
0.652,0.006,0.516,0.461,1.185,0.127,0.092,1.104,0.122,0.854,0.365,1.715,0.69,0.378,0.888,1.333,0.416,1.1,0.458,0.278,0.67,0.068,0.655,1.006
1.145,0.606,0.353,0.293,0.043,0.4,0.787,1.764,1.623,0.035,0.229,0.478,0.091,0.312,0.783,0.405,0.777,0.21,0.323,1.981,0.848,0.484,1.872,0.735
1.746,2.699,0.015,0.975,1.067,0.05,0.603,0.131,0.254,1.418,1.973,0.172,0.242,0.541,0.115,0.533,0.083,1.142,1.171,0.702,0.245,2.902,0.628,3.07
0.519,1.826,0.014,0.907,0.434,0.369,0.421,0.852,1.812,0.964,1.054,0.636,0.381,0.33,1.07,1.474,1.514,0.458,0.001,0.361,1.109,1.21,0.166,1.063
0.199,1.905,0.234,0.053,1.337,0.923,0.54,0.038,0.716,0.155,1.665,0.003,0.496,0.064,0.484,0.55,0.196,0.571,1.79,1.892,0.124,1.888,0.79,0.289
2.653,0.167,0.809,0.116,0.921,0.734,0.028,0.351,1.637,3.486,1.526,0.14,0.559,1.502,0.538,0.889,0.279,0.813,0.009,1.107,2.26,0.775,1.352,0.37
1.175,1.543,0.003,0.159,0.356,0.263,0.023,1.471,0.789,0.467,0.121,0.548,0.399,0.878,0.996,0.269,0.605,0.387,0.361,2.63,1.562,0.675,0.82,1.369
0.307,0.767,0.723,0.412,0.134,0.317,0.116,0.585,0.062,2.011,0.353,0.601,0.215,0.84,1.154,1.095,1.007,1.108,1.183,1.16,0.651,1.128,0.645,1.832
3.119,0.092,0.261,0.697,0.197,0.114,0.698,2.154,0.6,1.594,0.15,0.255,0.785,1.055,0.216,0.027,0.078,0.499,0.358,0.527,1.792,0.85,1.606,1.213
1.736,0.221,0.013,0.245,0.179,0.199,0.04,1.57,1.337,0.121,0.48,0.441,1.025,0.516,0.762,0.466,1.183,1.2,0.377,0.987,0.33,0.383,1.162,0.554
2.005,0.509,0.683,0.707,0.228,0.931,0.265,1.139,1.104,1.673,0.762,0.962,0.37,0.063,1.202,0.155,0.609,1.086,0.996,0.305,2.146,0.975,1.407,0.414
0.526,0.096,0.523,0.225,0.117,0.21,0.131,0.61,2.139,0.595,0.751,0.594,0.596,0.248,0.732,1.385,0.865,1.981,1.686,0.606,1.338,2.552,1.527,0.19
1.564,0.133,0.602,1.286,1.099,0.612,1.281,0.531,1.737,0.055,0.315,1.019,0.409,0.745,1.158,0.265,1.147,1.817,0.35,0.224,0.543,1.142,1.112,1.458
0.806,1.536,0.541,1.112,0.822,0.878,1.029,0.76,0.674,1.602,0.134,1.462,0.142,0.286,1.721,0.977,0.719,1.057,3.089,0.027,0.052,0.734,1.704,1.297
0.266,0.986,0.334,0.249,0.209,0.005,0.191,0.047,0.539,0.717,0.216,0.574,0.372,0.4,0.668,0.41,1.227,1.123,1.138,0.071,0.128,1.058,0.798,2.285
0.928,1.003,0.293,0.475,0.489,0.12,0.364,1.855,0.203,0.653,0.344,0.315,0.572,0.627,0.63,0.55,0.202,0.094,1.888,0.41,1.112,0.115,0.802,1.495
0.354,0.057,0.281,0.956,0.085,0.03,0.474,0.768,0.336,0.542,2.04,0.002,0.649,0.147,0.306,0.541,0.731,1.045,0.283,0.235,0.689,1.487,0.682,1.027
0.669,0.762,0.031,0.006,0.317,0.142,0.285,0.424,1.264,0.263,0.526,1.709,0.721,0.055,1.009,0.731,1.982,0.457,0.058,0.355,1.351,0.434,2.504,0.468
1.554,1.144,0.867,1.004,0.197,0.416,0.532,0.739,0.859,0.015,0.557,0.207,0.285,0.447,0.494,1.008,1.101,2.47,0.149,0.531,0.238,0.64,0.42,2.103
0.259,1.114,0.479,0.42,0.622,0.087,0.752,0.325,1.806,1.345,2.292,0.381,0.062,0.656,0.897,0.647,0.527,2.094,0.051,1.733,2.217,1.024,1.979,0.779
1.458,0.225,1.598,0.983,0.982,0.201,0.39,0.387,0.241,0.153,0.241,0.376,0.988,0.408,0.109,0.096,0.106,1.841,2.022,0.173,1.31,0.653,1.373,0.425
