@RELATION ItalyPowerDemand

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE att4 NUMERIC
@ATTRIBUTE att5 NUMERIC
@ATTRIBUTE att6 NUMERIC
@ATTRIBUTE att7 NUMERIC
@ATTRIBUTE att8 NUMERIC
@ATTRIBUTE att9 NUMERIC
@ATTRIBUTE att10 NUMERIC
@ATTRIBUTE att11 NUMERIC
@ATTRIBUTE att12 NUMERIC
@ATTRIBUTE att13 NUMERIC
@ATTRIBUTE att14 NUMERIC
@ATTRIBUTE att15 NUMERIC
@ATTRIBUTE att16 NUMERIC
@ATTRIBUTE att17 NUMERIC
@ATTRIBUTE att18 NUMERIC
@ATTRIBUTE att19 NUMERIC
@ATTRIBUTE att20 NUMERIC
@ATTRIBUTE att21 NUMERIC
@ATTRIBUTE att22 NUMERIC
@ATTRIBUTE att23 NUMERIC
@ATTRIBUTE att24 NUMERIC
@ATTRIBUTE target {1.0, 2.0}

@DATA
-2.861,-0.619,-0.241,-1.96,-1.683,-1.369,-1.345,0.035,1.109,1.369,0.212,0.97,0.593,0.659,-0.464,-0.103,-0.417,0.746,0.79,0.977,2.124,1.698,-0.48,-1.105,1.0
-0.99,-0.241,-1.854,-1.677,-1.586,-0.89,-1.148,-0.274,0.618,1.031,1.461,0.68,1.063,0.422,0.303,0.674,-1.539,-1.511,0.057,2.361,1.328,0.83,0.979,0.2,1.0
-1.114,0.664,-0.566,0.694,-0.705,-0.267,0.22,-1.213,-5.621,-1.149,1.873,-0.086,-0.553,-0.419,-0.437,2.572,-0.071,-0.507,1.6,-0.381,-0.117,2.471,2.624,1.486,2.0
-0.659,-3.317,-2.933,-1.311,-1.959,-1.433,-1.375,0.524,-5.64,1.092,1.517,1.014,0.885,0.48,0.73,1.028,-1.304,0.193,0.952,3.625,1.123,2.754,0.422,-1.961,2.0
-1.158,-1.242,-1.582,-2.14,-1.507,-2.615,-1.108,-0.815,0.468,1.034,1.304,-0.662,0.658,-0.477,0.631,2.512,0.464,1.09,1.426,1.072,0.39,0.559,-0.272,-1.008,1.0
-0.707,-0.235,-1.214,-1.466,-1.143,-1.271,-1.791,-0.591,1.265,-0.276,0.594,-0.116,0.591,0.296,0.014,-1.654,0.039,1.361,-0.549,1.496,1.086,1.815,-0.142,2.194,1.0
-0.393,-2.07,-0.267,-0.902,-0.128,-0.637,-1.833,0.511,0.07,1.825,1.733,2.295,1.482,0.683,0.298,-0.06,-0.623,1.42,-0.341,-0.259,3.806,-0.068,-0.341,0.136,2.0
-0.723,-1.37,-2.326,-2.074,-2.24,-1.594,-1.134,-0.761,0.48,1.788,1.404,0.17,0.271,0.184,0.053,2.629,0.643,0.829,1.693,1.078,-0.686,0.335,0.209,0.828,1.0
-1.549,-0.873,-1.628,-1.893,-1.54,-1.66,-0.603,-1.27,-1.46,1.036,1.09,2.003,0.815,1.335,0.239,1.082,2.001,0.603,0.783,0.381,0.741,0.582,1.579,0.416,1.0
-0.542,3.973,-1.286,-1.838,-0.91,-1.362,-2.498,-0.772,0.122,0.315,1.78,1.498,0.68,0.168,0.709,0.479,0.933,2.159,-0.574,1.055,-0.156,2.722,-0.131,-0.931,2.0
-1.042,0.908,-1.23,-1.505,-1.717,-1.027,-1.639,-0.935,0.315,4.616,1.7,1.2,0.696,1.081,0.558,-1.515,-2.726,-0.239,0.129,0.273,-1.5,0.126,0.69,2.771,2.0
-1.19,0.455,-1.25,-1.619,-2.117,-0.771,-1.015,0.227,-0.318,1.206,4.355,0.877,0.666,0.545,0.396,0.337,0.556,0.637,1.894,3.111,1.053,2.309,-1.398,-0.954,1.0
