@RELATION SyntheticControl

@ATTRIBUTE att1_err NUMERIC
@ATTRIBUTE att2_err NUMERIC
@ATTRIBUTE att3_err NUMERIC
@ATTRIBUTE att4_err NUMERIC
@ATTRIBUTE att5_err NUMERIC
@ATTRIBUTE att6_err NUMERIC
@ATTRIBUTE att7_err NUMERIC
@ATTRIBUTE att8_err NUMERIC
@ATTRIBUTE att9_err NUMERIC
@ATTRIBUTE att10_err NUMERIC
@ATTRIBUTE att11_err NUMERIC
@ATTRIBUTE att12_err NUMERIC
@ATTRIBUTE att13_err NUMERIC
@ATTRIBUTE att14_err NUMERIC
@ATTRIBUTE att15_err NUMERIC
@ATTRIBUTE att16_err NUMERIC
@ATTRIBUTE att17_err NUMERIC
@ATTRIBUTE att18_err NUMERIC
@ATTRIBUTE att19_err NUMERIC
@ATTRIBUTE att20_err NUMERIC
@ATTRIBUTE att21_err NUMERIC
@ATTRIBUTE att22_err NUMERIC
@ATTRIBUTE att23_err NUMERIC
@ATTRIBUTE att24_err NUMERIC
@ATTRIBUTE att25_err NUMERIC
@ATTRIBUTE att26_err NUMERIC
@ATTRIBUTE att27_err NUMERIC
@ATTRIBUTE att28_err NUMERIC
@ATTRIBUTE att29_err NUMERIC
@ATTRIBUTE att30_err NUMERIC
@ATTRIBUTE att31_err NUMERIC
@ATTRIBUTE att32_err NUMERIC
@ATTRIBUTE att33_err NUMERIC
@ATTRIBUTE att34_err NUMERIC
@ATTRIBUTE att35_err NUMERIC
@ATTRIBUTE att36_err NUMERIC
@ATTRIBUTE att37_err NUMERIC
@ATTRIBUTE att38_err NUMERIC
@ATTRIBUTE att39_err NUMERIC
@ATTRIBUTE att40_err NUMERIC
@ATTRIBUTE att41_err NUMERIC
@ATTRIBUTE att42_err NUMERIC
@ATTRIBUTE att43_err NUMERIC
@ATTRIBUTE att44_err NUMERIC
@ATTRIBUTE att45_err NUMERIC
@ATTRIBUTE att46_err NUMERIC
@ATTRIBUTE att47_err NUMERIC
@ATTRIBUTE att48_err NUMERIC
@ATTRIBUTE att49_err NUMERIC
@ATTRIBUTE att50_err NUMERIC
@ATTRIBUTE att51_err NUMERIC
@ATTRIBUTE att52_err NUMERIC
@ATTRIBUTE att53_err NUMERIC
@ATTRIBUTE att54_err NUMERIC
@ATTRIBUTE att55_err NUMERIC
@ATTRIBUTE att56_err NUMERIC
@ATTRIBUTE att57_err NUMERIC
@ATTRIBUTE att58_err NUMERIC
@ATTRIBUTE att59_err NUMERIC
@ATTRIBUTE att60_err NUMERIC

@DATA
1.868,0.608,0.133,4.015,0.275,0.21,0.725,2.041,1.243,1.936,0.365,0.393,0.938,0.734,0.776,0.885,0.548,1.644,0.285,0.515,1.139,1.097,0.592,0.942,0.029,1.9,0.103,0.733,0.232,1.314,2.021,0.951,2.337,0.911,1.09,1.108,0.124,0.417,1.268,1.258,0.708,0.921,1.45,0.278,0.425,0.137,4.036,2.276,1.645,1.24,2.186,0.492,2.011,1.607,2.093,0.616,1.945,2.329,0.591,1.129
2.091,2.631,0.938,1.341,0.27,2.046,0.179,0.404,1.303,1.542,0.323,1.85,0.751,0.014,0.237,1.002,1.768,0.883,1.514,0.875,1.962,1.764,1.661,1.932,0.32,0.791,0.2,1.418,0.735,0.69,1.136,1.562,2.278,0.246,0.63,0.435,0.281,1.728,0.819,0.328,1.441,1.103,0.006,0.497,0.646,1.512,0.506,0.818,0.454,1.796,0.602,0.082,0.386,1.185,2.329,0.775,1.132,0.989,2.238,1.679
0.052,1.637,3.508,1.689,0.11,0.361,3.657,0.187,0.092,2.312,1.648,1.23,0.995,1.892,0.823,0.011,2.475,2.114,0.727,0.969,0.992,2.028,0.043,0.128,2.323,0.65,1.314,0.383,1.388,0.825,1.488,1.734,1.623,1.293,0.317,0.381,1.187,0.292,0.452,0.769,0.208,1.591,0.396,0.996,2.363,0.57,0.237,0.913,0.074,1.794,1.472,0.997,0.154,0.452,3.609,2.238,1.523,1.52,1.139,1.82
0.046,0.462,2.187,0.42,1.902,0.924,2.477,0.217,0.256,0.095,0.745,0.206,1.05,0.658,0.131,1.337,1.331,1.349,1.409,1.606,1.194,0.194,0.73,1.014,0.033,0.181,0.625,0.622,0.924,0.562,1.451,0.907,1.987,0.154,0.74,0.02,0.838,1.202,0.923,0.756,0.303,0.981,1.332,2.928,0.308,1.016,0.296,0.299,0.395,1.505,0.137,0.981,0.808,1.607,3.051,0.337,0.438,1.085,0.326,1.625
1.666,1.764,1.409,0.902,2.358,3.679,0.838,2.233,1.479,2.062,1.249,1.091,1.241,0.888,0.008,0.06,0.394,0.358,2.287,1.127,1.456,1.273,0.663,1.139,1.443,0.107,0.922,0.935,0.002,0.015,0.776,0.388,0.254,0.297,0.034,1.131,0.153,1.146,0.577,0.065,0.979,1.268,1.367,1.224,2.046,0.459,0.556,0.741,1.932,2.351,1.836,0.344,1.738,1.299,1.932,2.702,4.961,0.983,0.02,0.41
1.269,0.208,0.123,1.266,0.692,0.724,1.398,2.503,0.871,2.15,2.651,1.207,0.873,1.372,3.0,0.648,0.266,0.3,2.614,1.834,1.299,1.827,1.737,0.869,0.357,0.705,0.67,1.08,1.003,1.366,0.67,0.301,0.846,0.381,1.448,0.359,0.275,0.127,0.059,0.631,0.295,0.267,1.631,1.869,0.213,0.074,1.615,1.842,1.81,1.372,1.981,0.502,0.567,2.629,0.914,1.643,2.287,0.127,0.279,0.501
1.498,0.734,0.864,0.411,0.53,0.361,0.858,0.411,0.226,1.593,0.639,1.574,0.136,0.33,0.88,0.162,2.266,1.368,0.632,0.414,1.353,1.575,0.328,1.932,0.078,0.045,0.336,0.57,1.781,1.123,1.488,1.177,0.402,0.578,2.598,1.91,0.06,0.447,0.174,0.419,1.526,0.307,2.42,0.068,4.427,1.043,0.598,0.005,2.86,1.006,1.477,0.077,0.765,2.121,0.063,2.103,2.832,0.249,0.375,1.287
3.489,3.349,2.33,0.932,0.454,1.019,0.263,0.639,0.554,0.702,2.198,2.355,2.146,0.155,0.311,2.03,2.167,0.905,2.298,1.478,1.534,1.103,1.549,0.472,0.836,0.402,0.005,0.02,0.453,1.366,1.315,0.023,0.219,1.046,1.451,0.105,1.058,0.037,0.613,0.657,0.216,3.051,2.553,1.009,2.099,0.703,1.821,3.489,0.197,0.02,0.424,0.273,1.759,1.356,1.808,3.487,3.417,0.16,1.089,0.198
2.26,3.133,3.273,1.891,0.662,0.992,1.49,2.614,2.024,1.976,2.517,0.873,0.471,0.489,2.286,2.467,1.912,1.001,0.849,1.224,0.778,0.925,0.621,0.6,1.057,0.076,0.43,0.224,0.271,2.659,0.484,2.073,2.093,1.871,1.534,1.198,0.168,1.714,2.02,0.446,0.954,0.033,0.334,0.707,0.077,0.107,0.369,2.626,0.408,1.054,0.604,0.612,0.49,1.756,0.351,0.297,0.577,1.351,0.035,0.247
1.266,1.946,1.294,0.389,2.302,0.706,0.138,0.946,1.946,0.96,0.963,1.259,0.749,0.237,1.655,0.467,0.111,0.352,1.189,0.729,1.264,0.004,1.717,0.662,0.161,0.42,1.312,0.55,0.254,0.003,2.0,0.264,0.511,1.241,0.473,2.76,0.343,0.606,1.173,0.389,0.64,3.327,0.827,0.421,1.628,0.002,4.448,0.429,0.2,0.654,0.148,0.514,3.702,2.171,0.004,0.384,0.338,2.089,0.82,0.95
