@RELATION SyntheticControl

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE att4 NUMERIC
@ATTRIBUTE att5 NUMERIC
@ATTRIBUTE att6 NUMERIC
@ATTRIBUTE att7 NUMERIC
@ATTRIBUTE att8 NUMERIC
@ATTRIBUTE att9 NUMERIC
@ATTRIBUTE att10 NUMERIC
@ATTRIBUTE att11 NUMERIC
@ATTRIBUTE att12 NUMERIC
@ATTRIBUTE att13 NUMERIC
@ATTRIBUTE att14 NUMERIC
@ATTRIBUTE att15 NUMERIC
@ATTRIBUTE att16 NUMERIC
@ATTRIBUTE att17 NUMERIC
@ATTRIBUTE att18 NUMERIC
@ATTRIBUTE att19 NUMERIC
@ATTRIBUTE att20 NUMERIC
@ATTRIBUTE att21 NUMERIC
@ATTRIBUTE att22 NUMERIC
@ATTRIBUTE att23 NUMERIC
@ATTRIBUTE att24 NUMERIC
@ATTRIBUTE att25 NUMERIC
@ATTRIBUTE att26 NUMERIC
@ATTRIBUTE att27 NUMERIC
@ATTRIBUTE att28 NUMERIC
@ATTRIBUTE att29 NUMERIC
@ATTRIBUTE att30 NUMERIC
@ATTRIBUTE att31 NUMERIC
@ATTRIBUTE att32 NUMERIC
@ATTRIBUTE att33 NUMERIC
@ATTRIBUTE att34 NUMERIC
@ATTRIBUTE att35 NUMERIC
@ATTRIBUTE att36 NUMERIC
@ATTRIBUTE att37 NUMERIC
@ATTRIBUTE att38 NUMERIC
@ATTRIBUTE att39 NUMERIC
@ATTRIBUTE att40 NUMERIC
@ATTRIBUTE att41 NUMERIC
@ATTRIBUTE att42 NUMERIC
@ATTRIBUTE att43 NUMERIC
@ATTRIBUTE att44 NUMERIC
@ATTRIBUTE att45 NUMERIC
@ATTRIBUTE att46 NUMERIC
@ATTRIBUTE att47 NUMERIC
@ATTRIBUTE att48 NUMERIC
@ATTRIBUTE att49 NUMERIC
@ATTRIBUTE att50 NUMERIC
@ATTRIBUTE att51 NUMERIC
@ATTRIBUTE att52 NUMERIC
@ATTRIBUTE att53 NUMERIC
@ATTRIBUTE att54 NUMERIC
@ATTRIBUTE att55 NUMERIC
@ATTRIBUTE att56 NUMERIC
@ATTRIBUTE att57 NUMERIC
@ATTRIBUTE att58 NUMERIC
@ATTRIBUTE att59 NUMERIC
@ATTRIBUTE att60 NUMERIC
@ATTRIBUTE target {1.0, 2.0, 3.0, 4.0, 5.0, 6.0}

@DATA
0.01,1.108,0.336,0.414,-0.382,0.895,-0.981,-0.451,2.046,-2.17,0.765,-0.361,1.519,0.644,0.816,-0.085,1.026,-0.285,-0.533,-1.177,-1.673,-0.467,0.768,-0.107,0.803,-0.982,-0.335,-1.089,-1.31,0.586,-0.561,-0.914,4.235,-0.368,-0.429,-0.713,-1.088,0.975,0.583,-1.262,1.517,-1.703,-0.307,0.59,0.276,1.144,-3.065,-0.351,0.89,-1.006,1.462,-1.958,0.718,-1.024,1.309,1.384,-0.134,1.525,-1.529,-1.425,1.0
-1.082,0.99,-0.888,-1.067,-0.364,1.073,-1.15,1.175,-1.11,-0.632,0.587,-0.786,-1.428,-0.803,-1.548,1.531,0.602,0.579,0.317,0.938,-0.794,0.248,0.563,0.627,-1.582,0.118,0.588,-1.656,0.685,-0.531,-0.216,-2.598,0.776,-1.076,0.947,-1.169,-0.541,-2.348,-0.146,1.663,0.656,0.751,-0.876,-0.717,0.533,-0.488,0.177,2.155,1.431,-0.261,1.605,-0.808,-0.897,1.57,-1.723,-0.222,1.236,1.014,-0.333,-0.432,1.0
-0.962,-0.335,1.756,-0.899,-1.755,-0.611,2.848,1.286,-1.761,2.244,-1.343,-2.22,1.021,1.342,-1.854,-0.336,0.958,-0.466,0.057,-1.681,-0.566,1.116,1.462,0.607,-1.778,0.916,-1.249,0.605,1.315,-0.39,0.729,0.93,0.326,0.525,0.12,0.378,-2.461,0.926,0.813,0.804,0.023,-0.951,0.833,0.764,2.105,-1.521,-0.339,-1.382,0.467,0.961,-2.325,0.086,1.319,-0.901,1.208,-1.272,1.316,1.178,-0.189,0.216,1.0
-0.228,-0.424,-0.229,1.547,0.316,-0.451,0.922,0.993,-0.372,-1.482,1.087,1.256,-0.514,-0.615,0.947,0.163,1.357,-1.577,-0.15,-0.076,-0.647,-1.07,-0.648,-0.841,-0.045,0.329,-0.906,-0.432,1.236,-1.01,-1.817,1.801,2.287,0.72,-1.086,-0.039,-1.479,-0.613,1.58,0.026,0.247,2.052,0.896,-2.655,0.75,1.038,-1.448,1.155,-0.312,-2.23,-0.078,-1.754,0.303,0.696,0.466,-0.737,2.147,-1.947,0.043,-0.546,1.0
1.124,0.817,2.329,0.432,-1.369,2.5,0.772,1.488,-0.355,-1.243,-1.184,0.391,-0.555,1.72,-0.592,-1.164,0.626,1.61,0.851,-1.472,1.988,-1.74,-1.175,0.483,0.187,-0.206,0.3,-1.752,0.532,0.038,1.474,1.466,-0.747,-1.592,-1.206,-0.122,-1.517,-0.129,-1.233,0.575,-0.013,0.592,-1.544,-0.009,-0.237,-0.762,1.02,0.391,-0.722,0.94,1.488,0.954,-0.942,-1.498,0.949,0.89,-2.186,0.044,0.136,0.825,1.0
1.979,1.85,0.424,-0.436,-1.829,-0.762,-1.981,1.124,-1.4,-0.833,2.054,0.19,-0.887,2.249,-0.5,0.499,-1.743,0.903,1.025,0.811,0.645,-2.349,-0.329,0.68,-0.691,1.313,-1.444,2.093,0.729,-0.038,-0.091,0.843,0.018,-0.8,-0.511,0.653,-0.516,0.455,1.047,-1.646,-0.683,0.661,-1.846,0.711,-0.555,-1.025,-0.019,-0.918,1.032,-2.592,-0.153,-1.336,0.128,-0.682,0.772,-0.017,1.97,-0.448,-0.003,0.262,1.0
0.78,0.544,-1.221,-0.901,-1.528,0.979,-0.266,-0.111,-0.952,-0.88,1.693,0.896,0.458,0.314,-0.923,-0.928,1.43,1.296,-0.625,1.421,-0.414,1.405,-0.513,-0.951,0.782,1.019,0.611,-0.546,-1.081,-0.501,-0.068,0.513,-1.373,0.126,1.074,-1.357,1.509,1.814,0.735,-0.32,-0.435,0.481,1.211,0.299,-4.259,0.92,-1.538,-1.412,-1.292,-0.705,1.437,-0.003,1.605,2.078,-1.712,-1.733,-1.107,-0.882,0.573,1.262,1.0
-2.54,-0.629,0.915,-0.313,0.035,0.104,0.11,-1.492,-1.471,1.202,-0.619,1.642,0.249,1.063,1.115,0.752,2.226,-1.193,-0.712,-0.694,1.328,-0.485,0.802,-0.91,1.727,-0.228,0.178,-1.18,1.377,-0.632,-1.66,-0.413,-0.837,0.247,-1.008,0.232,-1.512,0.444,-0.722,-1.612,-0.315,0.159,-0.307,1.439,0.066,1.538,-1.305,3.186,-0.991,-1.209,0.612,-0.847,0.609,1.033,-1.145,2.976,0.739,0.696,0.921,-1.038,1.0
-0.304,-1.745,-2.281,-1.513,1.541,-1.231,-0.387,2.225,-1.167,1.08,-1.535,1.329,-0.831,-0.106,0.998,-0.065,-0.694,0.506,1.673,-0.591,-1.306,-0.403,-0.669,-0.415,-0.407,-0.951,0.922,0.916,0.357,-0.122,-0.421,1.959,-0.181,3.472,1.552,0.349,-1.198,-1.217,-0.815,0.396,0.723,1.576,-1.256,0.555,0.912,1.54,-0.24,0.922,-1.645,-0.418,-0.526,-0.073,-1.574,2.532,0.187,0.725,-2.063,0.535,0.067,1.232,1.0
-1.067,0.205,0.062,-0.38,-1.828,0.625,-1.516,0.534,3.066,0.92,1.905,0.536,-0.534,0.184,0.136,-0.274,1.882,1.376,0.391,-0.964,-0.387,-1.46,-0.275,-0.008,-0.469,0.179,-1.819,0.303,-0.752,-0.794,1.093,0.22,-1.109,1.561,1.282,1.707,0.507,0.999,-1.093,-1.429,-0.42,1.061,-1.215,-0.006,-0.588,1.934,0.6,-1.347,0.461,0.692,-0.859,-1.897,2.628,-0.518,0.451,0.638,-0.225,-0.634,1.659,-1.089,1.0
