@RELATION SyntheticControl

@ATTRIBUTE att1_err NUMERIC
@ATTRIBUTE att2_err NUMERIC
@ATTRIBUTE att3_err NUMERIC
@ATTRIBUTE att4_err NUMERIC
@ATTRIBUTE att5_err NUMERIC
@ATTRIBUTE att6_err NUMERIC
@ATTRIBUTE att7_err NUMERIC
@ATTRIBUTE att8_err NUMERIC
@ATTRIBUTE att9_err NUMERIC
@ATTRIBUTE att10_err NUMERIC
@ATTRIBUTE att11_err NUMERIC
@ATTRIBUTE att12_err NUMERIC
@ATTRIBUTE att13_err NUMERIC
@ATTRIBUTE att14_err NUMERIC
@ATTRIBUTE att15_err NUMERIC
@ATTRIBUTE att16_err NUMERIC
@ATTRIBUTE att17_err NUMERIC
@ATTRIBUTE att18_err NUMERIC
@ATTRIBUTE att19_err NUMERIC
@ATTRIBUTE att20_err NUMERIC
@ATTRIBUTE att21_err NUMERIC
@ATTRIBUTE att22_err NUMERIC
@ATTRIBUTE att23_err NUMERIC
@ATTRIBUTE att24_err NUMERIC
@ATTRIBUTE att25_err NUMERIC
@ATTRIBUTE att26_err NUMERIC
@ATTRIBUTE att27_err NUMERIC
@ATTRIBUTE att28_err NUMERIC
@ATTRIBUTE att29_err NUMERIC
@ATTRIBUTE att30_err NUMERIC
@ATTRIBUTE att31_err NUMERIC
@ATTRIBUTE att32_err NUMERIC
@ATTRIBUTE att33_err NUMERIC
@ATTRIBUTE att34_err NUMERIC
@ATTRIBUTE att35_err NUMERIC
@ATTRIBUTE att36_err NUMERIC
@ATTRIBUTE att37_err NUMERIC
@ATTRIBUTE att38_err NUMERIC
@ATTRIBUTE att39_err NUMERIC
@ATTRIBUTE att40_err NUMERIC
@ATTRIBUTE att41_err NUMERIC
@ATTRIBUTE att42_err NUMERIC
@ATTRIBUTE att43_err NUMERIC
@ATTRIBUTE att44_err NUMERIC
@ATTRIBUTE att45_err NUMERIC
@ATTRIBUTE att46_err NUMERIC
@ATTRIBUTE att47_err NUMERIC
@ATTRIBUTE att48_err NUMERIC
@ATTRIBUTE att49_err NUMERIC
@ATTRIBUTE att50_err NUMERIC
@ATTRIBUTE att51_err NUMERIC
@ATTRIBUTE att52_err NUMERIC
@ATTRIBUTE att53_err NUMERIC
@ATTRIBUTE att54_err NUMERIC
@ATTRIBUTE att55_err NUMERIC
@ATTRIBUTE att56_err NUMERIC
@ATTRIBUTE att57_err NUMERIC
@ATTRIBUTE att58_err NUMERIC
@ATTRIBUTE att59_err NUMERIC
@ATTRIBUTE att60_err NUMERIC

@DATA
1.601,0.521,0.114,3.441,0.236,0.18,0.621,1.749,1.066,1.659,0.312,0.337,0.804,0.629,0.665,0.759,0.47,1.409,0.244,0.441,0.976,0.94,0.507,0.807,0.025,1.628,0.089,0.628,0.199,1.126,1.732,0.815,2.003,0.781,0.934,0.95,0.107,0.358,1.087,1.078,0.607,0.789,1.243,0.238,0.364,0.118,3.459,1.951,1.41,1.063,1.874,0.422,1.724,1.378,1.794,0.528,1.667,1.996,0.507,0.968
1.792,2.255,0.804,1.149,0.231,1.754,0.153,0.346,1.117,1.321,0.277,1.586,0.644,0.012,0.203,0.859,1.515,0.756,1.297,0.75,1.682,1.512,1.424,1.656,0.274,0.678,0.172,1.215,0.63,0.592,0.973,1.339,1.952,0.211,0.54,0.372,0.241,1.481,0.702,0.281,1.235,0.946,0.005,0.426,0.554,1.296,0.433,0.701,0.389,1.539,0.516,0.07,0.33,1.016,1.996,0.664,0.97,0.848,1.918,1.439
0.044,1.403,3.007,1.447,0.094,0.31,3.135,0.16,0.079,1.981,1.412,1.054,0.853,1.622,0.705,0.01,2.121,1.812,0.623,0.831,0.85,1.738,0.037,0.11,1.991,0.557,1.126,0.328,1.19,0.707,1.275,1.486,1.392,1.109,0.271,0.326,1.017,0.25,0.388,0.659,0.178,1.364,0.339,0.854,2.025,0.489,0.204,0.783,0.064,1.538,1.261,0.855,0.132,0.387,3.094,1.918,1.306,1.303,0.976,1.56
0.039,0.396,1.874,0.36,1.63,0.792,2.123,0.186,0.22,0.081,0.639,0.177,0.9,0.564,0.113,1.146,1.141,1.156,1.207,1.376,1.024,0.167,0.626,0.869,0.028,0.155,0.536,0.533,0.792,0.481,1.244,0.777,1.703,0.132,0.634,0.017,0.718,1.03,0.791,0.648,0.26,0.841,1.142,2.51,0.264,0.871,0.253,0.256,0.339,1.29,0.117,0.841,0.692,1.378,2.615,0.289,0.376,0.93,0.279,1.393
1.428,1.512,1.208,0.773,2.021,3.154,0.718,1.914,1.268,1.768,1.07,0.935,1.064,0.761,0.007,0.051,0.338,0.306,1.96,0.966,1.248,1.091,0.568,0.976,1.237,0.092,0.791,0.802,0.002,0.013,0.665,0.332,0.218,0.255,0.029,0.97,0.131,0.982,0.495,0.056,0.839,1.087,1.172,1.049,1.754,0.394,0.477,0.635,1.656,2.015,1.574,0.295,1.489,1.113,1.656,2.316,4.252,0.843,0.017,0.351
1.088,0.179,0.106,1.085,0.593,0.62,1.199,2.145,0.747,1.843,2.272,1.035,0.748,1.176,2.572,0.555,0.228,0.257,2.24,1.572,1.113,1.566,1.489,0.745,0.306,0.604,0.574,0.926,0.86,1.17,0.575,0.258,0.725,0.327,1.241,0.308,0.236,0.109,0.051,0.541,0.253,0.229,1.398,1.602,0.182,0.063,1.385,1.579,1.552,1.176,1.698,0.431,0.486,2.253,0.783,1.408,1.961,0.109,0.239,0.429
1.284,0.629,0.741,0.352,0.454,0.31,0.735,0.352,0.193,1.365,0.548,1.349,0.117,0.283,0.754,0.139,1.942,1.172,0.542,0.354,1.16,1.35,0.281,1.656,0.067,0.038,0.288,0.488,1.527,0.962,1.276,1.009,0.344,0.496,2.227,1.637,0.051,0.383,0.149,0.359,1.308,0.263,2.074,0.059,3.794,0.894,0.513,0.005,2.452,0.862,1.266,0.066,0.656,1.818,0.054,1.803,2.428,0.214,0.322,1.103
2.99,2.871,1.998,0.799,0.389,0.873,0.226,0.547,0.475,0.602,1.884,2.018,1.84,0.133,0.267,1.74,1.857,0.776,1.97,1.266,1.315,0.945,1.327,0.405,0.717,0.345,0.004,0.018,0.389,1.171,1.127,0.02,0.188,0.897,1.244,0.09,0.907,0.032,0.526,0.563,0.185,2.616,2.188,0.865,1.799,0.603,1.561,2.99,0.169,0.017,0.363,0.234,1.507,1.163,1.55,2.989,2.929,0.137,0.933,0.17
1.937,2.685,2.806,1.621,0.567,0.85,1.277,2.241,1.735,1.694,2.158,0.748,0.404,0.419,1.959,2.115,1.639,0.858,0.728,1.049,0.667,0.793,0.533,0.514,0.906,0.065,0.369,0.192,0.232,2.279,0.414,1.777,1.794,1.604,1.315,1.027,0.144,1.469,1.732,0.382,0.817,0.028,0.286,0.606,0.066,0.091,0.316,2.251,0.349,0.904,0.518,0.525,0.42,1.505,0.301,0.255,0.494,1.158,0.03,0.211
1.085,1.668,1.109,0.333,1.974,0.605,0.119,0.811,1.668,0.823,0.826,1.079,0.642,0.203,1.419,0.401,0.095,0.302,1.019,0.625,1.083,0.003,1.472,0.567,0.138,0.36,1.124,0.472,0.217,0.003,1.714,0.226,0.438,1.064,0.405,2.366,0.294,0.519,1.005,0.334,0.549,2.852,0.709,0.361,1.395,0.002,3.813,0.367,0.172,0.561,0.127,0.441,3.173,1.861,0.004,0.329,0.29,1.791,0.702,0.814
