@RELATION SyntheticControl

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE att4 NUMERIC
@ATTRIBUTE att5 NUMERIC
@ATTRIBUTE att6 NUMERIC
@ATTRIBUTE att7 NUMERIC
@ATTRIBUTE att8 NUMERIC
@ATTRIBUTE att9 NUMERIC
@ATTRIBUTE att10 NUMERIC
@ATTRIBUTE att11 NUMERIC
@ATTRIBUTE att12 NUMERIC
@ATTRIBUTE att13 NUMERIC
@ATTRIBUTE att14 NUMERIC
@ATTRIBUTE att15 NUMERIC
@ATTRIBUTE att16 NUMERIC
@ATTRIBUTE att17 NUMERIC
@ATTRIBUTE att18 NUMERIC
@ATTRIBUTE att19 NUMERIC
@ATTRIBUTE att20 NUMERIC
@ATTRIBUTE att21 NUMERIC
@ATTRIBUTE att22 NUMERIC
@ATTRIBUTE att23 NUMERIC
@ATTRIBUTE att24 NUMERIC
@ATTRIBUTE att25 NUMERIC
@ATTRIBUTE att26 NUMERIC
@ATTRIBUTE att27 NUMERIC
@ATTRIBUTE att28 NUMERIC
@ATTRIBUTE att29 NUMERIC
@ATTRIBUTE att30 NUMERIC
@ATTRIBUTE att31 NUMERIC
@ATTRIBUTE att32 NUMERIC
@ATTRIBUTE att33 NUMERIC
@ATTRIBUTE att34 NUMERIC
@ATTRIBUTE att35 NUMERIC
@ATTRIBUTE att36 NUMERIC
@ATTRIBUTE att37 NUMERIC
@ATTRIBUTE att38 NUMERIC
@ATTRIBUTE att39 NUMERIC
@ATTRIBUTE att40 NUMERIC
@ATTRIBUTE att41 NUMERIC
@ATTRIBUTE att42 NUMERIC
@ATTRIBUTE att43 NUMERIC
@ATTRIBUTE att44 NUMERIC
@ATTRIBUTE att45 NUMERIC
@ATTRIBUTE att46 NUMERIC
@ATTRIBUTE att47 NUMERIC
@ATTRIBUTE att48 NUMERIC
@ATTRIBUTE att49 NUMERIC
@ATTRIBUTE att50 NUMERIC
@ATTRIBUTE att51 NUMERIC
@ATTRIBUTE att52 NUMERIC
@ATTRIBUTE att53 NUMERIC
@ATTRIBUTE att54 NUMERIC
@ATTRIBUTE att55 NUMERIC
@ATTRIBUTE att56 NUMERIC
@ATTRIBUTE att57 NUMERIC
@ATTRIBUTE att58 NUMERIC
@ATTRIBUTE att59 NUMERIC
@ATTRIBUTE att60 NUMERIC
@ATTRIBUTE target {1.0, 2.0, 3.0, 4.0, 5.0, 6.0}

@DATA
-0.077,0.834,0.312,0.367,-0.315,0.969,-1.274,-0.296,1.67,-1.39,0.767,-0.699,1.432,0.03,1.246,0.739,1.345,-0.988,-0.831,-1.054,-1.132,-0.241,0.287,-0.17,1.064,-1.427,-0.257,-1.66,-1.254,1.276,-1.412,-0.985,1.781,-0.614,0.146,-1.824,-1.066,1.036,0.085,-1.65,1.45,-0.949,-0.238,0.609,0.283,2.504,-0.772,0.108,1.682,-0.236,0.807,-1.655,0.977,-1.466,1.163,0.496,0.733,0.827,-0.911,-1.189,1.0
-0.44,-0.529,-1.201,-1.56,-0.274,-0.523,-1.097,1.071,-1.062,-0.595,0.757,-0.828,-0.917,-0.818,-1.641,0.947,0.459,0.894,0.539,1.469,0.327,0.446,1.565,0.703,-1.613,0.227,0.798,-0.761,0.337,-0.325,-0.571,-0.855,-0.896,-0.826,0.711,-1.356,-0.537,-1.086,-0.735,1.754,1.304,0.452,-0.85,-0.353,0.279,-0.889,0.061,2.038,1.374,-0.605,1.381,-0.668,-0.711,1.183,-1.02,0.26,0.61,1.361,-0.242,0.228,1.0
-0.637,-0.503,1.045,-1.29,-3.045,-0.474,1.443,1.846,-1.687,0.772,-0.794,-2.197,0.716,1.546,-1.551,-0.308,1.159,0.866,0.036,-1.076,-0.623,0.292,1.447,0.75,-1.703,0.643,-0.507,0.903,1.537,-0.443,0.583,0.792,-0.767,-0.409,-0.424,0.224,-2.24,0.874,0.826,0.57,0.253,-0.708,1.034,1.392,1.174,-1.251,-0.412,-1.762,0.413,1.19,-0.738,-0.962,1.515,-0.808,1.254,-0.318,0.949,0.282,-0.089,0.349,1.0
-0.102,-0.29,0.461,1.886,1.151,-0.205,1.739,0.93,-0.147,-1.005,1.356,1.347,-0.066,-0.829,0.233,0.572,0.937,-1.399,-0.075,-0.695,-1.168,-1.345,-0.773,-0.863,-0.064,0.409,-0.771,-0.864,1.064,-1.089,-1.448,1.114,0.542,0.697,-2.455,0.045,-1.302,-0.368,0.765,0.763,0.46,1.682,0.445,-0.857,1.015,0.758,-1.42,0.491,-0.102,-1.589,0.502,-1.507,0.147,1.191,-1.163,-0.861,1.647,-0.851,0.072,-0.611,1.0
1.484,2.197,1.008,-0.227,-1.109,1.066,0.747,2.183,-0.375,-1.324,-0.382,-0.501,-0.365,1.575,-0.76,-1.182,0.606,1.116,1.216,-1.138,0.769,-0.68,-1.333,0.444,-0.388,-0.777,0.653,-0.696,0.476,0.28,1.729,1.73,-1.162,-1.608,-0.932,-0.182,-1.75,0.427,-1.672,-0.164,0.037,0.511,-1.573,0.172,-0.724,-0.962,0.603,1.226,-1.644,0.689,0.718,1.586,-2.259,-1.781,1.976,-1.469,1.019,-0.079,1.093,0.707,1.0
1.622,1.86,0.394,0.169,-1.168,-1.544,-2.164,1.612,-2.607,-1.113,1.269,-0.247,-0.979,1.357,0.525,0.951,-1.69,1.081,0.882,1.275,0.603,-1.651,0.707,1.04,-0.828,1.439,-1.086,1.594,0.397,-0.215,0.769,0.979,0.668,-1.29,-0.348,0.788,-0.318,0.996,0.85,-1.372,-0.885,0.58,-2.174,0.287,-0.639,-1.21,-1.26,-1.718,0.0,-1.886,0.344,-1.558,0.157,-0.432,0.516,-0.931,1.31,-0.16,0.145,-0.097,1.0
1.911,1.012,-1.735,-1.123,-1.288,1.956,0.37,-0.459,-1.214,-1.724,1.776,0.815,0.277,-0.541,-0.877,-0.892,0.848,0.847,0.02,1.671,0.743,0.199,-0.94,-0.69,0.485,1.265,1.376,-0.266,-0.856,-0.384,-0.53,0.384,-2.573,-0.775,0.648,-1.272,1.051,1.809,0.595,-0.329,0.356,0.515,-0.077,0.157,-1.179,0.872,-1.604,-1.414,0.057,-0.703,1.714,-0.02,1.39,0.948,-1.368,-0.383,0.145,-0.872,0.139,0.768,1.0
-1.81,0.933,1.601,0.368,-0.234,1.203,0.131,-1.618,-1.819,1.316,0.234,1.186,0.542,1.355,1.117,-0.17,0.069,-1.049,-0.298,-1.276,1.35,-0.919,0.567,-1.176,1.943,-0.381,0.171,-1.278,1.598,-1.207,-1.269,-0.278,-1.097,0.02,0.183,0.104,-1.759,0.559,-0.533,-0.835,-0.317,1.46,-0.451,0.947,-0.323,1.311,-1.411,0.704,-0.893,-0.988,0.185,-0.61,0.544,2.011,-0.735,1.628,0.178,0.144,2.164,-0.91,1.0
-1.591,-1.08,-1.136,-1.978,0.868,-1.86,-0.385,0.737,-1.238,-0.358,-0.65,0.943,-0.249,0.088,0.541,-0.702,-0.841,1.59,1.504,0.169,-1.677,-1.168,-0.122,-0.231,-0.88,-0.881,1.248,1.058,0.167,1.026,-0.144,0.762,0.803,0.95,1.006,0.237,-1.275,-1.647,-0.153,0.465,1.62,1.575,-1.032,0.169,0.468,1.768,0.277,1.28,-1.457,0.249,-0.204,-0.494,-1.736,1.27,0.106,0.916,-2.298,0.657,-0.106,1.639,1.0
-0.467,0.552,0.15,-1.356,1.12,0.845,-0.712,0.153,0.841,1.496,0.876,-0.041,-0.399,-0.57,0.277,-0.2,1.87,1.326,-0.538,-0.513,-0.463,-1.381,-0.708,0.455,-0.396,0.223,-1.551,0.085,-0.733,-1.289,0.727,-0.222,-0.917,1.494,0.962,0.153,0.542,1.156,-1.323,-1.519,0.491,1.57,-1.39,-0.149,0.478,2.193,1.369,-1.041,0.443,0.622,-1.145,-2.091,0.11,-1.379,0.511,0.402,-0.126,0.71,1.671,-0.411,1.0
