@RELATION SmoothSubspace

@ATTRIBUTE att1_err NUMERIC
@ATTRIBUTE att2_err NUMERIC
@ATTRIBUTE att3_err NUMERIC
@ATTRIBUTE att4_err NUMERIC
@ATTRIBUTE att5_err NUMERIC
@ATTRIBUTE att6_err NUMERIC
@ATTRIBUTE att7_err NUMERIC
@ATTRIBUTE att8_err NUMERIC
@ATTRIBUTE att9_err NUMERIC
@ATTRIBUTE att10_err NUMERIC
@ATTRIBUTE att11_err NUMERIC
@ATTRIBUTE att12_err NUMERIC
@ATTRIBUTE att13_err NUMERIC
@ATTRIBUTE att14_err NUMERIC
@ATTRIBUTE att15_err NUMERIC

@DATA
0.024,0.036,0.047,0.014,0.029,0.018,0.092,0.003,0.1,0.015,0.058,0.009,0.005,0.024,0.12
0.028,0.025,0.006,0.012,0.023,0.022,0.024,0.029,0.071,0.049,0.053,0.017,0.046,0.038,0.02
0.002,0.006,0.014,0.013,0.016,0.038,0.029,0.007,0.067,0.115,0.029,0.037,0.073,0.023,0.111
0.016,0.05,0.019,0.055,0.064,0.022,0.097,0.026,0.032,0.027,0.076,0.084,0.051,0.024,0.051
0.022,0.035,0.049,0.034,0.009,0.001,0.001,0.028,0.014,0.021,0.076,0.013,0.003,0.023,0.0
0.031,0.007,0.145,0.1,0.026,0.04,0.009,0.044,0.151,0.157,0.033,0.102,0.027,0.045,0.042
0.046,0.081,0.006,0.065,0.018,0.05,0.001,0.031,0.007,0.037,0.003,0.084,0.168,0.003,0.058
0.005,0.029,0.005,0.027,0.024,0.034,0.072,0.091,0.031,0.03,0.031,0.027,0.017,0.021,0.021
0.005,0.091,0.002,0.034,0.054,0.035,0.003,0.051,0.025,0.057,0.077,0.01,0.051,0.046,0.008
0.021,0.065,0.064,0.016,0.008,0.043,0.01,0.074,0.024,0.009,0.021,0.107,0.096,0.008,0.002
0.013,0.034,0.023,0.05,0.039,0.017,0.081,0.032,0.051,0.024,0.07,0.003,0.078,0.031,0.037
0.025,0.009,0.025,0.064,0.069,0.024,0.087,0.037,0.011,0.008,0.08,0.039,0.005,0.054,0.026
0.008,0.046,0.058,0.019,0.039,0.039,0.101,0.015,0.056,0.078,0.009,0.078,0.126,0.026,0.061
0.0,0.116,0.021,0.03,0.016,0.036,0.031,0.094,0.028,0.024,0.042,0.048,0.05,0.064,0.006
0.007,0.063,0.121,0.019,0.06,0.035,0.039,0.028,0.039,0.106,0.08,0.119,0.104,0.001,0.014
0.022,0.029,0.038,0.024,0.081,0.022,0.006,0.119,0.033,0.008,0.07,0.004,0.025,0.016,0.03
0.005,0.006,0.007,0.041,0.0,0.042,0.035,0.052,0.042,0.028,0.038,0.065,0.026,0.007,0.041
0.014,0.005,0.035,0.089,0.055,0.067,0.008,0.009,0.024,0.099,0.027,0.058,0.02,0.026,0.053
0.1,0.071,0.051,0.082,0.019,0.026,0.023,0.018,0.054,0.085,0.08,0.091,0.051,0.046,0.059
0.01,0.049,0.03,0.063,0.001,0.055,0.03,0.089,0.046,0.055,0.035,0.035,0.029,0.004,0.058
0.037,0.103,0.017,0.078,0.032,0.05,0.055,0.073,0.061,0.048,0.066,0.008,0.011,0.022,0.023
0.021,0.012,0.052,0.038,0.017,0.012,0.116,0.026,0.028,0.077,0.005,0.015,0.023,0.034,0.011
0.038,0.09,0.053,0.001,0.001,0.007,0.088,0.011,0.051,0.118,0.055,0.025,0.046,0.014,0.076
0.099,0.059,0.008,0.001,0.068,0.015,0.033,0.024,0.011,0.0,0.023,0.052,0.03,0.027,0.029
0.004,0.032,0.048,0.041,0.07,0.033,0.01,0.089,0.023,0.065,0.043,0.022,0.058,0.046,0.115
0.008,0.075,0.024,0.042,0.033,0.016,0.12,0.032,0.039,0.078,0.076,0.022,0.058,0.014,0.002
0.021,0.045,0.014,0.026,0.061,0.019,0.074,0.02,0.007,0.066,0.065,0.076,0.014,0.06,0.009
0.005,0.036,0.096,0.042,0.077,0.074,0.03,0.015,0.004,0.112,0.094,0.078,0.024,0.063,0.056
0.062,0.019,0.038,0.028,0.054,0.041,0.029,0.048,0.032,0.007,0.076,0.067,0.109,0.01,0.126
0.014,0.026,0.005,0.021,0.021,0.031,0.099,0.07,0.061,0.048,0.178,0.025,0.023,0.02,0.005
0.016,0.026,0.053,0.035,0.01,0.013,0.019,0.077,0.052,0.014,0.112,0.001,0.047,0.004,0.004
0.074,0.024,0.053,0.019,0.045,0.011,0.001,0.055,0.037,0.129,0.025,0.026,0.036,0.021,0.002
0.041,0.016,0.083,0.003,0.053,0.039,0.068,0.028,0.085,0.053,0.036,0.005,0.047,0.115,0.002
0.023,0.055,0.041,0.023,0.098,0.095,0.028,0.018,0.056,0.007,0.05,0.004,0.022,0.04,0.03
0.045,0.066,0.04,0.05,0.004,0.103,0.013,0.005,0.058,0.036,0.091,0.051,0.012,0.054,0.031
0.011,0.008,0.069,0.028,0.055,0.061,0.031,0.078,0.002,0.058,0.009,0.031,0.04,0.047,0.019
0.016,0.027,0.119,0.009,0.052,0.066,0.032,0.035,0.036,0.026,0.037,0.008,0.076,0.047,0.004
0.075,0.099,0.029,0.005,0.021,0.024,0.032,0.055,0.015,0.003,0.01,0.06,0.022,0.112,0.01
0.0,0.04,0.041,0.007,0.077,0.053,0.004,0.072,0.081,0.061,0.013,0.043,0.052,0.051,0.023
0.075,0.102,0.0,0.015,0.059,0.033,0.034,0.062,0.048,0.005,0.06,0.022,0.041,0.074,0.08
0.029,0.01,0.024,0.015,0.021,0.009,0.094,0.097,0.0,0.017,0.039,0.003,0.053,0.031,0.055
0.064,0.023,0.036,0.111,0.012,0.004,0.03,0.015,0.017,0.02,0.019,0.018,0.019,0.017,0.021
0.068,0.078,0.087,0.019,0.066,0.015,0.027,0.037,0.06,0.062,0.083,0.018,0.053,0.053,0.009
0.057,0.051,0.073,0.011,0.001,0.061,0.005,0.07,0.044,0.069,0.062,0.075,0.029,0.081,0.028
0.064,0.028,0.031,0.008,0.007,0.001,0.009,0.042,0.096,0.009,0.002,0.061,0.016,0.058,0.039
0.027,0.029,0.015,0.002,0.005,0.029,0.05,0.048,0.024,0.025,0.049,0.033,0.064,0.009,0.018
0.006,0.055,0.066,0.007,0.025,0.026,0.06,0.054,0.044,0.01,0.004,0.019,0.021,0.036,0.058
0.064,0.014,0.012,0.004,0.027,0.039,0.016,0.019,0.037,0.08,0.018,0.042,0.046,0.07,0.013
0.049,0.032,0.008,0.081,0.05,0.043,0.071,0.013,0.004,0.007,0.04,0.05,0.065,0.016,0.008
0.001,0.083,0.023,0.039,0.064,0.049,0.077,0.018,0.03,0.005,0.115,0.027,0.04,0.09,0.119
0.002,0.0,0.007,0.0,0.024,0.0,0.07,0.011,0.072,0.016,0.003,0.013,0.013,0.037,0.103
0.002,0.033,0.073,0.056,0.004,0.032,0.044,0.085,0.026,0.163,0.017,0.034,0.045,0.016,0.034
0.064,0.005,0.019,0.031,0.006,0.009,0.015,0.039,0.026,0.04,0.01,0.012,0.023,0.001,0.047
0.046,0.044,0.003,0.072,0.025,0.061,0.038,0.016,0.006,0.026,0.01,0.062,0.032,0.007,0.071
0.051,0.036,0.057,0.021,0.018,0.105,0.048,0.003,0.041,0.153,0.074,0.07,0.02,0.017,0.05
0.007,0.05,0.068,0.008,0.009,0.029,0.01,0.067,0.026,0.04,0.034,0.048,0.012,0.037,0.204
0.095,0.071,0.034,0.063,0.026,0.01,0.014,0.008,0.095,0.007,0.064,0.021,0.065,0.002,0.001
0.0,0.068,0.01,0.003,0.033,0.024,0.006,0.049,0.017,0.044,0.07,0.026,0.009,0.025,0.043
0.081,0.065,0.015,0.018,0.037,0.065,0.075,0.025,0.045,0.04,0.086,0.095,0.058,0.077,0.0
0.002,0.052,0.009,0.035,0.006,0.015,0.071,0.055,0.009,0.041,0.015,0.005,0.082,0.017,0.011
0.03,0.024,0.025,0.06,0.008,0.07,0.046,0.024,0.028,0.049,0.02,0.017,0.037,0.05,0.037
0.073,0.057,0.06,0.014,0.011,0.019,0.025,0.003,0.061,0.035,0.002,0.014,0.08,0.007,0.086
0.044,0.005,0.042,0.018,0.03,0.072,0.035,0.002,0.084,0.009,0.032,0.04,0.049,0.012,0.012
0.003,0.076,0.106,0.023,0.052,0.016,0.023,0.013,0.022,0.025,0.004,0.036,0.002,0.001,0.011
0.039,0.014,0.03,0.018,0.03,0.021,0.018,0.015,0.031,0.037,0.033,0.006,0.003,0.037,0.024
0.036,0.02,0.112,0.053,0.022,0.012,0.083,0.061,0.083,0.027,0.004,0.043,0.054,0.113,0.044
0.01,0.027,0.013,0.016,0.065,0.068,0.026,0.012,0.1,0.064,0.095,0.04,0.03,0.015,0.016
0.035,0.014,0.063,0.005,0.017,0.044,0.061,0.029,0.022,0.087,0.034,0.006,0.003,0.066,0.084
0.049,0.096,0.004,0.016,0.069,0.017,0.015,0.016,0.08,0.009,0.033,0.053,0.007,0.081,0.074
0.067,0.016,0.039,0.075,0.009,0.026,0.066,0.002,0.004,0.084,0.057,0.027,0.071,0.065,0.031
0.005,0.023,0.106,0.021,0.014,0.015,0.063,0.089,0.094,0.039,0.006,0.02,0.066,0.039,0.001
0.032,0.048,0.07,0.017,0.04,0.018,0.054,0.035,0.032,0.048,0.055,0.027,0.077,0.051,0.054
0.093,0.037,0.013,0.004,0.011,0.03,0.056,0.044,0.035,0.036,0.101,0.038,0.05,0.045,0.007
0.004,0.052,0.023,0.044,0.026,0.002,0.043,0.054,0.027,0.007,0.097,0.145,0.09,0.072,0.134
0.064,0.047,0.049,0.036,0.018,0.024,0.127,0.036,0.058,0.01,0.015,0.012,0.073,0.015,0.036
0.036,0.022,0.076,0.012,0.033,0.038,0.002,0.105,0.022,0.014,0.032,0.043,0.087,0.032,0.087
0.086,0.016,0.045,0.021,0.071,0.015,0.055,0.004,0.015,0.072,0.034,0.047,0.057,0.012,0.031
0.064,0.029,0.006,0.023,0.041,0.096,0.004,0.027,0.032,0.039,0.015,0.039,0.087,0.074,0.004
0.018,0.016,0.106,0.039,0.033,0.033,0.008,0.068,0.009,0.031,0.02,0.05,0.031,0.033,0.123
0.078,0.04,0.039,0.02,0.044,0.016,0.004,0.067,0.041,0.015,0.061,0.074,0.041,0.072,0.046
0.022,0.014,0.032,0.065,0.047,0.007,0.035,0.042,0.083,0.014,0.033,0.049,0.039,0.033,0.104
0.07,0.017,0.062,0.013,0.032,0.07,0.029,0.018,0.022,0.007,0.016,0.011,0.008,0.063,0.048
0.06,0.027,0.003,0.043,0.05,0.115,0.013,0.073,0.021,0.055,0.047,0.041,0.059,0.009,0.094
0.0,0.038,0.016,0.042,0.002,0.116,0.041,0.007,0.01,0.141,0.018,0.039,0.107,0.073,0.038
0.006,0.048,0.039,0.009,0.036,0.037,0.023,0.073,0.038,0.092,0.082,0.043,0.059,0.037,0.073
0.008,0.082,0.063,0.058,0.071,0.029,0.04,0.119,0.008,0.013,0.001,0.021,0.007,0.035,0.038
0.006,0.024,0.037,0.004,0.014,0.01,0.022,0.008,0.071,0.047,0.021,0.062,0.069,0.014,0.008
0.019,0.019,0.08,0.011,0.016,0.042,0.033,0.013,0.004,0.039,0.051,0.008,0.091,0.019,0.05
0.056,0.035,0.001,0.021,0.081,0.015,0.054,0.036,0.041,0.06,0.026,0.055,0.027,0.041,0.004
0.021,0.095,0.004,0.014,0.078,0.036,0.094,0.12,0.036,0.034,0.007,0.002,0.069,0.045,0.06
0.054,0.04,0.046,0.05,0.011,0.023,0.063,0.005,0.114,0.111,0.142,0.091,0.031,0.025,0.016
0.137,0.096,0.028,0.028,0.046,0.048,0.038,0.014,0.017,0.023,0.018,0.085,0.13,0.039,0.052
0.026,0.087,0.012,0.066,0.038,0.019,0.074,0.064,0.022,0.001,0.058,0.013,0.098,0.006,0.026
0.058,0.019,0.023,0.05,0.054,0.026,0.065,0.04,0.073,0.069,0.002,0.143,0.073,0.026,0.027
